,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Great Product
  
",5.0,ene,"Reviewed in the United States October 1, 2020","









  
  
    
  So I normally use my Ninja Foodie which is really expensive! So I did a comparison between the 2 and this Air fryer cooks exactly the same as my foodie. Same cook temp, time and everything.  I do like the look of this one better and it has replaced my foodie on the counter lol I love the ease of use of the buttons and the display looks very nice and clean. I love the basket release button its not come loose on me at all so far  It's also square and fits food better inside than the foodie does. It also fits a lot better on my counter. It's very easy to clean and easy to check on food during cooking and The food tastes great! This actually seems to cook a tad hotter than my ninja so I can probably even do less time on meals. I love the reheat button! My kids love how reheated pizza comes out in it. Ribs come out amazing in here! I baked them and then added bbq sauce and air fryed about 10 minutes!! I would definitely recommend this air fryer. Will update if I find any complaints after longer use.

  
",Size: 5.8Qt
1,1,"







  
  
    This is the best air fryer, So crispy!!
  
",5.0,Lisa,"Reviewed in the United States August 25, 2020","









  
  
    
  I’ve been wanting an air fryer for a long time and I finally made the plunge. This air fryer got some many 5 star reviews I had to get it. The basket is huge and fits a lot. First time trying it and we made wings! Tip: if you want crispy wings shake some baking powder on them. They came out super crispy compared to my first batch. Highly recommend this airfryer! It’s quite, easy to clean, and cooks amazing!! A must buy!

  
",Size: 5.8Qt
2,2,"







  
  
    Easy to set up, easy to use, easy to clean love it 😍
  
",5.0,Miriam,"Reviewed in the United States August 20, 2020","









  
  
    
  I’m so in love with this machine, it was super easy to set up the instructions are very clear, it was easy to use, easy to clean; I was afraid that it would take the food flavor away but no it didn’t it actually leaves a really nice crispy flavor on my wings that I made the most that I love about use it is that I don’t have that many dishes to wash lol and since the basket it’s big enough to make food for my family of 4 it’s easy to wash also. This air fryer it’s a must have for everyone I just love everything about it 👍🏼

  
",Size: 5.8Qt
3,3,"







  
  
    Great unit for the price
  
",5.0,Isle of Glass,"Reviewed in the United States September 27, 2020","









  
  
    
  While I am generally going to praise this unit, please do know that it is a lower priced unit with a lot of plastic.  I found this out by accidentally letting the drawer bang on the granite counter, resulting in plastic clips which hold the front cover together breaking off.  HOWEVER, the unit still functions (looks like it has a loose bumper) and Amazon has offered to replace the unit even though I said it was my fault and was inquiring about a replacement drawer (foolish me).Soooo.... for the price this unit cooks great, has great capacity and is easy to use and easy to clean.  This is our first air fryer and it works better than expected.  Don't expect deep fryer results, but expect most of the way there with much more healthy results.My adult aged son is a picky eater, doesn't cook much, but he loves fried foods.  He's taken to the air fryer very quickly and makes his own mozzarella sticks, fried tofu and more.  That's the result we wanted!

  
",Size: 5.8Qt
4,4,"







  
  
    >>> Better... then my brand EXPENSIVE air fryer.
  
",5.0,Mimi,"Reviewed in the United States November 10, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   I have a ninja air fryer, but I needed 2 air fryers. Buying another ninja is expensive ($400$). So I relied on our old friend amazon cutting the store lines and expensive brands.Wish I would have bought this instead of splurging that much on a ninja. It’s smaller but it does the same. Crispy fries and Crispy chicken. On top of the air fryer it guides you with the proper temperature for each food group. No more guessing. Will buy some for Christmas gifts. Hope this helps you save money and time as it did for me.

  
",Size: 3.7Qt
5,5,"







  
  
    Love it .easy an quick
  
",5.0,Tyra W.,"Reviewed in the United States September 11, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   Wow!! So convenient an easy to use. I'm hooked!! I cooked frozen tacos an burritos in 12 mins an they are very crispy an delicious!!! Love 💖 this product. Worth the money, now to go grocery shopping.

  
",Size: 5.8Qt
6,6,"







  
  
    Super easy to set up and use! Worth it!
  
",5.0,Arnela,"Reviewed in the United States August 14, 2020","









  
  
    
  I loved how easy the air fryer was to set up and use. I started using it the same day I received it. I got it because I’m going on a journey to be healthier and it honestly helps. There is virtually no mess! So quick and easy which so many other options, not just air frying. I’ve been using it atleast twice a day 😀

  
",Size: 5.8Qt
7,7,"







  
  
    Be prepared to order a separate recipe book, Amazon has some nice paperbacks for cheap
  
",4.0,Louis ouellette,"Reviewed in the United States December 31, 2020","









  
  
    
  My wife loves this machine she hasn,t cooked with  anything else since xmas easy clean easy to use awsome flavor a must have. The only reason for the 4 stars instead of 5 is that it advertises 110 free recipes included, but it doesnt.i tried to reach out to the company using  the email address giving to me on the instruction  booklets and it says not a valid e-mail address, so I looked online and found a company  email address but no response.but that doesnt take away from the product it works awsome.UPDATE I know alot of people are complaining about not being able to find the 110 recipes believe me it was a pain in the A but I hope this helps on the description  look real close for application pdf it,s really small u will need to download a pdf reader I use Adobe acrobat  reader in ur play store it s free after u install the pdf reader press application pdf and waka theres ur 110 recipes comfee promised good luck

  
",Size: 5.8Qt
8,8,"







  
  
    First time air fryer - takes trial and error.
  
",4.0,DownundaOne,"Reviewed in the United States December 4, 2020","









  
  
    
  Only used it about 10 times so far. I have over/under cooked a few things.  I have so far found that baking Pillsbury grands took a little more time than online recipes (lower heat as well). Apparently it takes very little oil spray to brown (mine overbrowned and undercooked in the middle). French fries after a couple of tries came out well. This is a basic (cheap) model. I did not want to blow a lot of money on something that I did not know if I would like. The only downside I see is that the timer is a dial and apart from 10 min intervals it's hard to get accurate (is t 12 or 13 on the deal). For the money it's worth it. When done correctly the food does taste good.

  
",Size: 3.7Qt
9,9,"







  
  
    Replace an entire kitchen with this one unit!
  
",5.0,Bob,"Reviewed in the United States January 22, 2021","









  
  
    
  I’m blown away by the tastiness of the food coming out the air frier.  Also saves time compared to using an oven!  Cuts time to cook in almost half!  It cooks fried food great, tastes basically like a real deep fry with a lot less calories, quicker  and a lot easier clean up.  It also can bake and reheat items really well!  Things like eggo waffles or pancakes come out great.I haven’t tried the dehydrate function but it’s also advertised as doing that.Other reviews mentioned problems with the basket?  I have experienced none of those issues.  There’s a button that has a flap that is used to control that function.  And it’s very easy to NOT PRESS , especially because it is protected by a plastic cover...So all in all, it cooks great and I didn’t have any problems other reviewers mentioned.  Very happy with my purchase

  
",Size: 5.8Qt
