,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,4,"







  
  
    Very good refurbished Macbook Air
  
",5.0,Mom,"Reviewed in the United States July 29, 2019","









  
  
    
  I was nervous about buying a refurbished Mac after reading so many negative reviews, but I'm glad I did!  This is a great computer, updated with the latest OS and from early 2015.  For me, this is great for what I need it for.  I purchased the additional warranty just incase.  So far, I'm happy with my purchase!  My best advice is to read the seller's feedback page before buying.

  
",
1,40,"







  
  
    Decent renewed laptop. If it came unlocked
  
",2.0,Shelbie Harris,"Reviewed in the United States February 5, 2020","









  
  
    
  Overall I’m satisfied with this; HOWEVER, when I initially received this laptop it was locked. I couldn’t use it. Called into Amazon tech support to help and their advise was to crash the computer....reset it. Well, thanks to their crappy directions and 2 hours on the phone, the laptop was not able to run. It crashed literally. Had to take it to Apple and pay for them to restore and update the unit. NOT happy with that- I would like my $70 back but I know I’m wasting my time even trying.

  
",
2,258,"







  
  
    Laptop!
  
",5.0,C Csech,"Reviewed in the United States December 13, 2019","









  
  
    
  My daughter loves it!

  
",
3,71,"







  
  
    Total waste of time!
  
",1.0,Terry Davis,"Reviewed in the United States March 27, 2020","









  
  
    
  I had to wait 2 weeks for this to be delivered. Then once it was delivered, I tried to set it up with my info. 2 steps in and a screen pops up saying this computer can only be set up by remote management from a certain school district. Apparently this computer was never wiped clean before resale. It was a total waste of my time. Plus now I have to try and get my money back for the extended warranty I bought as well.

  
",
4,1,"







  
  
    DO NOT ORDER THIS!!
  
",1.0,Megan,"Reviewed in the United States November 20, 2019","









  
  
    
  Do not waste your money or your time and energy. Please! I felt like everyone else who gave this a chance. I was nervous buying a refurbished computer, but this site had pretty good reviews overall. I was definitely wrong. The laptop shipped quick, but as soon as I pulled it out of the box- it wouldn’t turn on. I tried everything, eventually the following day I brought it to the Apple store to just make sure it wasn’t something as easy as the charger not working. NOPE! That’s when they were able to tell me the laptop had this weird covering on the bottom of it- which covered all the computers info. Turns out, it came from a school. They said it was definitely sketchy and had a hardware issue. I sent it back- it’s taken almost 2 weeks since I sent it out to get my refund- they issued it today, but it still says it would take 3-5 days to get in my account. What a freaking headache and waste!!

  
",
5,250,"







  
  
    Perfect
  
",5.0,randall,"Reviewed in the United States September 17, 2020","









  
  
    
  This was absolutely great and works perfectly for me.... I recently got back in college and this handled all my needs... Runs perfectly

  
",
6,139,"







  
  
    It Don’t Arrive In A Apple Box
  
",5.0,Amazon Customer,"Reviewed in the United States December 2, 2019","









  
  
    
  Okay So Today Is December 2nd 2019 I Received My Mac Boom 3 Days Early It Arrived It Great Condition No Problems At All It’s Brand NewIt Was Not Charged But That Wasn’t A Problem I Charged It It’s Well Worth It And A Amazing Price If Anything Changes I’ll Give You Guys A Update But For Now It’s Perfect Thanks Again

  
",
7,247,"







  
  
    Excellent value
  
",5.0,CWM,"Reviewed in the United States December 17, 2019","









  
  
    
  Great Mac for the price we paid - very pleased.

  
",
8,125,"







  
  
    MacBook
  
",4.0,Amazon Customer,"Reviewed in the United States January 24, 2020","









  
  
    
  There a few very noticeable dents and the screen falls back. But overall we are very happy with this MacBook

  
",
9,343,"







  
  
    Great laptop at a great price.
  
",5.0,Garrett twele,"Reviewed in the United States February 10, 2021","









  
  
    
  Exactly what I needed for school . Came in perfect condition.

  
",
10,340,"







  
  
    Lord of host
  
",3.0,"Daniel Mossing Troen “Detroit, metro, the entire justice system....","Reviewed in the United States August 6, 2020","









  
  
    
  I was really stoked to c this thing the first game I tried to download as Apple was advertising couldn’t be downloaded cause of the operation system so I said screw it im going to get the right computer... the pro well I ended up with iPad Pro...

  
",
11,153,"







  
  
    Buy yours today!!
  
",5.0,pastorshep,"Reviewed in the United States September 1, 2020","









  
  
    
  There were literally 5 tiny scratches on it otherwise it works and looks perfect!!!I would buy another one without hesitation!!!

  
",
12,100,"







  
  
    I hope I am right
  
",5.0,"lou drinka, Jr.","Reviewed in the United States December 21, 2019","









  
  
    
  This is a X-Mas present for my granddaughter and she has not seen or used it yet. We have high hopes this is a big hit.

  
",
13,105,"







  
  
    Very happy after 1 year owning refurbished MacBook Air
  
",5.0,Mike,"Reviewed in the United States December 8, 2020","









  
  
    
  I’ve owned my refurbished MacBook Air, year 2015, for a little over a year. Purchased it through Amazon and I’ve had zero issues with it. Very light went and portable so it makes it easy to carry back and forth to work when I need it there. Very happy with my purchase and I recommend this to others that are looking to save money but really want a MacBook.

  
",
14,342,"







  
  
    Great deal
  
",5.0,debora brantley,"Reviewed in the United States December 4, 2019","









  
  
    
  Great value and just what I wanted.

  
",
15,287,"







  
  
    Was great price for a great device
  
",5.0,sharon romanell,"Reviewed in the United States July 12, 2020","









  
  
    
  It is lightweight and has great power. Hoping to write children's book with it and also watch movies.

  
",
16,166,"







  
  
    Nice
  
",5.0,Hassan arguello,"Reviewed in the United States August 27, 2020","









  
  
    
  Perfect

  
",
17,231,"







  
  
    Great quality, great price.
  
",5.0,Aissa M. Torres,"Reviewed in the United States March 10, 2020","









  
  
    
  Very happy. My daughter uses it every day with no complaints.

  
",
18,165,"







  
  
    Great return service. Thank you
  
",5.0,Jack r clay,"Reviewed in the United States December 31, 2019","









  
  
    
  The MacBook was a great product. It just was not cleaned up from past owners. Thank you for letting it be returned so easily. I hope to buy another one soon after I’m not traveling. Thank you again  jack clay

  
",
19,233,"







  
  
    Great but didn't come with charger
  
",4.0,Rachel Blossom,"Reviewed in the United States November 21, 2019","









  
  
    
  Had to buy my own charger

  
",
20,328,"







  
  
    It good
  
",5.0,Trayvon,"Reviewed in the United States February 26, 2021","









  
  
    
  I like it 🔥🔥🔥🔥

  
",
21,80,"







  
  
    Not good.
  
",1.0,Alejandra,"Reviewed in the United States April 30, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   I think the MacBook has many scratches and the part of the scream is waggling

  
",
22,122,"







  
  
    Love it!!
  
",5.0,alexis,"Reviewed in the United States November 2, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   I don’t know why anyone would buy a different MacBookI LOVE everything about it!

  
",
23,164,"







  
  
    Make it right
  
",5.0,Natalie Cohen,"Reviewed in the United States September 15, 2020","









  
  
    
  1st computer didn’t work. Was sent a replacement and happy with the replacement.

  
",
24,244,"







  
  
    Great but wobbly
  
",3.0,Chuck Saxon,"Reviewed in the United States March 14, 2020","









  
  
    
  Great product great price. However, we screen’s Joint connecting it to the keyboard is loose so it wobbles quite a bit.

  
",
25,2,"







  
  
    So far so Good
  
",5.0,salomon rima,"Reviewed in the United States June 3, 2019","









  
  
    
  Received in January and waited a few months before reviewing to have a real evaluation. Quality has been great, battery life is good and speed is good as well. Nice product for the price

  
",
26,329,"







  
    Cumple las funciones
  
  
",5.0,Yeris,"Reviewed in the United States March 20, 2020","









  
    
  Bien

  
  
",
27,130,"







  
  
    Great
  
",5.0,oday,"Reviewed in the United States March 25, 2020","









  
  
    
  So far so good.Working well .My first time apple product 👌

  
",
28,176,"







  
  
    Tim Cook doesn’t like Alex Jones
  
",5.0,Cracker boy ,"Reviewed in the United States January 27, 2020","









  
  
    
  What can you say? It’s a Mac.  Works beyond great 👍

  
",
29,271,"







  
  
    Quality
  
",5.0,Jazmyne hooten,"Reviewed in the United States October 31, 2019","









  
  
    
  Was skeptical, but I am very happy with my purchase.

  
",
