,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,369,"







  
  
    Well made, lots of storage room.
  
",5.0,BWARD,"Reviewed in the United States December 8, 2020","









  
  
    
  This has tons of room.  I use this as my work bag, plenty of room for everything I need.  It has lots of pockets to keep everything organized.  Well made.

  
",Color: Black Pink
1,457,"







  
  
    Lots of storage space. Totally water resistant. Very Cute! 😍
  
",5.0,Lily Lee,"Reviewed in the United States May 17, 2020","









  
  
    
  This backpack is great! It has lots of storage space and it's just darm cute! I love the fact that it has side pockets inside and outside. The day I recieved it, it was raining hard. I tested it and my paper books are dry! I usually carry a medium backpack for everyday use. And with this upgrade to a large, being able to hold all my items with extra space, has been wonderful! Totally recommend!

  
",Color: Black Pink
2,267,"







  
  
    Love it!
  
",5.0,Katherine,"Reviewed in the United States March 7, 2020","









  
  
    
  I really like this backpack. It's super cute and well made. I love the patterns, I have the pink floral one. It's big with lots of pockets for storage. It would be perfect for carrying a laptop, although I don't use it for that. The main pocket opens up really wide so it's easy to access everything inside. It would be good for traveling as it has a strap to hook it on your suitcase and it's super spacious. I mainly use it as my everyday bag for work, but I'm planning on also using it when I go on trips because it's honestly such a great backpack. I love it and I'd definitely recommend!

  
",Color: Black Pink
3,609,"







  
  
    Style
  
",5.0,Judith Hayes,"Reviewed in the United States March 8, 2020","









  
  
    
  I use it for work. Large to carry lots of stuff! I love the zipper closure.  Many compliments.

  
",Color: Black Red
4,388,"







  
  
    Fantastic!!!
  
",5.0,Sue,"Reviewed in the United States February 18, 2020","









  
  
    
  Omg! I love this back pack! It has SO many zippered pockets for things to hold them inside! Even a place to hold my water bottle! Excellent product! I’ll use this for years to come!! Thank you so much :)

  
",Color: Black Pink
5,507,"







  
  
    Worth Every Penny
  
",5.0,Danielle,"Reviewed in the United States October 15, 2020","









  
  
    
  Literally the best backpack ever. It’s very sturdy, great storage capacity, and fashionable. Can fit normal purse items along with laptop and two large text books. The side pockets for water bottles easily fits my 32 oz bottle.

  
",Color: Black Pink
6,75,"







  
  
    AMAZING AND CUTE
  
",5.0,Schuth,"Reviewed in the United States January 28, 2020","









  
  
    
  I love this backpack. I am a college student and this backpack is perfect for me needs. Very protective for my laptop and ipads and the sleeve for electronic devices is slightly higher on the inside so if you sit your backpack down a bit quickly without thinking they don’t hit the ground hard. A good amount of pockets and space and it even charges my phone! Great great purchase I’m surprised it isn’t more expensive. Oh and i also like that it has pockets for a waterbottle or umbrella that aren’t mesh and that it has both backstraps but also purse handles if you choose to carry it that way.

  
",Color: Black Red
7,586,"







  
  
    Handy if you have multiple gadgets you carry along with your computer.
  
",5.0,Cherrelle,"Reviewed in the United States October 30, 2020","









  
  
    
  I now have two of their bags and I love being able to consolidate my laptop and work items with my personal items I would carry in my purse! The bag is cute enough to not need a purse sometimes!

  
",Color: Black Red
8,203,"







  
  
    Overall wonderful. Hard to zip though!
  
",4.0,Moon-Mama,"Reviewed in the United States October 20, 2019","









  
  
    
  This backpack is the bombdotcom. My daughter just started middle school and all her stuff woukd not fit in the standard backpack so I searched for a new one and finally found this one! It is awesome and the way it opens up it cool. The only negative is it is extremely hard to close. It has to be lined up perfect in order to zip.

  
",Color: Black Pink
9,358,"







  
  
    Perfect, lots of room, and a great price!
  
",5.0,Kindle Customer,"Reviewed in the United States February 26, 2020","









  
  
    
  It's perfect for what I needed! It is HUGE!I carried 2-3 bags to work every day, this bag took it down to 1. Love, love, love all the pockets and organizations. The pictures don't do it justice, it's sitting beside a 5gal aquarium and I could literally fit the aquarium inside this bag.

  
",Color: Black Pink
10,403,"







  
  
    Great back pack
  
",5.0,Moe,"Reviewed in the United States December 27, 2019","









  
  
    
  I’m very pleased with my backpack! It’s so roomy and perfect for work - They thought of everything that I may need - it’s not only very practical but very stylish as well - I highly recommend

  
",Color: Black Pink
11,256,"







  
  
    Not good quality
  
",1.0,Camper38,"Reviewed in the United States October 10, 2020","









  
  
    
  Save your money! After using this backpack for 6 months, the strap began to detach from the pack. Then zipper teeth fell off the zipper which cause one zipper to fall off. Then the final zipper did the same and now the backpack is no longer usable. When I contacted the seller about the strap they told me, basically - too bad, you're out of the return window. Move on to a different brand!! This company's backpacks will cost you twice the amount when you have to replace it.

  
",Color: Yellow Blue
12,108,"







  
  
    Great for travel
  
",5.0,Lynne Ogbin,"Reviewed in the United States November 16, 2019","









  
  
    
  I ordered this bag, along with others, to be used for a personal item during a multi-continental  trip. I chose this one over the other options because of its space and the way it opened. It was also the cheapest of the choices. This bag exceeded my expectations and was the right choice. This bag endured 6 long flights. I stuffed it way beyond capacity, with enough clothes for 5 or days. It held up extremely well. I was able to put spare shoes in one side pocket with a water bottle in the second. I used the front pocket for toiletries. The built in charger was also an added bonuses. I did have to remove the items from the side pockets to be able to fit the bag under the seat on the plane. I loved the extra straps at the top that gave you the option of carrying it instead of wearing like a backpack. Purchase this bag, you won’t regret it.

  
",Color: Black Pink
13,52,"







  
  
    Loving this backpack- so much space!
  
",5.0,Amazon Customer,"Reviewed in the United States January 28, 2020","









  
  
    
  So far I am loving this backpack! It has so much space, but even when it’s full it doesn’t bulge out and become huge/wide like many other backpacks (the main reason I was backpack shopping in the first place). Right now it is holding my laptop, giant calculus textbook, a notebook, a whole set of extra clothes, and various other things such as chargers and a pen bag. So useful!The only negative I have to say is that I wish it didn’t have the handles on top—or it would be nice if they would at least lay flat, instead of sticking straight up 24/7. But that is a minor complaint :)

  
",Color: Black Pink
14,548,"







  
  
    Lots of Space ! Waterproof! Adorable!
  
",5.0,katrina,"Reviewed in the United States February 11, 2020","









  
  
    
  I absolutely am obsessed with this bag ! So cute and so much storage ! As a busy college student in medical school and mom I knew it would be perfect for me and I was so impressed when it arrived ! It rains a lot where I live so being waterproof was super important to keep my computer and electronics dry while walking through campus ! 5 stars !

  
",Color: Black Pink
15,462,"







  
  
    A good product
  
",5.0,Staci Waller-Barnes,"Reviewed in the United States January 23, 2020","









  
  
    
  Great backpack ... nice and roomy. It poured down raining 1st day I used it and nothing in bag got wet. I was so happy. I get lots of compliments.

  
",Color: Black Red
