,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,994,"







  
  
    I miss the metal containers
  
",3.0,margaret fergus,"Reviewed in the United States March 24, 2019","









  
  
    
  so this box of bandaids was smashed when i got it ,, so i couldn;t put the bandaids in the medicine cabinet because the box wouldn't stand up.  I miss the metal containers.  Also for some reason they didn't agree with my skin ... when i removed them after 1 day it left red marks.  maybe i am alergic to something in them.

  
",Size: 100 Piece Assortment
1,808,"







  
  
    A Great ""Boo Boo"" Buy
  
",5.0,Thomas T. Burnett,"Reviewed in the United States August 1, 2015","









  
  
    
  We've used this product for years and are completely satisfied with the quality.  Great price!

  
",Size: 100 Piece Assortment
2,544,"







  
  
    Perfect
  
",5.0,amy,"Reviewed in the United States June 4, 2018","









  
  
    
  Love these band aids,  super comfortable.  And with a large box,  will last through many wounds

  
",Size: 100 Piece Assortment
3,693,"







  
  
    Five Stars
  
",5.0,Mr. Splinter,"Reviewed in the United States September 1, 2018","









  
  
    
  no complaints.

  
",Size: 100 Piece Assortment
4,447,"







  
  
    They are bandaids
  
",5.0,ROBERT M.,"Reviewed in the United States July 23, 2020","









  
  
    
  The real thing

  
",Size: 100 Piece Assortment
5,217,"







  
  
    great deal
  
",5.0,Golfer,"Reviewed in the United States January 12, 2021","









  
  
    
  Significantly lower in price that CVS store and in quantities that CVS never stocks.

  
",Size: 100 Piece Assortment
6,83,"







  
  
    It is valuable of 100 piece
  
",4.0,Jenny,"Reviewed in the United States June 1, 2020","









  
  
    
  I like this flexibility fabric band aid better than the water block one.  It can use longer, stay more comfortable, and easy to take it out. And the price is valuable, it has 100 piece with 3 different size. One thing I don’t like is, I need to find the small container to organize these band aid. So, I still like to buy it again.

  
",Size: 100 Piece Assortment
7,791,"







  
  
    Good Product, Good Price
  
",5.0,Stanton A. Treuman,"Reviewed in the United States June 22, 2014","









  
  
    
  This is the standard name brand product that is advertised.  The band aids perform well and is a great value.Just what I had hoped for.

  
",
8,258,"







  
  
    Good
  
",4.0,Amazon Customer,"Reviewed in the United States February 8, 2021","









  
  
    
  Adhesion is better than other brands. But the price is not cheap.

  
",Size: 100 Piece Assortment
9,342,"







  
  
    Works like it should!
  
",5.0,Jennie Black,"Reviewed in the United States May 2, 2020","









  
  
    
  Arrived on time and packaged week. The bandaids are as advertised-Sticks well!

  
",Size: 100 Piece Assortment
