,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,235,"







  
  
    Quality is not up to par!
  
",4.0,Kindle Customer,"Reviewed in the United States December 22, 2019","









  
  
    
  I have bought many of these balls over the years. I like the ball fine however the quality has gone down a bit over the years.

  
","Style: Official - 29.5""Color: Royal"
1,673,"







  
  
    The Best
  
",5.0,SC,"Reviewed in the United States December 5, 2017","









  
  
    
  Absolutely love this ball. Professional grip and texture. For indoor basketball player, must have!

  
","Style: Official - 29.5""Color: Brown with Black partitions"
2,956,"







  
  
    Best Ball on the market!
  
",5.0,Chase,"Reviewed in the United States March 18, 2012","









  
  
    
  I bought an Evolution from a retail place and it one of the best balls I've ever played with. Mine was getting worn, still in good condition, but need a new one. Amazon's price was better than the reatil.

  
","Style: Official - 29.5""Color: Brown with Black partitions"
3,835,"







  
  
    Perfect size!
  
",5.0,Laima Carlson,"Reviewed in the United States May 6, 2020","









  
  
    
  Got it for my son. He loves it!

  
","Style: Intermediate - 28.5""Color: Original"
4,258,"







  
  
    Excellent!
  
",5.0,Smith Family ,"Reviewed in the United States October 21, 2018","









  
  
    
  Good training and gameday ball for select basketball team! Delivered as shown, excellent seller, would recommend. My son like's the  distinctive color on the ball so he knows which one is his...

  
","Style: Intermediate - 28.5""Color: Royal"
5,696,"







  
  
    He LOVES the ball!
  
",5.0,ClrnceQueen73,"Reviewed in the United States January 13, 2017","









  
  
    
  Bought for my high school ball player. He LOVES the ball! I never got so many hugs!

  
","Style: Official - 29.5""Color: Brown with Black partitions"
6,495,"







  
  
    kobe !
  
",4.0,G Jimenez,"Reviewed in the United States January 30, 2020","









  
  
    
  More pink than red

  
","Style: Official - 29.5""Color: Scarlet"
7,407,"







  
  
    Nice
  
",5.0,Nick Lou,"Reviewed in the United States January 17, 2020","









  
  
    
  Grandson loved it

  
","Style: Official - 29.5""Color: Yellow"
8,230,"







  
  
    Grippy, light, true
  
",5.0,malonemi,"Reviewed in the United States January 10, 2020","









  
  
    
  Great feeling ball. True bounce, excellent grip, easy to dribble and shoot. Feels lighter than other 28.5 balls.  Swishing threes with ease.

  
","Style: Intermediate - 28.5""Color: Original"
9,477,"







  
  
    Love the feel
  
",5.0,Shawn,"Reviewed in the United States February 16, 2021","









  
  
    
  Love the feel a great buy

  
","Style: Official - 29.5""Color: Brown with Black partitions"
10,426,"







  
  
    Good
  
",5.0,Amazon Customer,"Reviewed in the United States March 21, 2020","









  
  
    
  Good

  
","Style: Official - 29.5""Color: Brown with Black partitions"
11,493,"







  
  
    Great basketball
  
",5.0,Jared Beskow,"Reviewed in the United States April 13, 2011","









  
  
    
  Great basketball!  I read a lot of reviews and had it narrowed down to this Evolution basketball or the Wilson NCAA official basketball and ultimately decided on this one because of the reviews.  I'm not disappointed.  I have always wanted a nice indoor basketball.  We use it in pick up recreational games as the game ball.  I like the soft feel and it bounces very true.  The tackiness is about perfect.  I don't like balls that are too tacky.

  
","Style: Official - 29.5""Color: Brown with Black partitions"
12,756,"







  
  
    Perfect
  
",5.0,Brandt,"Reviewed in the United States March 2, 2020","









  
  
    
  Wilson all the way. The ball is perfect.

  
","Style: Official - 29.5""Color: Brown with Black partitions"
13,187,"







  
  
    Great product for the money.
  
",4.0,DP,"Reviewed in the United States January 7, 2020","









  
  
    
  Well made and feel very comfortable and expensive. You can tell the difference between an evolution ball and a cheap brand. My son like it very much. They will last forever.

  
","Style: Official - 29.5""Color: Brown with Black partitions"
14,149,"







  
  
    I love this basketball
  
",5.0,Raked Leaves for my NES,"Reviewed in the United States December 29, 2011","









  
  
    
  I love this basketball and so do the guys I play with. I bought one for myself 2 years ago, and it is still going strong. Everyone always asks ""Where's the Wilson? Because that's the gameball."" I had to buy one for my dad as well, because he was using a crappy indoor/outdoor ball and he ONLY plays inside. He has also gotten nothing but positive reviews.The ball is soft and has a nice feel to it. It is a little stickier than other basketballs, but it DOES NOT feel like a rock like other balls do. Even after 2 years of weekly use my Evolution is in great shape, and doesn't look like it needs to be replaced anytime soon.Save yourself some grief, and buy one of these basketballs, you won't be disappointed.

  
","Style: Official - 29.5""Color: Brown with Black partitions"
