,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,58,"







  
  
    This is a great battery probably as good as the big name brands ones
  
",4.0,Alex Sanz,"Reviewed in the United States November 4, 2020","









  
  
    
  The quality of this batteries is pretty good specially for the price, they have a nice weight to them and have not leaked on any of my devices. Their only weakness is that they don't seem to hold for a while as I noticed that the longer I have them the more they are loosing their strength. If you use them right away you will have the best results.

  
",Style: 24 D
1,259,"







  
  
    Good value
  
",5.0,V,"Reviewed in the United States February 11, 2020","









  
  
    
  2 years isn't necessarily a lot in terms of battery shelf life, but I bought these over 2 years ago now, and they are still coming out of the box fresh and full powered. No need to waste you money on name brands. If you are buying some regular alkaline batteries, these perform just as well for less.

  
",Style: 12 D
2,112,"







  
  
    Great longevity for a great price.
  
",5.0,Amazon Customer,"Reviewed in the United States December 17, 2019","









  
  
    
  We bought these for a planned power outage to use in our battery operated fans. The battery lasted on full speed for a good 10 hours of non stop use. The power came back on before the batteries died.

  
",Style: 24 D
3,130,"







  
  
    Let there be light
  
",5.0,rannod,"Reviewed in the United States September 18, 2017","









  
  
    
  Thank you Amazon for having a large stock of batteries when stores ran out.  While others were frantically searching local stores' I ordered these on my couch at home and they arrived in 2 days.  These batteries are strong and provided light during the blackout of Hurrican Irma.

  
",Style: 12 D
4,417,"







  
  
    All Batteries were fully charged
  
",5.0,Amazon Customer,"Reviewed in the United States January 16, 2019","









  
  
    
  I recently purchased 3 sets of the 12 D cell battery packs for my outdoor motion detector lights.  Upon receiving the batteries, which were packaged very well, I tested each battery with a volt meter before installing them in the lights.  All batteries had a charge of between 1.61 and 1.62 volts.  These batteries are rated at 1.5 volts, so all were above the listed voltage.  How they hold up is another question that I will answer after some time has passed.

  
",Style: 12 D
5,536,"







  
  
    Great value
  
",5.0,Nicole Weland,"Reviewed in the United States September 27, 2019","









  
  
    
  Great value.  Don't know how long they last yet, but they work great so far

  
",Style: 24 D
6,77,"







  
  
    Fit the bill
  
",5.0,matthew porter,"Reviewed in the United States June 16, 2019","









  
  
    
  They are D batteries, and are lasting a good amount of time in our outdoor motion sensor lights.More economical than Energizer/Duracell, and longer lasting than the ""value"" D cells.

  
",Style: 12 D
7,442,"







  
  
    Used in portable fan.
  
",5.0,thekingofB,"Reviewed in the United States November 22, 2019","









  
  
    
  Best price I have found,

  
",Style: 24 D
8,183,"







  
  
    Highly Reliable and Long Lasting!
  
",5.0,JJJ,"Reviewed in the United States September 6, 2019","









  
  
    
  Best batteries. I use them for battery operated fans and Luminara no flame candles. They are reliable and last forever. They bring a confidence level that I don't find with other brands and you just can't beat the price.

  
",Style: 12 D
9,440,"







  
  
    Batteries
  
",5.0,corey key,"Reviewed in the United States July 4, 2020","









  
  
    
  Their batteries that work oh, so far so good

  
",Style: 12 D
10,333,"







  
  
    Value
  
",5.0,Daphne,"Reviewed in the United States July 28, 2020","









  
  
    
  Use lots of batteries for grandchildren toys so this was a value

  
",Style: 12 D
11,509,"







  
  
    Long lasting
  
",5.0,RCHL6501,"Reviewed in the United States February 7, 2020","









  
  
    
  Skip the brand names and pick these. Just as good and priced to sell

  
",Style: 12 D
