,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,92,"







  
  
    It's a stuffed bear
  
",5.0 ,TheNipplesOfGod,"Reviewed in the United States December 16, 2020","









  
  
    
  It's a stuffed bear

  
",Style: Tenderheart Bear
1,112,"







  
  
    Was just what my little girls best friend wanted
  
",5.0 ,Sassy 81,"Reviewed in the United States February 27, 2021","









  
  
    
  It was the right carebear my daughters best friend wanted thank you 😊

  
",Style: Tenderheart Bear
2,20,"







  
  
    Very soft bear!
  
",5.0 ,Sar,"Reviewed in the United States February 8, 2021","









  
  
    
  VERY SOFT BEAR! This bear is sooooo soft. It was exactly as expected. My kid loved it. She snuggles with it every night. Glad Care Bears is making a comeback!

  
",Style: Tenderheart Bear
3,13,"







  
  
    You can't go wrong with Care Bears!
  
",4.0 ,gbb,"Reviewed in the United States September 14, 2020","









  
  
    
  I got this for my 19 months old granddaughter who is in love with the Care Bears. She was immediately attached to him and loves him! The only reason I did not give it 5 stars is because at first it was shedding a great deal, but that has since stopped.

  
",Style: Grumpy Bear
4,28,"







  
  
    Exactly as advertised
  
",5.0 ,Yoyo,"Reviewed in the United States March 6, 2021","









  
  
    
  My child loves this care bear and it looks exactly as advertised. We are happy with what we purchased

  
",Style: Good Luck Bear
5,45,"







  
  
    Nice and soft
  
",5.0 ,Brian,"Reviewed in the United States February 16, 2021","









  
  
    
  Nice and soft bear.  Great gift for the price

  
",Style: Share Bear
6,41,"







  
  
    Cute bear
  
",5.0 ,Karla,"Reviewed in the United States November 16, 2020","









  
  
    
  My daughter loves the color purple. It’s hard to find things in purple. She loves this bear. She Has had it for a weekend she takes it every where with her.

  
",Style: Share Bear
7,94,"







  
  
    Lucky Care Bear
  
",5.0 ,Amazon Customer,"Reviewed in the United States December 16, 2020","









  
  
    
  Lucky Care Bear came in time for Christmas which will be a gift for my granddaughter. This is what she asked for from Santa.

  
",Style: Good Luck Bear
8,17,"







  
  
    Super soft, great quality!
  
",5.0 ,Luna,"Reviewed in the United States December 27, 2020","









  
  
    
  So cute, so soft, for a great price. I thought it was going to be slightly smaller than it was, which means there is even more to hug! Little one loves her Good Luck Bear :)

  
",Style: Good Luck Bear
9,35,"







  
  
    Sent wrong bear
  
",1.0 ,David G Brunty,"Reviewed in the United States November 21, 2020","









  
  
    
  I'm sure this teddy bear would have been great but the sent me a Sonic The Hedgehog one instead

  
",Style: Cheer Bear
10,79,"







  
  
    Loved it!
  
",5.0 ,Stacy Circello,"Reviewed in the United States January 25, 2021","









  
  
    
  Bought for my godchild and she absolutely loved it.

  
",Style: Cheer Bear
11,89,"







  
  
    Happy little girl
  
",5.0 ,Amy s.,"Reviewed in the United States February 18, 2021","









  
  
    
  My daughter loves it. She was happy as can be.

  
",Style: Good Luck Bear
12,93,"







  
  
    Super cute
  
",5.0 ,Arlene,"Reviewed in the United States December 15, 2020","









  
  
    
  Very cute , was the only one we couldn’t find to finish the collection!!!

  
",Style: Tenderheart Bear
13,58,"







  
  
    One of my favorite plushes ever!
  
",5.0 ,Aurelia Swift,"Reviewed in the United States December 28, 2020","









  
  
    
  I was obsessed with Care Bears as a kid and wasn't sure if I would like these new plush especially with the really unique facial expressions but it looks so much cuter in person! The fur is super soft and the belly badge is embroidered on and looks really good as well. :)

  
",Style: Grumpy Bear
14,43,"







  
  
    Adorable
  
",5.0 ,carrie diaz,"Reviewed in the United States January 11, 2021","









  
  
    
  This carebear is SOOOO cute. I can’t believe it was so cheap

  
",Style: Funshine Bear
15,119,"







  
  
    It’s fluffy
  
",5.0 ,Chloe McGillivary,"Reviewed in the United States March 5, 2021","









  
  
    
  I love him so much lol

  
",Style: Good Luck Bear
16,16,"







  
  
    Great buy
  
",5.0 ,Rosbel Gutierrez jr,"Reviewed in the United States December 28, 2020","









  
  
    
  Awesome , my 1 year old daughter loves her care bear bought it for Christmas and it got here just in time a couple of days before even tho, it had said it would be delivered after Christmas! & it's super soft too!!!!!

  
",Style: Share Bear
17,54,"







  
  
    Huggable!
  
",5.0 ,Nikki Marie,"Reviewed in the United States February 13, 2021","









  
  
    
  I purchased the blue grumpy bear and purple share bear.  They are a nice size, good quality, soft, and adorable!

  
",Style: Grumpy Bear
18,88,"







  
  
    Arrived on time and exactly as pictured
  
",5.0 ,Amazon Customer,"Reviewed in the United States October 15, 2020","









  
  
    
  Exactly as expected

  
",Style: Tenderheart Bear
19,63,"







  
  
    Love it
  
",5.0 ,Shana Lair,"Reviewed in the United States February 10, 2021","









  
  
    
  As expected. Super soft. Got here extremely quickly. We love grumpy bear already!

  
",Style: Grumpy Bear
20,59,"







  
  
    The cutest Care Bear I've ever seen.
  
",5.0 ,Amoi,"Reviewed in the United States December 20, 2020","









  
  
    
  Thank you for the Care Bear. He was so fluffy, soft, and insanely cute. Quick delivery.

  
",Style: Tenderheart Bear
21,111,"







  
  
    It’s a great product for the old and new buyer .  Nostalgic purchase !
  
",5.0 ,M. T. ,"Reviewed in the United States January 15, 2021","









  
  
    
  Such a cuddly reminder of when my kids were younger and enjoyed these babies!

  
",Style: Tenderheart Bear
22,117,"







  
  
    You won’t regret
  
",5.0 ,Maria Sandoval,"Reviewed in the United States March 13, 2021","









  
  
    
  I love these

  
",Style: Cheer Bear
23,101,"







  
  
    Very pleased!
  
",5.0 ,EMILY RUCKEL,"Reviewed in the United States January 12, 2021","









  
  
    
  Love the care bears! Bought this for my granddaughter and she loves it!

  
",Style: Grumpy Bear
24,96,"







  
  
    Perfect!
  
",5.0 ,Wyoming19,"Reviewed in the United States January 9, 2021","









  
  
    
  Perfect!

  
",Style: Share Bear
25,80,"







  
  
    awesome
  
",5.0 ,Lana k.,"Reviewed in the United States February 21, 2021","









  
  
    
  bought this for my mom cause she's recently started collecting the Care bear dolls and at first i was worried that the box would come crushed from other reviews but it come in perfect she loves it

  
",Style: Funshine Bear
26,124,"







  
  
    Grumpy bear!!!
  
",5.0 ,Caity Thomas,"Reviewed in the United States March 6, 2021","









  
  
    
  Loved my care bear!!! Used to collect them as a little girl and so happy they are back now! Even my son loved them too!

  
",Style: Grumpy Bear
27,26,"







  
  
    Cute and soft for young child
  
",5.0 ,Claris,"Reviewed in the United States November 14, 2020","









  
  
    
  My daughter had Care Bears stuffed bears and was glad they’re back so she asked me to get it for my granddaughter for Christmas.

  
",Style: Tenderheart Bear
28,69,"







  
  
    Good Buy
  
",4.0 ,Ryn Dee,"Reviewed in the United States March 2, 2021","









  
  
    
  Perfect for St Patrick's Day. Love the expression on the face. Boxes were not pristine but bears are fine

  
",Style: Good Luck Bear
29,19,"







  
  
    Soft and vibrant!
  
",5.0 ,Laura,"Reviewed in the United States January 5, 2021","









  
  
    
  My 19 month old daughter loves has them all, but the yellow one is definitely her favorite! Very soft and the color is vibrant! I recommend all 6 care bears!

  
",Style: Funshine Bear
30,116,"







  
  
    Great
  
",5.0 ,Beth Dumas,"Reviewed in the United States November 22, 2020","









  
  
    
  Great

  
",Style: Grumpy Bear
31,11,"







  
  
    Blast from the Past, but a GOOD one!
  
",5.0 ,Debbie Cromlish,"Reviewed in the United States March 5, 2021","









  
  
    
  My granddaughter loved her NEW. Care Bear. So glad Care Bear's came back. They were one of my favorite toys growing up. My gbaby couldn't take her eyes off it. I will be purchasing the rest of the collection on Amazon. Best price(in my area) and it was delivered quickly.

  
",Style: Good Luck Bear
32,55,"







  
  
    Great quality!
  
",5.0 ,Nicole Hastaba,"Reviewed in the United States February 18, 2021","









  
  
    
  Great quality.  Will definitely last a long time.

  
",Style: Share Bear
33,23,"







  
  
    Love the update!
  
",5.0 ,Zach F.,"Reviewed in the United States January 12, 2021","









  
  
    
  Love the updated look each Care Bear’s face have distinctive look to match their personality! Very soft and high quality for only 12 bucks!!!

  
",Style: Cheer Bear
34,110,"







  
  
    great gift
  
",5.0 ,Tyler,"Reviewed in the United States December 26, 2020","









  
  
    
  very soft great gift for a great price

  
",Style: Funshine Bear
35,37,"







  
  
    The cutest version of the Care Bears (*¯︶¯*)
  
",5.0 ,miniceleste,"Reviewed in the United States August 28, 2020","









  
  
    
  Very cute version :) really want to collect all of them.. right now have the promo price is cheaper than Walmart.

  
",Style: Share Bear
