,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,285,"







  
  
    Great price great product
  
",5.0,Sara,"Reviewed in the United States July 21, 2019","









  
  
    
  For the price of this cover you won’t find anything better. It’s soft, fits well, even has ties for the duvet on the inside. Worth the money for sure.

  
", King
1,493,"







  
  
    Great Value
  
",5.0,Tamryn Valenzuela,"Reviewed in the United States May 28, 2019","









  
  
    
  I have been searching for the perfect duvet for awhile now - I found it here!  I LOVE that there is a zipper, my husband always manages to get his feet stuck between the buttons (??).  The zipper is a good quality; opens and closes smoothly. Overall, the fabric is pleasingly soft.  There is no extra weight to this, and it is breathable.

  
", King
2,1104,"







  
  
    Soft, comfortable, perfect blush pink.
  
",5.0,Amazon Customer,"Reviewed in the United States June 9, 2019","









  
  
    
  I absolutely love this cover! We're in the process of moving into our first home so we are lacking in furniture and everything that makes a house a home but this cover lets me fall asleep so peacefully, it truly is super soft and the color is so soft. Highly recommend this cover for any one looking.

  
", King
3,1046,"







  
  
    SUPER SOFT
  
",5.0,Yolanda Mendoza,"Reviewed in the United States February 8, 2020","









  
  
    
  I loved loved loved my comforter!!! It is so soft! It feels perfect for when I sleep. If you are considering buying it then I say go for it because you won’t be disappointed ! 🥰

  
", Queen
4,971,"







  
  
    comforting
  
",5.0,Sara,"Reviewed in the United States October 21, 2020","









  
  
    
  keeps cool for hot sweating nights

  
", Queen
5,842,"







  
  
    Love it!
  
",5.0,AMY ALLEN,"Reviewed in the United States July 28, 2019","









  
  
    
  Not as white as my white sheets but pretty  close, Soft and cozy.

  
", Queen
6,373,"







  
  
    buy it
  
",5.0,Emma Castillo,"Reviewed in the United States February 21, 2021","









  
  
    
  I don’t write reviews unless I am extremely disappointed or extremely impressed. I love this duvet so much. I was worried it wouldn’t be soft or it wouldn’t be as pictured but it’s perfect.

  
", Queen
7,594,"







  
  
    Great value!
  
",5.0,Henry,"Reviewed in the United States August 16, 2020","









  
  
    
  It’s very soft, easy to use and the zipper is so convenient. I love that it has ties in the corners to hold my duvet in place.

  
", King
8,921,"







  
  
    Super Cozy!
  
",5.0,JC,"Reviewed in the United States November 4, 2019","









  
  
    
  Beautiful duvet cover! Incredibly soft, nice and heavy. We bought this for our guest room and I can’t wait to have company over so they can enjoy it! I love that it came with pillow shams too to give it a complete, clean look. Very happy!

  
", Queen
9,284,"







  
  
    Love it
  
",5.0,Amazon Customer,"Reviewed in the United States June 21, 2019","









  
  
    
  This duvet cover is super soft and comfortable. My husband is quite the diva when it comes to softness and he even agreed this cover is amazing! Would recommend 10/10

  
", King
10,770,"







  
  
    It was okay. Should've bought a different one. If I could get a refund, I would.
  
",1.0,SH,"Reviewed in the United States December 13, 2020","









  
  
    
  I like the color the cover was, but after placing it onto the comforter, it looked nice as well. I move a lot during my sleep, and the blank kept curling up on the inside and was so hard to unravel. I've used duvet covers before, and this is my only bad experience.

  
", Queen
11,102,"







  
  
    Great for the price - would recommend. So far, I love it!!
  
",5.0,Trent T.,"Reviewed in the United States April 15, 2020","









  
  
    
  I've had this cover for 2 nights now, it was easy to put my comforter in, the microfiber isn't as soft as my microfiber sheets, but its pretty close and i sleep GREAT at night with it, feels luxurious for sure!. Overall so far i'm in love with this duvet cover, and would deff recommend. I will post pics and an update soon, maybe after its first wash.

  
", King
12,706,"







  
  
    LOVE MY DUEVET COVER
  
",5.0,nfc,"Reviewed in the United States May 10, 2019","









  
  
    
  My king size down comforter went in the duvet easily.  The duvet was large enough for my Sleep Number king size bed.  It is very soft and a great value.  There are two king size pillow covers also,

  
", King
13,1013,"







  
  
    Great soft duvet cover!
  
",5.0,Sharon Tan,"Reviewed in the United States March 7, 2020","









  
  
    
  Very soft and good quality. Have been using them for about 2 months and washed the duvet cover and pillow cases many times. I recommend this!

  
", Queen
14,246,"







  
  
    Soft but hot
  
",5.0,Amazon Customer,"Reviewed in the United States January 16, 2020","









  
  
    
  Purchased the pink duvet set. Color is perfect, more of a blush pink with bit of a peach undertone. It’s very soft and looks great. Only negative is I got very hot the first night we used it. I don’t use a top sheet and maybe that would help, the microfiber doesn’t breathe well.

  
", King
15,136,"







  
  
    Amazing!
  
",5.0,Brianna ,"Reviewed in the United States August 30, 2019","









  
  
    
  I have been struggling to find a duvet cover that has a good price point and is actually worth the money! I continuously had the issue of finding a duvet cover that my blanket would slip and slide around so half of it was empty.  Not with this one! The blanket stays in place and the material of the duvet is so so soft giving it a luxurious feel for a fifth of the price! Would definitely order again if need be!

  
", Queen
16,605,"







  
  
    Thumbs up!
  
",5.0,Andrea ,"Reviewed in the United States December 7, 2019","









  
  
    
  I love this piece! Soft, pretty color (true to picture), and affordable. I’d definitely order again.

  
", Queen
17,124,"







  
  
    PERFECT! But it now!
  
",5.0,Alex S.,"Reviewed in the United States February 26, 2020","









  
  
    
  I searched everywhere for the perfect duvet cover and i am SO glad i came across this one. It is so so soft! Like hotel quality soft! I bought a duvet from here as well and the duvet had 8 loops and the cover only has 4 ties so i just sewed 4 more ties on the cover itself and it is perfect! Will buy again when the time comes. Thank you!!

  
", Queen
18,38,"







  
  
    Definitely as soft as all the reviews say!
  
",5.0,emmainminneapolis,"Reviewed in the United States April 22, 2019","









  
  
    
  This duvet cover did come wrinkled but I threw it in the wash and dryer and took it out of the dryer immediately so it didin't have a chance to wrinkle and it was perfectly smooth on the bed, same with the pillow cases. It was so soft immediately taking it out of the box and was still so incredibly soft after washing it! Fits my queen perfectly and I love the zipper on the bottom. Just easier ... the ONLY thing I was a little caught off guard by was that I ordered white and next to my bright white sheets, it definitely looks more eggshell or ivory. I didn't need it to be a bright white because my color scheme is neutrals but if you're looking for bright white, it's not. It's SO soft, though. Whoa. I got rid of my top sheet so I could sleep right next to it. Incredibly soft.

  
", Queen
19,752,"







  
  
    Looks great!
  
",5.0,JAAAMN,"Reviewed in the United States November 23, 2020","









  
  
    
  It is the perfect look for my room.  The color was true to the color online.  I love the soft feel of the fabric.

  
", King
