,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Disappointed
  
",1.0,Sara Campbell,"Reviewed in the United States August 17, 2018","









  
  
    
  I am pretty certain I ordered a new copy of this book to add to the collection I’ve started for my unborn son. This copy has worn edges and even has a personal note to somebody else’s kid written in it!

  
",
1,1,"







  
  
    It hoes from the firat page which is ""In the great green room there was a telephone and a red ...
  
",1.0,Amazon Customer,"Reviewed in the United States April 14, 2018","









  
  
    
  This book is missing a page. It hoes from the firat page which is ""In the great green room there was a telephone and a red baloon and a picture of... Next it should say "" a cow jumoing over the moon"" but instead it goes straight to ""and two little kittens and a pair of kittens"" totally missing thw page about the cow jumping over the moon.

  
",
2,2,"







  
  
    Missing ""the cow jumping over the moon"" and ""the three little bears""
  
",1.0,Laura M Fitzgerald,"Reviewed in the United States August 3, 2017","








  
  Your browser does not support HTML5 video.










  
  
    
   The copy I received was a board book missing the second page. It doesn't appear to have been ripped out, just forgotten during manufacturing. But it's obvious in a book everybody has memorized.

  
",
3,3,"







  
  
    Magical book for children
  
",5.0,I. R. Borgos,"Reviewed in the United States September 15, 2017","









  
  
    
  I wasn't going to buy this book for my child, assuming it was just another story for children that was popularized for no reason.  However, my otherwise boisterous toddler proved that this book was worth it's weight in gold.  From the first reading, she sat perfectly still, absorbing every word and picture of the book, and was completely fascinated from beginning to end.  So much so, that she insists on me reading it over and over before bedtime, every night now.  She seems to find something magic in the story that maybe only children can see.  Indeed, this is a very special book.  She particularly loves the mouse and the old lady whispering hush.  I can't recommend this book enough.  It is really amazing the effect it has had on my child!!!

  
",
4,4,"







  
  
    Great Gift for a New Grandma
  
",5.0,Maria,"Reviewed in the United States February 17, 2019","









  
  
    
  This book is a classic, so you really can't go wrong giving it as a gift to a new grandma. Sturdy board book, nice medium size, and decent price.I'm not a fake profile, nor have I been compensated for any reviews...in fact, the reason I take the time to review purchases when I can is due to the fact that I find other honest reviews helpful and am tired of all the fake reviews that have polluted this site. If you find my review helpful, please take the time to rate it as such, not because I'll get anything out of it but so that others can see true reviews. Thanks and Happy Shopping!

  
",
5,5,"







  
  
    Generational Favorite
  
",5.0,Diana S. Daniels,"Reviewed in the United States December 21, 2017","









  
  
    
  Read this to my children, gave as gifts to my grandchildren and just purchased it again for my great grandson. This is perfect for a little person who is too young for most childrens’ books. I like the way the pictures become darker as bedtime approaches. The board book can be touched by my five month old without it being harmed. I also like the fact that the central character is is bunny and culturally natural. Two of my great grandsons are mostly Scandinavian but the youngest little guy is half Hispanic/Dominican and all children can identify with a bunny.

  
",
6,6,"







  
  
    Better than a glass of warm milk
  
",5.0,Adelie,"Reviewed in the United States November 12, 2017","









  
  
    
  I understand that this is THE book for children.  I don't remember it - I don't think it was around when I needed it.  But I've been told that it's ideal for reading slowly and quietly to children at bedtime, to quiet them down for sleep.  Yes, I've seen the screeds that dissect the illustrations, but forget all that.  This comes in various formats - I've often given the board book version for newborns.This book is part of the library of classic children's books I give as a welcoming gift for new babies, all wrapped up in a hand-crocheted blankie.  Every parent has thanked me for it.  So I guess it works.

  
",
7,7,"







  
  
    Nothing great about it..
  
",2.0,AS,"Reviewed in the United States February 18, 2019","









  
  
    
  Why so much hype?? I found nothing great about this book. Actually for me and my son it is kind of boring.

  
",
8,8,"







  
  
    Great for a young baby as a first book!
  
",5.0,MommyX8,"Reviewed in the United States November 7, 2019","









  
  
    
  This is such a classic story what is not to love. I am trying to get a routine set with my 8 week old son, consisting of bath, breast/bottle, book and bed. I picked this book because of the simple repetitive story line, the bright colors and the black and white contrasting colors. At this young age, babies love to look at patterns, and contrast. They also love to listen to the sound of your voice. This book does great at both of those aspects. And I like that it is a hard board book so as he gets bigger I don’t have to worry about pages being ripped.

  
",
9,9,"







  
  
    Really kinda small and “vintage” print quality not doing it for me (board book)
  
",3.0,HW,"Reviewed in the United States June 21, 2020","









  
  
    
  I should have paid more attention to the dimensions. Yes board books are meant for babies and toddlers but it’s so small it feels a bit pricey. I should have bought a different edition. Also board quality is quite thin compared to other board books (but it does have a lot of pages...) and print quality- I think it’s meant to look more like the vintage print but I guess I’m used to modern sharpness and saturation so it leaves me feeling a little underwhelmed.We got this to read along with our “good night lab” parody board book (which our 1.5 yr old LOVES - something about grumpy old professors shouting “publish” gets peels if giggles every time) We’ll see whether the kiddo likes the original one as much...but if not it might have more to do with format or lack of grumpy professors

  
",
