,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,278,"







  
  
    Ok quality
  
",4.0,Erin Finn,"Reviewed in the United States July 6, 2018","









  
  
    
  Ok for the price.

  
",Color: Black
1,182,"







  
  
    love it
  
",5.0,Brenda Nelson,"Reviewed in the United States August 7, 2018","









  
  
    
  super comfortable

  
",Color: Black
2,282,"







  
  
    Zero Gravity Recovery Chair.
  
",5.0,Momodu S.,"Reviewed in the United States November 9, 2019","









  
  
    
  Similar to the Normatec zero gravity chair. Works great if you are using Normatec leg recovery compression and the price is also reasonable.

  
",Color: Black
3,73,"







  
  
    Solid
  
",5.0,Wajster,"Reviewed in the United States July 12, 2019","









  
  
    
  Excellent sturdy product yet great comfort and value overall. Hopefully more to come from Amazon, have brought 2 solid products that are Amazon-""X"" so far and both very happy with. Would recommend.

  
",Color: Black
4,173,"







  
  
    Flimsy.
  
",1.0,For Review Purposes Only,"Reviewed in the United States September 9, 2018","









  
  
    
  I bought three of these, and two of them fell apart within a month. They are bad quality.

  
",Color: Black
5,75,"







  
  
    Perfect chair after heart surgery.
  
",5.0,Alice J C,"Reviewed in the United States August 25, 2019","









  
  
    
  Husband is 6'1, just had heart surgery and this is perfect for feet up and rest during the day.  He's a little long so need a cushion under his ankle tendon.  He loves the chair!!!

  
",Color: Black
6,96,"







  
  
    Buyer beware
  
",1.0,Patricia L Schucker,"Reviewed in the United States April 12, 2019","









  
  
    
  The chair broke when my daughter was on it. She landed upside down on her head. The safety feature failed so buyer beware.

  
",Color: Black
7,76,"







  
  
    Locking mechanism is poor. Comfy but cheap
  
",3.0,Jake72,"Reviewed in the United States June 23, 2019","









  
  
    
  Cons: locking mechanism is uselessArm rest are low and therefore useless if you have a tall torsoPros:CheapComfyI have mine resting against a big deck box. This keeps me from Flipping over. It is comfy cheap and seems sturdy. But the recline is hard without something to rest the back against.

  
",Color: Black
8,45,"







  
  
    Comfortable
  
",5.0,NickyW,"Reviewed in the United States April 24, 2020","









  
  
    
  I would recommend. It is a comfortable chair for the money. It serves its purpose. I am 6 feet 190 lbs.  I try and bring it in from the direct sun. I just feel like it will last longer.  Easy to fold and put away.

  
",Color: Black
9,115,"







  
  
    Solid For The Money
  
",4.0,S. Hardy,"Reviewed in the United States August 25, 2018","









  
  
    
  Comfortable enough to snooze in and hey your feet up. I keep this handy for track days. Not a fan of the plastic knobs to lock down the chair from tilting too far but they work okay.

  
",Color: Black
10,29,"







  
  
    This product is not safe!
  
",1.0,adrienne hinshaw,"Reviewed in the United States June 4, 2018","









  
  
    
  This product is not safe! Do not buy it! When I reclined in the chair the top went all the way to the ground and the foot went up in the air. When I was able to get free of the chair, my investigation revealed that it had not simply tipped over but the joint slipped (not securely fastened)  and now the chair will not return to the position of a chair as pictured. I bought this one because of the rating for 300# in the event that my 270# dad might use it but it couldn't even handle me.

  
",Color: Black
