,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,221,"







  
  
    I love this facewash
  
",5.0,ML,"Reviewed in the United States February 25, 2020","









  
  
    
  I love this facewash for combo to dry skin. It's cleansing and easy and doesn't really smell like anything. Doesn't strip away oil as much as other cleansers.

  
",Size: 16 Fl Oz
1,282,"







  
  
    Really does work
  
",5.0,Krys,"Reviewed in the United States October 4, 2020","









  
  
    
  I got tired of buying “high end products” that did not work. I have sensitive skin and was getting worse acne from trying so many products. This face wash cleared up my skin completely within a week. Great price, and really works.

  
",Size: 16 Fl Oz
2,61,"







  
  
    do
  
",2.0,kelliwithani,"Reviewed in the United States March 4, 2020","









  
  
    
  While it is very moisturizing and rinses well, it does not remove the slightest amount of makeup, which makes you wonder how clean it makes your face. Secondly, I might get a pimple once or twice a month, if at all. However, after using this for a week, many pimples popped up on my chin/around my mouth. I discontinued it and the acne went away. Because I love CeraVe's other products, I tried again after three weeks. Same thing happened. Broke out around my chin. My skin is normal. I was disappointed, especially as it is not cheap and I have to throw away the entire bottle.

  
",Size: 16 Fl Oz
3,123,"







  
  
    I love this facial cleanser, super hydrating!
  
",4.0,Brooke Nichole Manuel,"Reviewed in the United States September 26, 2020","









  
  
    
  I absolutely LOVED this facial cleanser, it is super hydrating and also helps with acne. It doesn’t really have a scent to it though so if that matters to you, I wouldn’t get it. It’s also nice because a little bit of product goes a looong way. This bottle will last you a long time. Definitely nice for dry or normal to dry skin!

  
",Size: 16 Fl Oz
4,319,"







  
  
    Love This
  
",5.0,TheMouse,"Reviewed in the United States August 2, 2020","









  
  
    
  I absolutely love this face wash. I have been using it on my face and body for months now and I always feel clean and moisturized. There isn’t a scent which I prefer and the bottle lasts a really long time. Would buy again.

  
",Size: 16 Fl Oz
5,303,"







  
  
    Good product, great value.
  
",4.0,Mariyah Abbas,"Reviewed in the United States July 9, 2020","









  
  
    
  It's one of the most suggested products around and that is why I purchased it. It's a great smooth cleanser and does it's job well. It's also a great deal price wise. The only issue I am encountering with this is that, upon squeezing the pump it spurts out straight at you instead of falling in your hand.

  
",Size: 16 Fl Oz
6,399,"







  
  
    Great for moisturizing skin.
  
",5.0,Sexy Legs,"Reviewed in the United States May 9, 2020","









  
  
    
  Great for sensitive skin. Keeps skin supple.

  
",Size: 16 Fl Oz
7,257,"







  
  
    Best moisturizer cleanser for sure!
  
",5.0,Jennifer De Los Santos,"Reviewed in the United States March 14, 2021","









  
  
    
  Was highly recommend to me by a pediatrician I work with for my daughters skin that started to break out, mainly her T-Zone, and I saw how well it started to work and it keeps her skin moisturized(my daughter said she noticed her skin doesn’t feel dry anymore) so I started to use it to help with my “mask-ne” and definitely giving this 5 stars! I use it everyday, highly recommend!

  
",Size: 16 Fl Oz
8,169,"







  
  
    Good, but Found Better Out There
  
",4.0,FelineFriendly,"Reviewed in the United States April 27, 2018","









  
  
    
  My skin is extremely sensitive and prone to adult acne, especially mid-cycle, as well as turning brilliant shades of red when using many so-called gentle cleansers and lotions. My forehead flakes from dryness no matter how much moisturizer I use. I have tried Cetaphil and now CeraVe. I used CeraVe for a long time and was pretty pleased with the results until I found a new cleanser that was even better for my super sensitive skin type (Marcelle Ultra Gentle Cleansing Gel). I won't go back to CeraVe again, but it was cheaper than Marcelle.

  
",Size: 16 Fl Oz
9,200,"







  
  
    Great for dry skin!
  
",5.0,sammy Mullins,"Reviewed in the United States December 29, 2019","









  
  
    
  Super gentle and moisturizing. My face never feels striped or tight after using. No harsh smells. I have delicate skin in the fact anything dries me out. This does not do that. It is amazing for dry skin. If you have oily skin this might not be the best option for you. People with dry skin buy this. It does not break me out at all

  
",Size: 16 Fl Oz
10,53,"







  
  
    Not what I expected at first...
  
",4.0,avekpms,"Reviewed in the United States May 11, 2020","









  
  
    
  I originally bought this to use to remove my makeup thinking it would be emollient enough to break it down.  The mascara I use is the fiber/tubing kind that is removed with just water,  but I thought this would create some ""slip"" so that I wouldn't be tugging on my eye area too much (that's a no no at my age). It doesn't provide as much slip as I was hoping,  but it is better than nothing.  I think Cetaphil has more slip. After my mascara is removed from my lashes,  I lightly tissue it off. I used to then wet my face and massage 2 pumps onto the rest of my skin. Doing this, I noticed that it was not removing my makeup if I rinsed it off and it felt like it mixed with the makeup and created a film. I would tissue this off, then do a second cleanse with a foaming wash like the Cerave foaming cleanser or Dove bar to get the residue off. What i have learned is to massage this on DRY skin.  This seems to make it more effective in removing makeup.  I am then able to rinse it off. I still do a second cleanse, but I would do this anyway because I also use my Clarsonic during this stage. On days that i don't wear makeup,  I will use just this to wash my face (I wet it with water first because I am not removing long wear makeup) and not do a second wash.  I do feel that it keeps my face soft after using it. I wish it was more smooth when massaging it onto the skin,  but I can feel that it is adding a layer of moisture/barrier on my skin.  I have oily skin, but I could definitely see this helping keep drier skin more moisturized.

  
",Size: 16 Fl Oz
11,336,"







  
  
    My derm said to use this, not Cetaphil
  
",5.0,Ishmael,"Reviewed in the United States August 18, 2019","









  
  
    
  The fluid is much thicker and clearly hydrating my skin, unlike the Cetaphil cleanser I've been using for years. I actually enjoy washing my face using this face wash. Completely fragrance free. I feel like I'm really treating my skin well with it.

  
",Size: 16 Fl Oz
12,253,"







  
  
    Cerave saved my skin
  
",5.0,Lucia,"Reviewed in the United States December 24, 2020","









  
  
    
  5 stars but you already knew that! Before I discovered this cleanser, I was using Dove for my face constantly breaking out and now I have scars from acne and all along it was the Dove wash that was causing it! Cerave saved my skin!

  
",Size: 16 Fl Oz
