,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Great cat8 wire
  
",5.0,,"Reviewed in the United States December 14, 2019","









  
  
    
  Great and super long cable!! I upgraded my small cable and noticed the difference so I thought might as well upgrade the bigger underground one to and I was not disappointed high quality cable with high quality results!!

  
",Size: Cat8-100ft
1,1,"







  
  
    The Best & fastest  Ethernet cable !
  
",5.0,mary,"Reviewed in the United States May 12, 2019","









  
  
    
  The Best & fastest  Ethernet cable !Well, before I have no ideal of CAT8 and never heard about it .  After I got this one .I plan to upgrade my network to gigabytes station  & smart householdCompare with the old yellow CAT5 ,the cable was shielded and each pair was also shielded per CAT8 spec and there was a grounding wire.After I test it via FLUKE, you can see the performance is really fantastic .Insertion Loss is tiny , brand-with is big , have to say , it support 40Gbps 2000Mhz High Speed Gigabit  and its SPEC really meet everyone’s requirements .Works very fast and steady with my iMac 2019 . To improve the best experience I’ve called COMCAST and now upgrade to a Xfinity 1000Mbps package ,The wire is well-made and easy to manipulate not being to stiff but still thick durable material. The main feature that I mentioned before that is my favorite part is the durable head piece connector which is the main piece that has given me problems in the passed breaking or becoming unusable.Meanwhile the outdoor material jacket of cable is tough enough for the daily use .

  
",Size: Cat8-15ft
2,2,"







  
  
    Great cable!
  
",5.0,Shadowclown,"Reviewed in the United States November 4, 2019","









  
  
    
  I have an area with lots of known 60hz interference, no reasonable way around it. Shielded cabling seems to be the answer. This one works great! But, the fun doesn't end there. This isn't one of those crappy cables that you have to pray doesn't fall apart as soon as you leave. This thing is built to last. It's flexible, and solidly built. Did you have too much to drink at the last Christmas party and break all of your patch cables swinging through the warehouse like Tarzan? Have all the egg nog you want, this cable will still work perfectly.

  
",Size: Cat8-25ft
3,3,"







  
  
    Better sound and picture
  
",5.0,B. Jennings,"Reviewed in the United States March 8, 2020","









  
  
    
  I upgraded to this cord from a CAT 6 cable. I use it to connect my tv to the router. There was a noticeable difference in the sound quality while streaming video. There was a slight improvement in video. This is comparing CAT 6 to this one.The cord is a little stiff,which is understandable with all the insulation on the wires. The cord is round.Good value for the money!

  
",Size: Cat8-6ft
4,4,"







  
  
    These are good cables
  
",5.0,A. Pedersen,"Reviewed in the United States June 25, 2019","









  
  
    
  The cables appear to be of high quality and I’ve had no issues attaining some of the faster speeds that cat8 cable allows for. However, I haven’t tried pushing the cable to the limits.The shielding is good and the connectors snap in firmly. The gold plating around the edge of the connectors is gimmicky, though, but it looks cool and might help you differentiate these cables from others.

  
",Size: Cat8-10ftEarly Reviewer Rewards(What's this?)
5,5,"







  
  
    KICKASS HIGH GRADE DIRECT CAT8 CABLING AT A CRAZY REASONABLE COST!
  
",5.0,Amazon Customer,"Reviewed in the United States February 13, 2020","









  
  
    
  It's awesome!  So far as I can tell. I just wish I had the electrical testing laboratory available to verify the quality,  like I had in the calibration lab I worked at in the Air Force.  I cannot see any issues, and everything seems of a better quality, and construction, than anything you would be able to purchase locally, or would be installed, or provided by local technicians.  Much, much better than what was installed at my property (not included the ruggedized cable buried underground).  For anything above ground, inside, and outside this is the ""gold standard"" for installation of services and perfect for gaming, and general home use, in my opinion.

  
",Size: Cat8-20ft
6,6,"







  
  
    Solid Cable, Max Transfer Speeds, Great Price
  
",5.0,Scot Breithaupt Jr,"Reviewed in the United States September 25, 2019","









  
  
    
  I got this cable to hook up a NAS with a 10gbps port to our Nighthawk Router which also has a 10gbps port and it works perfectly. The cable is just the right length, heavy duty, and gives us max transfer speeds over the network. Would definitely recommend this!

  
",Size: Cat8-15ft
7,7,"







  
  
    Sturdy, fast cable
  
",5.0,C. Torres,"Reviewed in the United States December 8, 2019","









  
  
    
  Have ATT Internet 1000 on wifi on bedroom firestick. Was experiencing drops due to ATTs Arris BGW210 modem that they give you (awful, unreliable)! Purchased this CAT8 cable in 12 foot and plugged it into the Amazon ethernet adapter which I also had to purchase (thanks Amazon for not making an ethernet port ready Firestick yet) and now I am blazing through music and movie streaming.  I should bill ATT for this expense. Nice cable as others have said, very sturdy!

  
",Size: Cat8-10ft
8,8,"







  
  
    Packet Loss
  
",1.0,Nick C.,"Reviewed in the United States December 2, 2020","









  
  
    
  I bought these to improve the stability of my internet usage. There wasn't any issues with my existing cords, but...I wanted to see if investing in new, top of the line cords would make it even better. The moment I started using these cords (hardwired into my PC) I experienced severe packet loss - something you're not suppose to have with a wired connection, and I never had before. So I am returning these cords ASAP. Glad it worked for everyone else, but it was worthless for me. Disappointed.

  
",Size: Cat8-3ft
9,9,"







  
  
    Am I the only one?
  
",1.0,Niño,"Reviewed in the United States May 20, 2020","









  
  
    
  Damn, it didn't make any difference at all. Bought a 100 ft. and 10ft.I thought this damn thing would help me out, still freaking the same.Idk, pretty much my CAT6 and this one just gave the same speed.Yep, It makes it more slower instead.

  
",Size: Cat8-6ft
