,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,369,"







  
  
    Works perfectly
  
",5.0,Roddie Hoyle,"Reviewed in the United States January 5, 2021","









  
  
    
  Matte black looks great

  
",Edition: Core Controller - Carbon Black
1,309,"







  
  
    Defective product
  
",1.0,Ellis Marrero,"Reviewed in the United States November 30, 2020","









  
  
    
  Garbage. Its defective and disconnects from the Xbox every 30 seconds.

  
",Edition: Core Controller - Carbon Black
2,227,"







  
  
    Gr
  
",5.0,Marcella Brainerd,"Reviewed in the United States January 12, 2021","









  
  
    
  Grandsons love them

  
",Edition: Core Controller - Carbon Black
3,337,"







  
  
    Not compatible
  
",4.0,Steven ,"Reviewed in the United States March 10, 2021","









  
  
    
  Doesn't work with Fosmon Dual Controller Charger.

  
",Edition: Core Controller - Carbon Black
4,149,"







  
  
    Disconnnect issues
  
",2.0,Mike Tomlin,"Reviewed in the United States November 26, 2020","









  
  
    
  Disconnects and reconnects very often despite the controller being within 8 feet direct line of sight from console.

  
",Edition: Core Controller - Carbon Black
5,327,"







  
  
    Excellent
  
",5.0,Raimundo Morales,"Reviewed in the United States February 22, 2021","









  
  
    
  Awesome control! It includes 14 days free ultimate game pass!! Works with different cellphones and my Mac.

  
",Edition: Core Controller - Carbon Black
6,289,"







  
  
    No quality change
  
",1.0,Zac Emmers,"Reviewed in the United States February 24, 2021","









  
  
    
  I thought they fixed the triggers getting stuck down, nope. 13 days and suddenly my right trigger is getting stuck. This is the quickest yet. Unreal.

  
",Edition: Core Controller - Carbon Black
7,331,"







  
  
    Can't recharge
  
",4.0,Jenna,"Reviewed in the United States February 18, 2021","









  
  
    
  Works fine only issue is you can't put one of the rechargable battery packs on it. Doesn't fit so you'll have to always use double As with these

  
",Edition: Core Controller - Carbon Black
8,20,"







  
  
    Constantly Disconnecting
  
",1.0,Kassandra,"Reviewed in the United States December 7, 2020","









  
  
    
  I bought this to replace the controller that my roommate broke, I was happy with it for all of 30 minutes. I love the texturing  on this controller, it feels great in your hand. I also like the screenshot button.Now for the downside: It constantly disconnects while playing. I know it isn't something weird with my system as my other controller is doing just fine. Also, it runs on batteries. There's no rechargeable pack- it can't even fit the rechargeable packs from my other controller because the shape of the controller is different. I expected more for paying like $16 more than my previous controller.I'll be returning this.

  
",Edition: Core Controller - Carbon Black
9,346,"







  
  
    Controller is decent
  
",3.0,alberto villasenor,"Reviewed in the United States December 15, 2020","









  
  
    
  main reason I'm giving it 3 stars is it doesn't always pair and you need a USB C rather than a micro USB to plug it in

  
",Edition: Core Controller - Carbon Black
10,32,"







  
  
    Good for Windows, Low Quality Construction Warrants Choosing SONY PS5 as Console
  
",3.0,Jay,"Reviewed in the United States December 1, 2020","









  
  
    
  I am a PC gamer and purchased this controller to play Genshin Impact. This is primarily due to poor support for the Switch Pro and DualSense 5 controllers. That being said, this controller does what it needs to do without the need for 3rd party mapping software, and the rumble feature works fine.That's basically it for all the positive aspects for this controller.Now for the cons: the buttons on this thing are uncomfortable and feels cheap. Compared to SONY and Nintendo controllers, the travel distance for all the buttons (A,B,X,Y + D-Pad) are too far and feels cheap and plasticky. Each button press generates an annoying and hollow plastic click. My thumb gets tired a lot quicker pressing the aforementioned buttons. If you own a SONY or Nintendo controller, do a side by side comparison and you'll see what I mean.TL;DR - great software support, HORRENDOUS build quality.

  
",Edition: Core Controller - Carbon Black
11,113,"







  
  
    What do you expect when it's made in China
  
",3.0,Ali Kurnaz,"Reviewed in the United States February 16, 2021","









  
  
    
  First thing I noticed right when I opened the box for this controller is that it's made in China. Sad to say in the first two weeks of gameplay I've noticed the joysticks already beginning to wobble, I imagine it'll get worse. I'm sad because this controller feels so much better than the previous version. For context, I'm not a pro or regular gamer. Very casual on my part. And yet...

  
",Edition: Core Controller - Carbon Black
12,208,"







  
  
    Good buy.
  
",5.0,DCoder,"Reviewed in the United States January 9, 2021","









  
  
    
  Better than the standard xbox one controller that comes with the system. Bought on sale.

  
",Edition: Core Controller - Carbon Black
13,130,"







  
  
    Does not stay connected to PC
  
",1.0,Indolent,"Reviewed in the United States January 5, 2021","









  
  
    
  Will not stay connected via bluetooth or xbox wireless adapter. Constantly disconnects. All drivers and firmware are up to date and it still happens.

  
",Edition: Core Controller - Carbon Black
14,403,"







  
  
    Awesome
  
",5.0,Justin,"Reviewed in the United States December 1, 2020","









  
  
    
  Best controller yet.

  
",Edition: Core Controller - Carbon Black
15,298,"







  
  
    Works perfect
  
",5.0,Michael Ragsdale,"Reviewed in the United States March 3, 2021","









  
  
    
  Tis the real thing.  Works perfect.

  
",Edition: Core Controller - Carbon Black
16,305,"







  
  
    A series x/s wireless control
  
",5.0,Mr. Robinson,"Reviewed in the United States March 12, 2021","









  
  
    
  Exactly what I ordered, perfect condition.

  
",Edition: Core Controller - Carbon Black
17,427,"







  
    The audio Jack don't work.
  
  
",4.0,Juan S.,"Reviewed in the United States January 11, 2021","









  
    
  The audio Jack don't work. Todo lo demás funciona bien

  
  
",Edition: Core Controller - Carbon Black
18,85,"







  
  
    Connection troubles
  
",3.0,Alexis,"Reviewed in the United States February 22, 2021","









  
  
    
  The design is sleek and smaller than the older models. However, it sucks at staying connected. Randomly while playing the controller will disconnect for no reason whatsoever. Nothing blocking or interfering with it which is unfortunate because it's rather expensive lol

  
",Edition: Core Controller - Carbon Black
19,342,"







  
  
    Perfect for what I needed
  
",5.0,Sydney Venoit,"Reviewed in the United States February 27, 2021","









  
  
    
  It worked perfectly and it's perfect for COD, Red Dead, and any other games where you might get into serious gun fights.

  
",Edition: Core Controller - Carbon Black
20,7,"







  
  
    Not quite an upgrade, barley functioning on PC
  
",2.0,A.I.,"Reviewed in the United States November 26, 2020","









  
  
    
  It's a good controller, but it feels like they took both a step forward and back from the Xbox One controller. Also, controls through Bluetooth are jumbled up in some games.Pros:- The Xbox controller design and layout. It's still as great as ever.- The redesigned D-pad is easier to use.- The controller is a tiny bit smaller and feels much better sized in my hands.- They replaced the shiny black texture on the bumpers and triggers with a better matte texture.- The menu buttons feel more clicky and are more responsive.Cons:- Controls are straight up broken in some games when the controller is connected through Bluetooth. They get all jumbled up, like A becomes X, B becomes A, and RT becomes the start button. It works normally when connected through a cable or the Xbox Wireless Adapter. I don't know what the problem is, but they need to fix this ASAP. It's been a while since release and there still has been no recognition of this problem.- You need to update the firmware to use it on Bluetooth. You need a cable or the Xbox Wireless Adapter to update the firmware. The controller comes with neither.- The grip textures are irritating on my hands. It feels like you're holding a man's bearded face. I don't understand why they had to ruin the controller like this. All they had to do was keep it smooth.- The buttons, including the D-pad, are significantly louder than the Xbox One controller.- The share button does nothing on PC.I recommend holding off on this controller until they fix the Bluetooth issue at least. The grip textures ruin the controller for me personally. The Xbox One controller is still available and a much better option at this point. If you still have an Xbox One controller, there is no reason for you to get this one.

  
",Edition: Core Controller - Carbon Black
21,436,"







  
  
    The grip is amazing
  
",5.0,Marshawn Knott,"Reviewed in the United States February 28, 2021","









  
  
    
  I love the controller

  
",Edition: Core Controller - Carbon Black
