,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    These cups leak so expect constant stains on your clothes
  
",1.0 颗星，最多 5 颗星,Jane,2018年7月15日 在美国审核,"









  
  
    
  I had been buying a different set of cups for over a year.  Then Amazon switched these to be there Amazon Choice cups, so I switched.  I've learned my lesson of following Amazon Choice.  Its clear they were just looking for the best deal for Amazon.  My first day with a cup of coffee, coffee drips out of the cup and onto my shirt.  I assumed I had not put the lid on well.  Scroll forward 30 days and I have paid to have 3 shirts and two pair of pants dry cleaned and one ruined shirt.  They simply don't seal well and the cups drip out liquid even when the top is fully on.  I don't know which makes me madder, that I kept using the cups or that I assumed Amazon would have fully vetted these before calling them Amazon Choice.

  
",Size: 26 Count (Pack of 6)已确认购买
1,1,"







  
  
    We have ordered these cups several times without issue. ...
  
",1.0 颗星，最多 5 颗星,Kelly,2016年7月26日 在美国审核,"









  
  
    
  We have ordered these cups several times without issue.  The most recent batch we received almost ALL of the cups leaked after a short time filled with coffee.  The bottom edge let liquid seep through, cups would buckle at the weak point and leak at the bottom.

  
",Size: 26 Count (Pack of 6)已确认购买
2,2,"







  
  
    Holes in some of the cups!!
  
",2.0 颗星，最多 5 颗星,Michelle S. McCreary,2018年5月27日 在美国审核,"









  
  
    
  We have these Dixie cups on a subscribe and save order. We have been ordering these cups for about a year now. Our last order we noticed that the first few cups in over have the packs of holes in the bottom of the cups! This has led to quite a few messes because we don’t always notice.

  
",Size: 26 Count (Pack of 6)已确认购买
3,3,"







  
  
    Leakage Problem! (Update) from 2020 to 2021
  
",2.0 颗星，最多 5 颗星,Eddie,2020年9月12日 在美国审核,"









  
  
    
  I didn’t want to believe the reviews on “leaks” but yup sadly there are some cups that leak and some that are just fine. Im disappointed because these cups are so cute!!! I use these cups for my coffee in the AM but might have to replace since they keep leaking!UPDATE: 12/2020I said I wasn’t going to buy these any more but I came back, I just couldn’t find any other better cups. I really love these! I haven’t had any leakage problems anymore. I feel like they really listened about the reviews.UPDATE: 02/17/2021Okay so now its 2021 and I’m still using these cups, I actually subscribed for monthly packages. Haven’t had a leakage problem since the first time I bought these. Im a happy customer we all love coffee here at home so these are used multiple times a day everyday !

  
",Size: 26 Count (Pack of 6)已确认购买
4,4,"







  
  
    These are great! This particular deal is a great one
  
",5.0 颗星，最多 5 颗星,Randoll Abreu,2018年4月10日 在美国审核,"









  
  
    
  These are great! This particular deal is a great one! I use these every morning during the week day and have not had a spill yet. Make sure when you are putting on the lid that the hole on the lid is directly opposite to the seal line on the paper cup. Dixie disposable coffee cups are my go to and this particularly style is super cute since it has cute little messages on them.

  
",Size: 26 Count (Pack of 6)已确认购买
5,5,"







  
  
    Not perfect, but not horrible either
  
",3.0 颗星，最多 5 颗星,Megan,2017年1月15日 在美国审核,"









  
  
    
  Good value for the price, but I can't give 5 stars BC after an hr car ridez any coffee left in my cup is pretty much cold. (I'm a slow coffee drinker). Also, the lids seem cheaply-made or poorly put together because they constantly pop off the top and several times I have actually poured/spilled some coffee all over me and/or inside my car while getting in and out of my car, which really sucks. I have a pretty long commute in the mornings so I was looking for something disposable and that would keep coffee warm for my son for his hot chocolate in my coffee so once I got to work I could just throw the cup away and not worry about the cops at my office or in my car. I recently found that the knock out yeti's for $8 at Walmart are actually amazing at leaving beverages actually hot for hours, so once we've used it all these cups up, I will probably be switching over to those for our daily routine and just continue to search for a better quality to go cup to use as needed.

  
",Size: 26 Count (Pack of 6)已确认购买
6,6,"







  
  
    solved a problem for me
  
",5.0 颗星，最多 5 颗星,G4 B.,2021年1月14日 在美国审核,"









  
  
    
  This is an excellent product. These cups have leak free lids, and when full of hot coffee they aren't too hot to hold.The 12 ounce capacity is just right for most people at my office. I love they aren't made from styrofoam despite feeling like they are. I hate to say that I trust Dixie brand for a reason, but yes, I really do.The lids attach firmly and are easy to put on. The cups are sturdy enough to wash once or twice and reuse, and they hold up to an overnight with water in them. (Clients sometimes set a cup down half full and leave it there. If we are in a hurry closing up, we don't always notice until the next morning.)These are thick enough that no sleeve is needed, even with piping hot liquid inside, there are no burned fingers.

  
",Size: 26 Count (Pack of 6)已确认购买
7,7,"







  
  
    Very helpful--cute messages
  
",5.0 颗星，最多 5 颗星,Joe Mama,2018年10月14日 在美国审核,"









  
  
    
  I'm very excited to have this as a Subscribe & Save option! I was forever forgetting to take clean coffee cups to work (I only have cold water there, so I had to take them home to clean), so this helps me out. The sayings are fun--a step up from the old cups they had. The lids work with the Starbucks ""plugs"" so your coffee stays hot longer. It's not going to keep your coffee as hot as a thermal cup, but it does help, and your hands don't get too hot while holding it (the heat of the coffee doesn't transfer to you hands much).

  
",Size: 26 Count (Pack of 6)已确认购买
8,8,"







  
  
    You can't beat these cups for quality and price
  
",5.0 颗星，最多 5 颗星,,2019年3月19日 在美国审核,"









  
  
    
  As a way of connecting with my coworkers I set up a Keurig coffee maker in my cubicle and made it available to all.  I bought a rack for coffee cups and lids, K cups, sugar, etc.  Everyone loved it and in a very short time I knew my coworkers.These cups were perfect for us.  We went out in the field after a brief meeting every morning, so having a to-go cup that keeps the coffee hot and doesn't burn your fingers was great.  You don't need those coffee cup sleeves for these.  The textured surface protects your fingers perfectly.  The lids fit on snug every time.Now I'm retired, but my son still lives with me, and he enjoys saving the $5 he would need to pay on his way to his work if he couldn't just quickly make a cup to go.The cups come in random designs, and don't necessarily match the picture in the ad, but they tell you that up front.  All of the designs have been fine for a professional office.I priced cups that needed the cup sleeve to be able to hold them, and these are a better deal, in addition to looking a lot nicer.I recommend these cups without reservation.

  
",Size: 26 Count (Pack of 6)已确认购买
9,9,"







  
  
    Leaks-Design Flaw
  
",2.0 颗星，最多 5 颗星,MelonheadRed,2020年3月27日 在美国审核,"









  
  
    
  Update-It's gotten so bad with the leaking that's I've finally given up. I'm switching to another brand.So I’ve been using these for a while, and I’ve noticed that lately I’ve been having more and more problems with drips down the side of the cup where the seam is. After spending a ridiculously inordinate amount of time trying to figure out why, my best guess is that the seam in the lip of the cup, which has a raw edge, appears to wick up the liquid and when it becomes oversaturated, starts to drip down the outside of the cup. I haven’t had the same issues as others with holes in the cups or lids ripping, but I have definitely had problems with leaks and stains on my clothes.

  
",Size: 26 Count (Pack of 6)已确认购买
10,10,"







  
  
    Great value and convenient! + adorable designs!
  
",5.0 ,SMBGTA33,"Reviewed in the United States February 10, 2018","









  
  
    
  Living in a house of coffee drinkers, we’ve bought multiple reusable travel mugs and try to use them when we can... but these are so great for being able to take and toss. We use them most while camping and it’s nice not having to wash out our mugs.I do try to limit use, as I consider the landfills being filled with my cups, but if I need a quick grab and go cup that I can toss.., these are my favs!The designs are adorable too!

  
",Size: 26 Count (Pack of 6)
11,11,"







  
  
    Cheapest way to get quality hot/cold cups and lids
  
",5.0 ,John S. Kjellman,"Reviewed in the United States July 26, 2019","









  
  
    
  My family uses these cups for coffee every morning and they work great. They have a thin insulating layer around them so you can handle hot beverages. Note that it is thin so scalding hot beverages can't be held for too long, even a cardboard sleeve doesn't handle that for long.I find they hold up well and being packaged in groups of 26 lids and 26 cups makes it easy to store the extras until they are needed.

  
",Size: 26 Count (Pack of 6)
12,12,"







  
  
    Quality is terrible
  
",1.0 ,Kim W,"Reviewed in the United States March 15, 2021","









  
  
    
  I went to use my first cup today and the printed pattern is peeling off all over and looks terrible. How embarrassing for me to have something like this at work! Also, the lid I grabbed for today with my first cup is cracked! I dripped coffee on my keyboard because of it. I would love to return these but can't since they're not able to be returned.

  
",Size: 26 Count (Pack of 6)
13,13,"







  
  
    Good cups - No problems
  
",5.0 ,Jennifer Krussel,"Reviewed in the United States May 6, 2016","









  
  
    
  These are nice cups.  The lids fit fine.  The cups don't get hot, so no problems handling them with hot liquids.  I haven't had problems with leaky bottoms.  My photos are of a cup after 2 refills today.

  
",Size: 26 Count (Pack of 6)
14,14,"







  
  
    Don’t waste your money!
  
",1.0 ,Alex and Jess,"Reviewed in the United States January 29, 2020","









  
  
    
  Horrible! Every time I put the lid on it splits right where you need to take a drink! So annoyed by this. Thought I was getting a great deal because Dixie is usually a good brand but there must be some sort of flaw in the design with these lids. Also the cups are not quite durable enough. They look like they’ll fall apart if hot liquid is in them for too long, which is crazy since they are made for hot liquid. I definitely want my money back for these.

  
",Size: 26 Count (Pack of 6)
