,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Awesome Kettle
  
",5.0,ceaser trevino,"Reviewed in the United States May 1, 2019","









  
  
    
  I use to use a microwave or a medium pot to boil water for a cup of noodles or to have a glass of tea, but what a difference this kettle makes. I plugged it in , followed the instructions and within minutes I had hot water. The large kettle size provides approximately 8 cups of water. The glass build allows you to see though the kettle and watch the water bubbles come to a boil. The location of the predefined buttons is a great feature and the 6 predefined settings to be set very quickly. Safety feature to auto shutoff and the led blinking light remind me that the kettle is still on while in warm mode. I have never used a kettle before but i was impressed with this one. No more pots or microwave in my immediate future.

  
",
1,1,"







  
  
    With this you can have fun boiling water!
  
",5.0,lisa wold,"Reviewed in the United States May 16, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   I love the fact that I can see the water coming to a boil. The blue LED light tells me that it's heating, so when that light goes off, it's done. EASY! Then it's really cool that it goes to keep warm straight away. Or, you can bypass that option if you want. It also has memory features! This water pot is the coolest thing EVER! LOVE IT!

  
",
2,2,"







  
  
    Solid, well made, works great
  
",5.0,Once-ler,"Reviewed in the United States May 6, 2019","









  
  
    
  This is my first water boiler; I used a microwave before this.  Seems sturdy and well made.  Boiled water for my tea in about 2 minutes (1 liter) which was less than half the time for the microwave.  Will hold up to 2 liters.  Buttons make it easy to choose the right temperature quickly.  Has a built in filter which is nice.  The top does not come off, but I was able to squeeze my hand inside to wash it before the first use.Overall quality and price point are great.

  
",
3,3,"







  
  
    Who knew exact water temps make beverages better?!!
  
",5.0,Tim Nuse,"Reviewed in the United States May 9, 2019","









  
  
    
  This electric kettle comes in a non-descript box but it looks good and works great once unpackaged. Brings water to a boil in just a few minutes and has all the settings for various tea strains and coffee brewing methods. I’ve tried it for a few beverages and they really do taste better with water heated to the appropriate temperature. I used to always use boiled water for everything and now realize I was living in a cave. For anyone who consumes hot beverages, this is the way to go!

  
",
4,4,"







  
  
    Easy as 1, 2, 3
  
",5.0,Amazon Customer,"Reviewed in the United States May 8, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   Arrived today! Put it to use and I'm in love. It conveniently tells you the boiling temperatures for different teas and French press. All around great product 👏

  
",
5,5,"







  
  
    Great all-rounder - watch the volumes
  
",5.0,Anon,"Reviewed in the United States May 1, 2019","









  
  
    
  Very happy with this electric kettle - the HadinEEon Variable Temperature. Why? It is much quieter than my last electric kettle, it comes to the boil quickly, the lid is easy to open for filling, and it is a delight to use.However, the water level marking on the kettle is not accurate which is disappointing for a precision temperature kettle. The photo shows the water level of 0.5L water which I measured using a measuring jug -- so it's a little above the line.

  
",
6,6,"







  
  
    Perfect Tea
  
",5.0,Shereen,"Reviewed in the United States May 16, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   So happy I bought this. Being Dutch I love quality tea and it was very time consuming to get the right temperature for Tea, no more !! Takes 3 min and its perfect everytime.  The light shuts off when its ready.  Price? 1/3 of the cost that I was going to buy.

  
",
7,7,"







  
  
    This thing is one hot deal.
  
",5.0,Ellis Juan,"Reviewed in the United States May 5, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   Being from the South, I'm always looking for a cool glass of sweet tea in the summer, yet when I made it at home it was always lacking something. I had no idea I was making it wrong until I found this kettle. Something about it just makes tea taste so much better, and it's ready in no time. The blue lights are awesome too. Drinks and a light show for only $40? Yes please. My cleaner likes it too, she said it's easy to clean and is just the right size for the cabinets for easy storage. The problem is that we haven't put it away since I bought it, so I think it's just going to be a permanent part of my kitchen counter, which is fine because the beautiful black and stainless steel look really matches everything else anyways.  It feels very solid so I don't think I'll ever have to worry about it breaking if one of my dogs knocks it if the counter, but if they were somehow able to break it I would definitely buy another.

  
",
8,8,"







  
  
    Great for the office and tea lovers
  
",5.0,Kuberadev,"Reviewed in the United States May 8, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   This seemed like a great deal and quality product. I like the look. Good for a quick cup of tea.I had another Kettle and  die on us .My approach from that point spend a little more and buy quality product. I feel comfortable with 3 years warranty on this.

  
",
9,9,"







  
  
    Great kettle!
  
",5.0,Elizabeth C.,"Reviewed in the United States May 7, 2019","









  
  
    
  This HadinEEon electric kettle is great! It heats water so much quicker than my other kettle that I had for several years. Also, my other kettle didn’t have the different temperature settings or the “keep warm” function that this one does. Would buy again for sure!

  
",
