,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,125,"







  
  
    This stuff is amazing
  
",5.0 ,Coffee lover,"Reviewed in the United States February 15, 2021","









  
  
    
  The smell and the bubbles that you get out of this product are just great. I found that using this creates a better and stronger smell than using lavender bath bombs and you get the fun bubbles on top. Also the bottle is huge I have used it 4 times now and I still got so much left in the bottle it really is a steal for the price.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
1,527,"







  
  
    Very good stuff.
  
",4.0 ,John D.,"Reviewed in the United States March 17, 2021","









  
  
    
  No not really but I have felt the 💤 soaking in the 🛀. Feel good.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
2,198,"







  
  
    Unsealed? Is it thec
  
",1.0 ,Aps,"Reviewed in the United States December 20, 2020","









  
  
    
  This product wasnt sealed on arrival! Shouldnt it be? Disappointed! Dint get a scent at all! Wont be buying again

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
3,153,"







  
  
    Nice product! Go for it.
  
",4.0 ,Willian,"Reviewed in the United States February 17, 2021","









  
  
    
  Nice product, although the bottle looks cheap (of course, we paid cheap. So it is a 100% valid. But just FYI).Loved that the bubbles are just perfect. Really great product.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
4,104,"







  
  
    Wonderful Gift
  
",5.0 ,Juniper,"Reviewed in the United States February 27, 2021","









  
  
    
  This product is a wonderful gift for friends who like relaxing bathes. It smells good and you get a lot of product for the money. I don't know that I can speak as far as pain relief or moisturizing.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
5,358,"







  
  
    Relax away
  
",5.0 ,Carrie Damrow,"Reviewed in the United States August 11, 2020","









  
  
    
  Such a soothing smell for my bath at night.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
6,533,"







  
  
    So calming
  
",5.0 ,Lauren,"Reviewed in the United States February 9, 2021","









  
  
    
  The lavender smells amazing! It didn’t irritate my skin in any way and it actually made plenty of bubbles!

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
7,165,"







  
  
    It was soothing
  
",5.0 ,happy Shopper,"Reviewed in the United States December 21, 2020","









  
  
    
  I liked this product I did not have pain so can’t answer to that and don’t have sensitive skin but it was soothing and I enjoyed it

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
8,434,"







  
  
    Enjoyable
  
",5.0 ,stichagum,"Reviewed in the United States January 30, 2020","









  
  
    
  This is wonderful after a long day. Literally, helps me feel sleepy.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
9,343,"







  
  
    Will not be sorry. A keeper
  
",5.0 ,Frances B,"Reviewed in the United States February 15, 2021","









  
  
    
  I love everything about this product. The scent is delicious, the bubbles are more the consistency of suds, the Epsom salts ease both bones and skin.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
10,543,"







  
  
    Relaxing
  
",5.0 ,Unknown,"Reviewed in the United States January 11, 2020","









  
  
    
  Love this bubble bath!

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
11,302,"







  
  
    Very good product. Should be able to buy in large bulk at discounted price.
  
",5.0 ,Susan D.,"Reviewed in the United States May 29, 2020","









  
  
    
  Very good product. However, more pain relief with the Epsom salts. Nice clean scent. Price not discounted, same as in market.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
12,76,"







  
  
    It's just okay.
  
",5.0 ,C Blake,"Reviewed in the United States June 19, 2020","









  
  
    
  The scent is great but when buying a bubble bath, I look for one that can yield a great amount of suds.  This one didn't do that.  I had to use a lot to get an OKAY amount of bubbles.  For Pain Relief, you may want to go with Epsom Salt for that.  This one was more for relaxation.  This was okay.  I don't think I would buy again.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
13,306,"







  
  
    quality
  
",5.0 ,Amazon Customer,"Reviewed in the United States August 25, 2020","









  
  
    
  Bubbles slightly, great scent, leaves skin moisturized.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
14,548,"







  
  
    Very pleasant smell
  
",5.0 ,Candace B.,"Reviewed in the United States October 7, 2020","









  
  
    
  This product smells very good. It say it promotes good sleep however I'm not very sure about that.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
15,488,"







  
  
    Foaming bubble good
  
",5.0 ,Keon Lee,"Reviewed in the United States March 17, 2020","









  
  
    
  Foaming great. Satisfied

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
16,245,"







  
  
    Not as much bubbles as I would like.
  
",3.0 ,Stefano,"Reviewed in the United States January 31, 2021","









  
  
    
  Bought this for the bubbles, but it doesn’t make much.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
17,75,"







  
  
    Need to use a lot
  
",3.0 ,Rana,"Reviewed in the United States February 15, 2021","









  
  
    
  I honestly wanted to love this, but I found myself using soo much to get a good amount of bubbles. And I have a standard tub. So although the price is great you are using an insane amount, to get the result you want. But I guess the result is achievable so that's a plus.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
18,149,"







  
  
    Great product; Bottle came damaged
  
",4.0 ,Sammi,"Reviewed in the United States May 20, 2020","









  
  
    
  Would have given 5 stars because I love this product except the bottle came damaged.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
19,416,"







  
  
    Good smell, bubbles & relax
  
",5.0 ,✨💋Macy Minx,"Reviewed in the United States August 30, 2020","









  
  
    
  Love this product. Always helps me relax so much. I also use for daughters bath time and she loves it too.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
20,219,"







  
  
    Leaked
  
",4.0 ,CaRN,"Reviewed in the United States March 7, 2021","









  
  
    
  I love the product but it was leaking. Good thing they put it in a bag.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
21,275,"







  
  
    I like it!
  
",5.0 ,Darya Bodovec,"Reviewed in the United States February 8, 2021","









  
  
    
  So good scent. Very relaxing foaming bath.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
22,510,"







  
  
    I love this stuff. It's great
  
",5.0 ,Vereinigte,"Reviewed in the United States August 11, 2020","









  
  
    
  I used to use products of another brand, but their quality is far from as good as yours. Your products are in line with the high-quality products advertised. I am very glad that I have changed brands， I love this stuff. It's great

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
23,544,"







  
  
    Ordering More Right Now!
  
",5.0 ,Kim,"Reviewed in the United States February 26, 2016","









  
  
    
  I need to order more! Nice, thick liquid so you don't use a lot. I am a chronic epsom salt bubble bath taker and this lasted me a nice long while, especially for the price. Fragrance is very nice, not overwhelming. Great stuff!

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
24,448,"







  
  
    Bubbles!
  
",5.0 ,Jesse Lee,"Reviewed in the United States January 18, 2021","









  
  
    
  Wife loves this bubble bath.  Ordered a few times now.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
25,460,"







  
  
    Love it
  
",5.0 ,Jasmine,"Reviewed in the United States July 29, 2020","









  
  
    
  Excellent

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
26,19,"







  
  
    Bubbles!!!!!!!!
  
",3.0 ,Courtney D.,"Reviewed in the United States January 11, 2021","









  
  
    
  If you pour the product beneath the spout right as the water is filling your tub you will get the most bubbles. The ingredients seem fine to me. Although the lavender smell is not strong and isn’t the best smelling. However, it does have the Epsom salt and it makes a great combo. The price is amazing to! I give 3 stars! Not the best but really not bad either! I have sensitive skin and I seemed to be okay so far and I’ve used this twice now. The major thing I did not like was it was not sealed. I ordered twice because the first one came with stuff all over the bottle. Neither one was sealed. Can’t say my pain level is different but my skin feels amazing! Soft.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
27,445,"







  
  
    Great for relaxing
  
",5.0 ,Amazon Customer,"Reviewed in the United States May 3, 2020","









  
  
    
  Love this bubble bath. So relaxing.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
28,467,"







  
  
    Get it!
  
",5.0 ,CP,"Reviewed in the United States April 1, 2020","









  
  
    
  I love this stuff definitely worth $5!!!

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
29,325,"







  
  
    The best!
  
",5.0 ,Amazon Customer,"Reviewed in the United States January 24, 2021","









  
  
    
  Best bubble bath! It has it all and the bubbles last

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
30,174,"







  
  
    Bubbles maker
  
",5.0 ,Steven Ortiz,"Reviewed in the United States August 30, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   The bottle suggested to pour a generous amount which I did and I was surprised by the amount of bubbles produce! After a few minutes the bubbles were pour out of my Jacuzzi. I highly recommend this product if your looking for bubbles.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
31,505,"







  
  
    Wish was more concentrated
  
",3.0 ,Isabella Jones,"Reviewed in the United States July 13, 2020","









  
  
    
  Not all that concentrated but smells nice and feels smooth

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
32,272,"







  
  
    No good
  
",1.0 ,Frances Mendez,"Reviewed in the United States December 12, 2020","









  
  
    
  No bubbles at all. Oily tub. Didnt like it.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
33,68,"







  
  
    Great scent, effective packaging
  
",5.0 ,Sarah W.,"Reviewed in the United States March 9, 2021","









  
  
    
  The bottle leaked a little bit in transit, but because of the way it was wrapped & sealed, no harm done to the other items in my box, which I appreciated. It has a lovely lavender scent. I only wish the cap had a lever for easy pouring, instead of having to pour from the full bottle, which tends to drip down the side.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
34,469,"







  
  
    who doesn't like bubbles?
  
",5.0 ,Lmac,"Reviewed in the United States March 18, 2021","









  
  
    
  I was pleasantly surprised-nice bubbles, smells great, very relaxing!  Didn't color my tub at all-rinsed clean easily. Felt moisturized afterward.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
35,432,"







  
  
    Genial
  
",5.0 ,Sandra,"Reviewed in the United States January 28, 2021","









  
  
    
  Delicioso olor, poco espumoso pero huele y se siente bien

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
36,495,"







  
  
    Smells and feels great
  
",5.0 ,Emily,"Reviewed in the United States January 7, 2021","









  
  
    
  Great for bubble baths, foams quickly and easily, very nice smell and great to relax in at the end of the day.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
37,478,"







  
  
    Nice scent and good buy for money
  
",5.0 ,Katrina DeSimone,"Reviewed in the United States February 23, 2020","









  
  
    
  I use this for my kids. We love it.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
38,412,"







  
  
    Salt substitute
  
",5.0 ,Alina,"Reviewed in the United States December 30, 2020","









  
  
    
  Love this product. Usually buy it in the stores but was happily surprised that Amazon offers them.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
39,208,"







  
  
    Loved
  
",5.0 ,Taheen,"Reviewed in the United States January 1, 2021","









  
  
    
  I enjoy bubble baths and lavender so for me this was the perfect product!!

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
40,46,"







  
  
    Cannot trust
  
",2.0 ,SLS,"Reviewed in the United States October 4, 2020","









  
  
    
  Purchased 2 at that great price.  Both arrived with no seal, tops weren’t screwed tightly (luckily no spills) and the bottle necks were smushed.  Then read all the negative reviews. Sent online msg on Dr Teals website asking about why their products wouldn’t have seals and sent them the link to this product so they can be aware.  No reply of course.  Took two baths but will be throwing the remaining away since I did feel a skin burn and didn’t have a relaxing experience.  The smell is ok - but feel it’s possible product may not be true blue.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
41,353,"







  
  
    Awesome
  
",5.0 ,Andrea Marshall,"Reviewed in the United States September 15, 2020","









  
  
    
  Light scent , heavy bubbles and long lasting

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
42,66,"







  
  
    Spa at home
  
",5.0 ,Melody,"Reviewed in the United States May 9, 2020","









  
  
    
  *I especially like it on Amazon since it is made in usa. Some retails are selling made in China. ( Not sure why)Small so good! If you don't need too much bubble, you could lesser the amount put into the water. Very relaxing scent. Love dr.teal and brought many packs of salt. Going to try other scent foam bath as well.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
43,119,"







  
  
    It works!
  
",4.0 ,AstroMelissa,"Reviewed in the United States January 3, 2021","









  
  
    
  It does produce bubbles! The bottle is a lot bigger than expected. The lavender scent is a bit strong but enjoyable. I did have itchy arms and back after using it, but tolerable.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
44,292,"







  
  
    Good
  
",5.0 ,Agentice9 ,"Reviewed in the United States April 2, 2020","









  
  
    
  Simply bought it for a friend, but they say it’s awesome and much better than other bath bubbles

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
45,406,"







  
  
    Love this sTuff
  
",5.0 ,Feathers of a flock ,"Reviewed in the United States March 31, 2020","









  
  
    
  Love this stuff and I got a good deal . Fast shipping too!

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
46,100,"







  
  
    Great value
  
",5.0 ,Amazon Customer,"Reviewed in the United States May 9, 2020","









  
  
    
  This product has a great smell and bubbles up very well using just 2 capfuls for a huge hot bath.  It has a lighter, more natural scent than many others, and Is not artificial-smelling.  I am not so sure about pain relief, but it sure is relaxing knowing I am getting a real good bubble bath for not too much money.

  
",Scent Name: Soothe Sleep LavenderSize: 1 Count
