,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,775,"







  
  
    Forks, Forks, Forks
  
",5.0,Wblesther Espinoza,"Reviewed in the United States November 5, 2020","









  
  
    
  Great quality forks for a cheap price.

  
",Size: 12-Piece
1,47,"







  
  
    Rusted within months
  
",1.0,T. Bergen,"Reviewed in the United States January 29, 2021","









  
  
    
  After about six months of light use I noticed the insides of the tines were rusting. There are a lot of good reviews and also a number of reviews stating that the forks rusted, so apparently there is inconsistent quality of manufacturing. Until the rust appeared I was happy with the size, weight, design of the forks. Then I threw them all out so I don't have rust mixed in with my food.

  
",Size: 12-Piece
2,820,"







  
  
    Five Stars
  
",5.0,grandma to the best,"Reviewed in the United States May 19, 2017","









  
  
    
  Great quality forks.  Thank you for the speedy delivery.  They were packed well and what a great price.

  
",Size: 12-Piece
3,732,"







  
  
    Five Stars
  
",5.0,ImpossiblyBossy,"Reviewed in the United States May 18, 2018","









  
  
    
  Decent flatware, without an exorbitant price!

  
",Size: 12-Piece
4,502,"







  
  
    Very good price when I just needed extras and they have ...
  
",5.0,Kindle Customer,"Reviewed in the United States January 26, 2018","









  
  
    
  Very good price when I just needed extras and they have been used a lot already and clean up nicely , heavy and don't look cheap -:)

  
",Size: 12-Piece
5,791,"







  
  
    THEY ARE FORKS
  
",5.0,Amazon Customer,"Reviewed in the United States November 24, 2020","









  
  
    
  There forks, they look like, work like, clean up like forks, lol. Good deal fer the money

  
",Size: 24-Piece
6,797,"







  
  
    Great Quality
  
",5.0,Suzanne D Marshall,"Reviewed in the United States February 3, 2020","









  
  
    
  The design of these forks, as far as forks go, is upscale. They feel substantial and easy to hold. I recommend them and would buy again, if I needed more.

  
",Size: 24-Piece
7,516,"







  
  
    Forks
  
",5.0,Amazon Customer,"Reviewed in the United States June 15, 2020","









  
  
    
  True to description.

  
",Size: 12-Piece
8,569,"







  
  
    VERY HIGH QUALITY
  
",5.0,Joe K,"Reviewed in the United States March 8, 2019","









  
  
    
  LOVE THEM AND WILL BUY AGAIN

  
",Size: 12-Piece
9,1012,"







  
  
    Great
  
",5.0,Amazon Customer,"Reviewed in the United States March 8, 2021","









  
  
    
  Very satisfied with the forks,great price!

  
",Size: 12-Piece
10,1023,"







  
  
    Classic they are great
  
",5.0,cyndi condrin,"Reviewed in the United States November 15, 2019","









  
  
    
  Love them

  
",Size: 12-Piece
11,223,"







  
  
    Easy to order and receive.
  
",5.0,Terrie,"Reviewed in the United States July 14, 2019","









  
  
    
  Used as dinnerware, better than expected, heavy and very classic look, would go with any pattern.

  
",Size: 12-Piece
12,990,"







  
  
    Five Stars
  
",5.0,thelma,"Reviewed in the United States April 18, 2018","









  
  
    
  Great.

  
",Size: 12-Piece
13,534,"







  
  
    Good basic fork.
  
",5.0,Michelle Speak,"Reviewed in the United States May 7, 2019","









  
  
    
  Good basic everyday fork. Simple, affordable, and does its job.

  
",Size: 12-Piece
14,676,"







  
  
    Good buy!
  
",5.0,nury,"Reviewed in the United States June 25, 2020","









  
  
    
  Nice set

  
",Size: 12-Piece
15,29,"







  
  
    Sturdy and Durable
  
",5.0,Sarah  Morrow,"Reviewed in the United States July 16, 2019","









  
  
    
  I was really surprised at the quality of these forks. I've had them for a few months and they are completely dishwasher safe and sturdy. I bought these to replace my higher priced forks since my kids kept taking them to school and losing them; however, these feel like the same weight as the more expensive silverware. I ordered spoons and knives to match.

  
",Size: 12-Piece
16,407,"







  
  
    So worth it
  
",5.0,Jacqueline Tabaco,"Reviewed in the United States December 19, 2020","









  
  
    
  Great value for the money

  
",Size: 12-Piece
17,272,"







  
  
    Worth every penny
  
",5.0,Ivonne ,"Reviewed in the United States January 26, 2021","









  
  
    
  These are sturdy, but not heavy. Good size and great quality.

  
",Size: 12-Piece
18,572,"







  
  
    Love them!
  
",5.0,Ryan F.,"Reviewed in the United States March 20, 2020","









  
  
    
  Love these forks, they are heavy weight and don’t leave the metallic taste inexpensive silverware sometimes leaves. I will buy these again.

  
",Size: 12-Piece
19,715,"







  
  
    Sturdy nice quality
  
",5.0,Yvonne diaz Garcia,"Reviewed in the United States February 27, 2021","









  
  
    
  Love the quality ! Definitely better than a restaurant style

  
",Size: 12-Piece
20,930,"







  
  
    Small
  
",2.0,Amazon Customer,"Reviewed in the United States February 24, 2019","









  
  
    
  Too small

  
",Size: 12-Piece
21,254,"







  
  
    Great price
  
",5.0,Cherie,"Reviewed in the United States June 19, 2019","









  
  
    
  Great purchase. I'd buy these again. Not too big, not too small & not too thick or thin.

  
",Size: 12-Piece
22,971,"







  
  
    sturdy nice quality
  
",5.0,ineffable59,"Reviewed in the United States December 25, 2017","









  
  
    
  sturdy quality forks. exactly what I was looking for thanks.

  
",Size: 12-Piece
23,429,"







  
  
    it just doesnt look right
  
",1.0,Jenny Wheeler,"Reviewed in the United States September 15, 2020","









  
  
    
  Its not smooth it looks smooth but its not and the prongs are too narrow

  
",Size: 12-Piece
24,763,"







  
  
    As described
  
",5.0,abuffalo2,"Reviewed in the United States December 27, 2018","









  
  
    
  Arrived quickly, had for two weeks seems very durable

  
",Size: 12-Piece
25,430,"







  
  
    Presentation can be a forkful
  
",5.0,DeMae Brown,"Reviewed in the United States March 14, 2020","









  
  
    
  This fork literally have your dinner looking and feeling like a five star restaurant.

  
",Size: 12-Piece
26,875,"







  
  
    Perfect
  
",5.0,Jen S.,"Reviewed in the United States February 3, 2020","









  
  
    
  Perfect!

  
",Size: 12-Piece
27,164,"







  
  
    yes we liked the forks and the guilty was great.....
  
",5.0,dan healey,"Reviewed in the United States March 26, 2020","









  
  
    
  over all very happy and the price was better then buying from my local store's and they are not thin or bendable and easy to hold with no rough edges........thanks

  
",Size: 12-Piece
28,598,"







  
  
    Nice
  
",5.0,Arun,"Reviewed in the United States July 27, 2018","









  
  
    
  Very solid. Works great for eating.

  
",Size: 12-Piece
29,242,"







  
  
    EXACTLY what i needed!
  
",5.0,Amazon Customer,"Reviewed in the United States November 11, 2019","









  
  
    
  Lovely, sturdy, delivered in one day! Can't beat that!!!!

  
",Size: 12-Piece
30,559,"







  
  
    Very good product!
  
",5.0,Mike VanSant,"Reviewed in the United States July 8, 2020","









  
  
    
  Needed more forks for everyday use and these are just what I needed!!

  
",Size: 24-Piece
31,214,"







  
  
    Recommend
  
",5.0,Carleen S.,"Reviewed in the United States March 26, 2020","









  
  
    
  I think these are very good quality. It was a fine price for them, as well. However, I think it's a bit rediculous that each fork has to be wrapped in it's own plastic sheath! What a silly reason to use plastic. They could be fine in one baggie together lol

  
",Size: 12-Piece
32,505,"







  
  
    Good value for the price
  
",4.0,michael worman sr,"Reviewed in the United States May 8, 2019","









  
  
    
  You get what you pay for and I am quite happy.

  
",Size: 12-Piece
