,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Great product with some production flaws, Terrible Warranty Service
  
",3.0,Steph S,"Reviewed in the United States October 15, 2017","I am sad that I cannot give this a full 5 stars, but since Cuisinart refuses to answer my concerns about this product, I must make sure the people are aware of the issues.

I have bought two of these in less than 6 years. I take really good care of my items; I still have the original box and foam inserts just in case I needed to move it or ship it back for warranty purposes (explanation in a minute).

The side buttons that you push to pop out the grill plates are plastic and one will break after a couple years of frequent use. That means, you have no button to push and the metal underneath is inside the machine-not easy to access. I bought the second panini grill for the same issues as the first one in March 2015, not having kept original receipt to know if it was under warranty, so I was thrilled to see that this one was still within the three year warranty.

I called the Warranty number and was told that I'd have to ship it back and the cost was on me. You're also expected per their warranty paperwork to pay an additional $10 to get a repaired/refurbished/potentially new one back. I did ask to have that second fee waived, as it seemed unfair. So, I go to the U.S. Post Office with the machine in its original pristine box.

It was $38.12 to ship via ground and $42 for priority. I was shocked. The box looks so brand new that the agent assumed it was and she joked to the other postal worker did she want to buy it from me? I explained that it needed repair and her jaw dropped. She too thought it was absurd that they would not send me a postal order as the weight and the fact it has to go cross-country is what makes the shipping so much. I decided that for more than half the price of the item, it didn't make sense to ship. I checked with UPS and they too were over $24. I mean, I can see paying $15, but this is too much money for a $59.99 item (that I paid $91 with tax in 2015 when it was still a higher price as their newer model).

So I called Cuisinart back and explained my case. I was told that if I wanted to use the Warranty, I had to ship it because that is what I agreed to-did I have a choice? They wouldn't even offer me $34 towards a brand new one.

I really loved this product and am disappointed that Cuisinart makes their warranty policy difficult to honor. I even contacted them on Facebook privately to see if they'd look into my case and work with me, but they didn't even bother to respond.

I wonder if the extended warranty offered here on Amazon by the third party would not make me jump through hoops if I wanted to buy another one. Just not sure I am wasting my money or not. I don't like the ethics of a warranty that costs you a fortune in order of fit to be honored.

As for the machine itself:

The pros:
-makes a great panini;
-great for indoor grilling meat/fish/vegetables ;
-awesome griddle (makes best hash browns);
-nonstick plates;
-can buy waffle plates to make waffles;
-can make eggs, bacon, hash browns at the same time when it's flat

Cons:

-Buttons that hold the grill plates are plastic and don't last long
-Warranty is three years, but if you contact them, they require you to ship the entire product back and shipping is over $34 through the U.S. Postal Service on ground shipping (not priority). You're expected to pay $10 in addition to get a repaired/refurbished/potentially new one back.",
1,1,"







  
  
    DON'T DO IT
  
",1.0,joe b.,"Reviewed in the United States November 23, 2018","









  
  
    
  I'm a chef, so perhaps my expectations are too high, but I was entirely disappointed in this product.  It has so much promise, but it looks and feels cheaply made.  It is very light, and it rattles when you move it because none of the parts fit snugly.  I can't imagine it has the durability to last long especially if is used a lot.  The grease trap is awkward and a bit of a challenge to remove.It does not cook well.  The handbook says it takes 10 minutes to heat up - try more like 20 minutes.  The minute you put food on it, the temperature drops precipitously, so for most of the cooking time, the grill is struggling to get up to temp.  The pannini function is sketchy at best because the top griddle is not heavy enough to heat product effectively or to get good grill marks.As a professional cook, I would not purchase or recommend this product.  A good cast iron skillet does a better job and lasts forever.  As it is, the griddle does not live up to the Cusinart name, which until I ordered this, has always meant good quality products that cook well and last a long time - not this one.

  
",
2,2,"







  
  
    Awesome grill!
  
",5.0,❤️AlleyCat❤️,"Reviewed in the United States December 28, 2015","









  
  
    
  I purchased this Cuisinart Griddler because my husband and I just weren’t happy with our George Foreman Grill 

  
George Foreman GRP1060B 4 Serving Removable Plate Grill, Black









  
  
    
  .  It didn't have temperature adjustment, the drip tray would melt every time hot grease would drip in it (or after being put in the top rack of dishwasher), and it just wasn't big enough really.  When I came across this one on Amazon with such stellar reviews, I thought this would be the one for us.  So I ordered it along with the waffle attachment 

  
Cuisinart GR-WAFP Griddler Waffle Plates









  
  
    
  .I have used it at least ten times since I received it.  So far I have cooked eggs, bacon, pork chops, toast, a Philly steak sandwich, and waffles (with the waffle plates I purchased separately).  Everything has turned out great except the first time I cooked eggs on it because I didn't use cooking spray on it beforehand.  So keep in mind that you will need to lightly spray the plates with cooking spray or use butter before placing your items on it that may stick.I love that I have the option of using either the griddle or the grill plates.  When you use the Griddle setting you get to select a temperature between 200 up to 425 degrees.  If you use the Grill/Panini setting you select your temperature as either warm, low, medium, high, and sear.  There are also marks in between those settings so you are able to get a setting of medium-high for example.The plates (including the waffle plates) are dishwasher safe but after owning the George Foreman for years I am choosing to hand wash my plates on this Cuisinart.  When I would put the George Foreman plates in the dishwasher it would never seem to get them very clean.  I guess it is just too difficult to cut through all that grease and stuck on food that was burned on.  It is super easy to clean the plates on this Cuisinart though.  The non-stick plates make it where I can just wipe the mess right up with little to no effort.  Very nice.I like that the drip tray on this grill is attached underneath the unit.  That was a big frustration for me with the other grill.  To constantly have to place it under the grill in just the right spot, then find something to do with it until it cooled down.  I have furbabies so I didn't want to leave it out because they look at it as ""oh look, a meal!""  Since this drip tray is attached I can pull it out and clean it when I please and then place it right back into the slot.  Easy peasy.I love that I can fold this unit flat and make bacon, eggs, and toast all at the same time.  It is wonderful.  It is so nice not to have to dirty up a bunch of pots and pans and tun on my range all the time.Overall I really am proud of this Griddler.  It has been a welcome replacement to our old grill and is definitely one of my best Amazon purchases.If you find my review useful please let me know and if you have any questions or comments, feel free to post them below and I will answer them as quickly as possible. Thank you for checking out my review. :)

  
",
3,3,"







  
  
    Doesn't make it long term . ..
  
",1.0,Brechie,"Reviewed in the United States May 10, 2016","









  
  
    
  I bought this two years ago.  I really liked it at first, sans the dripping fat down the back, and I even purchased one for my daughter in college.  After about a year, I found it didn't sear near as well as it did when new.  The last time I used it, I made two 1/2-in burgers. I pre-heated it on high for 15 minutes - it ended up with a semi brown mess.  I have since thrown it away.  I never said anything to my daughter about it - she called last week and said, ""Mom, I hate to tell you this, but I don't much like this unit.""  She had the exact same problems.  Shheeez - $200 down the drain.  Now I'm searching for a replacement.

  
",
4,4,"







  
  
    Completely Useless
  
",1.0,Eranikus,"Reviewed in the United States December 23, 2018","









  
  
    
  4 stars for material quality,1 star for durability because my particular unit would not heat up the cooking surfaces and4 stars because it seems like a versatile product.First use out of the box, had the unit plugged in with green lights blinking and a bowl of pancake batter waiting for a pre-Christmas Sunday morning breakfast.15 minutes later, the unit is still ice cold with green lights blinking. Oh, it's supposed to be closed to heat up? My mistake.I close the unit, green lights blinking.My husband comes over to see if he can help and presses down on the handle. Now the lights are all out. I press down on the handle and the lights come back on. The stainless steel top of the unit is scorching hot so I figure the plates are hot.I open the unit and lay it flat, drip a bit of water droplets onto the plates and they sizzle. Perfect temperature, right?I ladle out my batter, excited to make enough pancakes at once for my family. I watch my batter - no bubbles.What the he11? The heat is off (again?) So now I have this thing laid flat with pancake batter on both sides and no heat.I scraped the batter off and back into the bowl. Got out a frying pan and made breakfast on the stovetop, cursing the Griddler the entire time.I was so excited to get this, so excited to use it but the design and execution is poor. Maybe it's my unit, maybe I am not patient enough but the bottom line is that my unit did not heat properly, if at all and the thing is going back for a full refund.

  
",
5,5,"







  
  
    Thank you for broadening my culinary horizons!
  
",5.0,Junior Clouseau,"Reviewed in the United States May 1, 2018","









  
  
    
  I bought this to replace a George Foreman Grill with removable plates (which I DEARLY loved but the plates were completely worn).  I selected this model because it looks good and more versatile than my old grill for about the same price.  It was carefully packaged and received on time.  My first impression was that it must be flimsy since it was so much lighter than my old one.  But after inspecting it and washing the plates, I realized that the main difference in weight was the plates.  Not only are they considerably lighter in weight, they are much easier to remove and clean.  The main reason the plates in my old one failed is because they were very clumsy to remove and clean after every use, so I neglected cleaning it way more than I should have.  After grilling my first hamburger, I fell in love with this grill.  Not only was cleaning a breeze, but it seemed like the burger tasted much better.  So I decided to try a panini (which was completely new to me).  I sliced a hunk of kielbasi in half lengthwise and grilled it, then put it between 2 slices of bread and made my first ever panini.  Now I'm hooked and looking forward to new cooking adventures to broaden my cooking horizons.  Only time will tell how long this thing will last, but for now I'm enjoying it and it looks good sitting on my counter.After using it for a month, I still love it, but I'm glad I bought the brush.  It really makes cleanup a breeze!

  
",
6,6,"







  
  
    Not enough heat. Defective unit.
  
",1.0,Amazon Customer,"Reviewed in the United States November 19, 2019","









  
  
    
  Cooked pancakes and the Griddler does not get up to correct Temps. Lower plate peaked at 313F, upper plate at 253F. Not hot enough to brown pancakes. Have had difficulty getting a replacement, being directed to the wrong people, needing info on the unit while I was at work etc. I love the design and if we get a unit that works as advertised I would be delighted to keep and recommend it.Photo detail: green preheat light on when set to 425. Instant read thermometer may not be perfectly accurate, but when pancakes are completely dried on top and won't brown the heat is obviously too low.

  
",
7,7,"







  
  
    Awesome!  Awesome!  Awesome!!!
  
",5.0,Kristine M. Cook,"Reviewed in the United States July 4, 2016","









  
  
    
  I can't say enough great compliments about this griddle.  We had a Hamilton Beach griddle with two plates (one ribbed and the other flat) which we used consistently two or three times a week for many, many years and were slow to replace because we loved cooking with it so much.  My husband and I have decided that this one is better.  There is no timer (which the Hamilton Beach had) so that I didn't have to keep resetting it.  It also has controls of the heat which is very useful as well as the two plate construction that we liked in the former griddle, but it's now just one reversible plate with the Cuisinart.  We've made our usuals on it such as hamburgers, steaks, chicken, Italian sausage and peppers as well as pressed sandwiches like Cubans.  All came out perfect!  Also, one of the features that we liked about our former griddle was that we could cook meat right from the freezer to the griddle.  The Cuisinart griddle is no exception.  It's very convenient to be able to grab something out of the freezer and just place it on the griddle.  I don't know what the other reviewers were complaining about, but hooray for the Cuisinart griddle!!!

  
",
8,8,"







  
  
    Awesome Cuisinart Grill
  
",5.0,JW,"Reviewed in the United States February 1, 2018","









  
  
    
  I really like the Cuisinart Grill. It is just the right size and cooks both sides of the food item evenly and at the same time. The grill plates have 2 sides, one for grilling stakes or panini sandwiches, and the other side for grilling pancakes, eggs, bacon, etc.. It is easy to set the the temperature to handle different items. The grill plates are non-stick and are easily removed for easy cleaning. The grill has a removable try that collects grease and runoff from whatever you are grilling. Very easy to remove and clean. Also, the grill has a floating top grill that automatically adjusts for the thickness of your food item. I am very happy with my purchase, I use this grill several times  week.

  
",
9,9,"







  
  
    Performance & Warranty
  
",4.0,Keren4L,"Reviewed in the United States March 11, 2019","









  
  
    
  I bought the Cuisinart Griddler in December, purchasing the 3-yr warranty as well. I loved it!!! It was teriffic for steaks, burgers, pannini, waffles, etc. Two weeks ago, in the middle of cooking dinner, open-face position, it just stopped heating (dinner ruined). I unplugged it, cleaned it, and tried again a couple nights later - no go, wouldn't heat at all. I logged into Amazon to see if there were any reviews that might be helpful - there were quite a number of negative reviews around the warranty (which I don't recall being there when I ordered the griddler) and I feared that I would be in for the same outcome. I'm happy to report that the customer service representative with whom I spoke was extremely accommodating & helpful; she made the process so very easy: Cuisinart is sending me a new replacement for which I paid $10 for shipping (an amount I consider reasonable) & I am responsible only for cutting off the power cord of the no-longer-working Cuisinart, along with my contact info and the make and model number of the item. I thanked the rep for being so helpful and told her about all the negative customer reviews on Amazon around the warranty & assured her that I would post a very positive review. It's quite possible that all the negative reviews put pressure on Cuisinart to amend their warranty response. If so, I'm so very thankful to all those who posted the negative reviews. I am, however, so looking forward to receiving the replacement and putting it to good use.

  
",
