,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,296,"







  
  
    Good
  
",4.0,AnJunGyu,"Reviewed in the United States February 24, 2019","









  
  
    
  Good

  
",Color: Blue
1,301,"







  
  
    Quality
  
",5.0,jessie jams,"Reviewed in the United States August 10, 2018","









  
  
    
  Nice product

  
",Color: Blue
2,249,"







  
  
    Five Stars
  
",5.0,Alex Samaniego,"Reviewed in the United States April 9, 2018","









  
  
    
  It's perfect I love it! Everything came in that was in the picture and it's just amazing 😍😍

  
",Color: Coffee
3,44,"







  
  
    Begguner?
  
",3.0,Rick F,"Reviewed in the United States October 2, 2020","









  
  
    
  Tuning keys were very difficult to turn. You’re all quality of the guitar was great other than this little issue with makes it difficult to noon and stay tune I would recommend paying a little more friendly guitar to make sure that this doesn’t happen to you

  
",Color: Natural
4,23,"







  
  
    Pretty good bang for your buck.
  
",4.0,Harrison2022,"Reviewed in the United States February 13, 2021","









  
  
    
  I own an electric guitar and tried to learn how to play it, I thought it was okay to learn first. But, I learned from a friend at work that acoustic is/can be better for beginners. I don't make much money so I bought this one, cheap and quick to learn more. It works like any guitar would. I have found that when it was brand new, every day I picked it up to play it, the string were out of tune after I just tuned them the night before. It seems that they just aren't tight and need to be tightened a lot, they are new strings. After retuning it for 2 weeks everyday, it doesn't seem to come untuned again. Still, pretty good bang for your buck.

  
",Color: Black
5,7,"







  
  
    Not bad
  
",4.0,haz,"Reviewed in the United States January 8, 2017","









  
  
    
  Just as it has stated, I got all. Got 4 stars because each time you want to play, you have to tune it. All instruments have to be tuned. My pitch pipe is malfunction but  can tune the guitar using app on smartphone.

  
",Color: Black
6,203,"







  
  
    Great
  
",5.0,Barbara Turner,"Reviewed in the United States December 14, 2019","









  
  
    
  Granddaughter loves it

  
",Color: Coffee
7,122,"







  
  
    Have fun tuning it
  
",4.0,Chad I. Patrick,"Reviewed in the United States February 4, 2021","









  
  
    
  man ... tuning it is impossible

  
",Color: Coffee
8,137,"







  
  
    Ok guitar...rotten accessories
  
",3.0,Erin Navarro,"Reviewed in the United States October 26, 2019","









  
  
    
  The guitar itself is decent for a beginner.  The accessories that came with it are rubbish.  The bag broke on the first use, so did the strap.  The electronic tuner never worked and the pitch pipe sounds like a blue whale dying of emphysema.

  
",Color: Blue
9,0,"







  
  
    Beautiful Starter Guitar!
  
",5.0,Alicia Moulton,"Reviewed in the United States July 9, 2019","









  
  
    
  I love my guitar! 😊 I bought this guitar a year ago after deciding on a whim that I wanted to learn guitar but not wanting to spend too much money. I was looking for a good starter guitar and this was exactly what I was hoping to find! While you can tell looking closely that this beautiful guitar is cheaply made (for example, the rosette and sound boards are both stickers rather than being built into the guitar. They don't fall or peel off so I don't mind that, but that's one specific difference in quality compared to more expensive guitars), it is good quality for the price, has good sound, and still looks like a serious guitar. (It is a bit smaller than the standard size.) As some others have mentioned, it falls out of tune very quickly, but that felt easy enough to me to resolve with the tuner (included), pitch pipe (included), or by tuning it to a guitar tuning video on YouTube. This also comes with an extra set of strings, 2 different-style sound boards (you choose which to install/put on), a pick holder that you can attach to the guitar (I love this!), a set of picks, a strap, and a case. The case is not padded at all, so be careful, but I've still been able to use it to transport my guitar and am really happy that this guitar came with it because I wouldn't have wanted to spend money on a separate guitar case at this point. The case opens at the bottom and has an adjustable strap and pocket. I haven't used the separate guitar strap because there wasn't something to attach it to the guitar on both sides, but I could have figured this out if I had tried harder. I think there might have been instructions in the other reviews.Oh also, another perk of this guitar is the strings and fingerboard are very comfortable--at least for me. I tried playing a friend's guitar after playing this one, and the strings were spaced a little bit higher above the finger board than this one, meaning it required me to press on the chords harder to play. Playing this guitar was much more comfortable to me by comparison.If you are an intermediate guitar player or more serious than I was about your long-term commitment to guitar, you might want to get a more expensive guitar set.But for someone like me who wants something beautiful and functional but cheap, I leave this with a very definite 5-star review! I am thoroughly satisfied with this guitar set! I love that it is a complete set with everything I needed to get started and an excellent value for the price. I may upgrade someday, or I may be happy with this for my whole life as an amateur guitar player. I highly recommend this guitar. 🤩

  
",Color: Coffee
10,29,"







  
  
    Beautiful guitar!
  
",5.0,Felicia ,"Reviewed in the United States September 4, 2020","









  
  
    
  The guitar looks very nice and my son has been really enjoying learning to play it. I downloaded an app that is teaching him how to play songs. I am very happy that he is developing a new hobby. This guitar is great for beginners. It comes with a tuner, but I've found that the app I'm paying for tunes it easier. It also comes with a carrying case and pick. Great value for the money!

  
",Color: Blue
11,292,"







  
  
    Acústic Guitar
  
",4.0,Yaritza Soto,"Reviewed in the United States July 14, 2020","









  
  
    
  Nice!!

  
",Color: Blue
12,266,"







  
  
    Good
  
",4.0,Selin Mendez,"Reviewed in the United States June 28, 2018","









  
  
    
  Good

  
",Color: Coffee
13,346,"







  
  
    Happy with it!
  
",5.0,Jennifer,"Reviewed in the United States August 6, 2019","









  
  
    
  Giving 5 stars bc I really can’t find anything wrong with this package. Guitar feels nice and quality and shipping was fast. Blue color is beautiful. Daughter loves it, she’s 10 btw

  
",Color: Blue
