,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,3,"







  
  
    Worked for me
  
",5.0 ,LM,"Reviewed in the United States February 4, 2020","









  
  
    
  I needed to connect 2 monitors to my laptop. This hub has 2 HDMIs and I was able to connect two 34"" monitors to my laptop, now i have 3 screens to work with. I connect the hub to the USB C to my laptop, so i dont need an extra power source for the hub. I connect my keyboard and my mouse to the hub via USB. I have the memory card in the hub at all time, so i can save to it if needed. I would recommend this hub.

  
",Color: Space Grey
1,9,"







  
  
    Very good, higher price, lots of ports, Lots of Tests/Stats in review
  
",5.0 ,Christopher C.,"Reviewed in the United States July 25, 2020","









  
  
    
  My background: Macbook pro user, not a super user but very tech savvy. Can use more ports on this than most and have tested various scenarios I have run into before.Turns out many of the USB-C hubs are either made by or sold by the same groups (probably both). They are all made in China even name brands. I have a TOTU one that I am sure is made by the same people or distributed by the same people. The TOTU one is the 13 in 1 just like this. They essentially have the same functionality with this Tiergrade one having a USB-C port instead of a 3.5mm jack output. Here is the one I'm comparing and have had for over a year. https://smile.amazon.com/gp/product/B07Q9JXWTP/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1I don't really need the 3.5mm output on my Macbook Pro (15 inch 2019, i9) as it has one natively. However what I do need is an easily portable solution that has all the ports I need. The main specs for the two are identical and really the difference is the one port I mentioned and the layout.Comparing this to the TOTU it has a different layout with all the USB on one side. The TOTU has a split design where it has a USB 2.0 on the side with the HDMI and the rest of the USB are on the opposite side. This Tiergrade has all USB data connections on one side and the USB PD port on the other side with the HDMI and SD card stuf (basically a power only port that you plug into your USB C power adapter).This layout is more logical in that you don't have to worry about flipping it around to find which ports you need as all USB ports for connecting anything are on one side. The downside is you have to have everything on that one side.It used to be that we worried about usb 3.0 next to a usb 2.0 and RF interference so that could be why the TOTU has that design. I put a USB 2.0 unifying receiver from logitech into the 2.0 port next to a usb 3.0 while it was connected to a hard drive. I did not notice any interference which was good.The ethernet reports in at gigabit connections to my router. I ran a speed test and it ran at my maximum internet connection. I didn't test a full saturation throughput with gigabit ethernet because... well who really saturates a gigabit ethernet connection very often? I doubt I have ever.It does get hot like all the others especially when powered and has multiple things connected.Edit: After contacting the company regarding the second HDMI port flickering they sent a new one. It was still flickering with the cable I used. Re-ran the tests with a different cable (HDMI premium high speed certified) and it did much better. Normal response and no flickering. Moral of the story is to try a better cable when trying to do 4k HDR! With another cable it was fine only through one port. I'd say that some hardware is more picky than others.SD Card transfer was decent. I had a Sandisk Ultra with some pictures on it rated at Class 6 speed (30MB/s). The transfer rate to my Macbook was about 23 MB/s so not bad. It transferred 2.85 GBs of data in about 2 minutes. I'm betting if I had a faster card it would hustle more but I'll leave someone else that test. My faster cards are at the office...Power delivery through the hub is about 8 watts less than the adapter itself. So you can probably guess the hub takes about 8-10 watts depending on what is connected. I tried two different power adapters. One a 90 watt and the other an 86 watt adapter. Both registered 8 watts less when connected to the hub vs directly to my Macbook. This is about normal from what I have seen. I even had a bus powered USB drive connected and it still showed that reading.A few big pros: this has a longer cable than the TOTU and a more useful USB C port which in this day and age is a better choice unless your computer doesn't have an audio jack. But most of the time we are dealing with wireless audio with bluetooth nowadays! It also has rubber feet on the bottom which a are nice touch to keep it from scraping or moving as much. This thing feels sturdy and all the ports work as expected. USB 3.0 didn't interfere with RF for wireless mouse like others have - better shielding.Cons: It's thicker but shorter than the TOTU. It is blue so it doesn't look like a macbook pro space grey which isn't really an issue. The blue is not a bad color just doesn't match the macbook. Must use a quality HDMI cable (Cable Matters was what I used). It gets very HOT... but they all do.Overall I'd buy it but make sure you test all the ports you are going to use with the cable you are going to use.  I contacted the company and they sent me a new one to test. When it had a similar HDMI port issue they troubleshooted that it might be the cable. They were right! I needed another one for my home ""dock"" so I'll probably leave one of the two at home connected to all the peripherals. Thanks for reading!

  
",Color: Space Grey
2,8,"







  
  
    Works with usb-C, but no video on hub with USB 3 A to USB C adapter
  
",3.0 ,Joseph Poirier,"Reviewed in the United States April 28, 2020","









  
  
    
  Love the size of the TG-Hub015, but require a solid power setup for its USB-C power jack. Dell work laptop blue-screened multiple times, and was losing power with 2 monitors connected through the hub. Since video can cause blue screens during updates, tried a phone charger. 2. Tried with Lenovo using USB A to USB-C 3.1 Adapter - HDMI display did not work. Any drivers for HDMI through adapters?

  
",Color: Space Grey
3,1,"







  
  
    Great addition to my MacBook Pro
  
",5.0 ,A-A-ron,"Reviewed in the United States November 18, 2019","









  
  
    
  Great addition to my MacBook Pro and iPad. It's a great portable addition to have all the extra ports I need. It is small but has everything. It doesn't overheat which is nice. Seems durable and well made. I like the ability to charge through it as well so I can have everything plugged into the one port. It works quickly and seamlessly and haven't had any problems connecting.

  
",Color: Space Grey
4,2,"







  
  
    WOrth every penny for this hub
  
",5.0 ,,"Reviewed in the United States November 21, 2019","









  
  
    
  Bought this USB C Hub for my Pixelbookgo so I could connect my wireless bluetooth mouse. Was debating on a lot of varieties and ended up with this one. I have not regretted choosing this over the others. Yes it is pricey but this hub offers everything that I needed for the purpose of my chromebook. it has 2 HDMI which i needed for a split monitor purpose. enough USB ports (3) for mouse, keyboard & printer. The performance of this hub is instance. ONce i hooked it up, it starts right away. TOtally recommend this hub.

  
",Color: Space Grey
5,4,"







  
  
    Works great, but gets hot when connected to power adapter for charging laptop.
  
",4.0 ,Chue Xiong,"Reviewed in the United States January 5, 2021","









  
  
    
  Have been using for about 7 months for work and personal. Nothing broken that I'm aware of.Pros:This works great for connecting my 2 monitors via HDMI, mouse  keyboard via USB-A, a micro-usb charging cable for the keyboard and mouse, and charging my dell work laptop.Hub will work when connected to the laptop only. Does not need a power adapter for it's own source of power.  Hub is small.Case and paint is durable. Case is very lightweight.Con:Gets hot when I connect my laptop charger's usb-C cable to the hub to charge my work laptop through the hub.  It does cool down relatively quickly.The maximum power passthrough to the laptop seems to be 65w.  Thus, it won't charge laptops that require a higher charging capability (e.g. 2019 Dell XPS15).The usb A ports seems weak/or does not support fast charging.The microSD card transfer speed is really slow for transferring pictures and videos.The usb-c cable to connect to the laptop is short (like 5 inches).

  
",Color: Space Grey
6,7,"







  
  
    UPDATE: Issue was with extension cable
  
",3.0 ,B. Ploskina,"Reviewed in the United States June 16, 2020","









  
  
    
  I received this today and was very excited to use this with my new surface laptop.  The two HDMI ports work perfectly.  But the USB ports do not work at all.  I even plugged the device into a USB C power supply and it still won't work.  So my USB mouse and keyboard won't work.  I have e-mailed the company and have received no reply hours later.  I was really hopeful for this.  I will update this review if the company gets back to me and develops a way to get this working.UPDATE: I lowered my review to 1 star because it's been a full day and no one has returned my e-mail to the company about the issues I am having.  Seems tech support is non-existent. Buy at your own risk!UPDATE 2 (6/22/2020): I FINALLY troubleshooted (toubleshot?) the issue on Microsoft's Web site and discovered the issue was NOT with the Tiergrade device but with the UCB C extension cable I purchased. Once I connected the device directly to the Surface, everything worked perfectly! I'm still deducted 1 star for such a short-a** cable, and 1 star for absolutely zero tech support. Had to find out this answer on my own.

  
",Color: Space Grey
7,5,"







  
  
    No more need to carry multiple adapters to have more functionality of my devices
  
",5.0 ,BravoMan,"Reviewed in the United States September 25, 2020","









  
  
    
  I bought this USB C hub because I have a lot of equipment that has a very limited amount of ports, especially my MacBook and ultra thin HP laptop. Both of these devices only have a handful of USB C ports and not much else. This makes it hard for when I want to connect an external monitor, keyboard, mouse, and so on to either one of these devices. I have a small selection of individual adapters to provide more USB ports and a way to connect to external monitors, but those adapters end up taking up the limited USB C ports that I have.With this hub I can now connect up to three external monitors, thanks to the two HDMI ports and the VGA port. I can connect up to four different USB devices with the 2 USB 2.0 and the 2 USB 3.0 ports. I can also charge my devices directly through the USB hub without taking up another USB C port. I also like that there is a little bit of rubberized material on the bottom side of the hub. This helps prevent the hub from sliding around my desk or making a lot of noise if it does move around.I also tried it on both my Android phone and iPad and it works great on both. I really like that I can use Samsung Dex on my phone when I plug this hub in, effectively turning my phone into a computer on the go.For anyone that needs more ports on their devices, I highly recommend trying this USB C hub out for yourself!

  
",Color: Space Grey
8,10,"







  
  
    Awesome, works perfect, good gift
  
",5.0 颗星，最多 5 颗星,Zachary Burnett,2020年9月29日 在美国审核,"









  
  
    
  I bought this as a present for a co-worker who bought a new MacBook pro which came with no USB ports. This was a great addition to just put into the USB - C and have a lot of different capabilities.I tested everything but the HDMI and VGA as I don't use bigger screens. Everything worked properly, issues I've had in the past with other items similar once connected they would disconnect then reconnect then disconnect over and over. This one the connector for the USB-c is a tight fit and doesn't jiggle around.I rate 5/5

  
",Color: Space Grey已确认购买
9,11,"







  
  
    A perfect and great USB C HUB
  
",5.0 颗星，最多 5 颗星,Shukrullah Poyan,2020年1月7日 在美国审核,"









  
  
    
  I like this HUB and I recommend this.*Likes**I like this most from the all of my USB HUB because this one has all kind of ports and most number of ports you may need in the hub. This is smallest side docking station I have ever used.*HDMI: HDMI to HDMI - Works well, HDMI to DVI converter - works well, HDMI to Display Port - works well.*VGA: Works well - This is very useful and handy since many old monitor works with only VGA port.*VGA+HDMI or VGA+HDMI+HDMI: I like this most as Both port works together and displays two separate monitors form the laptop.+USB C: works well, USB-2.0: Works well & USB-3.0: works well+SD card: works well.+Ethernet: tested up to 200Mb/s - works well.+Audio: Audio and mic - works well.Overall, this is very well designed USB HUB that has all the connectivity in one. Quality of outer case is very well and durable. Came with nice soft cloth case.I like this HUB and I recommend this.

  
",Color: Space Grey已确认购买
