,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,59,"







  
  
    not reliable, flimsy nosepiece
  
",1.0,safetyconsult,"Reviewed in the United States January 24, 2021","









  
  
    
  Warning, these masks do not provide a proper seal, the nose piece is flimsy, I do not believe these are FDA approved and will report them. False advertising

  
",Color: White
1,91,"







  
  
    Not suitable for large faces
  
",3.0,troutfeather,"Reviewed in the United States January 25, 2021","









  
  
    
  Workmanship appears adequate.  Made in China apparently for Chinese-size heads.  Ear loops are short and uncomfortable but do appear to be well anchored.  Overall measurements seem designed for smaller faces.  Definitely not suitable for beards.  Nose-piece is adjustable but it takes more work to get it to fit properly than flat masks.  I think I could only recommend this for small to medium faces without beards.

  
",Color: Black
2,111,"







  
  
    Something foul
  
",1.0,Alexandra Personius,"Reviewed in the United States January 26, 2021","









  
  
    
  These masks made our throats hurt, even causing canker sores, there is something nasty in these. They are good construction and comfortable, but whatever is in them isn't clean. Used 2 masks total and now it's a waste. Rather wash fabric masks and be blinded by fogged up glasses than have to wear these again. Don't buy.

  
",Color: Black
3,163,"







  
  
    Masks are too small
  
",2.0,WMJ,"Reviewed in the United States February 9, 2021","









  
  
    
  These mask seems to be of decent quality but they have a small surface area, especially from the top to bottom.  If I move my jaw just a bit, like when talking, the mask will slip down on my nose.  Don't know if they would work for someone with a small face as the ear straps seem to be average length.Have bought other K95 masks that are slightly bigger, just as good if not better quality, and fit perfectly.

  
",Color: Black
4,144,"







  
  
    Very good mask!
  
",5.0,Angel,"Reviewed in the United States February 8, 2021","









  
  
    
  I work in a hospital and these masks are very comfortable and have a tight but comfortable seal.  The only minor problem is after wearing them for several hours, they are just a little bit hard to breathe in. We don’t use anything else though.  We feel very well protected.

  
",Color: White
5,211,"







  
  
    Excellent Protection AND Comfortable
  
",5.0,Amazon Customer,"Reviewed in the United States March 14, 2021","









  
  
    
  It's a mask....function, rather than fashion, is paramount.  These masks offer full multi-layer protection with just enough interior space to allows for breathing!  Ear loops are comfortable with adequate stretch.  Mask seals comfortably against face for good protection.  And these masks also come with instructions for cleaning!

  
",Color: Black
6,41,"







  
  
    Provide more protection
  
",5.0,Gardenia,"Reviewed in the United States January 26, 2021","









  
  
    
  We ordered these and have been wearing them at work for the past 2 weeks. These are KN95 masks and provide much more protection than the cloth or disposable ones we were using. They're comfortable to wear, much easier to breathe, fit snugly around your face while leaving space for you to talk without having to keep repositioning the mask, don't fog your glasses, and fold up neatly when you take them off. They are also reusable. Simply let it air out for a few days before using it again. You can use one, set it aside, use a different one the next day, set it aside, same for a few days, and then start the rotation all over. Don't use soap and water or alcohol-based desinfectant to clean them. Just rotate them, airing them out before using them again.

  
",Color: Black
7,86,"







  
  
    Low air flow, they do not have holes punched in them
  
",3.0,Kindle Customer,"Reviewed in the United States February 23, 2021","









  
  
    
  I see it has been written that they have dozens of holes punched in them. I thought so at first as well.But if you look at the outside of the mask in a bright light you will see that the ""holes"" are actually heat welded seams. They reflect light. They are solid heat welded areas that are more transparent, so they can appear to be holes. But they are not holes at all.The masks are comfortable, but they do not pass air nearly as well as what I am used to with a 3M or especially a Moldex N95 mask. Nor do they seal as well around the nose. For me anyway. They suck tight to your face when you breathe in.I'd say they are as good as the typical disposable ""medical"" type mask a lot of people wear and that seem to be acceptable for reducing the risk of contracting bugs. Those don't really seal around the perimeter at all.If the filter medium restricts air more, then more air will slip through the perimeter, thus unfiltered.So I would not wear them around serious risk areas or for construction where you are trying to filter out drywall dust, fiberglass dust, etc.Personally I doubt that they meet the USA N95 specifications.

  
",Color: Black
8,32,"







  
  
    5 layer mask, feels safe
  
",5.0,John D. Robles,"Reviewed in the United States February 18, 2021","









  
  
    
  Some have said that these are really 3 or 4 layer masks, but they are not. I cut one apart and easily found four layers,  but by looking close and tearing them apart, the white material inside the black material is two thin layers, so these truly are a 5 layer mask. I have a little trouble being understood sometimes while wearing them, but I would rather have the extra thickness that you don't have with the standard surgical masks. I was double masking as advised by the CDC, but with these masks it is not necessary. They make me feel much safer. One review was written by a nurse who recommended these, and that is a good enough review for me! I recommend these masks.

  
",Color: Black
9,26,"







  
  
    Flumsy
  
",1.0,Savannah Inez,"Reviewed in the United States December 26, 2020","









  
  
    
  These are not in 95 masks and they are pretending to be that so there is a truth in advertising thing going on here. For untruth rather. Deja flimsy and they don’t smell good

  
",Color: Black
10,319,"







  
  
    Comfortable mask for most folks
  
",5.0,Allen K. Harwood,"Reviewed in the United States March 1, 2021","









  
  
    
  My mask fits like a glove and I think I'm getting more protection. My wife's face is a little smaller and she does a lot of typing. She says looking down a lot causes the mask to touch her eyes and is not as comfortable.

  
",Color: Black
11,150,"







  
  
    I wear them all day every day
  
",5.0,Danielle,"Reviewed in the United States January 29, 2021","









  
  
    
  I purchased these three months ago and work in congregate care for children and am in daily direct contact with children and adults. So far, so good. I wear these all day every day and forget I’m wearing it. I have them on hooks labeled Monday through Friday and will reuse a few times before switching out. I’ve been contact traced but have luckily never gotten COVID thanks to several safety precautions, one of which are these masks.

  
",Color: Black
12,52,"







  
  
    Poorly Made >> The Elastic Snapped On 1st Use >> Returning For Refund >>
  
",1.0,RAKIIIWeymouthMA,"Reviewed in the United States January 3, 2021","









  
  
    
  Not sitting with a hot glue gun to reinforce the elastic straps so that they don't snap/pop off of the actual mask fabric.I would look elsewhere.Of course, must of these masks are made by the ChiComs, so it's hit or miss with the quality.They don't believe in quality control.This product shows this to fact.

  
",Color: White
13,188,"







  
  
    KN95 face mask
  
",4.0,Norbert Wessely,"Reviewed in the United States January 17, 2021","









  
  
    
  I feel very well protected when I wear this mask, the only issue I have is that it can get very warm on your face.  I feel it doesn't breath very well so I wear it only for a short period of time when going in and out of stores, restaurants, etc.  I would not wear it working out in a gym.

  
",Color: Black
14,292,"







  
  
    Highly recommend
  
",5.0,KellyD,"Reviewed in the United States March 11, 2021","









  
  
    
  Ordered the black and white masks. Arrived fast and packaged well. The masks are well made, soft and comfortable. Fit my face and my husbands face very well. The nose part can be formed to fit snuggly around your nose. Highly recommend.

  
",Color: Black
15,179,"







  
  
    Poor Fit, Scratchy Mask
  
",1.0,Sim,"Reviewed in the United States February 11, 2021","









  
  
    
  Mask material is very stiff and very scratchy due to the way the seams are sealed. I couldn't wear it comfortably for more than a minute. It also is impossible to get a decent fit even with added strap tighteners - air still leaks (a lot) out of the top.  I'm a big guy, but even so these can't fit. Use a blue procedure mask with a cloth mask over it and if that works for you then you've got more than this mask provides.  Just don't buy this turkey.

  
",Color: Black
16,0,"







  
  
    KN95
  
",5.0,Frederick Cook,"Reviewed in the United States December 10, 2020","









  
  
    
  I’ve been using these masks, Throughout the pandemic. I like them and as I am a nurse I’m very confident of recommending them. They are comfortable and soft, wear as recommended. I use one per week on average and spray them with alcohol and allow it to dry each time I use them.

  
",Color: Black
17,262,"







  
  
    Great protection feel safe now
  
",5.0,martha,"Reviewed in the United States February 3, 2021","









  
  
    
  I amvery sastify with this mask, I did two test to find out if are good and it pass the test. 1 test is put water and see if links, if is a bad one will link. 2.blow a candle or lighter, I did and it pass the test.  I feel happy to find a mask that pass this test.  Recently I bought a different mask and it fail the test, so I did return them.

  
",Color: Black
18,84,"







  
  
    Great fit and breathability
  
",5.0,Matthew Frost,"Reviewed in the United States March 3, 2021","









  
  
    
  These masks fit very nicely on my larger face and my wife's smaller face. As both of us wear glasses, the vertical fold style fits over our noses and when pinched with the built-in metal nosepiece reduces fogging better than anything else we've tried.We wear them under the three-layer washable Gildan cloth masks we bought back in the summer, and the fit saves us from having to try and jam the cloth mask up under our glasses and up against our eyes to get it secure. And the washable cloth masks protect these masks from as much exposure, so we hang them on command hooks to let the germs die, and rotate through a few of them each week. (It helps to number them, so you don't forget which ones you've worn when.)I like that these are fused masks, not stitched—that's what the lighter spots are, the synthetic filter layers have been heat-fused together. And the wider fused base that gives the straps seems to make them much more secure to the mask than other disposables I've used.These seem to be legit, the packaging has its own batch numbering and they come with a stamped slip showing that they're the Chengde masks that have been tested. And it's much harder to smell things when I'm wearing one, even as breathing is not a problem, so I'm going to say they're at least adequate at filtration.

  
",Color: White
19,138,"







  
  
    Too big for smaller faces
  
",2.0,A. N. Drogynous,"Reviewed in the United States December 2, 2020","









  
  
    
  I was hoping to finally find a comfortable n95 or kn95 mask and have a few to spare but these are not one-size-fits-all adjustable. Messing with the nose piece does virtually nothing, I would have to cut around the chin area if I don't want to look like I have jowls. There is no ""seal"" between by face and the mask anyway so I can't use these effectively at work. This size is way too spacious for a thinner faced adult so I'm doubting any child who hasn't been photoshopped would be out of luck as well.

  
",Color: Black
20,382,"







  
  
    It's a good mask.
  
",5.0,Joan Wilson,"Reviewed in the United States February 23, 2021","









  
  
    
  It's a good mask--fits tighter than surgical mask I had been using for Covid-19, which I'm told is important.  Because of that, the strap fits tighter at ears requiring a second or two of extra adjusting.  Worth the effort for the five layers and tighter fit.

  
",Color: Black
21,109,"







  
  
    Seen to be Good Quality
  
",5.0,Iklwa,"Reviewed in the United States January 10, 2021","









  
  
    
  These masks are thicker than the standard Amazon mask most common in the market.They pass air acceptably well for non-physical activities.I do not believe any mask on the market actually prevents the passage of the ChiCom virus much less any other virus. The diameter of the bug is much smaller than the filtration level of most ""prophylactic"" masks not using a contained air source.

  
",Color: Black
22,392,"







  
  
    Plenty sturdy enough for hard workouts
  
",4.0,rich,"Reviewed in the United States January 4, 2021","









  
  
    
  This is exactly what I needed for some extra exercises since my local gyms are still closed. I would have rated it a 5 except for the rubber ends for the feet wont go in, but no big deal there.

  
",Color: Black
23,60,"







  
  
    BEWARE: Love the Mask but it is NOT an approved KN95
  
",3.0,CristinaReads,"Reviewed in the United States February 18, 2021","









  
  
    
  There are lots of positive reviews here and I don't mean to discredit any of them, but regardless of how comfortable these are, they are NOT on the approved list. There is an image in the product description that shows a letter supposedly from the FDA. While I am not disputing its validity, I did google the EUA number that appears in the letter and it took me to a site which said, in essence, that these are not FDA approved. Having said that I will also add that I am NOT returning mine. These are beautifully made and have many layers. I'm sure it offers adequate protection. I'm only giving it three stars because it is being advertised as if it is an approved KN95 and it is not, so take that into account when ordering.

  
",Color: White
24,185,"







  
  
    Foldable, not bad fitting
  
",5.0,nh,"Reviewed in the United States March 8, 2021","









  
  
    
  I purchased these because they are N95 foldable masks. Initially they seem to have a bit of an odor when taken out of the package, but that odor goes away quickly.  People wearing eyeglasses can/will experience glasses fogging up, but not bad.  I shared what I purchased with some friends.  They seem to like them too.  I would recommend these as a purchase that is useful.

  
",Color: Black
25,146,"







  
  
    Great fit and look.
  
",4.0,Phil,"Reviewed in the United States March 3, 2021","









  
  
    
  I bought them because they were KN95 and black. I had some in white but thought black would look better. They fit very well! The elastic band is not too tight so my ears are comfortable.But, they do have an initial smell I suspect is due to the black dye. I found that taking a set out of their plastic bag (they come in sealed groups of 5, which is a plus) for a day to air out, the smell goes away. But that is why I give only 4 stars.  Would buy again.

  
",Color: Black
26,408,"







  
  
    Best for Folks with Small Heads
  
",3.0,Nicla S.,"Reviewed in the United States February 17, 2021","









  
  
    
  This could be a great product, but the bands that go behind the ears are too small, so the mask doesn't stay on my face. I'll find a workaround, but unless you have a small head, this product may not fit

  
",Color: White
27,2,"







  
  
    This is exactly what I was looking for
  
",5.0,Smun,"Reviewed in the United States November 22, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   These mask are perfect becaaue the other ones I was using sat directly on my lips and made me feel like I was suffocating. Although these ones give me a bird like look they make it so I feel like I can breath. They're also layers which offers extra protection.

  
",Color: White
28,271,"







  
  
    I can breathe!
  
",5.0,Tom Clark,"Reviewed in the United States February 13, 2021","









  
  
    
  Well made.  Comfortable.  Seems to seal as well as anything I've had on my face.  And most importantly, when I inhale the material stays in place and doesn't try and smother me like the cloth masks I've been wearing for the last year!  I'll be buying more!

  
",Color: Black
