,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,5,"







  
  
    Would recommend!
  
",5.0,Megan Dugas,"Reviewed in the United States December 8, 2018","









  
  
    
  So far so good! This was purchased as an early Christmas gift. The enter key and space bar design make for a very comfortable gaming keyboard. The keyboard itself has a matte finish over the keys, making them comfortable and easy to use. The extra keys are super nice as well, one of them along the top will open your My Computer folder with just the touch of a button, its function keys are akin to almost having a laptop keyboard for your desktop, allowing for easy access to things just from your keyboard, rather than needing to constantly adjust your speakers to your computer, or vice versa. The mouse is a little bulkier than we are used to, but it has good response times and the buttons are springy and respond well on both keyboard and mouse. Overall would recommend as a good budget gaming mouse/keyboard combo.

  
",Color: Black
1,16,"







  
  
    Great Rainbow LED keyboard and mouse set
  
",5.0,Kagedws6,"Reviewed in the United States February 27, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   I love the color setup on the keyboard and how you can choose to turn it off, on, and ""breathing mode"" where it phases in and out.  the colors are preset and do not change on the keyboard.  The mouse does change colors but from what I can tell there is no option to pick 1 color and stay on it.  I'll be setting this set up on my daughter's gaming pc which I feel will help her because she lights to play without the overhead lights on and the LED lighting on the keyboard really helps you see the keyboard in the dark.  I had recorded a video of the mouse color patterns too but it seems we can only upload one video per review.

  
",Color: Black
2,58,"







  
  
    Great keyboard for the price
  
",5.0,Sandy Narrington,"Reviewed in the United States January 13, 2021","









  
  
    
  It has been 9 months and I can't say much about how good the mouse is because my husband only used it for a couple of months and didn't like the feel of it so he got a new one.  It worked good but while playing COD he hit the side left button by mistake too often.  He loves the keyboard and it is still working great but the W paint has rubbed off because that's his run button.  It still works perfect but we are remodeling our house, he built a new desk and he got a new keyboard(same one but without the mouse).  He will use this one as a back up.

  
",Color: Black
3,66,"







  
  
    Switching from Controller to this was a Great Decision!
  
",5.0,Max P.,"Reviewed in the United States October 5, 2020","









  
  
    
  So I recently switched to PC from PS4 for gaming. I play FPS, in particular Warzone.I used to play on keyboard back on counterstrike 1.6 days... so it’s been a while. The keys are very responsive. It only has one pattern of rgb but it can go bright or dimmer with breathing pattern options.I can’t say it is all coincidental, but I went from 1 win every other day to getting like 3 wins a day in warzone. The mouse quick change in dpi really helps with steadying snipes or snapping turns to 360 an opponent that catches you off guard.

  
",Color: Black
4,33,"







  
  
    straight to the garbage
  
",1.0,Mickavellian,"Reviewed in the United States September 9, 2019","









  
  
    
  I have been a PC professional  since  1985. Was director of Technology for  Liusky Int (Magitronic  VP of engineering for Channel Communications and  VP of technology for Harman/Kardon and I have NO clue any anything but junk one can  call this piece of garbage  anything but junk. YES it is dirt cheap. BUT at any price this is junk and the people ""loving"" this are not qualified to judgeFirst. the  lights have three  levedark, less dark and slightly lesser dark. but they are not ""bright at all.someone kidded themselves into calling it  ""Mechanical""NOPE it is  NOT mechanical it is membrane  and bad one.there is no ""click"" and it overheats VERY fastAs I said JUNK.

  
",Color: Black
5,21,"







  
  
    Cheap, but decent
  
",4.0,Torrence Meister,"Reviewed in the United States April 18, 2019","









  
  
    
  For the price, I'd call it a decent keyboard, but it doesn't appear to have any macro capability, which in my own book leaves it unfit for a gaming keyboard - I always need that one 'click at top speed' macro for the games that insist on rapid clicking for normal play.  Still, the keyboard has the pretty lights, buttons to control PC volume, and the keys are quiet (no clicky noises).  The extended front looks like it's trying to function as a wrist rest, which I personally feel falls short of the mark in the worst possible way... but it's probably a 'your mileage may vary' thing.  Some people may well like the extended front, but that very feature may force me to replace it with a keyboard that I can use a proper wrist rest with.Oh right, it ships with a mouse too.  It's no trackball so I've stashed it in a drawer for the fateful day my regular mouse breaks... lets give that a quick look.  Snazzy art design . . . decently bright light if I plug it in...  the mouse wheel does not support left/right motions, but most people don't use that mousewheel function even when it's present... and the blinking the mouse doeswhen I change DPI settings would be an issue in an unlit room (epileptic seizures being things that like triggering from blinking lights)... half the point of having a glowing keyboard/mouse being to use them in an unlit room, I could see that actually being a problem for some users.  But the combo mouse/keyboard still looks snazzy, and for some it's the looks that matter.

  
",Color: Black
6,24,"







  
  
    Don't eat fries or chips while using
  
",2.0,steve thonus,"Reviewed in the United States June 30, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   The kb has good action and fairly standard placement of keys, though I often hit the volume down key when I mean to press Ctrl.You will notice 2 things from the picture: The keys wear out from natural oils on the skin, food oils, and frictions.  There should be some protective coating.The caps lock is missing.  I always remove Caps  Lock because it is annoying that it activates so easily - it should be a multi-key toggle or a real switch.  The insert/ overwrite mode can also easily ruin a writing session,  but these are problems endemic to ALL keyboards. Pardon my rant.Turn the lights off, put stickers on the keys and it's a decent kb though.The lighting is bright enough, but these tired old eyes could use larger symbolsThe sequencing has a few presets and adjustments for timing and brightness.I have an older Letton which looks exactly the same (with more worn out letters) that has a more pleasant sequencing for the kb and mouse.Wouldn't it be great if there were a cross platform Python interface to control the lighting sequence?Another triviality, but fun.

  
",Color: Black
7,57,"







  
  
    Old design good, new design bad. Anything review dated before 2020 is a review for the old design!
  
",2.0,Gadgetsprime,"Reviewed in the United States December 17, 2020","









  
  
    
  First and foremost, they changed the design, most of the reviews you see here that are positive are older reviews from 2019, when they had an actually good design. So, please disregard any review that came from before 2020, as they are not talking about the same mouse and keyboard you potentially will be buying.That said, onto the new design review-The mouse LOD (lift off distance) is rather high, which means if you lift your mouse off the mousepad at all, it'll still keep detecting movement even if you're half an inch off the pad. This can be extremely inconvenient as it will mess up your movement. The newer mouse design is a bit heavier then the previous design, but not too bad. Its shape is mediocre, but acceptable too. Its biggest flaw however, is definitely the LOD which can inhibit movement during gameplay so be aware of that. Perhaps it could be fixed with a little tape, but I'm not terribly sure- as is however, sensitivity of the sensor is way too strong.As for the keyboard, the design is also mediocre- Its a pretty standard keyboard design, which generally is passable but nothing great. Unfortunately, within a minute or two of typing and gameplay, my wrist started hurting and I'm unsure if it was was from the mouse or the keyboard (I'm actually inclined to think keyboard) but either the mouse or the keyboard had a design that wasn't super great for comfort/wrist health. In addition to that, the new keyboard design lacked some keys from the previous design- Which essentially played the role of the FN keys- and although the feature is now in the FN keys, it is not nearly as convenient or efficient as having the keys separate.Havit, if you're not going to go back to the old design, would you potentially consider making a separate page for the old design? I know I certainly would buy a brand new set of the old model if you were to sell it, as it was quite good and was a different design wise then other keyboards I have come across, including your newest design. Or perhaps consider making a new design that incorporates more of the old designs? (For both the keyboard and mouse, both were quite good!)To customers, I am intending to ship back the set of the 2020 version, and maybe the set will work better for you, but it doesn't quite work for me. If you do decide to buy it however, hope it works! :)

  
",Color: Black
8,51,"







  
  
    If you're a new gamer, this might not be so bad for you.
  
",3.0,Rebekah Mathis,"Reviewed in the United States December 17, 2018","








  
  Your browser does not support HTML5 video.










  
  
    
   The keyboard is super light/feels cheap. As seen in the video, bumping the keyboard hits certain keys unintentionally. Non adjustable RGB lighting, only dimming options. Bought this for my ex while on deployment, decided to give it a shot now since I'm back and cleaning out all of my old stuff, it's not worth it. You can get a steel series keyboard at Walmart for roughly the same price with more durability.

  
",Color: Black
9,86,"







  
  
    Manufacturers warranty on mouse
  
",3.0,Amazon Customer,"Reviewed in the United States June 14, 2020","









  
  
    
  Hi I bought this product about 6 months ago and when I was playing with it I heard a click. I didn’t think much of it but when I got back on I saw that I couldn’t use the left mouse button wasn’t working correctly. when playing certain games reaction time and response is key but it would have a big delay to respond and made me lose a lot but I thought it was just the game until I tried other games. The same thing happened to me and I would have a large noticeable delay for everything. Then I tried to use a office mouse that is not meant for gaming... but that was completely fine and it worked well. Then I realized that the mouse button had broke. So I was wondering if we could have a replacement If not a refund or if it has a manufactures warranty?

  
",Color: Black
10,120,"







  
  
    Pro: Best budget gaming keyboard~mouse I have seen so far. Con: The placement of the Keys
  
",4.0,fred,"Reviewed in the United States December 12, 2019","









  
  
    
  Overall 4/5, I loved the keyboard and the Mouse, but there is 1 major issue I have found so far.ConsThe first one, the biggest issue for me haha, is the position of the keys in the keyboard, the usual keyboards has from the Esc to the Ctrl key as the first keys from left to right in the keyboard. but this one has new column in there with the controls for the music. Making you to ""learn"" again how to get used to the keyboard.  And that's really stressing for me, as all the keyboards I've used so far have the Esc~Ctrl Column as the first one. But well the pictures from the post show you how the keyboard is, but well I didn't paid attention to it, so it's my fault.Pros:- Super soft and comfortable touch for membrane keys- Comes with multimedia keys (pause/play, backward/forward, volume up/down)-- The spacebar is bigger than normal which is great for gaming and for typing- You have the option to adjust the height with two settings- The mouse feels great in my hand

  
",Color: Black
