,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,509,"







  
  
    It’s so simple to use, great quality at an affordable price
  
",5.0,David Borja,"Reviewed in the United States March 28, 2020","









  
  
    
  The installation is super easy, just peel and stick. However, note that you can’t connect strips together if you buy two separate strips. The set up was easy as well, they provide a booklet with instructions. At first, I thought the music syncing wasn’t working, but figured out that you just have to play the music loud enough for it to sync. I just played with the volume on a speaker until was at a good volume and the lights were able to sync. With that note, you can only use music sync if you’re playing music out loud. Overall, very satisfied with the product, but wish it came in lengths longer than 30ft.

  
",
1,916,"







  
  
    Great product
  
",4.0,Monica Sanchez,"Reviewed in the United States May 10, 2019","









  
  
    
  Easy to set up, adhesive is a bit tricky it will come off with the backing if not careful. So far I have had no complaints with these lights I used them on the back of a round mirror and created my own “ring light.” Love all the features you can play with on the app. Only issue is it’s been turning on by itself, noticed it last night and then today when I got home from work.

  
",
2,836,"







  
  
    Does not light up right
  
",2.0,Danielle E. Martin,"Reviewed in the United States January 16, 2021","









  
  
    
  Had to buy double sided tape. When on color red 2 lights light up green. Same with other colors

  
",
3,578,"







  
  
    not a fan of the color white
  
",4.0,Thomas F,"Reviewed in the United States March 20, 2021","









  
  
    
  Honestly the LED strips are pretty cool. I bought these because I wanted to have white LED strips around my mirror. After playing with the remote and using the app for the strips. I still couldn’t find the correct color white for the strips.I even played around with the warmth of the white and still no luck. It comes out as a light blue color and I really dont like that tbh. Every other color was pretty cool, but the white color wasn’t that great.

  
",
4,764,"







  
  
    LED strip dieing after 2 months of use
  
",2.0,Iam Sapphire,"Reviewed in the United States December 16, 2020","









  
  
    
  Led strip was fine until leds started dieing or showing incorrect color. Controller is ok but need to buy different strip won’t buy this again.

  
",
5,89,"







  
  
    BETTER THAN HUE!
  
",5.0,Jimmy B,"Reviewed in the United States August 16, 2020","









  
  
    
  AMAZING. I currently have the Philips hue strip which is $80 and was not so impressed by so getting this one I was not expecting much. I could not be so wrong. First off, very bright. It came with clear instructions and a kit  which includes alcohol pad to clean the surface and press on plastic hooks to run the wire after the strip. This item was able to run all around my 75 inch tv easily. After setting it up and connecting it to my phone and alexa and google assistant all works flawlessly. It even has music mode which really does go with the beat. The adhesive was perfect. Sticks right away so becareful placing first time. All of this waa opposite for the brand name and triple the price.

  
",
6,979,"







  
  
    Awesome
  
",5.0,3babies & Stone Path Photography ,"Reviewed in the United States June 26, 2020","









  
  
    
  My aon Loves these, lots of fun features as well he enjoys with his music going

  
",
7,458,"







  
  
    Best Customer Service
  
",5.0,Jody Melton,"Reviewed in the United States October 24, 2020","









  
  
    
  The lights I received to begin with we're not working correctly.I contacted Customer Service and they replied the same day.I had a replacement within a few days.Needless to say they are on top of any issues.Will definitely be a repeat customer.

  
",
8,283,"







  
  
    Good: bright and vibrant. However, warning label placed on strip is a problem
  
",4.0,Marilyn Velazquez ,"Reviewed in the United States June 2, 2020","









  
  
    
  I love the lights! Nice and vibrant colors and had no problem hooking them up with Alexa. However, the reason I gave it 4/5 was the really inconvenient placement of the warning sticker. Wrapped tightly around the first cuttable area around the strip, I damaged my strip trying to take it off. At first I didn’t realized it was there when trying to install it, and the sticker was placed so tight that the adhesive protection ripped off at the warning sticker. On the contrary Govee was very understandable and gave me a replacement due to the warranty. I bought 2 and I’m going to buy more. I just really wish they put the warning sticker somewhere off the strip..

  
",
9,531,"







  
  
    cute
  
",4.0,Gwen,"Reviewed in the United States October 28, 2019","









  
  
    
  Super cute i loveee them. they’re the perfect length to cover my wall across the top and down the side. they’re also very bright and have many different colors. my only problem with them is they don’t have orange or yellow. there is an orange and yellow button on the app, but the color shows up green for both. it’s ok, they look best on the red and blue settings best anyway. The light also doesn’t match the music perfectly if you have it on the music setting, but they look better not flashing to me anyways (:

  
",
