,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,234,"







  
  
    SLOW!!!!!
  
",1.0,Mike B,"Reviewed in the United States September 15, 2020","









  
  
    
  Painfully slow!!!  Not only is it slow like 1998 dial up, everything I touch sticks. I touch the browser, it sticks, I touch an app, it sticks, email, it sticks.  I regret buying this, waste of money, its a paperweight now

  
",Configuration: M10+ 2GB/32GB
1,40,"







  
  
    good entry level tablet.battery life is good enough with this small battery
  
",4.0,TT,"Reviewed in the United States June 21, 2020","









  
  
    
  I'm gonna compare this(4g ram version)with the iPad 10.2.its not a fair fight but because the iPad was on sale ,its $50 more than this Lenovo m10 plus. and I got both on the same day.Don't use chrome browser on this tablet. it makes it very laggy especially if u are streaming hd videos.i use Microsoft edge and disable ad in the options and it loads way faster.the iPad was blowing this thing away when loading sites.now it's same speed n some sites it even load faster.Lenovo - smaller bezel , very easy to hold. lighter than the iPad.small battery ,lasted about 8 hours web browsing on half screen brightness.over all it runs pretty smooth but multi tasking can make the table Abit laggy.screen is clear but not as bright .ipad- same big bazels as 2010, feels big and heavy holding it.bigger battery .got little over 10 hours screen time web browsing with half brightness.the os is very smooth and handle multi tasking very well.screen is pretty much the same ,both are very clear but the iPad is brighter.over all this is a good tablet. it's an entry level tablet so don't expect too much.know what u need it for before u buy.im happy with it

  
",Configuration: M10+ 4GB/64GB
2,57,"







  
  
    Lenovo tablets never disappoints
  
",5.0,The D.Z.A.,"Reviewed in the United States June 6, 2020","









  
  
    
  this is my fourth Lenovo tablet no I didn't buy a fourth one because the others broke I bought this one because it is the newest version of the Lenovo tablets and it does not disappoint. My first 3 Lenovo tablets were over 2 years old and they were dated but they still work fine but I sold them. They had the older Android or there so they could not update anymore. I had this tablet now for about 5 days and I have been using it every day it is beautiful very easy to work with very thin in very expandable with a SD card. I am adding a 256 gigabyte SD card to it so I can add more music to it. Plenty of room for all of your apps your Netflix Hulu plus HBO Max whatever you want to put on here you can add to it you like playing video games go for it you can download tons of games to it as well. This is a very easy tablet to carry around it is very thin so I would say get a carrying case for it throw it in your backpack and you are good to go.

  
",Configuration: M10+ 2GB/32GB
3,175,"







  
  
    If you're looking for a tablet this is it!!
  
",5.0,Michael Dotson Smiley,"Reviewed in the United States August 5, 2020","









  
  
    
  I have always loved Lenovo/IBM. This tablet even being the to gigabyte model of RAM works 100% I watch YouTube with it Hulu Netflix no problem whatsoever. I can't say much for gaining but I can say for watching or streaming videos or movies it is perfect. Feels very premium at a low price.

  
",Configuration: M10+ 2GB/32GB
4,429,"







  
  
    Good Product spoilt by bad sound quality
  
",4.0,Surveyors online,"Reviewed in the United States December 9, 2020","









  
  
    
  good product but need to attach speakers by Bluetooth.

  
",Configuration: M10+ 4GB/64GB
5,346,"







  
  
    Ok so far...
  
",4.0,Brett S.,"Reviewed in the United States February 9, 2021","









  
  
    
  Only had it a few days... So far so good..sound quality could be a bit better

  
",Configuration: M10+ 2GB/32GB
6,252,"







  
  
    Failed within hours of initial use
  
",1.0,steve d.,"Reviewed in the United States February 4, 2021","









  
  
    
  Bought it thinking sound quality would be better than the other tablet I have and it turned out, it was worse than my phone.  Shocked by that.  I had intended to use it in the office for streaming TV  and music.  Have a hard wired audio setup to go thru the headphone jack and the audio was horrible.  Then the thing locked up on me and I had to power cycle it to get it back.  Locked up again and then was returned.

  
",Configuration: M10+ 2GB/32GB
7,117,"







  
  
    This product can cause CANCER and BIRTH DEFECTS ?!
  
",1.0,Sivanesan Krishnasamy,"Reviewed in the United States August 31, 2020","









  
  
    
  I found this warning in a label in the product box, which is not available in Amazon product description:""...This product can expose you to chemicals including lead, which is known to the state of California to cause CANCER and BIRTH DEFECTS or other reproductive harm....""This serious statement MUST have ben presented in the Amazon product description page.

  
",Configuration: M10+ 2GB/32GB
8,55,"







  
  
    Does what I bought it for
  
",4.0,QQQQ,"Reviewed in the United States November 21, 2020","









  
  
    
  Used the tablet last weekend for my drone as my Pixel 2 phone would not pair with the drone. This didn't either at first but did eventually. The bigger screen is a plus for that purpose and if it gets dropped this is much cheaper than the phone. Noticed no notification last week but this week it did a system update so now 11/21/20 the tablet is on Android 10 (Syrup...Jawbreaker?). My defunct tablet is an old Toshiba Thrive and has a charging base that I wish this did as well, there are pins that are likely there for that reason. The screen looks very good and the system is smooth and responsive, at least it was with V9. I did pay for and get the plus model according to the box but the little drawer will not release with the supplied tool. I read that the WLAN model will not accept an SD Card so if this thing has its mouth glued shut I will get it open and find out Whisky Tango Foxtrot. Have to ding it a star for charging base not being available (it wasn't cheap for the Thrive) and for the SD card slot not opening. I seem to remember seeing somewhere that mine is the WLAN model but the box definitely says otherwise and so did the price. It is setup to be my dog's tablet so anyone can use it and read her MuttMail. (I hope she doesn't use it to order a truckload of bones) All in all I recommend this tablet and Sarah (the dog) gave it a pass after her customary smell test, hasn't tried to bury it in the yard nor has she shaken it like a screaming redheaded, bucktoothed baby and rip it apart like she did my friend's MAGA hat.Update 11/23/20Tried the DS Card tray release tool again but no matter the effort and prying it was futile. With the tool shoved all the way in it was time to get the knife out. It put up a good fight but even though it was as stubborn as the dunce woman living in my house my determination eventually won out and the jaw gave way. Put in anoew DS card, the tablet formatted it and all is well. Only had a 23 GB class 10 on hand but will up it to 128 when the need arises.

  
",Configuration: M10+ 4GB/128GB
9,409,"







  
  
    Lenovo Tab M10 Plus, 10.3"" FHD Android Tablet
  
",2.0,F.Sanchez,"Reviewed in the United States November 15, 2020","









  
  
    
  I bought for the advertised high quality volume NOT SO.

  
",Configuration: M10+ 4GB/64GB
10,275,"







  
  
    Its not too bad lol
  
",2.0,Sovy San,"Reviewed in the United States December 4, 2020","









  
  
    
  Tablet isnt that bad for light browsing or youtube. I regrettably bought the 2gb version which made playing clash royale unbearably painful watching the screen freezing constantly durig game play. I would recommend you pay more for the upgraded ram if you're looking to multi task with this tablet.

  
",Configuration: M10+ 2GB/32GB
11,133,"







  
  
    Not good for games or youtube
  
",2.0,josue velazquez,"Reviewed in the United States February 22, 2021","









  
  
    
  I had higher hopes for this tablet, I purchased 2 of them for my kids thinking that the Octo core processor would be good for them to play Roblox but the tablet is super slow. It lags when the kids are playing and if they have a video playing, the tablet gets really slow. Disappointed in the lack of performance that it advertised but not have.

  
",Configuration: M10+ 2GB/32GB
12,253,"







  
  
    You can't go wrong with this tablet
  
",5.0,Jeff,"Reviewed in the United States July 28, 2020","









  
  
    
  Great value, great battery life (seriously) and very bright. I am surprised at what you get for the same money you would spend on a no-name tablet.

  
",Configuration: M10+ 4GB/64GB
13,360,"







  
  
    Great tablet
  
",5.0,Russman,"Reviewed in the United States March 9, 2021","









  
  
    
  Battery last a long time

  
",Configuration: M10+ 2GB/32GB
14,361,"







  
  
    A JUNK TABLET
  
",1.0,Xuehong Huang,"Reviewed in the United States March 8, 2021","









  
  
    
  I have bought it for two weeks and I am sure it is a junk!I bought it just to learn the language,never downloading movies or games,but it was slow,stuck,and the touch screen was insensitive.I still use my iPhone to study,I just want it to rest for a while,it is getting old.Suggest not to buy this tablet!!

  
",Configuration: M10+ 2GB/32GB
15,293,"







  
  
    Great tablet
  
",5.0,Holli,"Reviewed in the United States March 8, 2021","









  
  
    
  Great tablet for the price.  Pairs well with a bluetooth keyboard,  very good battery life.

  
",Configuration: M10+ 4GB/64GB
16,100,"







  
  
    Dysfunctional
  
",2.0,Brooke Whitehead,"Reviewed in the United States February 19, 2021","









  
  
    
  I went with this tablet due to lower cost and good reviews and only needed it for small task. However as soon as I set it up it would make a weird scrambling noise thru the speaker. Almost seemed like it did it when something was downloading in the background or if I opened an app. The noise wouldn't interrupt while listening to music. Very annoying. The volume button on the side was a pain. The HOME graphic displayed on main screen was cut off at bottom of font. And it was very laggy even tho I didn't have much installed. Called tech support and he told me it was normal for it to make that noise and couldn't fix it 🤦 Since it was new and already dysfunctional, figured it probably wouldn't last. I returned it and purchased a Samsung Galaxy for a bit more $, but loving it much better! On a positive, it did have good screen quality and very vibrant.

  
",Configuration: M10+ 4GB/64GB
17,281,"







  
  
    Great!
  
",4.0,Queen Of Books,"Reviewed in the United States December 29, 2020","









  
  
    
  So i decided,to upgrade to a bigger tablet.I'm very pleased.. I'm going use it mainly for reading..

  
",Configuration: M10+ 2GB/32GB
18,265,"







  
  
    NO MANUAL ON HOW TO USE-CANNOT CONTACT LEVENO NO CONTACT INFORMATION
  
",1.0,C. Marotta,"Reviewed in the United States March 14, 2021","









  
  
    
  HORRIBLE. NOT GUIDANCE ON HOW OPERATE ALL SEARCHES LEAD TO NOTHING THAT WORKS.  LEVENO WEBSITE DOES NOT HAVE A CUSTOMER SERVICE CONTACT YOUR STUCK WITH THE USELESS TABLET BECAUSE THEY DO NOT CARE TO HAVE ANY HELP WITH THEIR PRODUCT.

  
",Configuration: M10+ 4GB/64GB
19,162,"







  
  
    Only 3 months old,no sound Micro USB slot wont open
  
",1.0,Kilroy,"Reviewed in the United States November 21, 2020","









  
  
    
  Tablet was great initially.  Great sound and picture.  Fist issue I had was the micro sd slot.  It wouldn't open normally. Once i finally got it open and inserted a card which fits tightly.  Ill never get it to open again.  Biggest issue is the sound stopping.  Ear buds work fine but no audio from on board speakers.  I will try to return product.

  
",Configuration: M10+ 4GB/64GB
20,26,"







  
  
    ""Left Over"" Lenovo?
  
",3.0,Techvisions guy1,"Reviewed in the United States May 13, 2020","









  
  
    
  The one i received had display issues...the one i received had a dull screen in it's background white values...far from ""paper white"" which for me was caused contrast and text reading difficulties. Shame, because colors, pics, and vids are brilliant as I don't notice the grey against a strong color ok f display. I was not able to adjust any of the multiple settings to overcome the text issues. Further, bolding text and brightening in settings caused slightly bizzare effects and rapidly used battery much more than expected, although I can't qualify the latter battery issue with a bench test value.Otherwise, I was impressed by the pad and its build and qualities for this price point.  Ultimately, I had to return it....wondering if I got a sub optimal display or they are all shipped this way.  For about fifty dollars more I got the competitor's 10.1 tab which was an improvement over the Lenovo.

  
",Configuration: M10+ 4GB/64GB
21,350,"







  
  
    My New Tablet👍
  
",5.0,Theresa,"Reviewed in the United States December 27, 2020","









  
  
    
  I love the the display very clear and sound is very clear and all together looks and sounds great..  But the battery. Doesnt last long at all..It last about maybe 3 or 4 hours and then have to charge it.. ...But speed is very good and I would recommended to my friends..

  
",Configuration: M10+ 2GB/32GB
