,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Updated Aug 2020: Not another review of the same - this one will make you think and enjoy your Roku!
  
",5.0,Ace,"Reviewed in the United States June 13, 2018","Updated on August 4 2020
I am not shy when I say I am a fan of Roku. Early adopter, always was and still believe. Unfortunately Roku has become less appealing after July 31, 2020 - when it refused to support big stream channels HBO MAX and now Peacock - the newest kid in town from NBC.

I understand legal implications. I am an IT guy, so trust me when I say metadata drives sound monetary value. User behavior and any data we give to these and many other companies every time we use a smart device is priceless.

I adopted Roku to free myself from expensive and inflexible Cable deals. I. Me. The consumer.

I don't want to be limited on my options to watch and now I have to go to a different room to turn in my Samsung Smart TV to watch HBO Max because Roku discontinued the support of HBO. No, Roku, sorry, it was not HBO leaving Roku as you advertise it. Netflix has it's own channel. Disney+, Hulu, Univision, History Channel, you name it. There is a dedicated channel, so why not HBO? It wasn't because of client preferences, it was because of monetary reasons. Client, for the first time, has been placed in the backseat of Roku's value prop and that makes Roku the lesser because of it.

Word of advise: Roku changed the game and created a new one. The Mobile Streaming apps are now doing the same. Roku could benefit from an open approach to support any mobile streaming app, just like a cell phone does today - to keep ahead of the game. Casting your phone to the screen is an alternative and may become the BEST choice if consumers are left with no choice than to keep freedom power in their handhelds because streaming devices like this one want to limit customers. My two cents. My review stands with some minor mods because I can no longer say Roku plays it all...

Thanks for all those helpful votes!

Original Review follows.....

There are hundreds of reviews for this product, so rather than touching on what has already been said, let me just throw in some Do's and Don'ts if you find yourself, like me, navigating the vast array of options in the streaming space.

Do's
1) Do your research! There are several different models for Roku, depending on what YOU really need, want or want to pay. I bought a Roku Express because I was upgrading from a 1st generation Roku device and this one is (or at least feels) a thousand times faster, more powerful and has the upgraded software interfaces for apps like Netflix where you can manage your profiles - the older versions did not support that ability, it only presented your default profile.
2) Use the power adapter that comes with it. Sure, you can plug it to your smartTV usb port for power, but if you read about this, there are tons of issues that stem from lack of power supply to the device.
3) Think where you will place your device. This is NOT a set top box, this is a tiny (half of your hand palm) device that has a double tape and sticks do your TV. It is not invasive, it has nice black finish so it won't ruin any aesthetics, but once you stick it on, you need to leave it there, otherwise you could end up with a tape that will no longer work, creating an extra hassle - think location first, then execute and paste it.
4) Play around with it - it has lots of configuration options, like turning on your TV with 1 touch, casting your mobile screen, etc. If you go only by the default options you might miss some fun tricks!
5) Match it with a good router/wifi setup. The worst you can do is have a nice TV, get the top of the line 4K enabled Roku and pair that to a sub-par WIFI connection or a provider that will not support your streaming needs. Remember! this is not plugged by cables, this device streams over the air radio waves, so the distance to your router, obstacles, speed of your network (not only download speeds, but actual WIFI band speeds) can all affect the outcome, so do your homework and think about your entertainment system as a whole, not just the TV / streaming portion.

Dont's
1) Not everybody needs 4K streaming and NOT all providers support it! Many providers will charge premium for UHD Content and offer HD as standard option, if that is the case for you, spending extra $$ on a 4K TV and a 4K streaming device will be wasted. (again, see my last DO bullet item!)
2) Let your expectations be unrealistic - Yes Roku provides tons of free content. Free means many of the channels are privately supported which means the content may not be UHD.
3) The REAL Fun from roku comes when you enable the channels based on your paid content (netflix, hulu, amazon, premium networks like hbo, nfl, etc...) so if you want to really exploit your Roku's capabilities you will have to pay at some point for prime content.

I hope this helps - I am an early adopter of Roku, have major streaming services like Netflix, Prime and supplemented with an ""a la carte"" cable service like sling, spectrum choice, DirectTV now or any of your preferred providers and this will unlock all the major broadcast networks, plus some other channels. - EXCEPT HBO MAX & NBC's Peacock.

One last thought: The interest thing is that Roku has a channel for many of these major network stations and watching their content through the Roku channel as opposed through the cable provider app, I've found that there is more content outside, and better choices for on-demand.

Hope you like my review!",
1,1,"







  
  
    What you really need to know...
  
",5.0,rfindley,"Reviewed in the United States November 3, 2017","









  
  
    
  Fantastic product so far!  After the first week, we bought a second one for a family member.First thing:  Before you buy, understand what content is free and what is not.  Second, in case it's not obvious, the Roku operates over your wifi and internet connection.  You have to have an internet connection that is fast enough to stream video.  If you can't stream video on your mobile (via wifi) or PC, you won't be able to stream it on the Roku either.Subscription content: Anything that you have to pay for elsewhere (like Netflix, Amazon, Hulu, network TV streaming, etc), you'll still have to have those same subscriptions.  But the Roku allows you to access all of those subscriptions (the ones you're paying for) from a single device on your TV, with a nice interface that nearly anyone can use, even if they're technology-illiterate.  Worst case, if you get lost somewhere, just press the Home button.  (But keep in mind, each 'channel' on Roku is an app written by the individual content provider, so some are a little more complicated than others.  I suspect for marketing reasons, it's not always obvious on some of the network TV channels which content is free versus paid until you try to play it.  But you'll always be prompted before paying for anything, and you can add a pin-number to prevent accidental purchases).Ad-supported content: There is a lot of ad-supported content, just like watching free over-the-air (OTA) TV stations.  For network TV (ABC, NBC, CBS, CW, etc), check each network's website to see what shows you can watch for free directly on their website, and that's generally what you'll be able to watch on Roku, too.  After all, the 'channels' on Roku are apps written by each network.  For many networks, the free content includes the last 3 to 5 episodes of things that are currently airing, with content being made available a week after the original broadcast date.  This is comes in handy if you miss an episode or two of over-the-air TV.  Some of the networks also offer free 'throwback' content, where you can watch an entire series of an older show.  And there are a few channels like pluto.tv and tubi.tv that provide a wide assortment of ad-supported movies and TV shows.  Again, check their corresponding websites to see what content they currently have, and that's what you'll get on Roku.  The ones mentioned above offer some relatively recent content, in addition to a lot of older and slightly-older content.Free, without ads:  Mostly, you'll find that the ad-free content is extremely old...  lots of black-and-white TV and movies, some early color TV/movies, etc.  For those who don't like much of what's on TV these days, there's a lot of classy and classic stuff here.  And, of course, a lot of b- and c-grade stuff you've never heard of.This newest version of the Roku Express (""5X more powerful"") has a very smooth interface, with good response from the remote.  Video startup is extremely fast if you have decent internet speed.  I tested on a relative's 6mbps DSL internet, and buffering times were never uncomfortable.  On my faster internet (100mbps), videos either start instantly, or take no more than about 1 or 2 seconds of buffering.The remote control is great -- simple, strong signal, good range.  It's infrared-based, so you have to be in the same room (why would you want to be out of the room??).  I generally don't even have to point the remote at the Roku box, because the infrared is strong enough to reflect off of the ceiling or walls and still work.  Just be sure your Roku box's front side is unobscured and pointing toward the room.  They provide a sticky-tape strip to stick the box somewhere convenient, like the side or top of your TV or media cabinet.  The provided HDMI cable is only 2 feet long, though, so it does have to be relatively close to the TV.  But you could use a different HDMI cable if you need the remote to be a little farther away.  One feature I love about the remote is that pressing the Home button will turn on your TV and switch to the Roku's HDMI input, assuming your TV supports this (I have a Samsung TV which is supported, and a TCL TV which apparently wasn't).You can also use the Roku app on your mobile to control the Roku via wifi.  In addition to providing an interface that looks pretty similar to the physical remote, you can also browse for other content while something is already playing.  It fact, it's quite a bit easier to navigate if you're searching for something specific, since the physical remote requires using an on-screen keyboard where you select each letter and click OK (normally, I'm not searching for something specific on the physical remote, so it's not a problem).  The app also has a headphone feature, which I'm guessing allows you to listen directly from your mobile instead of via the TV... great for watching at night when others are sleeping.  Note, the Roku app is NOT designed to watch Roku content directly on your mobile.  It simply lets you select the content to watch on the TV.Overall, it's a great experience.  My only subscription at the moment is Amazon prime, which doesn't have a lot of content that I really want to watch (sorry, Amazon!  I have Prime mostly for the shipping), so I use the Roku mostly for ad-supported TV and movies, and there's more than enough to keep me busy for a long time.

  
",
2,2,"







  
  
    Roku Channel shows hundreds of free movies & Locast has free ABC/FOX/NBC/CBS
  
",5.0,modalsystem,"Reviewed in the United States October 11, 2017","I have used Roku for years,including several different models.The best new thing of note is Roku has recently released The Roku Channel,which has hundreds of free movies.It is ad supported.And now Locast.org app gives you free local broadcast stations CBS,NBC,FOX,ABC and PBS.Locast now offers local TV network broadcasts for New York,Boston,Chicago,Houston,Dallas,Denver areas and plans to add many more cities.This means many folks will no longer need antennas to watch local networks for free. Roku has just about every app you can imagine (YouTube/Pandora/Netflix/Amazon/Hulu/HBO Now) plus tons of more apps in many different categories.Roku Express works fine,but you need to point the remote at the device,unlike other Roku models.Here are some points to consider when deciding on which model of Roku to buy:

1)If you need to connect by WiFi in a room far away from your WiFi router,I would recommend the Roku Streaming Stick PLUS or Roku Ultra.

2)If you have a 4K TV,I would recommend the Roku Ultra or Roku Streaming Stick PLUS.The Premiere 2018 model also plays 4K.

3)To search for content using your voice,go with either the Streaming Stick,Streaming Stick PLUS or Ultra.All 3 of these models also have a remote that can control the power and volume on your TV.
There is also a Roku app for Android & iPhone/iPad that lets you use your smartphone/tablet to control any Roku device and use your phone/tablet on-screen keyboard or voice for searches.

4)If you want a wired ethernet connection,go with the Roku Ultra.

5)If you want to connect to an old TV with RCA/Composite audio/video jacks,you will need the Express PLUS

6)The Express and Premiere 2018 models have a remote where it has to be pointed at the device,unlike the other Roku models.

7)If you are only going to buy one Roku device,I would recommend the Roku Ultra.The Ultra has many unique features that the other Roku models don't such as:
-Gaming buttons to play video games
-Remote finder to find a lost remote control
-Ethernet port for a wired connection
-Micro SD card slot
-USB Port
-Night listening mode (this lowers the volume of loud,explosive sounds and raises the volume of soft sounds like whispers.Very useful!!)
-Headphone jack on the remote for listening without disturbing others

For those who have not used a Roku before,here are some tips that might be helpful:

1)There is no monthly fee to use a Roku.There are many free channels/apps with free movies,music and TV programs and some people use Roku only for the free channels and do not pay any fees.

You do NOT have to enter credit card info if you only wish to view free content and you can always add credit card info to your account later for paid channels/apps.If you plan on viewing free content only,I suggest setting up a Roku account before you activate the device.When you reach the page to enter credit card info,some browsers will show a ""Skip,I'll add later"" option at the bottom.If you do not see this option,simply log out of your account,then log back in.You may have to then enter a different activation code for your device if you skip entering credit card info during device set up,but you do NOT have to enter credit card info if you only want to view free content.

2)Some of the most popular free channels/apps are: YouTube,Pandora radio,The Roku Channel,Pluto TV,Tubi TV,Crackle,CBS News,NBC News,ABC,PBS, PBS KIds and many more.You can also find a free live stream of FOX News on YouTube by searching ""Fox News Live"" on YouTube.

3)Some of the most popular paid channels/apps are Netflix,Hulu,Amazon video,HBO Now,Vudu,Sling TV,Spectrum TV and Direct TV Now.

4)If you are looking for a bundle of channels of live TV to replace cable TV,check out Sling TV,YouTube TV,Spectrum TV,Direct TV Now,Hulu,Pluto TV and Playstation Vue.All of these are paid services except for Pluto TV,which is free.

5)To find and add new channels on Roku,just press the Home button on the remote control,scroll down and select ""Streaming Channels"".There you will find thousands of channels/apps in many different categories and many of them are free.

My one gripe about Roku (and other streaming devices) is the lack of a fully functional web browser and I hope Roku will include web browsing on models in the near future.I have been surfing the web on the big screen for years and find it ridiculous when an internet connected TV device does not allow you to surf the internet and forces one to switch to yet another internet connected device to do so.
I am aware of screen mirroring function from smartphone/PC/tablet but find that a poor excuse to not include a web browser.Many people who type a lot of messages and/or emails like myself prefer typing on a wireless keyboard rather than a phone/tablet/remote control.

Bottom Line:You can now get a Roku device to replace your cable TV box & service or to replace an antenna for free local network TV.And of course you can create your own custom TV experience that simply is not possible with cable or antenna TV.",
3,3,"







  
  
    Runs hot, no off switch, constant HDCP errors
  
",3.0,My Eyes Are Up Here!,"Reviewed in the United States July 15, 2018","









  
  
    
  I like the product and enjoy streaming lots of free TV and movies- that I have no problems with.But the product has a few issues.  The first is that every time I want to use it, it gives me an HDCP error.  The screen shows me the fix (unplug the HDMI cable and plug it back in).  But why?  How come every time I want to use the unit I have to get up and unplug it and plug it back in?  There is an alternate work-around I found on the internet, I can reboot the device, but that actually takes longer than walking across the room and unplugging / plugging it back in.  Alternatively, I can fix the problem by unplugging the power to the unit and plugging it back in, but that only works until the next time I turn the TV on.I had to look up what the HDCP error means, it's a form of digital copy protection.  My LG TV isn't trying to copy anything, nor does it have the capability.Of course, if the unit had an on/off switch, I could use that to fix the above error, but it doesn't which leads to my next problem, it wastes electricity 24/7 doing nothing.  Why?  What data is it sending to the Roku servers when my TV is off?  I don't get it.The unit is warm all the time while it wastes electricity.  Our electricity is about 40 cents per KWH, so this Roku will cost me a little over $9/year in electricity costs because it doesn't have an off button.  So I'm unplugging it when I'm not using it.  So long as I turn the TV on before I plug it back in, this strategy also fixes the HDCP error.If it wasn't for the bogus copy protection error, the running warm and wasting electricity, this would be a 5-star product.UPDATE:  I found a solution to the problems.  I got a green power strip/surge protector.  If you are unfamiliar with them, they are used for cutting parasitic electrical loads.  The strip senses when the TV is turned off and then kills the power to all the other devices that only normally run when the TV is on.

  
",
4,4,"







  
  
    Why ever pay for cable!!!
  
",5.0,Alissa,"Reviewed in the United States February 12, 2018","









  
  
    
  I have been paing $170 for cable and internet for years (its now $50 with just internet, so about $120 on cable). I didn't have any special channels...no HBO, SHOtime....anything. Not even top tier cable. I had the middle package and it cost me an arm and a leg. I decided to cancel my cable long before I even bought the Roku. I only bought it when the Superbowl rolled around and I needed to make sure I could watch it. This thing is amazing. You pay the $30 for the device and THAT'S IT. No subscription fees, no hidden taxes, nothing! You can chose to add hulu, netflix or HBO if you wanted to pay a subscription through them, or do what I do and just use my sisters. :) It has turned my old TV into a smart TV. Best purchase ever. Buy this and ditch cable. You honestly won't be disappointed.

  
",
5,5,"







  
  
    WARNING: ROKU DOES NOT SUPPORT THIS DEVICE
  
",1.0,Molly,"Reviewed in the United States September 22, 2018","









  
  
    
  I was a big Roku fan, and owned two prior to this purchase.  Bought it to replace a Roku that literally burned out.  No problems with activation until we reached the step on Roku's web site which involves ""syncing"".  The screen just hung for HOURS.  Tried multiple times on different days.  Tried the online help - no help there.  Tried calling the support number, and was told that THIS DEVICE DOES NOT QUALIFY FOR ROKU SUPPORT.  This was a Roku problem on their website, but the company refused to help resolve it.Thankfully the good folks at Amazon allowed us to return it, and we bought an Amazon Fire Stick instead.I WILL NEVER AGAIN BUY A ROKU PRODUCT.  If a company refuses to support a product within 10 days of purchase, I'll buy elsewhere.This should have been an easy setup, and the issue lay entirely with Roku's ""sync"" step.  I have a theory that their software couldn't cope with the fact that one of our Roku devices couldn't be found because it had literally fried.The Amazon device setup was a snap.  Farewell, Roku.

  
",
6,6,"







  
  
    Quick and snappy and overall a win! Also, important PSA in bottom of review!
  
",4.0,ShareTheLove,"Reviewed in the United States March 14, 2018","









  
  
    
  spent a ton of time reading the reviews comparing all the streaming devices. I have an older model apple tv and I wanted an additional streaming device for my bedroom TV. I got a relative the firestick and tried it out myself - didn't really love the interface so ultimately decided to give the Roku Express a shot. Initially I thought I was downgrading by getting the Roku Express since it's so much cheaper than an Apple TV. So not a downgrade!! This device is lightning fast. I like it so much better that I use it as my main device now and moved the other one to my bedroom. I didn't realize how fast a streaming player was capable of being till now. There are some other things I noticed compared to my other device. I'll break down the pros and cons into a list.Pros: 1) So far (it's been about 2 weeks), it has never restarted or froze. My Apple TV froze/restarted frequently. 2) The remote is fine - I read some reviews where people said that the remote didn't communicate well if not close enough/exactly pointed to the receiver. I didn't have this issue unless the remote was physically blocked by something (think of your cable box remote as to how this remote functions). 3) As mentioned above, this thing is lightning fast. It responds so quickly - quicker than my fios!Cons: 1) The interface - didn't love it. For instance My List for netflix - the visuals of being able to see all the shows on your list are just not the best user experience. It's messy, overly large icons, and not viewable on one screen. Edit: You can now hit the left button on Roku remote and it takes you to some shortcuts, such as My List  2) There is no way to turn this device off. I periodically touch the receiver to see if it's hot when not in use and indeed it's warm - which means that it's always running in background. I really don't like this.*Lastly, just a PSA for all those people that scared the *&$% out of me about there being some sort of tech support/setup fee: People - you have got to stop putting that in your reviews. There is no fee to set up your Roku or get regular customer support. What you probably did is google roku support and get a scam site that is not affiliated with Roku. There are several articles on this scam  but since I can't post any links, I suggest you google ""roku tech support scam"" and you will see what I'm talking about.

  
",
7,7,"







  
  
    U Can Still View Amazon Purchased Videos on This!
  
",5.0,Femmepharoh,"Reviewed in the United States December 8, 2017","









  
  
    
  I had Amazon Fire TV Stick, and had to get another device to view YouTube. So, this is all that and then some! And Yes, you can still watch ur Amazon videos on ROKU! I luuuuv it!!!! There are SOOOO MANY OPTIONS!!!

  
",
8,8,"







  
  
    Roku Express is better, powerful, versatile and cheaper than Apple TV
  
",5.0,ruel,"Reviewed in the United States May 6, 2018","









  
  
    
  bought this Roku Express for a little under thirty bucks here on amazon. it's to replace an Apple TV 3rd Generation which is to now to go to my sister. the Apple TV is still good, but wanted something more powerful & versatile. and the Roku Express is all that and more. see my attached picture comparing the Roku Express with my old Apple TV:  do NOT let the puny size of the little Roku Express device box dissuade and fool you. the Roku Express is one powerful device. personally very happy with Roku. it's like no turning back to apple.happily watching Hulu, Amazon Prime Video, CBS All Access, ESPN (with the new ESPN+ which could NOT get on my old Apple TV's WatchESPN channel), HBO, and other channels like TheCW (which could NOT get on the old Apple TV), and Pluto TV (which has its own free tv lineup of channels including free movie channels, and some popular cable tv news channels), Crackle, the Roku TV channel, and news channels like CBSN, NBC News, ABC News, and NewsON (for news from your local tv station), and the CBS Sports HQ channel (the new digital sports headline news channel from CBS). there are more channels to select, but those are most of the channels in my lineup on my roku. very versatile and more robust than on my old apple tv.also, a must-have channel is YouTube which looks better as laid out on roku when compared to the simplier youtube version on appletv. and having YouTube on roku makes roku the definite better buy for your money if you are also considering the amazon fire tv stick. get the roku if you want youtube because google is blocking youtube on the amazon fire tv. in other words, roku has youtube, but amazon fire tv does not.a couple things with the roku could be considered cons but which you can fortunately work around: (1) you cannot turn the roku off because it will just go to sleep and have a screensaver that is always on -- solution is to plug the USB for power into the usb input on your TV and when you turn off the TV then the roku will also go off, or you can plug the power for the roku into a powerstrip that you can power off whenever you want; and (2) when you register the roku for the first time, you have to put in your payment information like for a credit card or paypal -- but the solution if you don't like that is you can remove that payment option later by going into your roku online account using a web browser.very happy with this Roku Express. it's now like goodbye to Apple TV. and hello forever to Roku.

  
",
9,9,"







  
  
    Works Great but it has Heat Issues
  
",4.0,texan_176@yahoo.com,"Reviewed in the United States December 17, 2017","









  
  
    
  I bought this streaming device based on using this identical model in a hotel I stayed in earlier this year.  The simplicity and good performance were the major factors that influenced my decision to go with it.  Full disclosure; I have cable internet at 70+ Mbps at home so slower data speeds could significantly reduce the performance.  In my case, 3+ hour movies on Netflix or Amazon will load and start to play within 8-10 seconds max.  I can also fast forward and rewind with incredible speed; nearly no buffering.  Setup and use is very easy.  Things have come a long way from the first Roku streaming device that came about about 10 years ago.  I purchased the original model back then and ran it on DSL based internet; it was an amazing device for the time; it looked like DVD quality on a CRT screen.  This Express one looks great on my 1080p screen; nearly a Blu Ray level of resolution.So why not give it 5 stars?Only about 10 days into using it I saw a warming on my screen indicating the device was overheating.  This was after about 3-4 hours of use in a room at 72 degree.  I did not place anything on top of the Express or put it on top of a heat insulating material like wool.  I stopped using it and unplugged it immediately. Just to see how hot it got I unplugged the HDHI cable and found the tip of the cable that goes into the Express was scalding hot.  After it cooled down it worked just fine and continues to do so. However, it is kind of disappointing this thing is not engineered to properly dispose of the heat it generates or not generate so much heat to begin with.  Instead they designed a sensor in it to warn the user.  The original Roku streaming box had vents on the top and never once overheated in the several years it was in use.  As I recall the old box was around $100 while the Express is under 1/3 of that price.  So, ignoring inflation, the Express could break twice and you could buy it three times over to end up the same as buying the old one 10 years ago.I would say buy it if you plan light use.  For someone who is constantly streaming several hours a day this might not be the best choice.

  
",
