,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,83,"







  
  
    Good Price/Quality
  
",5.0,Rogelio Ortega,"Reviewed in the United States March 19, 2021","









  
  
    
  Got it for a Canon Camera, memory speed works completely fine and for the price it gets the full 5 STAR!!!Besides, it can save more than  4,000 RAW + JPG 16MP pictures!!

  
",Size: 32GB
1,141,"







  
  
    soso
  
",5.0,vintesen,"Reviewed in the United States January 16, 2021","









  
  
    
  It's different from what I expected

  
",Size: 32GB
2,9,"







  
  
    Great for WiiU Homebrew
  
",5.0,Jim Y,"Reviewed in the United States January 3, 2021","









  
  
    
  I was very interested in taking advantage of homebrew software on my old WiiU. I tried to use a couple of microSD card with SD card adapters, but they kept failing. I decided to pick up one of these. It has worked time and time again without issue. Transfer speed using a USB 3.0 card reader (not included, obviously) was nice and fast. If you are in the marker for Wii U homebrew, pick this up immediately!

  
",Size: 32GB
3,197,"







  
  
    Hope it works good for 8 games.
  
",5.0,Cindy Baker,"Reviewed in the United States February 25, 2021","









  
  
    
  Hope it holds all my daughter's basketball games.

  
",Size: 128GB
4,24,"







  
  
    great product
  
",5.0,Krissy,"Reviewed in the United States January 28, 2021","









  
  
    
  Delivered fast with no problems. I bought this to use with a cammera I just bought. It arrived ontime the next day. I used this once or twice then had to return the camera. I had a mirco  sd card and used that on first.  When iI changeed to using this one my pictures noticeably improvrd.  Recommended

  
",Size: 32GB
5,1,"







  
  
    Excellent SD Cards
  
",5.0,M. L. Bush,"Reviewed in the United States November 12, 2020","









  
  
    
  I use these in my hunting cameras and they work fine.  Records excellent pictures and video.  Nothing negative to say.

  
",Size: 128GB
6,57,"







  
  
    It works!
  
",5.0,C. Washburn,"Reviewed in the United States February 24, 2021","









  
  
    
  Purchased this memory card to replace one that had error issues. For one of my DSLR cameras.

  
",Size: 32GB
7,195,"







  
    Me encanta el servicio que ofrece amazon.
  
  
",5.0,Doresca Jean milot,"Reviewed in the United States March 18, 2021","









  
    
  hola, saludo a todos los grupos amazónicos en el nombre de jesucristo.  Es un verdadero placer escribirles para decirles cuanto les agradezco porque estoy satisfecho con los servicios que me han brindado en mis compras, aprecio mucho el producto, gracias, que Dios los bendiga.

  
  
",Size: 32GB
8,96,"







  
  
    std SSD card
  
",4.0,Dennis Gogan,"Reviewed in the United States February 5, 2021","









  
  
    
  Nothing special, does what it's suppose to

  
",Size: 32GB
9,26,"







  
  
    Great item
  
",5.0,ggtapp,"Reviewed in the United States January 4, 2021","









  
  
    
  This purchase was for a game camera. Works great.

  
",Size: 32GB
10,152,"







  
  
    Sd
  
",5.0,mortal,"Reviewed in the United States March 10, 2021","









  
  
    
  Good sd card

  
",Size: 32GB
11,36,"







  
  
    Can’t go wrong.
  
",5.0,Bruce Pierce,"Reviewed in the United States March 8, 2021","









  
  
    
  Works well right out of the package. Used it for memory back up for my Icom 7300 HF radio.

  
",Size: 32GB
12,157,"







  
  
    Good sd disk
  
",5.0,Ben ,"Reviewed in the United States January 15, 2021","









  
  
    
  Came promptly. Works well for my camera.

  
",Size: 32GB
13,69,"







  
  
    Very good quality. I am happy with my purchase
  
",5.0,John Kauffman,"Reviewed in the United States January 22, 2021","









  
  
    
  Very good quality. I am happy with my purchase

  
",Size: 128GB
