,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,17,"







  
  
    Brake easy
  
",1.0,JHOAN Lopez,"Reviewed in the United States May 6, 2020","









  
  
    
  Horrible quality. Waist of money after waiting so long. 👎Dont waist your money.

  
",Color: Blue
1,25,"







  
  
    Satisfied with the masks that are in a box that say modenna.
  
",1.0,marina galvan,"Reviewed in the United States May 5, 2020","









  
  
    
  I have ordered 6 boxes from modenna and have received diffrent packaging that are not in a box or say modenna, I've returned those because they are diffrent quality the nose strip does not bend easily like the ones that come in a box that says modenna. I'm very frustrated and confused why this happens if I'm ordering from the same company ""modenna disposable masks"" and the price also keeps changing.

  
",Color: Blue
2,14,"







  
  
    Not the Best Buy
  
",1.0,Amazon Customer,"Reviewed in the United States May 6, 2020","









  
  
    
  Very cheaply made.  String break off very easily

  
",Color: Blue
3,168,"







  
  
    Ok but not great
  
",3.0,Chaotic Cate,"Reviewed in the United States August 25, 2020","









  
  
    
  I ordered several different mask types from Amazon.  Although I'm sure these are fine for whatever setting they were originally made for, I don't exactly feel safe with these on when I'm out.  There is way to much air that escape and way too much air I feel coming in on the sides.  I suppose it is better than nothing but I've opted for more secure masks.

  
",Color: Blue
4,134,"







  
  
    Claim that not shipped from China misleading
  
",3.0,Barbara Holman,"Reviewed in the United States June 2, 2020","









  
  
    
  The product seems fine for the purpose. I specifically chose this vendor to order from because of the statement that it was not shipped from China. I look at the product's box... Made in China. Grammar translation on sides of box is poor. Will use the masks because they are hard to obtain, but disappointed in misleading information. If you are looking for a MADE IN USA product, this is not it.

  
",Color: Blue
5,339,"







  
  
    Great value for an essential item.
  
",5.0,Arthur King,"Reviewed in the United States December 26, 2020","









  
  
    
  Great deal. Great quality. Not one has had a strap rip off. Very satisfied with the product. I have bought 3 boxes so far and highly recommend them.

  
",Color: Blue
6,98,"







  
  
    Knock Off Cheap Masks
  
",1.0,49erJoe,"Reviewed in the United States January 1, 2021","









  
  
    
  This are nowhere near the comfort and quality of those blue doctor looking masks. I found these black masks to be very uncomfortable on my face and flimsy. I had to adjust it several times while in store. The material is also super light weight, and frankly wont block much.I also just noticed the name of this company. Not sure if they are trying to get people to think they are Moderna. Anyway, not happy with this purchase. I will be donating these since they were headed for the GARBAGE. Save your money and try another product.

  
",Color: Black
7,221,"







  
  
    Ear loop broke off as I put mask on
  
",1.0,Florida Auntie,"Reviewed in the United States July 23, 2020","









  
  
    
  The ear loop breaks off as soon as you put it on your ear. The majority of the masks in the box had that same issue. Can’t return them. Very disappointed. They break down it just is very frustrating. As I was walking into the doctors office and looping it on to my ear it broke off. Do not recommend

  
",Color: Blue
8,87,"







  
  
    Doesn't  work: Only looks like the ones that work
  
",1.0,John of Maine,"Reviewed in the United States December 1, 2020","









  
  
    
  These mask ONLY looks exactly like the ones that are given to folks walking in for routine treatment at Mass. General Hospital but they do not perform anything like the Mass. General masks.  That is, one cannot compress the nose piece on this mask to conform to ones nose to create a seal - it just bounces back to its original shape.  When I inhale with this mask, the mask itself does not compress like identical looking ones, which indicates that air is entering through the mask fabric instead from around it.  Exhaling is the same, i.e., the air from my breath goes around the mask in contrast to the ones the hospital provides me when I go for routine treatment.  I regret buying this product.

  
",Color: Blue
9,215,"







  
  
    Be sure you know...
  
",3.0,HenryCD,"Reviewed in the United States May 7, 2020","









  
  
    
  ... that these are good quality but NON-MEDICAL. It's probably why they don't show a photo of the box... which read NON-MEDICAL.

  
",Color: Blue
10,289,"







  
  
    Good multi layer mask
  
",5.0,deb,"Reviewed in the United States July 15, 2020","









  
  
    
  Did the light and breathe test and these passed both.  Masks are comfortable, cover my face from nose to under chin. I've had no problems with ear straps detaching. Just wish I had ordered more. C19 continues in community spread.

  
",Color: Blue
11,303,"







  
  
    Not Medical Masks
  
",1.0,jeanne herrington,"Reviewed in the United States May 16, 2020","









  
  
    
  These masks don’t fit securely around the entire face. They are NOT medical grade so basically you’re covering your face with a few layers of tissue paper. I’m returning these.

  
",Color: Blue
12,169,"







  
  
    Good mask but it sure broke easily
  
",3.0,Ruf,"Reviewed in the United States December 5, 2020","









  
  
    
  I ordered these in May and I imagine there was a rush to get masks into production, but they were both excessively expensive (how do you spell ""price gauging""?) and had an extremely high rate of breakage.  I'd say one of four either already had a broken elastic ear strap or it broke as soon as it was pulled.  Such poor quality and expense taints this company permanently.

  
",Color: Blue
13,241,"







  
  
    mask
  
",2.0,Amazon lusty cmr,"Reviewed in the United States May 12, 2020","









  
  
    
  while the product is inexpensive, the material is abrasive after 1/2 day wear. nor do i find it to be comfortable breathing in it after 1 hour of use.

  
",Color: Blue
14,45,"







  
  
    Paid a mint but what can you do in the middle of a pandemic?
  
",4.0,Donald W.,"Reviewed in the United States April 29, 2020","









  
  
    
  Paid a mint but what can you do in the middle of a pandemic?Overall decent quality and meet the basic requirements for public use. There is no sugar coating that these will not protect you from getting  Covid-19 but meet the standards of the wearing minimizing the spread.

  
",Color: Blue
15,378,"







  
  
    Poor quality - ear loop detaches
  
",1.0,John W Hart,"Reviewed in the United States August 8, 2020","









  
  
    
  We’ve had a quality issue where the ear loop pulls out with minor pressure. The first ones out of the box were fine, but now we’re about halfway through the box and most every mask is useless in the first wearing with the ear string detaching from the mask (useless without the ear loops of course). Not recommended.

  
",Color: Blue
16,100,"







  
  
    Inferior Straps
  
",1.0,Jill H,"Reviewed in the United States May 28, 2020","









  
  
    
  I am not happy with the quality of these masks.  The straps break very easily.  I must always carry an extra one with me because I am not confident that the mask will last for even a short trip out to the grocery store or to the doctor's office.

  
",Color: Blue
17,18,"







  
  
    THIS IS MADE IN CHINA
  
",1.0,Lydia White,"Reviewed in the United States May 8, 2020","









  
  
    
  THIS WAS MADE IN CHINA. BOX WAS DAMAGED, BUT ONLY SLIGHTLY. NOT ENOUGH TO SEND BACK. I WOULD NOT HAVE BOUGHT THESE IS I HAD KNOWN WHERE THEY CAME FROM,.

  
",Color: Blue
18,406,"







  
  
    Good quality, good fit.
  
",5.0,Starcraft Fan,"Reviewed in the United States July 27, 2020","









  
  
    
  Lightweight and low breathing resistance for when you have to wear a mask all day for socially responsible public health protection.  Good quality and good fit.

  
",Color: Blue
19,56,"







  
  
    TERRIBLE - don't waste your money
  
",1.0,L MacDonald,"Reviewed in the United States February 6, 2021","









  
  
    
  I bought these to start double-masking as I'm high risk.  I wore one under one of my cloth masks when going to a doctor's appointment and didn'trealize how awful they were until the staff wouldn't let me in for my appointment unless I used one of theirs. When I got home I realized these measured 1-1/2 inches wider than the medical masks making them useless.The pleats weren't able to expand and conform to your face. I tried adding an extra pleat, tying elastic ends, etc.  Air escapes from ALL sides.

  
",Color: Blue
20,129,"







  
  
    Good enough for low risk activities, but bring some backups, straps not as durable.
  
",3.0,Peng,"Reviewed in the United States August 6, 2020","









  
  
    
  I only use these for doing low risk activities, like walking outside. Two masks had straps broken at the attachment point, but I also have a big face and I was hanging them below the chin, pulling them up when I see people coming. So maybe that stretch contributed. I've been more careful taking them on/off after those two incidences and it has been ok. So I would suggest carrying an extra mask just in case this one breaks and don't pull on the straps too hard.

  
",Color: Blue
21,321,"







  
  
    Good backup to keep around
  
",5.0,Durty Derek,"Reviewed in the United States September 8, 2020","









  
  
    
  I throw these in all my cars in case of times I forget to bring a mask.  They’re actually pretty comfortable and easy to breathe with while worn.  I re-use them a few times but too many times and the material eventually breaks down and makes your nose itchy.

  
",Color: Blue
22,60,"







  
  
    Comfortable surgical masks
  
",5.0,,"Reviewed in the United States May 21, 2020","









  
  
    
  I bought this for myself to wear at work. First of all, I didn’t notice any chemical smell from the mask. I can wear it all day without feeling suffocated or skin irritation. The elastic band is sturdy and glue tightly to the mask. It is 3 ply mask as it claimed. I have found the mask is a little big for my face, not fitting properly. However, when I use the ear saver in the back of my head, the mask fits nicely to my face and does not leave any marks on my face. I will buy more when I use all of this box. I have sensitive skin and so far I have used it everyday without any problems with my skin. I would recommend this mask for daily use.

  
",Color: Blue
23,33,"







  
  
    Poor quality
  
",2.0,Christopher J. Edens,"Reviewed in the United States May 4, 2020","









  
  
    
  Wish I would have read ALL the reviews instead the first page of them. These are cheaply made and don’t fit the face / cheek area very well (they leave an 3/4” open gap, so it’s not really masking much at all. The final negative mark is that the box said “Made in PRC”  A sneaky way to say “MADE IN CHINA” = JUNK!

  
",Color: Blue
24,24,"







  
  
    Can’t wear for too long
  
",2.0,Brandy Madonna,"Reviewed in the United States April 29, 2020","









  
  
    
  Straps keep breaking on every mask

  
",Color: Blue
25,117,"







  
  
    NOT A MASK THAT YOU WANT TO BET YOUR LIFE ON!
  
",1.0,Robert E. Truskowski,"Reviewed in the United States May 19, 2020","









  
  
    
  These are so thin two boxes of 100 masks stacked on top of each other are barely higher then a US made Level 1 box with 50 masks or for that matter a box of 50 Chinese made masks. That says it all. They are also smaller and thinner then ANY mask I have purchased from China either in country or outside. This is NOT a mask you would want to bet your LIFE on.

  
",Color: Blue
26,227,"







  
  
    I'm Happy with this Mask
  
",5.0,Christina Russell,"Reviewed in the United States August 5, 2020","









  
  
    
  Fairly priced and does the job.  I got lucky that when I saw this it was priced at $15.99 per box.  Then a few days later it went up to $16.99 and then up some more.  Good thing it has stopped at $19.99.  Still a good price.  I bought a couple of boxes to share with my family.

  
",Color: Blue
27,173,"







  
  
    Don't  Buy!
  
",1.0,Park Mowers,"Reviewed in the United States May 25, 2020","









  
  
    
  Too small for adults. For little people or children only! Does not stay under chin of an average size adult and I am 5'-11"" tall and 175 lbs. Average at best.A larger person than me could not even wear them! Don't  waste your time & MONEY!

  
",Color: Blue
28,348,"







  
  
    Poor straps/elastic
  
",2.0,Anand Patel,"Reviewed in the United States May 28, 2020","









  
  
    
  The strap that goes on top of the ears detaches from the mask while putting the mask on. Purchased 3 boxes since the price is reasonable but not happy with the straps. About 2 in 5 masks are having this issue.

  
",Color: Blue
29,250,"







  
  
    Don’t buy
  
",1.0,Amy,"Reviewed in the United States June 3, 2020","









  
  
    
  Sure they are comfortable IF the strap doesn’t pop off.  So far 5 have had detached strings straight out of the box and several others have had the string pop off after pulling it over the ear. Disappointed.

  
",Color: Blue
