,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,93,"







  
  
    Leaves white cast
  
",3.0,KAdams,"Reviewed in the United States February 22, 2019","









  
  
    
  I did not like the white cast this left. I'm not sure how to describe this but it never seemed to absorb into my skin. I could rub my face or neck hours later and I would have little pieces of product on my skin. I think I've read other reviews that mentioned pilling so I think that's what I experienced. I don't like wearing makeup every day but when I wore makeup it would cover the white cast. However the pilling still occurred. Otherwise, it seems to moisturize okay which is why I gave it 3 stars.

  
",
1,308,"







  
  
    Not great
  
",3.0,Van,"Reviewed in the United States October 16, 2019","









  
  
    
  This is very sticky and tacky, which should not be the case for a sunscreen with only an spf 30. No white cast and very nice ingredients, but doesn’t work well under makeup and makes my skin feel sticky and tacky for hours.

  
",
2,241,"







  
  
    White cast / not for acne prone skin
  
",3.0,K,"Reviewed in the United States May 31, 2020","









  
  
    
  a lot of people recommend this sunscreen because Cerave is a reliable brand but let me tell you this, if your skin is acne prone D O N O t buy this. I have pretty normal skin but I tend to get minor breakouts but this sunscreen amplified it. At first I thought maybe it was because I was using my normal lotion and sunscreen so the next day I decided to just put on the sunscreen. Big m I s take. •_• I woke up with clear skin and by night time I felt like (and looked) like greasy 12 year old . *sobs* my clear skin . This might not be the case for everyone but If you have hormonal/or acne prone skin save your money.(also leaves a white cast)

  
",
3,272,"







  
  
    This lotion is great to wear for the daytime
  
",4.0,k3n,"Reviewed in the United States September 29, 2018","









  
  
    
  This lotion is great to wear for the daytime. At first application it feels a little greasy but after it gets absorbed you barely notice it. Keeps me hydrated and soft all day.

  
",
4,128,"







  
  
    Just okay
  
",3.0,fightyoctopus,"Reviewed in the United States June 13, 2019","









  
  
    
  I love the PM version and use it daily, but I'm not a fan of this. Very chalky, moderately bad white cast, and I feel like it just sits on the skin for a long time. Using the amount necessary to actually get the SPF coverage feels gross. I'm using mine up by using small amounts thinned with a hyluronic acid toner or a few drops of squalane oil and also using a separate sunscreen. In the future I'll stick to the PM formulation.

  
",
5,265,"







  
  
    Good product. But...
  
",4.0,Natalia F.,"Reviewed in the United States February 28, 2021","









  
  
    
  Doesn’t spread very well, but certainly hydrates and protects the skin from the sun. I don’t like how it peels a little bit and not my favorite option below make up. It’s my option for weekends or days I’ll stay home.

  
",
6,232,"







  
  
    Lotion plus
  
",5.0,Cecilia P,"Reviewed in the United States October 22, 2019","









  
  
    
  I’m a long-time user of CeraVe products, and this is a good addition to my collection.  I much prefer having lotion with spf rather than dealing with two separate products.  This one gives me the impression that the gazillion lines in my face are a little less obvious—whether they are or not is, to be honest, pretty immaterial.  I will buy this product again.

  
",
7,34,"







  
  
    I want to love it...
  
",1.0,Kareful Konsumer,"Reviewed in the United States December 31, 2020","









  
  
    
  I ordered this after I heard rave reviews from dermatologists about this product. I also ordered it because I own a bunch of other CeraVe products which I love. I switched from an SPF50 Cetaphil face lotion for this one, and I'm sad I did.This moisturizer does NOT apply evenly and smoothly on the face... I don't know how exactly to describe it other than it looks like grease paint when applied. It curdles and when it dries, it flakes off making it look like dead skin. I'm sure the product does a great job of protecting against the sun and it IS good for sensitive skin, but definitely not on the face. I'm probably going to use this as a body sunscreen instead of a face moisturizer.

  
",
8,146,"







  
  
    Great for oily skin. Gentle and VERY moisturizing
  
",5.0,Khanh Nghiem,"Reviewed in the United States August 21, 2020","









  
  
    
  I wish they would take out all the SPF ingredients in this moisturizer because the white cast is terrible and you have to rub it in, which is never good. If I need SPF, I would use the Krave Beet Shield. The US really needs to catch up with the rest of the world when it comes to UV filter ingredients. BESIDE THAT, this lotion is very moisturizing and really helped my skin produce less oil. I would overlook the debacle and give this a 5 star

  
",
9,214,"







  
  
    It’s NOT Matt.
  
",2.0,C,"Reviewed in the United States June 23, 2020","









  
  
    
  If you’re here because of a Tik tok video... let me save ya time and money lol the 1 thing I looked for in a sunscreen is no white residue or glossy finish. I came to order this because I thought it would be Matt because of that Tik tok and unfortunately it wasn’t true... ugh I am definitely disappointed this made my face glossier and never went “Matt” also leaves a slightly white residue and when you try and blend it out more it starts clumping up .. 🙃

  
",
10,180,"







  
  
    Rub mud on my face
  
",2.0,Ethan,"Reviewed in the United States February 16, 2021","









  
  
    
  How to say my feelings about it,I like cerave brand, but not this lotion.  it is not good for me. I don’t know why the white mud will be rubbed after applying the face. I do think about may be because of it can not match my toner,but I do try 2 different toners and also try don't apply toners, the white mud still come out. I'm not have a sensitive skin,and my skin always healthy, I just want try a different facial lotion. I'm disappointed at this. Only one thing I feel good about Amazon service, I get a broken box lotion first time, the customer service sent me another one soon.

  
",
11,79,"







  
  
    face pills
  
",3.0,Roxanna,"Reviewed in the United States November 30, 2017","









  
  
    
  I love all the other CerVe products I'v tried but this lotion tends to be heavy and pill up on my face instead of absorbing. Takes a little extra time to rub the pills off my face but I still use it because I want the benefit of ceramides in my SPF. There is no other equivalent on the market.

  
",
12,207,"







  
  
    My GO TO daily moisturizer!
  
",5.0,Emily Lewis,"Reviewed in the United States October 12, 2020","









  
  
    
  I am so obsessed with this! And the fact that it has SPF in it makes it even better!!! I use it every single day without missing a beat! I honestly think it has transformed my skin from dry to very, very hydrated! I will forever be a fan of Cerave products!!

  
",
13,201,"







  
  
    white overcast
  
",3.0,Christine Rizzotti,"Reviewed in the United States January 4, 2021","









  
  
    
  It smells much like sunscreen and leaves white overcast after applying. definitely seems moisturizing but it doesnt blend into the skin the way a sunscreen moisturizer should

  
",
14,130,"







  
  
    Moisturizing and good sun protection!
  
",5.0,S Lee,"Reviewed in the United States December 11, 2020","









  
  
    
  I love the Cerave tub so much I decided to try this out. I needed a good spf during the day. I love how moisturizing this is, especially now in the winter when my skin gets extra dry and sensitive. It is a pretty versatile lotion as I can also use it during hot weather when my skin can become combo/oily and dry in some areas. I am very pleased with this product!

  
",
15,276,"







  
  
    Not easily absorbed
  
",2.0,Mickey,"Reviewed in the United States April 15, 2020","









  
  
    
  I love CeraVe products, but this moisturizer did not absorb easily into the skin. It would become almost chalky on the skin. I would have to spray a mist if water on my face and really work it into the skin.  Will not purchase again.

  
",
16,239,"







  
  
    Disappointed
  
",1.0,Naelia,"Reviewed in the United States May 8, 2019","









  
  
    
  My face did not like this product at all. =[ It leaves a white filmy residue on my face and if I try putting makeup over the top it starts coming off of my face as little white flecks. I also started to break out from it, which is not something I am used to having happen. I am pretty disappointed in this product, which is sad because I love CeraVe products normally.

  
",
17,175,"







  
  
    Not for me
  
",1.0,Lisa,"Reviewed in the United States January 10, 2020","









  
  
    
  Very thick, didn't absorb well, and didn't seem to moisturize.  Disappointed because I was told that this is a preferred ""drugstore"" brand dermatologists.  Maybe I just bought the wrong product.

  
",
18,151,"







  
  
    High quality, low cost
  
",5.0,The Funky Armadillo,"Reviewed in the United States July 19, 2020","









  
  
    
  Perfect for daytime wear for skin that requires moisturizer and sunscreen during the day. Since it's oil free, it hasn't caused any type of breakout while providing daily protection. I pair this with the night time version.

  
",
19,299,"







  
  
    New favorite
  
",5.0,Justine,"Reviewed in the United States March 15, 2021","









  
  
    
  This is my new favorite moisturizer!  No white casting on my skin, everything absorbed wonderfully.  My skin is sensitive and prone to breaking out and I haven't had any issues with that.

  
",
20,240,"







  
  
    Prescribed by dermatologist
  
",4.0,Parsimoney,"Reviewed in the United States March 10, 2021","









  
  
    
  My son is using medications for acne and also uses this product to offset the skin dryness the medications are giving him. We were given samples of this product by the dermatologist. Noticed good improvement in skin condition.

  
",
21,8,"







  
  
    Great product for sensitive skin
  
",5.0,jerseyJD,"Reviewed in the United States November 23, 2018","









  
  
    
  Great, oil-free moisturizer with SPF at a very reasonable price.  It does not irritate my sensitive skin but it's made my face noticeably softer.  It also absorbs rather quickly so that I can wear foundation over it without feeling too greasy.  I've tried more expensive moisturizers but I much prefer this product and I trust this brand.

  
",
22,124,"







  
  
    Cerave does it again
  
",5.0,Stephanie Steinmetz,"Reviewed in the United States June 11, 2020","









  
  
    
  LOVE THIS PRODUCT!!! I use it every morning because you can always use the protection. It’s very moisturizing and it does protect me from the sun. I also bring this to the beach and reapply after I go into the water. I have pretty dry skin & this is great start to my morning

  
",
23,259,"







  
  
    LOVE!
  
",5.0,naira,"Reviewed in the United States July 6, 2020","









  
  
    
  found out about this brand recently although many people use it. thought I give it a try, lets just say im glad I did. it works great! light and smooth, can reapply it as much as you want until your skin feels smooth, it wont start crumbling into tiny little dirt. Love this product, great price

  
",
