,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Great monitor for the price!
  
",5.0,Jen,"Reviewed in the United States September 26, 2020","









  
  
    
  Great budget Full HD monitor with DisplayPort, HDMI and VGA ports. Can rotate (clockwise) to portrait mode, height adjustable and can tilt. Loved that it doesn’t have a power brick. 110-220 volt.04-Oct-2020 Update:  Bought another one and just installed today to an older PC that have DVI (via DVI-HDMI adapter) and used the audio cable provided (PC audio out to monitor audio in). By default, the analog audio is not enabled so you have to go into the monitor's menu, navigate to Management->Audio and check the box next to the Analog audio for the speakers to work.

  
",
1,1,"







  
  
    MONITOR REALLY DOESNT HAVE SPEAKERS
  
",4.0,Gerald mcginley,"Reviewed in the United States September 22, 2020","









  
  
    
  I DISLIKED THE FACT THAT THE MONITOR WAS ADVERTISED TO HAVE BUILT IN SPEAKERS. THERE ARE NO SPEAKERS!  I LIKE THAT THE DISPLAY IS REALLY CRISP AND BRIGHT.

  
",
2,2,"







  
  
    VALUE IS UNBEATABLE
  
",5.0,Travis L. Holliday,"Reviewed in the United States September 29, 2020","









  
  
    
  after six months of working in quarantine on a laptop, I had to break down and buy a monitor. I have an HP EliteBook and this monitor seemed similar to what we use at the office, so I ordered it. I can’t tell you how EASY it was to set up right out of the box. It has built in speakers and the HDMI cord plugs right into my laptop. Now I can use the monitor as my main screen and the laptop as my secondary screen, if needed. But honestly this monitor is so big I don’t even know what to do with all the screen space I have now. At this price, I’m going to gift one to my direct report so she can benefit from having a larger screen.  Do yourself a favor and buy this monitor for your home. You will be so glad you did.

  
",
3,3,"







  
  
    False information
  
",1.0,PhotoTripper,"Reviewed in the United States October 3, 2020","









  
  
    
  Monitor speaker made wierd noise when i hooked up my Playstation, so I returned it. But thats not why I'm un happy. Im in happy for the seller putting false information on their website. On the product information on the sellers page it has down 1920x1080 at 75Hz. When it has down on the front page of the set up guide that its 1920x1080 at 60Hz ,not 75 like what is put in the website.  So I would of returned the item regardless if it made noise with my Ps3 or not because I want a monitor with at least 75hz and this one is only at 60Hz. Looked up monitors specs on a diffrent website than Amazon and they have refresh rate down as 60Hz for this monitor. Not cool.

  
",
4,4,"







  
  
    Great value!!
  
",5.0,Doug,"Reviewed in the United States September 24, 2020","









  
  
    
  Absolutely nothing wrong with these monitors they are great especially for a office environment like I needed. Highly recommend. I bought three of them as you can see by the picture. There's nothing like having three monitors.

  
",
5,5,"







  
  
    Issues now
  
",5.0,Felix J.,"Reviewed in the United States September 20, 2020","









  
  
    
  I bought this monitor back in September and it’s been great but now I have a horizontal line going down the screen.

  
",
6,6,"







  
  
    Great Monitor and Excellent Value
  
",5.0,Mezzy,"Reviewed in the United States September 21, 2020","









  
  
    
  Bought this monitor for my son. He docks it with his laptop, and has also connected his Switch and Mini NES to it via HDMI. The picture is great, and the sound is surprisingly good for a monitor. The monitor easily adjusts vertically, and the tilt also works well so you can get it into the ideal position. The controls are easy to use and you can tell it is well built, it is not flimsy like other monitors in this price range. Definitely recommend it.

  
",
7,7,"







  
  
    Outstanding product and service
  
",5.0,Amazon Customer,"Reviewed in the United States September 23, 2020","









  
  
    
  If it also passes the test of time (received it and flawlessly installed it minutes ago), then this product might very well qualify for one of the best ever in its category. Unbeatable deal, considering the $110 I've paid for it. Received the monitor impeccably packed and in perfect condition from across the entire country in less than 48 hours since I've ordered it using just my regular Prime membership. The product has been shipped with the Amazon's own shipping service. So, my hat down, HP and Amazon, thank you very much!

  
",
8,8,"







  
  
    Great monitor + 75Hz + HOW TO FIX LOW VOLUME SOUND
  
",5.0,LindguiniTop Contributor: Watches,"Reviewed in the United States December 9, 2020","









  
  
    
  This HP 24mh monitor has a clear, crisp display and is the perfect size for desktop use (not too big, not too small).  It accepts both HDMI and DisplayPort inputs (and even VGA for old school PCs).  While Windows will select 60Hz refresh rate by default, you can go into Windows' display settings and select 75Hz refresh rate for this monitor.  The 75Hz refresh rate really does help smooth out motion.  You should also go into the monitor's ""Image"" menu setting and set Response Time to Level 3 which provides the best VSYNC performance.  One of the best features that places this monitor above and beyond its price range is the 90-degree rotating screen, height adjustment, and swiveling base.  The stand is rock-solid without any wobble.  The speakers are just fine once you discover the menu control I explain below:HOW TO FIX LOW VOLUME SOUND:  The built-in speakers are better than some reviewers indicate.  I believe most people don't discover that the monitor menu has its own volume control that's set to 50% volume by factory default.  If you just connect this monitor to the PC you'll automatically get sound through the HP speakers via HDMI or DisplayPort (you only have to use the separate audio cable when using the VGA input).  But no matter how high you turn up your PC volume control, you'll only get 50% volume from the monitor's speakers which is why people complain about low volume.  To fix this, all you need to do is go to the ""Management"" tab of the monitor menu, select ""Audio"", and then turn up the volume control from 50 (default) to 100 and you'll find the monitor speakers are plenty loud.  After that, you'll only have to use your PC volume control as normal.This is a great quality monitor with features beyond its price range.  Fantastic value, HP!ADDITIONAL NOTE:  HP sells an identical monitor to the HP 24mh under the model P24h.  The only difference is that the P24h has a black plastic logo strip along the bottom instead of silver like the 24mh.  Everything else is identical (specs, speakers, height adjustable stand, etc.) plus the P24h comes with both an HDMI cable and a DisplayPort cable.

  
",
9,9,"







  
  
    A great value! It’s everything that is advertised.
  
",5.0,Kurtis Pool,"Reviewed in the United States September 29, 2020","









  
  
    
  Great value for your money. Bought two for my office. The monitor goes up, down, tilts backward & forward. You actually can turn the screen to a vertical position which also makes it super easy to plug into your hdmi or display port.Also, someone wrote there are no speakers which I found that review to be confusing. My monitors have internal speakers and they work just fine. - Kurtis Pool

  
",
