,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,297,"







  
  
    minimal, but sturdy, mouse
  
",5.0,kristenS,"Reviewed in the United States May 4, 2017","









  
  
    
  This mouse isn't flashy, minimal buttons, but you know? Where others have fallen after the repeated misshandling of my mice,  this one has survived many drops onto hard surfaces, moving, and just general bad handling that comes from 5 year Olds, and still works like a charm on pretty much any surface i've used it on,to include shiny boxes as i needed to do homework while moving to a new house. So, yeah, I'll give this thing a 5 star rating.

  
",Size: 1-PackStyle: Only Mouse
1,125,"







  
  
    Great mouse. Very basic
  
",5.0,Kateri Drewes,"Reviewed in the United States March 12, 2015","









  
  
    
  Great mouse. Very basic, but well constructed. I've been using it regularly, but it's had no issues despite frequent plugging and unplugging, constant transit, and frequent bending on the cord.Good sensor, works on basically all surfaces.Edit: So after a three months of frequent use, my mouse broke. This is the second time I have ordered this mouse, and both times it broke the same way. The base of the USB cord, where it connects to the computer, needs to be held at a very particular angle to work. The quality of the connection degrades until the mouse no longer works at all.I don't regret purchasing this mouse, but going forward I think I'll buy wireless mouses. I'd rather spend $25 on a wireless mouse which lasts me a couple years than spending $7 every three months because the connector cable keeps busting on my mouse.

  
",Size: 1-PackStyle: Only Mouse
2,214,"







  
  
    Works, but Mouse Wheel Squeaks
  
",3.0,PaulV,"Reviewed in the United States October 28, 2020","









  
  
    
  This mouse is solid and gets the job done, but the scroll wheels of both of the ones we bought squeak!  Is annoying enough that we can't use them.  Maybe others wouldn't be bothered, but even my coworkers on calls can hear the squeaking and it's distracting.  Tried a drop of oil but that didn't help.  So 3 stars for otherwise working, but just can't use this mouse otherwise.

  
",Size: 1-PackStyle: Only Mouse
3,180,"







  
  
    There are things wrong with this item, but it's cheap.
  
",3.0,Gary H. Labowitz,"Reviewed in the United States December 10, 2020","









  
  
    
  Sometimes the left button doesn't do anything. But, this might be my computer acting up. Don't know. However, the wheel gets into a mood once in a while and makes a scraping noise as you use it. That goes and comes at will (not wheel). This is a tiny bit annoying.  But for a bargain mouse, I'll work with it. I'm slowly switching to a tablet anyway.

  
",Size: 1-PackStyle: Only Mouse
4,161,"







  
  
    This mouse is quite small
  
",2.0,Cam,"Reviewed in the United States September 23, 2019","









  
  
    
  I was looking for a cheap mouse to use for a couple of months and was excited to find that AmazonBasics had an option.  Unfortunately, this mouse is so small my (larger then average) hand tends to cramp up after a few minutes of trying to squeeze it sufficiently.  There are plenty of other cheap options that feature a full size mouse.  This is more like a travel mouse.

  
",Size: 1-PackStyle: Only Mouse
5,386,"







  
  
    Failed in less than a year
  
",2.0,Kat5,"Reviewed in the United States September 25, 2020","









  
  
    
  My first mouse to completely fail. The mouse was erratic shorting out and then failed completely.  Otherwise a regular no frills mouse. Not what a serious gamer would select.  Not the mouse if you have neck, nerve or hand injuries.

  
",Size: 1-PackStyle: Only Mouse
6,215,"







  
  
    So far, So good
  
",4.0,Gary 0765Top Contributor: Photography,"Reviewed in the United States December 14, 2018","









  
  
    
  I grew tired of the wireless mice not working after a few months. Typically with those, the left side goes wonky, not to mention the batteries they go through. This plugs right in and hasn't had any issues thus far. Seems to be built like anything else on the market. It has a great click and tracks well.The only minor complaint is lack of additional buttons such as forward and back, which I was spoiled by. Outside of this small personal thing, this works well.

  
",Size: 1-PackStyle: Only Mouse
7,160,"







  
  
    Worked for it's purpose, but not that long
  
",3.0,Wizzy,"Reviewed in the United States February 5, 2021","









  
  
    
  Bought in September, lasted until January when it started confusing right and left clicks. It's not a huge issue, but makes a lot of things way more difficult than they need to be.I do a lot of gaming though, so it's likely it's just not built for that kind of wear and tear. Perfect if you're just using it for work purposes though. Not good for extensive gaming.

  
",Size: 1-PackStyle: Only Mouse
8,187,"







  
  
    Holds up to student use
  
",5.0,Christa Cordrey,"Reviewed in the United States July 20, 2020","









  
  
    
  I bought a set of 25 of these mice. They held up well to middle school students ising them daily. They are small and lightweight but very sturdy. My middle schooler have given their stamp of approval.

  
",Size: 30-PackStyle: Only Mouse
9,271,"







  
  
    Best regular wired mouse
  
",5.0,Jeff,"Reviewed in the United States May 23, 2019","









  
  
    
  You're probably thinking that the ""Amazon basics"" mouse is poor quality."" Well, you'd be wrong! This mouse surprised the heck out of me with its solid quality and durability. Its perfect for every day computing. Definitely for office computing. I marked 5 on gaming because no one ""needs"" a naga or gaming mouse for gaming, this works just fine for it.

  
",Size: 1-PackStyle: Only Mouse
10,278,"







  
  
    THE ANSWER TO WHAT WORKS WITH THE HP CHROMEBOOK
  
",5.0,Donn M. Searle,"Reviewed in the United States July 15, 2014","









  
  
    
  __Shipment was well-packaged and arrived on time. I plugged the mouse into a USB port on my wife's HP-11 Chromebook and it worked instantly. This is a comfortable, optical mouse with long cord (which excess I gathered into a closed loop, next to the USB plug-in and secured by a couple of electrical ties), with very smooth tracking on a conventional mousepad.__So, to clear up the confusion of what will and what won't work on the HP-Chromebook:HP CHROMEBOOKS ARE DIFFERENT FROM OTHER CHROMEBOOKS-Unlike their competitors, they were engineered at Google; not Hewlett-Packard. They do not contain the drivers that others may have built into their systems -DESPITE the fact that they are Bluetooth-enabled. No external apps, drivers or programs can be uploaded into the Google Chrome O.S. While that may be viewed as a shortcoming in Chromebook comparisons, the HP has in my opinion, superior features that negate that difference.THE HP CHROMEBOOKS WILL RUN ON A CORDED MOUSE, WITH NO SET-UP, RECEIVER OR BATTERIES REQUIRED! And the Amazon Basics 3-Button mouse fills the bill at a very reasonable price. My only recommendation would be, for shipping to add a brick of cheddar cheese with their mouse.-For the operator.

  
",Size: 1-PackStyle: Only Mouse
11,305,"







  
  
    Great Product!
  
",5.0,Amazon Customer,"Reviewed in the United States June 14, 2019","









  
  
    
  I had been using a Logitech mouse for around 3 years or so and one day it stopped working.  I ordered this mouse because the price was low.  This product definitely amazed me.  It is small and compact, no battery needed.  You simply connect to the USB port and that's it!  I love it!

  
",Size: 1-PackStyle: Only Mouse
12,88,"







  
  
    Cheap, reliable, rugged, doesn't bounce under furniture when dropped
  
",5.0,Carole,"Reviewed in the United States January 22, 2015","









  
  
    
  This mouse is perfect for me. Many people prefer wireless mouses to wired ones like this mouse. I have two objections to having a wireless mouse:1. When a wireless mouse falls, it always seem to bounce way underneath furniture and searching for it on my hands and knees is not my favorite activity at age 66.2. Buying and replacing batteries frequently gets so tiresome.This mouse addresses both of these problems. If I drop it, I can retrieve it easily since the wire functions like a tether. It never needs batteries. What a great technological advance! Ha ha! Also it is a perfect fit for my hand and feels very natural. Like most AmazonBasics items this mouse functions well and is reliable. As a bonus the buttons produce very satisfying click sounds. This is what a mouse should be like, in my opinion, and the price is good at $6.99.Edited to add: I am now 69, and for whatever reasons, I probably drop my mouse from the table to the floor at least a dozen times a day. I'm not even kidding, and attribute this to old age and clumsiness. THIS MOUSE IS INDESTRUCTIBLE!!!! LOL  This would be a great mouse for a kid, too, because it just doesn't break. I guess I get a new one every couple of years, but still, this mouse is the very definition of the word ""rugged"".

  
",Size: 1-PackStyle: Only Mouse
13,176,"







  
  
    The three button USB mouse
  
",5.0,Robert A. Hansen,"Reviewed in the United States December 4, 2020","









  
  
    
  I bought this for a friend of mine. she broke her other mouth period or it just quit working on her period either way I bought it for and she really likes it. It looks comfortable. She doesn't complain about it. Just plug it in and it starts working right away. So I'm glad that I got it for period and it's a good deal with nice price and everything.

  
",Size: 1-PackStyle: Only Mouse
14,4,"







  
  
    excellent buy, well worth it!!!
  
",5.0,JennD.39,"Reviewed in the United States December 27, 2016","









  
  
    
  After buying two Apple mice (?) to use with my MacBook Pro, and having BOTH of them fail miserably ~ for over $60 apiece!! ~ I found this one on Amazon for a mere $7!! I ordered the first one a while back, it connected immediately ~ and until recently (probably after couple of years use at least) I have just started having an issue with it. Sometimes, while scrolling up/down, I find that the wheel does not connect.So...I ordered another one, again for a mere $7 (hear me, Apple?!?) to keep on hand for when the first one finally decides to bite the dust.As of today, I have not had to use this 2nd one, but it sits in my ""stash"" of equipment, silently awaiting the day when I will find that I need it.The 1st, as I have said, is still scrolling(for the most part) & clicking away, but I know that it will probably give out eventually...Again, 5* stars to a well-made purchase!!!

  
",Size: 1-PackStyle: Only Mouse
15,373,"







  
  
    Little, but works well
  
",3.0,David D.,"Reviewed in the United States December 19, 2016","









  
  
    
  Works well, should have read the reviews because it is a dainty mouse. I don't have large hands and it still feels small to me. Would probably be great for a child or someone with very small hands, like Donald Trump.The material feels good and it works great, and no irritating corners or edges. Other than the size, I have no complaints. If you have larger hands, look around and you can find other alternatives at this price-point.

  
",Size: 1-PackStyle: Only Mouse
16,20,"







  
  
    Super sqeaky scroll wheel
  
",1.0,Dave B,"Reviewed in the United States November 23, 2020","









  
  
    
  I just bought this instead of the Logitech as I have had decent results with Amazon Basics products in the past and it was slightly cheaper.  It was the wrong choice this time.  Amazon Basics products are usually missing one or two nice features, but other than that, are solid replacements at a decent price.  This mouse however has started to change my perception of the Amazon Basics brand for the worse.  Reading some of the other reviews, it appears that they created a decent product originally and then started cutting corners over time until the value provided was not worth the price, even though discounted.The scroll wheel squeaks whenever I use it.  And if I am using the mouse with a window, then I am scrolling quite a bit.  This is not an old mouse, I just bought and started using this mouse.  It grates on my ears and saps my concentration.  For the price, it is not worth the trip to the UPS store to return it.  I will probably just save it with a note to only give or lend it to someone I don't like very much. ;-)  Or realistically use it while waiting for a decent mouse if another mouse stops working.

  
",Size: 1-PackStyle: Only Mouse
17,122,"







  
  
    Cheap. Easy. Works. For general computer use it is a perfect product.
  
",5.0,Amazon Customer,"Reviewed in the United States October 30, 2017","









  
  
    
  We had the original mouse from our computer that we bought waaaaay back in 2008 and it was getting to be pretty frustrating to use. I saw this for $7 and figured why not? I'm so happy I made the purchase. It shipped super fast and for a $7 mouse it is everything it should be and maybe a little better than I expected. Of course like I said before our old mouse was a complete turd so that is the context I'm going off of but still, the AmazonBasics mouse seems to be extremely responsive, comfortable, and it was plug and play which was nice. I had it unboxed and functioning in about 30 seconds. It works perfect for what we use it for (internet browsing, light gaming, general computer usage) and I don't really see why I would ever need anything fancier.

  
",Size: 1-PackStyle: Only Mouse
18,51,"







  
  
    Keep Looking, Nothing to See Here
  
",2.0,AK,"Reviewed in the United States June 17, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   It’s small which makes it a nice fit into a laptop bag. It doesn’t use batteries so that’s great but the pros don’t go much further than that. I haven’t had problems with the clicking yet like others have reported but my scroll wheel just stopped working. I’ve seen videos on YouTube that teach you how to open and repair this yourself but I really don’t want to. I honestly really liked this before things started breaking on me. I might buy another but judging by the reviews here these aren’t very well made. Do yourself a favor and skip this buy.

  
",Size: 1-PackStyle: Only Mouse
19,237,"







  
  
    Easy to use, good quality
  
",5.0,Ashley,"Reviewed in the United States September 13, 2018","









  
  
    
  I purchased this because it hurts my hands too much using the pad on my Mac and I am always on my computer for school and wedding planning. It is so easy to use, you just plug in the USB, the cord is long and it works on so many surfaces. I even use it on my bed, just on my comforter, you don't even need a mouse pad. I have had it for a few months now and love it.

  
",Size: 1-PackStyle: Only Mouse
