,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,39,"







  
  
    Great IF you can stomach the taste
  
",3.0 ,KLS,"Reviewed in the United States January 21, 2020","









  
  
    
  This stuff works very well but I CANNOT STAND the taste... but then again I have never really like the taste of any listerine.HIGHLY recommend if you actually like Listerine's taste. (Probably one of the better tasting Listerine) but I DO NOT recommend if you can't handle a strong taste. I recommend Crest Pro Health Advanced Clean Mint flavor if you are not a fan of the taste of Listerine. (CPH is also recommended and given out at my mother-in-law's Dental Practice, so BOTH are EXCELLENT)

  
",
1,217,"







  
  
    Listerine #1
  
",5.0 ,CCM,"Reviewed in the United States October 25, 2020","









  
  
    
  Listerine is my choice,  been using it for years.  Freshens and good flavor.

  
",
2,86,"







  
  
    Convenient ship to home.
  
",5.0 ,Amazon Customer,"Reviewed in the United States March 7, 2021","









  
  
    
  For not going out to shop this was a good value

  
",
3,183,"







  
  
    Good product
  
",5.0 ,Jamie,"Reviewed in the United States July 7, 2020","









  
  
    
  Good product. I use it after meals to clean my mouth and have healthy oral hygiene. It's very minty fresh. The first time I used it was had a very burning sensation but now I am used to it.

  
",
4,128,"







  
  
    Great for stopping cavity formation
  
",5.0 ,Jen,"Reviewed in the United States January 24, 2021","









  
  
    
  Our dentist recommended this as the first step if we see any damage to teeth. We’ve literally healed a cavity that started to form.

  
",
5,216,"







  
  
    Love this Listerine product.years. Highly recommend it.
  
",5.0 ,DARS,"Reviewed in the United States January 15, 2021","









  
  
    
  Love this Listerine product. Have used it for years. I highly recommend it

  
",
6,301,"







  
  
    Traditional mouthwash with fluoride
  
",5.0 ,newtopos,"Reviewed in the United States August 20, 2019","









  
  
    
  The other reviews are spot-on: this has a fairly strong, but not unpleasant burn (due to the alcohol), a pleasant flavor, and has fluoride.  We'll see what my dentist has to say at the next check-up, but I wanted to add a fluoride mouthwash to my regimen and this should do the trick.

  
",
7,101,"







  
  
    Burn
  
",4.0 ,Haley T.,"Reviewed in the United States October 15, 2020","









  
  
    
  It’s a really nice mouthwash but it burns a lot. I don’t know if it takes time to get used to but it burns like really bad to the point where I spit it out after 30 seconds and my tongue is numb.

  
",
8,270,"







  
  
    Love it!
  
",5.0 ,Celina T ,"Reviewed in the United States October 4, 2020","









  
  
    
  Tried this after the dentist recommended it. Love the flavor and leaves mouth feeling fresh

  
",
9,198,"







  
  
    Nasty taste
  
",3.0 ,Christina H.,"Reviewed in the United States December 14, 2019","









  
  
    
  Doesn’t taste very good, which decreases my compliance... I prefer other mouthwashes and now I’m stuck with this giant bottle. I should just pour it down the drain!

  
",
10,21,"







  
  
    Great for Protecting Your Teeth
  
",5.0 ,Flautalee,"Reviewed in the United States January 20, 2020","









  
  
    
  This mouthwash is recommended by my Family Dentist and Endodontist to help maintain my teeth by preventing further tooth decay.  Unlike some other mouthwashes, it does not burn the lining of my mouth.It is very important to me that a mouthwash not burn or damage the inside of my mouth because I am a flutist and a bagpiper.  I trust this product to help me because I trust my Dentists implicitly.

  
",
