,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,786,"







  
  
    Best Leave-In  conditioner for hair & your hair will smell amazing too
  
",5.0,AllbyApril,"Reviewed in the United States June 23, 2019","









  
  
    
  OH my gosh my hair is so soft and silky I just love the way it feels & smells great too!I stumbled across a YouTube video review about the sleeve and conditioner and had to purchase one right away.... BUTI forgot that I had brought it up until now and oh my gosh why did I wait so long to use this in my hair !!!

  
",Style: #3 Only
1,434,"







  
  
    Smooth as silk
  
",5.0,Amanda,"Reviewed in the United States January 19, 2021","









  
  
    
  I use this about once a week if I remember. Absolutely love this! My hair feels smooth and moisturized after using this product.  You do not need to use a lot of the product and lasts for quite awhile. Just know that it is a small bottle. You can make it last as long or as short as you want depending on the amount and how often you use it.

  
",Style: #3 Only
2,595,"







  
  
    Liked it!
  
",4.0,Sophia Wages,"Reviewed in the United States January 24, 2021","









  
  
    
  I know I shouldve expected it bc of sizing but idk why its just a really small quantity for a high price. It worked nice in the shower but i didnt really see much of a difference in my hair after religious use. Maybe its just me but its not a bad product!

  
",Style: #3 Only
3,612,"







  
  
    love olaplex, not sure if amazon is the same formulation
  
",5.0,AP,"Reviewed in the United States July 21, 2019","









  
  
    
  Love using olaplex, it has really helped my damaged hair get back on track.  I've bought this product direct from Olaplex and also from Amazon.  I notice that the amazon version is much thinner than the one purchase direct.  They both seem to work but it makes me wonder if the formulation is different or diluted on Amazon.

  
",Style: #3 Only
4,148,"







  
  
    The bomb!!!!
  
",5.0,HB Egg,"Reviewed in the United States August 2, 2020","









  
  
    
  I have had dry, wild, frizzy, thick but fine- stranded hair my whole life. It breaks if you look at It very hard. I straighten it with a hair dryer and it becomes a broken straw broom. I have used “repair” products on my hair for decades with a “yeah whatever” attitude. So I bought this other “repair” product expecting more of the same, except maybe a bit softer. IT WORKS. It is literally the only thing I’ve ever used that made a difference. I don’t understand how and I don’t know what kind of hair wizardry it uses, but it literally stops my hair from breaking. I even (gasp) bleached some of my hair and it is not damaged!!! Where was this product when I was a dork  in middle school with hair so wild I couldn’t fit through doors? Thank you to whatever hair god figured this out!

  
",Style: #3 Only
5,707,"







  
  
    Really works!
  
",5.0,Tirzah Young,"Reviewed in the United States October 3, 2019","









  
  
    
  Fantastic for damaged hair. Coat hair, wrap with plastic wrap and sit under heat for 30 min. Or I sleep with it on. The cost is the only drawback. I have bleached hair on the top and it has really helped strengthen my otherwise breaking hair.

  
",Style: #3 Only
6,700,"







  
  
    Worth it, will save you money at the salon!
  
",5.0,Indy Mom,"Reviewed in the United States October 4, 2020","









  
  
    
  If your hair needs moisture you need this product. Save money at the salon as this is very easy to do yourself at a fraction of the salon cost! Great product, you will love the results and no strong scent!

  
",Style: #3 Only
7,357,"







  
  
    Liquid Magic!!
  
",5.0,Heidi R.,"Reviewed in the United States January 24, 2020","









  
  
    
  This product is amazing! I purchased this for my daughter (and used along with No. 4 Shampoo and No. 5 Conditioner) who's hair was extremely damaged from a salon visit. She had her hair bleached 3 times in 24 hrs (2 differ hair appts) in order to lighten her medium brown hair to (almost) platinum blonde so that she could achieve pastel pink hair color. Unfortunately, the hair dresser had no idea what she was doing, which resulted in straw like texture and uneven color  (not extreme breakage yet, but wanted to prevent further damage).  After 1 use of all these products (No. 3/4/5), her hair was transformed!!! It was soft and was visibly healthy.  We left No. 3 treatment on for 2hrs. and followed up with No.4/5. We did a 2nd treatment with all three products a few days later, leaving No. 3 treatment on for 4hrs and followed up with No. 4/5. Again, so soft and healthy looking. We will continue treatment 2x/week to keep it strong and to prevent breakage. The smell is clean and light - for all 3 products.

  
",Style: #3 Only
8,310,"







  
  
    Waste of money
  
",1.0,Megan Wagner,"Reviewed in the United States April 19, 2020","









  
  
    
  This is literally worthless. Iv used this multiple times in my hair, my sister's hair, and my cousin. My hairstylist even used this and same the same thing. Those product is either a scam or a faulty bottle, because real olaplex has always worked. But yet this bottle didn't work on not only me, but 3 other individuals as well. Super mad I wasted money on this. Will tell everyone I know on the east coast to not use this product.

  
",Style: #3 Only
9,558,"







  
  
    Amazon is not an authorized retailer
  
",2.0,Kristin,"Reviewed in the United States April 4, 2019","









  
  
    
  I’ve bought this product from Sephora; an authorized Olaplex retailer and on Amazon. The Amazon product is hit or miss. I cut and color my hair a lot and my last purchase of the Amazon Olaplex didn’t help or feel like other times I’ve bought it. Ultimately, if are buying this product to help heal your hair after damage buy the authentic thing!

  
",Style: #3 Only
10,2,"







  
  
    Real vs. Fake Controversy
  
",4.0,G. LaJoie,"Reviewed in the United States May 13, 2018","









  
  
    
  There are a number of reviews here claiming that the product purchased through Amazon is fake...to find out if this is true, I purchased one bottle here on Amazon and one directly from the Olaplex website (the product price is the same, but I saved $5 here on shipping because I am a Prime member)...I compared the two on appearance of packaging and product and on performance. Verdict: identical. The stuff ordered through Amazon is NOT fake. That said, it's expensive either way, and not a miracle worker,  but if you have damaged hair it's worth a try-- I have babyfine processed hair so I will continue to use it-- and I will buy it confidently through Amazon.

  
",Style: #3 Only
11,51,"







  
    Nada bueno
  
  
",1.0,Paula,"Reviewed in the United States July 8, 2019","









  
    
  No es original es mejor comprarlo en el sitio directo no gasten su dinero en pirateria

  
  
",Style: #3 Only
12,162,"







  
  
    I was extremely satisfied with this product.
  
",5.0,L B,"Reviewed in the United States April 12, 2019","









  
  
    
  This product came as advertised.  Same as the one I had from Sephora (I had read some reviews on here that it wasn't the same).  I have fine texture, shoulder length color treated hair.  This product is quite simple to use, you just totally wet your hair and towel dry it (you don't want it dripping) , apply the product throughout (I use approx 1/4 of contents for an application, a little pricey but I want to take good care of my hair).  Afterward I put a clear shower cap over my hair and do whatever about the house or catch up on some TV shows. It says to leave on for at least 10 mins, I leave in  my hair for 1-2 hours (I want to reap as much benefits of the product as I can). Afterward rinse it all out and shampoo, condition , blow dry and style as usual.  I find it makes my hair silkier, shinier and gives it body and bounce.  My hair has the I just left the salon feel after using this product.  I really like that is doesn't have a strong scent, I would describe it as pleasant but very mild.  I just snapped a pic of the back of my hair with my phone so you can see for yourself.

  
",Style: #3 Only
13,824,"







  
  
    Lives Up to the Hype
  
",5.0,Jennifer Dixon,"Reviewed in the United States November 10, 2019","









  
  
    
  The hair perfector really does live up to all the hype. I had absolutely destroyed my hair from bleaching it, and nothing was helping. Finally, I tried Olaplex No. 3 and it literally repaired my hair. I put it all through my damp hair, leave it in overnight, sometimes for 24 hours, and the results are INCREDIBLE! You feel the difference immediately when you rinse it out in the shower. I cannot recommend this enough, as well as their Bonding Smoother. I can't wait to try more of Olaplex's products!

  
",Style: #3 Only
14,193,"







  
  
    Olaplex No 3 is expensive but worth it!
  
",5.0,SheliaM86,"Reviewed in the United States September 30, 2020","









  
  
    
  Before, my hair was very wavy, frizzy, and damaged. I spent $400 getting a Keratin treatment and color, so I want to try to keep my hair looking gorgeous. After, I used Olaplex #3 my hair was absolutely gorgeous! I get my hair damp then I put it in my hair for an hour. After, I rinse my hair feels so soft and silky. Then, I use Olaplex #4 shampoo and it smells so good. I did try the #5 conditioner, but I don't like the smell. It smells like chemicals. So I use the Keratin Complex timeless color conditioner. Then, Olaplex #6 bond smoother. While straightening my hair I spray Keratin Complex daily treatment spray on each section of hair. Out of all the hair products I use I absolutely love Olaplex #3. If your looking for a hair product that makes your hair soft, silky, smooth, no frizz, and smells great then, definitely go with Olaplex #3 hair prefector It's the Best product ever!!!!

  
",Style: #3 Only
15,672,"







  
  
    Not the results I hoped for.
  
",2.0,Amazon Customer,"Reviewed in the United States April 20, 2018","









  
  
    
  Olaplex #1 works so amazing in the salon, but I can’t say Olaplex #3 is really worth the money or effort between treatments. Truth be told, I haven’t seen a difference when using this. I wanted to love it, because Olaplex #1 is like some kind of absolute miracle,  but #3 just doesn’t deliver.

  
",Style: #3 Only
16,693,"







  
  
    Totally worth buying..don't second guess it!!
  
",5.0,Nick Howard,"Reviewed in the United States May 4, 2020","









  
  
    
  This product is amazing!! I bought it after doing an at home color lift which was sucessful, but totally fried my hair. My blonde hair was very brittle, damaged, dry and felt like straw.I used this product ONCE and immediately noticed a difference in the way my hair feels. The only way this product could be any better is if it had a floweral smell to it, but truth be told I don't care since it works so well!!

  
",Style: #3 Only
