,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,221,"







  
  
    Not 1tb
  
",4.0,Brooke Greenfield,"Reviewed in the United States January 26, 2021","









  
  
    
  Wow is great but is not 1tb in storage sadly

  
",
1,214,"







  
  
    PS4
  
",5.0,Jorge,"Reviewed in the United States April 23, 2019","









  
  
    
  Good product.  Works as advertised.

  
",
2,191,"







  
  
    Great console!!
  
",5.0,Marco Mendoza,"Reviewed in the United States June 10, 2020","









  
  
    
  Great console, boots up smoothly and is very quiete!

  
",
3,416,"







  
  
    It's a good purchase
  
",5.0,Kathryn,"Reviewed in the United States July 1, 2020","









  
  
    
  Works good just got it and setting it up

  
",
4,106,"







  
    Excelente
  
  
",5.0,Emma A.,"Reviewed in the United States June 10, 2019","









  
    
  Excelente producto, fue para un regalo, mi novio quedó encantado. Llegó a tiempo.

  
  
",
5,72,"







  
  
    Not good quality
  
",1.0,Amazon Customer,"Reviewed in the United States February 5, 2020","









  
  
    
  After one year it stopped working and they want $100 to fix it.

  
",
6,345,"







  
  
    Works great, arrived on schedule
  
",5.0,Happy customer ,"Reviewed in the United States October 17, 2020","









  
  
    
  Works great, arrived on schedule

  
",
7,196,"







  
  
    Go for pro
  
",5.0,Mike,"Reviewed in the United States September 20, 2019","









  
  
    
  It’s a PS4, obviously great. But should have paid $50 more for pro

  
",
8,73,"







  
  
    Amazingly Clear Graphics
  
",5.0,Donna Montgomery,"Reviewed in the United States December 17, 2018","









  
  
    
  Picture and graphics are amazing has wonderful extras, like able to watch Netflix etc. A bit expensive for a game console but worth it.

  
",
9,26,"







  
  
    I got what i wanted
  
",4.0,Cinny Libra,"Reviewed in the United States February 14, 2021","









  
  
    
  I got what I wanted! My only issue with this order is the fact that it was sold way above the MSRP (Manufactures Suggested Retail Price) which would be $299.99. Other than that I'm happy with my purchase.

  
",
10,147,"







  
  
    Ok
  
",5.0,Amazon Customer,"Reviewed in the United States February 24, 2020","









  
  
    
  Ok

  
",
11,24,"







  
  
    Redesigned, slimmer, PS4 is an excellent value!
  
",5.0,Clara hackworth,"Reviewed in the United States January 30, 2019","









  
  
    
  The redesigned PS4 Slim has all of the excellent features of the original, but with a lower price and twice the storage capacity not to mention it's slimmer build. This purchase has been well worth the money, my son has really enjoyed playing all of his games on his new system.

  
",
12,129,"







  
  
    PlayStation
  
",5.0,ShirleyAnn Wilson,"Reviewed in the United States January 7, 2020","









  
  
    
  This was a great gift

  
",
13,165,"







  
  
    Very good product
  
",5.0,Younes,"Reviewed in the United States September 14, 2020","









  
  
    
  Very good product

  
",
14,192,"







  
  
    Shipping was amazing
  
",5.0,Jordan,"Reviewed in the United States October 28, 2019","









  
  
    
  Best system I’ve boughtA MUST BUY!

  
",
15,120,"







  
  
    Great Item!
  
",5.0,Soilder B Wife,"Reviewed in the United States December 26, 2020","









  
  
    
  So far still working. And my son absolutely loves it.

  
",
16,217,"







  
  
    Great gadget for anyone.
  
",5.0,Raquel,"Reviewed in the United States January 20, 2020","









  
  
    
  This was a gift. My brother loved it. It’s used for more than just video games.

  
",
17,298,"







  
  
    Quality and speed
  
",5.0,Carmen,"Reviewed in the United States February 8, 2020","









  
  
    
  The delivery was much faster than expected, and product arrived in excellent shape.

  
",
18,404,"







  
  
    GREAT ITEM HAVING FUN
  
",5.0,Rene R.,"Reviewed in the United States May 13, 2019","









  
  
    
  glad I got this  it gives me some thing too do

  
",
19,81,"







  
  
    works great
  
",5.0,Herbert Kneisley,"Reviewed in the United States January 8, 2019","









  
  
    
  good stuff playing games is a lot of fun

  
",
20,132,"







  
  
    Son loves it. Great gift.
  
",5.0,Florine Gundy,"Reviewed in the United States February 28, 2021","









  
  
    
  My son loves it.

  
",
21,25,"







  
  
    Used not worth it....
  
",1.0,Zack,"Reviewed in the United States September 6, 2019","









  
  
    
  My brother pointed out that the controller was not the original to this PS4. It did looked like about over a year of use, the sticks were worn out that I had to buy new ones. I have to restart the system for it to read a disk properly. Point is, look into the performance of the system rather than it's appearance next time please.

  
",
22,293,"







  
  
    A must buy!!!!
  
",5.0,Seven Daddy,"Reviewed in the United States October 3, 2019","









  
  
    
  The game was received as expected. My daughter loves the game. A must buy for the sims fan.

  
",
23,420,"







  
  
    Ifk
  
",5.0,Will,"Reviewed in the United States February 25, 2021","









  
  
    
  This counsel is awesome

  
",
24,171,"







  
  
    Early Gift for College Student
  
",5.0,Fycen,"Reviewed in the United States March 18, 2021","








  
  Your browser does not support HTML5 video.










  
  
    
   Celebrating going to college have never been so sweeter finally got my PS4 can't wait to play it what's on time and even an Amazon driver seemed to have a smiling face behind the mask Stanley be a great day

  
",
25,152,"







  
  
    Great
  
",5.0,kerry J,"Reviewed in the United States October 11, 2019","









  
  
    
  Great

  
",
26,223,"







  
  
    USA Pro great seller
  
",5.0,Veenessa,"Reviewed in the United States March 30, 2020","









  
  
    
  Product is great. But the seller USA Pro did a great job in getting this item to me extremely fast. The day it was supposed to get here was the fastest around. I received it even earlier than that date. Awesome!!!

  
",
27,245,"







  
  
    Ps4
  
",2.0,Juelstrad86,"Reviewed in the United States January 14, 2019","









  
  
    
  The console came in a with box with the ps4 logo in bad conditions, the console works fine

  
",
28,367,"







  
  
    works
  
",5.0,david williams,"Reviewed in the United States June 29, 2020","









  
  
    
  Great

  
",
29,138,"







  
  
    Wow
  
",5.0,TB,"Reviewed in the United States February 4, 2021","









  
  
    
  Great game

  
",
30,108,"







  
  
    No
  
",5.0,Al Fisher  Customer,"Reviewed in the United States January 3, 2019","









  
  
    
  Gift

  
",
31,259,"







  
  
    Ups was professional and package was delivered with no dents!
  
",5.0,Christine Reel,"Reviewed in the United States March 1, 2021","









  
  
    
  We love our new PS4! It was delivered quick and came in the box brand new! Great price too!

  
",
32,234,"







  
  
    Playstation.
  
",4.0,Gordon Gearhart,"Reviewed in the United States December 30, 2019","









  
  
    
  It has brought hours of happiness.

  
",
33,385,"







  
  
    Company Seems Good but Product Issue
  
",3.0,Jessica Healy,"Reviewed in the United States August 10, 2020","









  
  
    
  I received a PS4 with the writing DEFECTIVE with a line underneath it which confused me but I went on to plug it in and try to turn it on and it wouldn’t give any signal to the tv so I tried a different hdmi cable and tv but it still didn’t work. The company was apologetic and said that they’ll issue a refund, so that’s a relief. And maybe this incident will help them ensure it doesn’t happen again.

  
",
34,203,"







  
  
    Product is brand new and everything works well
  
",5.0,Howard,"Reviewed in the United States April 12, 2019","









  
  
    
  Arrived on time! THANK YOU

  
",
35,267,"







  
  
    It what  I won't
  
",5.0,Njnasty,"Reviewed in the United States August 15, 2019","









  
  
    
  I like it

  
",
36,418,"







  
  
    PS4 status bro lol🤘😎🤘
  
",5.0,Martin De La Torre Acosta,"Reviewed in the United States January 17, 2020","









  
  
    
  i was thrilled when my PS4 arrived 🤘😎🤘

  
",
37,62,"







  
  
    It is as described
  
",5.0,clayton,"Reviewed in the United States January 18, 2021","









  
  
    
  Great product exactly what it says it is. I've had no issues with it, which is exactly as expected  It also got here early so bonus on that.

  
",
38,398,"







  
  
    Good product
  
",5.0,Sara&Luke Wilson,"Reviewed in the United States September 5, 2019","









  
  
    
  5 Star

  
",
39,285,"







  
  
    works as it should
  
",5.0,Scott S,"Reviewed in the United States September 11, 2020","









  
  
    
  Love it

  
",
40,251,"







  
  
    Great price and fast shipping
  
",5.0,Amber,"Reviewed in the United States November 13, 2020","









  
  
    
  Product was exactly what was expected and even arrived earlier than expected.

  
",
