,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Noticably better quality
  
",5.0,AnnieInAcworth,"Reviewed in the United States May 12, 2018","









  
  
    
  A lot of people use copier paper in their ink jet printer and then wonder why their printer jams and breaks down early. I have learned the hard way that to get grief-free, long-life from my ink-jet printers, it is best to use ink-jet paper. The higher quality results are noticable, there is less dust given off that collects in the mechanism of the printer, and the printer lasts longer.But more importantly, when I hand someone a document that I printed on this paper, it is not unusual to hear ""Oh, you use good paper."" That makes me feel good.

  
",Size: 1 Ream  500 SheetsStyle: Letter (8.5 x 11)
1,1,"







  
  
    Hewlett-Packard Printer Paper, Office20 Paper.
  
",5.0,ARHPG,"Reviewed in the United States October 24, 2018","









  
  
    
  This is a very reasonably priced general-purpose white printer paper.  It is 'ultra white,"" and the paper works extremely well with especially HP printers, but probably any printers in terms of clean and accurate feeds and precision results.  Print quality is very crisp and clean; even photographs reproduce well on this paper.  The price is excellent for this level of quality, and a paper of this type should always be used with better inkjet or laser printers made by HP and other manufacturers.

  
",Size: 5 Ream  2500 SheetsStyle: Letter (8.5 x 11)
2,2,"







  
  
    It is a great product... And
  
",5.0,Jesi,"Reviewed in the United States October 18, 2018","









  
  
    
  This is a great product. Bright white, nice weight.  My suggestion:  do not order it with other items.  When I did do so (twice), the shipping box was not sufficiently packaged to prevent damage from the heavy ream of paper to other items in the box, nor to itself, as it apparently flew around the inside of the shipping box during the shipping process.  If you want the product, and hope for a positive outcome, my suggestion: order it solo.  I won't order it from Amazon with other items again.  As an aside, Amazon was great with providing me a refund.

  
",Size: 1 Ream  500 SheetsStyle: Letter (8.5 x 11)
3,3,"







  
  
    Open Packages as soon as Received and INSPECT from AMAZON FULFILLMENT CENTER a MUST- (Not New as Shown on Amazon.!)
  
",2.0,Chii Y,"Reviewed in the United States February 27, 2018","









  
  
    
  CAUTION""  I received two broken & open on two paper package sides""""""  one package had slight bent corners when I today just opened for use and one paper package was sealed in a re-wrapped plastic bag thus knowing shipping broken loose package.  This is the one with 1/2 bent folds in one corner at least 200 sheets. MY ISSUE IS THAT I NEED IT TODAY AND NOW.... SO I WILL KEEP.  See pictures of what was in sealed box just opened today.

  
HP Paper, Office Ultra White, 20lb, 11 x 17, Ledger, 92 Bright, 500 Sheets / 1 Ream (172000), Made In The USA",Size: 1 Ream  500 SheetsStyle: Ledger (11x17)
4,4,"







  
  
    PAPER QUALITY ON THE DECLINE
  
",2.0,ParisRoseLady,"Reviewed in the United States May 15, 2020","









  
  
    
  I thought this paper would be at least servicable judged on reviews, however it is very thin and lackluster.  I am a real estate broker and need to print reports for my customers and this paper produces reports that are poor quality, with ink bleeding through to the back and edges that curl up.  It's just plain flimsy.  It's actually the worst paper I have ever worked with, and I certainly expected better from the HP brand!  I'm assuming this paper was made decently in the past, however what they are now delivering must have suffered a severe drop in quality.

  
",Size: 1 Ream  500 SheetsStyle: Letter (8.5 x 11)
5,5,"







  
  
    Need to know what is done to ship this item
  
",3.0,Hevad,"Reviewed in the United States January 18, 2018","









  
  
    
  The product came messed up, the box used for shipping was WAY to big, not enough packing to hold it in place and got shaken, as it was for a specific project with a timeline, I used what i could, the rest got trashed, not usable.. The product was as expected, that of it that survived. It works and the print is good. The paper is fine, but I will buy locally next time.

  
",Size: 1 Ream  500 SheetsStyle: Ledger (11x17)
6,6,"







  
  
    Will NOT print without jamming - worst paper ever
  
",1.0,D. J. Merhalski,"Reviewed in the United States October 9, 2019","









  
  
    
  This is by far the worst printer paper I've ever used. It absolutely will not print in my Epson NX420 without jamming. I'm throwing away the ream of paper rather than risk breaking my printer with paper jam after paper jam. When I try printing with a sheet from another brand, I have no problem at all. As soon as I try using this again, I'm back to constant jamming. This was a lesson learned the hard way.

  
",Size: 1 Ream  500 SheetsStyle: Letter (8.5 x 11)
7,7,"







  
  
    Can't go wrong with HP
  
",5.0,Kimberly Sue,"Reviewed in the United States January 25, 2017","









  
  
    
  The price of buying computer paper bulk on amazon really cannot be beat. As a teacher I use a lot of paper for printing, so I appreciate fair prices and good quality printing paper. HP has always been a brand I have gone to for computer accessories,  because I know that I'm going to get a quality item. I was excited when I saw that there was a coupon along with the product,  and that definitely helped make up my mind to purchase this product!

  
",Size: 3 Ream  1500 SheetsStyle: Letter (8.5 x 11)
8,8,"







  
  
    Could have been 5 stars...
  
",3.0,C. Bird,"Reviewed in the United States November 13, 2017","









  
  
    
  Could have been 5 stars...I would have given this purchase 5 stars, but one of the three reams had significant damage -- a little over a third of the paper in that ream was unusable -- had DEEP dents running the full length of the paper -- so much so that you could feel it through the wrapper. The box it came in had a tear in it but did not go all the way through --

  
",Size: 3 Ream  1500 SheetsStyle: Letter (8.5 x 11)
9,9,"







  
  
    Good paper!
  
",5.0,George Chen,"Reviewed in the United States September 14, 2017","









  
  
    
  It came in a box and was protected well throughout the transition. It arrived before 8pm. I am happy I have paper now loaded into my printer. Now I don't have to worry! The paper quality is good and I can definitely tell it is really white. When it prints the ink doesn't bleed onto the back of the printing paper. I think this paper handles it well.

  
",Size: 5 Ream  2500 SheetsStyle: Letter (8.5 x 11)
