,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,884,"







  
  
    Works well
  
",5.0 ,Harrison Rivers,"Reviewed in the United States July 29, 2019","









  
  
    
  Good stuff

  
",Style: 61 Key Keyboard Kit
1,254,"







  
  
    Easy to use, great for beginners
  
",5.0 ,AmazonPhan,"Reviewed in the United States March 2, 2021","









  
  
    
  Used for a while to see if I’d like - and stick with, piano. It worked! Love it and have since upgraded to the real deal, but this sounds great, has everything you need to learn, and is priced right for trying out a new hobby. Highly recommend.

  
",Style: 61 Key Keyboard Kit
2,608,"







  
  
    Good quality
  
",5.0 ,Felicia Cool,"Reviewed in the United States October 6, 2019","









  
  
    
  Teen daughter loves it. I love that it has a headphone jack.

  
",Style: 61 Key Keyboard Kit
3,408,"







  
  
    It is a fun keyboard to play.
  
",5.0 ,Dr,"Reviewed in the United States March 23, 2020","









  
  
    
  It has a seat and stand and a pedal just like a very nice product to learn to play the piano.

  
",Style: 61 Key Keyboard Kit - Touch Display
4,609,"







  
  
    Good sound easy to learn.
  
",5.0 ,magdalena vargas,"Reviewed in the United States August 10, 2020","









  
  
    
  Very good quality.

  
",Style: 61 Key Keyboard Kit
5,792,"







  
  
    Easy to put together loads of features
  
",5.0 ,Gaylord P.,"Reviewed in the United States June 19, 2018","









  
  
    
  Easy to put together loads of features, sounds great a real value I love online shopping Amazon is a great site

  
",Style: 61 Key Keyboard Kit
6,667,"







  
  
    Great for beginners.
  
",5.0 ,Ash,"Reviewed in the United States February 9, 2020","









  
  
    
  Great keyboard.

  
",Style: 61 Key Keyboard Kit - Touch Display
7,30,"







  
  
    Cheap and overpriced.
  
",1.0 ,Vincent Rodriguez,"Reviewed in the United States April 7, 2018","









  
  
    
  Cheaply made and overpriced. you get what you  pay for. Spend 40 more dollars get quality.

  
",Style: 61 Key Keyboard Kit
8,585,"







  
  
    Smoked out
  
",3.0 ,Trisha Haas,"Reviewed in the United States October 28, 2018","









  
  
    
  We really did like this keyboard for beginning piano and bought it December 2016 for Christmas. Today it started smoking and now has no sound, we think the speaker blew but it was really scary and now smells like fire.

  
",Style: 61 Key Keyboard Kit
9,203,"







  
  
    Came incomplete....
  
",1.0 ,Amazon Customer,"Reviewed in the United States December 27, 2020","









  
  
    
  I am very upset with Amazon ... the item ( Rock Jam 61 Keyboard) came incomplete i.e. without the set screws needed to put it all together and any set-up manuals, etc.  After several tries I was able to reach your rep (Alex) who told me in so many words he could not complete my order.... I would need to contact the manufacture .... I bought this from AMAZON ...YOU need to see that my purchase is complete ... NOT throw it back in my lap. I make a lot of purchases through Amazon ... THIS IS UNACCEPTABLE!!  Thus the low rating!

  
",Style: 61 Key Keyboard Kit
10,726,"







  
  
    Incomplete kit.
  
",1.0 ,armorica padilla,"Reviewed in the United States April 12, 2020","









  
  
    
  I would give more stars but we didn't receive everything in the kit. We just got the keyboard. No stand, headphones, seat, chords, nothing. It wasn't even packaged well. We can't plug it in or anything.

  
",Style: 61 Key Keyboard Kit - Touch Display
11,66,"







  
  
    Easy to put together
  
",5.0 ,Amazon Customer,"Reviewed in the United States October 1, 2020","









  
  
    
  I am  an 80 yr. old who was trying to find something to pass y time these days.  I played piano a LONG time ago and also clarinet.  This unit is perfect for my needs.  Sound isn't too bad and so far so good.  I enjoy getting back to practice and passing time in a somewhat constructive way.  Well worth the money.  Very reasonable priced.

  
",Style: 61 Key Keyboard Kit - Touch Display
12,355,"







  
  
    9 year old son loves it
  
",4.0 ,Matt,"Reviewed in the United States January 9, 2020","









  
  
    
  Disclaimer: I do not play piano. To me the Keys feel like real piano keys, headphone jack is great, stickers for beginners to place on keys seems to help.

  
",Style: 61 Key Keyboard Kit
13,461,"







  
  
    BE-CAREFUL WHAT YOU MIGHT RECEIVE...
  
",2.0 ,Don Ricardo,"Reviewed in the United States January 2, 2020","









  
  
    
  very good value...  a christmas gift for my daughter, BUT THE STAND (LEGS) WERE NOT IN THE PACKAGE...  KIND OF TACKY WHEN A CHRISTMAS GIFT IS NOT COMPLETE...  A BIT DIFFICULT TO PACK UP AND RETURN, ESPECIALLY WHEN i AM 3000 MILES AWAY OVERSEAS....

  
",Style: 61 Key Keyboard Kit - Touch Display
14,722,"







  
  
    Its ok
  
",3.0 ,Amazon Customer,"Reviewed in the United States April 6, 2020","









  
  
    
  Very cheap. Sound quailty is horrible. I had one key broken when arrived ( didn't return as I didn't want to mess with it). My son still uses it..kinda

  
",Style: 61 Key Keyboard Kit
15,502,"







  
  
    Great keyboard
  
",5.0 ,Reader in Ohio,"Reviewed in the United States October 12, 2017","









  
  
    
  The keyboard arrived exactly when it was supposed to and ws very easy to assemble on the stand.  My grandson loves to play on it and I have been able to practice my choir music.

  
",Style: 61 Key Keyboard Kit
16,170,"







  
  
    Great Keyboard!
  
",5.0 ,Sarah Jennings,"Reviewed in the United States November 2, 2020","









  
  
    
  I got this for an 8 year old last Christmas and she loved it. We use an app that teaches you how to play the keyboard and also can tell you when you’ve made a mistake. It’s great! I like that it has optional headphones so she can either play it for others to hear or practice on her own where only she can hear.

  
",Style: 61 Key Keyboard Kit
17,746,"







  
  
    Great Price!!
  
",5.0 ,Loren Wilson,"Reviewed in the United States February 6, 2020","









  
  
    
  Lovely!!

  
",Style: 61 Key Keyboard Kit
18,140,"







  
  
    Great value. Quality sound
  
",4.0 ,Michael J Burk,"Reviewed in the United States January 21, 2020","









  
  
    
  We are almost a month in an this far I’m impressed. Unlike some other reviews I find the sound to be spot on. My son is 8 and taking piano lessons. He loves this new piano. The application that offers free lessons quickly converts to a $19.99 monthly charge. With that said he loves it and has progressed much faster using it. The piano incorporates his phone. I think this addition makes it more interesting to children versus the traditional books and lessons.

  
",Style: 61 Key Keyboard Kit - Touch Display
19,369,"







  
  
    Nice
  
",5.0 ,Amazon Customer,"Reviewed in the United States June 2, 2019","









  
  
    
  Bought as a bday gift for my 12 year old...she loves it and is teaching g herself to play. Assembly wasn't difficult.

  
",Style: 61 Key Keyboard Kit
20,711,"







  
  
    Great quality
  
",5.0 ,Amazon Customer,"Reviewed in the United States January 5, 2020","









  
  
    
  My daughter loves this!

  
",Style: 61 Key Keyboard Kit
21,379,"







  
  
    Very nice
  
",5.0 ,Bob G.,"Reviewed in the United States December 2, 2020","









  
  
    
  Gave to both my grandchildren and they enjoy very much!  Recommend!

  
",Style: 61 Key Keyboard Kit
22,292,"







  
  
    Poor quality. Electronics fried within 5 minutes of operation.
  
",1.0 ,Jared Barnes,"Reviewed in the United States December 25, 2019","









  
  
    
  You get what you pay for.... This thing is cheap, flimsy stand, worked for about 5 minutes, then something burnt out and no keys nor buttons work even after unplugging to try to reset. Kid is crying. Ruined Xmas. Now I'm mad. Returning item for full refund and spending more money to get a better brand and quality. That'll teach me not to be a cheapo for Xmas. Ugh!

  
",Style: 61 Key Keyboard Kit - Touch Display
23,339,"







  
  
    Too clumsy
  
",4.0 ,Rico,"Reviewed in the United States May 13, 2019","









  
  
    
  It's an OK.It's a little too clumsy. And it's some kind of difficult to learn for beginners. All the buttons and options it gives you, it's just confuses you.My kids love to play and press different buttons.

  
",Style: 61 Key Keyboard Kit
24,459,"







  
  
    Easy to play
  
",5.0 ,birds,"Reviewed in the United States August 4, 2020","









  
  
    
  I bought this for my grandson for a gift. He loves it.

  
",Style: 61 Key Keyboard Kit
25,372,"







  
  
    Remarkable and great for beginners!!!
  
",5.0 ,Ms. Isis Athena Stewart,"Reviewed in the United States February 17, 2021","









  
  
    
  Great product for beginners and fantastic gift idea. Highly recommended.

  
",Style: 61 Key Keyboard Kit - Pitch Bend
26,237,"







  
  
    Great value!! Would definitely recommend!
  
",5.0 ,M. Miller,"Reviewed in the United States January 3, 2020","









  
  
    
  This has been a great buy. My daughter has been wanting to learn to play the piano and this is a great substitute. You get free app access with lessons and it’s just been great fun for the family! The bench and stand are both very sturdy. No complaints thus far.

  
",Style: 61 Key Keyboard Kit
27,473,"







  
  
    condition
  
",5.0 ,Ace Austin,"Reviewed in the United States June 7, 2020","









  
  
    
  great product ...easy to follow with music sheets

  
",Style: 61 Key Keyboard Kit
28,819,"







  
  
    Absolutely Love
  
",5.0 ,Amanda Brinson,"Reviewed in the United States March 9, 2019","









  
  
    
  This is the perfect fit for my daughter.  She is beginning piano lessons and this keyboard is the perfect size.  It's even good for adults also.

  
",Style: 61 Key Keyboard Kit
29,393,"







  
  
    100 % recommend this
  
",5.0 ,jm,"Reviewed in the United States February 8, 2020","









  
  
    
  Bought this for my granddaughter and she absolutely loved it. Great quality, great sound, easy to use and loads of extras. Was pleasantly surprised for the price this was such a quality item.

  
",Style: 61 Key Keyboard Kit
30,563,"







  
  
    Happy with it
  
",5.0 ,Lane King,"Reviewed in the United States November 12, 2018","









  
  
    
  My daughter is just learning and it it small and convenient. The best part are the headphones so only she hears what she is playing. Very happy with the size and sound.

  
",Style: 61 Key Keyboard Kit
31,852,"







  
  
    Great gift!
  
",5.0 ,AB,"Reviewed in the United States February 10, 2020","









  
  
    
  Works great!

  
",Style: 61 Key Keyboard Kit
32,606,"







  
  
    Great starter keyboard
  
",4.0 ,Rubens Saintel,"Reviewed in the United States April 2, 2017","









  
  
    
  Great keyboard for taking lessions. The built in songs is a welcome surprise. Comes with headphones but you might want to get some better ones. The seat is sturdy,

  
",Style: 61 Key Keyboard Kit
33,109,"







  
  
    Value
  
",3.0 ,Cora Blackburn,"Reviewed in the United States June 28, 2020","









  
  
    
  Sound is adjustable, lots of extras as far as percussion options and different instrument options. Great to learn with serval app options. Comes with head phones and you can adjust height.  Can plug in your phone. Great for someone just starting out. However I’ve had mine for two months and when I hit middle C the key next to it also plays very frustrated and would return it if I could because of this technical issue. Good value hopefully this flaw will not bother me too much.

  
",Style: 61 Key Keyboard Kit
34,240,"







  
  
    Won’t last long
  
",1.0 ,andrea,"Reviewed in the United States November 30, 2020","









  
  
    
  Bought this piano not even two months ago and it suddenly stopped working!! I sent e mails to the rock jam company and they didn’t answer me back!! So I won’t recommend it !!

  
",Style: 61 Key Keyboard Kit - Touch Display
35,409,"







  
  
    Sounds great, cheaply made
  
",3.0 ,Lynn89,"Reviewed in the United States April 9, 2018","









  
  
    
  I took lessons for many years as a child, got older, lost interest and sold my piano.  Fast forward many years and I was looking for a relatively inexpensive way to see if it’s a hobby I’d like to pick up again as an adult, before I made the decision to buy a real piano. Right out of the box I was disappointed because both the piano seat and the stand were broken. The knob that is used to tighten the stool is made out of a cheap plastic that looked like it had been crushed with a hammer. I had the same issue with a couple of the screw/knobs that hold the stand together. I didn’t expect world class quality since this was pretty cheap, but I like the chance to break things myself! We were able to replace the screws to get the stand to work, but gave up on the stool. That being said, I am pleased with the keyboard itself. The sound is clear and keys feel great. The included headphones sound great and are a great addition to the keyboard. This would be a great keyboard for someone with limited space, someone looking to get back into playing or for a child just starting to take lessons.

  
",Style: 61 Key Keyboard Kit
36,889,"







  
  
    Entertainment
  
",5.0 ,Kenny Do,"Reviewed in the United States July 20, 2019","









  
  
    
  Entertainment

  
",Style: 61 Key Keyboard Kit - Touch Display
37,490,"







  
  
    Great for beginners!
  
",5.0 ,Ana,"Reviewed in the United States December 16, 2020","









  
  
    
  This was a great keyboard for a beginner like me. It is only 61 keys but its easy to learn. I've been using a lot of YouTube tutorials and others apps to learn and improve. Overall I'll give it a 7/10!

  
",Style: 61 Key Keyboard Kit
38,222,"







  
  
    Great item!
  
",5.0 ,Stormy M.,"Reviewed in the United States August 2, 2020","









  
  
    
  I'm not a musician, with that said,, as far as my opinion goes, this item sounds great, functions as it should, and my son uses it all the time creating his own music. He loves it (he is the musician), so I love it!

  
",Style: 61 Key Keyboard Kit - Touch Display
39,847,"







  
  
    Popular gift
  
",5.0 ,nanasly,"Reviewed in the United States January 15, 2020","









  
  
    
  Was a gift for my grandson,he set it up and started playing

  
",Style: 61 Key Keyboard Kit - Touch Display
40,741,"







  
  
    Awesome price and quality product
  
",5.0 ,jesse,"Reviewed in the United States August 28, 2019","









  
  
    
  My son loves this and plays often

  
",Style: 61 Key Keyboard Kit
41,885,"







  
  
    Words don't describe how much fun it is
  
",5.0 ,Sandra Wilson Boyer,"Reviewed in the United States September 17, 2017","









  
  
    
  This is fabulous.  Words don't describe how much fun it is.  Was a gift for a 6 yr old, who mastered many of the functions easily. ABC Keyboard stickers helped in general.  Functions are user-friendly.  Keyboard unit is well made, simple to put the stand together.  A great bargain that guarantees lots of hours of fun for the little & big ones!

  
",Style: 61 Key Keyboard Kit
42,287,"







  
  
    Piano's rock
  
",5.0 ,donnell,"Reviewed in the United States December 25, 2019","









  
  
    
  This is an amazing keyboard for the price!  We are absolutely blown away by the quality of it!  We bought this for my 7 year old because she seems to be interested in playing the instrument.  This will be the perfect stepping stone to test if this is something she really wants to pursue or not.  If not, its still fun to have around but we didn't break the bank.

  
",Style: 61 Key Keyboard Kit
43,881,"







  
  
    Great beginner keyboard.
  
",4.0 ,Earthmagic23,"Reviewed in the United States February 2, 2020","









  
  
    
  My daughter loves this piano.  A free month of lessons comes with it and the app for them is great.  Had to exchange the first one I purchased because the speaker sounded blown.  But the replacement I received is great.

  
",Style: 61 Key Keyboard Kit
44,319,"







  
  
    I like
  
",4.0 ,Winter,"Reviewed in the United States April 23, 2020","









  
  
    
  Personally the only keyboard I’ve ever owned, have nothing to compare it to, but LOVE it. Still learning how to play, I have no musical background and never received any lessons so I am learning as I go. Comes with labels for the keys which is nice (stickers). Only giving a 4 star rating because I’ve only had it for 1 day and want to see how it goes from here.

  
",Style: 61 Key Keyboard Kit - Touch Display
45,403,"







  
  
    this is great for the price
  
",5.0 ,Brittany Melissa Cantu,"Reviewed in the United States December 26, 2016","









  
  
    
  this is great for the price. My daughter loves it and I love that it comes with headphones! its not as sturdy as it looks so I just make sure its always pushed up against a wall and its all good. light weight and has lots of options.

  
",Style: 61 Key Keyboard Kit
46,41,"







  
  
    Pretty bad keyboard, in my experience.
  
",2.0 ,Sophreni [Reviews on any product],"Reviewed in the United States October 11, 2018","









  
  
    
  Doesn't work with MIDI as I expected. My computer can't even recognize what I'm plugging in and I had to buy a separate cable for another decent bit of money just to test that. And now for some reason, there's a constant buzzing in the background of every note that gets pressed and it's very annoying. This was probably almost not even worth it at all. The keyboard constantly falls backward on the stand. The headphones were also trashed immediately since they're pretty bad.

  
",Style: 61 Key Keyboard Kit - Touch Display
