,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,368,"







  
  
    Selling this for almost $200 above retail cost??
  
",1.0,Jason,"Reviewed in the United States January 3, 2021","









  
  
    
  What a rip off. And looking at all the low reviews, either damaged or not working. Might as well buy a brand new one from the store.

  
",
1,160,"







  
  
    Great
  
",5.0,michelle hagele,"Reviewed in the United States July 6, 2019","









  
  
    
  Love

  
",
2,248,"







  
  
    it's nice
  
",5.0,yeneter,"Reviewed in the United States September 27, 2019","









  
  
    
  it was nice

  
",
3,13,"







  
  
    It did not come with a power cord and controller!
  
",1.0,Ian Thairo,"Reviewed in the United States December 16, 2018","









  
  
    
  It came with a ps4 but not  the controller and the power cord

  
",
4,42,"







  
  
    Love it!!
  
",5.0,Brandi,"Reviewed in the United States January 1, 2019","









  
  
    
  Got this for my kids for Christmas... the unit and controller work very well. Well worth the purchase.

  
",
5,321,"







  
  
    Came today
  
",5.0,Jon and Tori,"Reviewed in the United States December 29, 2018","









  
  
    
  It's great, It was worth it.If you are getting a ps4 for this first time I suggest the slim.

  
",
6,182,"







  
  
    Nice PS4's
  
",5.0,Amazon Customer,"Reviewed in the United States December 27, 2018","









  
  
    
  Was a little nervous on the packaging, but all seems well and checks out,..

  
",
7,352,"







  
  
    Perfect
  
",5.0,Tia,"Reviewed in the United States May 27, 2020","









  
  
    
  Was hesitant, but works great!

  
",
8,114,"







  
  
    Valuable asset
  
",5.0,Akins Land,"Reviewed in the United States September 20, 2020","









  
  
    
  Haven't had my own gaming console in a long time, thank you for the PlayStation 4.

  
",
9,336,"







  
  
    PS4
  
",4.0,Linda Wagner,"Reviewed in the United States September 30, 2019","









  
  
    
  Great price.

  
",
10,333,"







  
  
    power cord
  
",5.0,Zach Cordes,"Reviewed in the United States December 4, 2020","









  
  
    
  untied states power cord right

  
",
11,340,"







  
  
    It arrived in time for Christmas.  My son loves it!
  
",5.0,Sandra Benge,"Reviewed in the United States December 25, 2019","









  
  
    
  Video games

  
",
12,90,"







  
  
    Works great! Fast delivery!
  
",5.0,Stacy,"Reviewed in the United States December 2, 2019","









  
  
    
  This is my first ever non nintendo console and I'm loving it so far! I mainly bought it so I could play the play station exclusives. It was easy and very fast to set up my account, the ps4 came in a few days ealier than expected and was safely packaged!

  
",
13,370,"







  
  
    Absolute junk.
  
",1.0,Slims shady ,"Reviewed in the United States March 14, 2021","









  
  
    
  Bought one of these around Black Friday in 2018, it crashed dead on me within a year. Made a warranty claim, and received a refurbished replacement in a fairly short time. The replacement also crashed dead in just over a year.Conclusion the PS4 slim is an absolute piece of trash, do not waste even a single dollar on this system. Side note, my original PS4 is still going strong after many years, so it’s the slim version that should be avoided.

  
",
14,203,"







  
  
    Worth the buy
  
",5.0,lucy,"Reviewed in the United States May 8, 2020","









  
  
    
  My son loves it

  
",
15,188,"







  
  
    Shipping was amazing
  
",5.0,Jordan,"Reviewed in the United States October 28, 2019","









  
  
    
  Best system I’ve boughtA MUST BUY!

  
",
16,391,"







  
  
    Great value
  
",5.0,Katrina Jaquez,"Reviewed in the United States October 28, 2020","









  
  
    
  Great value for price

  
",
17,59,"







  
  
    Thumbs up
  
",5.0,bonedaddy,"Reviewed in the United States May 8, 2019","









  
  
    
  Son digs it multiple barracks platform entertainment value.

  
",
18,98,"







  
  
    As expected
  
",5.0,robert mckinley,"Reviewed in the United States January 10, 2019","









  
  
    
  As expected

  
",
19,293,"







  
  
    Quality 😊
  
",5.0,Fafa,"Reviewed in the United States September 18, 2019","









  
  
    
  Perfect 👌🏼.

  
",
20,251,"







  
  
    Missing items
  
",1.0,Javier E.,"Reviewed in the United States October 13, 2019","









  
  
    
  Didn't come with all of the cords

  
",
21,211,"







  
  
    Gret product
  
",5.0,Amanda F,"Reviewed in the United States June 30, 2019","









  
  
    
  Came on time. Works great. Kids are happy.

  
",
22,295,"







  
  
    Great!
  
",5.0,Judith Mills,"Reviewed in the United States October 20, 2018","









  
  
    
  Works great!

  
",
23,143,"







  
  
    Ps4 review
  
",5.0,DarkBruh,"Reviewed in the United States August 13, 2019","









  
  
    
  Everything I was looking for

  
",
24,389,"







  
  
    Fast shipper/The item's like brand new!
  
",5.0,JEFFREY MICHAEL,"Reviewed in the United States January 23, 2021","









  
  
    
  Fast shipper, I received the PS4 two weeks early! The item looks brand new! There's not a single mark on it. It also came with everything described. I haven't hooked it up yet, but as of now I'm very happy with my order. 5 stars.

  
",
25,93,"







  
  
    On time shipping, fair price and works great
  
",5.0,Robert Bichon,"Reviewed in the United States January 15, 2020","









  
  
    
  Bought this as a Christmas present for my grandsons. Works great, arrived on time and the price was fair. Overall great experience. I would recommend.

  
",
