,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,630,"







  
  
    ie=UTF8&psc=1 waste of money
  
",1.0,webster mercado,"Reviewed in the United States December 20, 2016","









  
  
    
  https://www.amazon.com/gp/product/B01BA7OB88/ref=oh_aui_detailpage_o08_s01?ie=UTF8&psc=1waste of money...cheap

  
",
1,744,"







  
  
    Four Stars
  
",4.0,Jennifer Vargo,"Reviewed in the United States April 26, 2017","









  
  
    
  nice variety

  
",
2,924,"







  
  
    FINE & DANDY
  
",5.0,Marco Gonzalez,"Reviewed in the United States October 13, 2017","









  
  
    
  Only (2) Duplicates ! No problems on my end. Thanks again!

  
",
3,801,"







  
    Cartas
  
  
",5.0,karina,"Reviewed in the United States December 30, 2018","









  
    
  Muy bunas

  
  
",
4,947,"







  
  
    Misleading
  
",1.0,Mrs. Dork,"Reviewed in the United States February 26, 2018","









  
  
    
  Did not receive the cards shown. Daughter was disappointed.

  
",
5,429,"







  
  
    Nice quality
  
",5.0,Amazon Customer,"Reviewed in the United States February 12, 2020","









  
  
    
  What can I say about Pokémon. Kids just love them.

  
",
6,506,"







  
  
    Five Stars
  
",5.0,Amazon Customer,"Reviewed in the United States February 21, 2018","









  
  
    
  great deal

  
",
7,370,"







  
  
    Love it
  
",5.0,Caressa fink,"Reviewed in the United States February 26, 2020","









  
  
    
  My daughter absolutely loves em

  
",
8,965,"







  
  
    Four Stars
  
",4.0,laverniagrandma,"Reviewed in the United States July 27, 2017","









  
  
    
  gift

  
",
9,942,"







  
  
    Five Stars
  
",5.0,Amazon Customer,"Reviewed in the United States January 8, 2018","









  
  
    
  Good

  
",
10,570,"







  
  
    Awesome
  
",5.0,maria,"Reviewed in the United States September 27, 2019","









  
  
    
  My son absolutely lives his cards!!!!!

  
",
11,765,"







  
  
    Five Stars
  
",5.0,James Tunnell,"Reviewed in the United States February 13, 2018","









  
  
    
  These cards were exactly as described.

  
",
12,77,"







  
  
    Lots of repeat cards
  
",3.0,Gabriela,"Reviewed in the United States September 19, 2020","









  
  
    
  I thought these cards were a great value for the price, BUT there was multiple sets of duplicates and there was about 5 cards of the same card. I gave 3 stars for the amount of cards I received and the price. Luckily my child is 5 and doesn’t really care about the quality of cards but the quantity.

  
",
13,24,"







  
  
    It's all in the seller...
  
",5.0,Dan C.,"Reviewed in the United States January 19, 2021","









  
  
    
  I had a great experience with both packs I bought (two different sellers, January 2021).Reading some of these reviews, I can safely say that it's all in WHO you buy from. One seller had no energy cards, minimal duplicates, included rares, and even threw in a few bonus cards. The other seller had minimal energy cards and NO DUPLCIATES. I would definitely consider buying from both of them again. You need to go in and really shop for which seller you get this from - go for the five star reviewed!This proved to be a good gamble for the money I invested, and really helped fill in some gaps in my personal collection. This would make a great gift as well to someone just starting out and looking for an affordable way to begin.

  
",
14,593,"







  
  
    Niño
  
",5.0,Aime,"Reviewed in the United States April 3, 2020","









  
  
    
  Lindo

  
",
15,227,"







  
  
    Cards are genuine and came as advertised.
  
",5.0,Jay C,"Reviewed in the United States May 11, 2017","









  
  
    
  Cards are genuine and came as advertised.  Only one duplicate which was fine as it gives my son an extra card to trade off.

  
",
16,5,"







  
  
    Pokémon cards - more than half of the order were duplicates
  
",2.0,Linda,"Reviewed in the United States October 22, 2016","









  
  
    
  I bought these cards for my grandsons birthday. The package contained only 21 cards (out of 50) that were not duplicates. There were as many as 4-6 identical cards of each that were duplicates!  Not impressed. I am afraid to waste more money on additional cards when you don't even get 1/2 of what you think you are purchase.

  
",
17,366,"







  
  
    Nice to have..
  
",5.0,Beverly E Montgomery,"Reviewed in the United States January 13, 2020","









  
  
    
  Great style.

  
",
18,545,"







  
  
    Worth the money
  
",5.0,Amy Mayfield,"Reviewed in the United States April 1, 2019","









  
  
    
  Great selection yes there was repeats but worth it no bent cards all in great shape

  
",
19,915,"







  
  
    One Star
  
",1.0,Amazon Customer,"Reviewed in the United States November 27, 2016","









  
  
    
  Box was opened and no Pokemon cards in it. Chucke Doll was

  
",
20,728,"







  
  
    My grandson really liked these as he opened them for Christmas
  
",5.0,Anna,"Reviewed in the United States January 2, 2017","









  
  
    
  My grandson really liked these as he opened them for Christmas!!  He was very happy with the variety of the cards!

  
",
21,773,"







  
  
    There were enough cards that my son didn't have to ...
  
",3.0,Leah,"Reviewed in the United States April 13, 2018","









  
  
    
  There were enough cards that my son didn't have to make it worth the buy, but there were 6 doubles and half of the cards were 60HP or lower. There were 2 cards with a HP over 100.

  
",
22,857,"







  
  
    Good purchase
  
",5.0,Amazon Customer,"Reviewed in the United States January 4, 2021","









  
  
    
  Grandson loved them

  
",
23,818,"







  
  
    Five Stars
  
",5.0,Valerie Smart,"Reviewed in the United States December 28, 2016","









  
  
    
  My son loved them. thank you

  
",
24,893,"







  
  
    Five Stars
  
",5.0,Ag3,"Reviewed in the United States September 11, 2017","









  
  
    
  Wonderful starter kit

  
",
25,908,"







  
  
    Great
  
",4.0,Casey Mesey,"Reviewed in the United States June 13, 2014","









  
  
    
  I will admit after reading the other reviews I was skeptical on buying this but I did anyways and I did not receive one energy which im happy about because i have plenty there were a couple maybe 5 duplicates but all in all they were all different cards i recommend this to anyone new or old collector

  
",
