,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,79,"







  
  
    LOVE!
  
",5.0 ,Karla P. ,"Reviewed in the United States January 23, 2018","









  
  
    
  My mom LOVED this record player! She has collected records for years and my siblings and I grew up listening to records... since then she no longer had one so I was happy to get her this one for Christmas and she was thrilled and played it right away. Being a modern woman she also uses Bluetooth now so she was surprised she could do both on this beautiful record player. This has now taken center stage in her bedroom and she uses it every day.

  
",Color: White
1,131,"







  
  
    As expected: beginner quality, decent starter
  
",4.0 ,Pearl,"Reviewed in the United States December 12, 2020","









  
  
    
  Just tested this out for my 14 yo first turntable for Xmas. Sound quality is as expected for a portable starter player. Reminds me of an old Walkman type radio reception. Music comes through just fine (we’ve all gotten use to top of the line tech and this just isn’t it. Again- as expected).Shipping was swift, no damage and item was very well packaged, protected needles, plastic wrapped.The turntable piece is a little bit questionable as far as quality (cheap plastic) yet with care the device will be great for a child’s first experience.

  
",Color: UK Flag
2,63,"







  
  
    Quit Working, will not turn on
  
",1.0 ,Brad,"Reviewed in the United States August 12, 2019","









  
  
    
  Nice while it lasted, but after a few months, with very little use, it simply will not turn on.  In fact I was using it, turned it off for a bit while I was doing something else, came back and turned it on - nothing.  I do have an electronics background - the power supply is fine and power is making it to the main board but that's it, there is no power making it to the platter control board.  There are no obvious signs of any shorts or burnt out components and since everything besides the capacitors are sub-miniature components any further home repair is not an option.You get what you pay for and this appears to be a hit or miss product - you'll either get one that keeps working or you'll get one that dies shortly after arrival.  Go ahead, spin the wheel!!  No, I would not recommend this product.PS:  Due to other reviews mentioning problems with the electronics I highly recommend you DO NOT leave this plugged in when not in use.

  
",Color: Black
3,144,"







  
  
    Cute, basic turntable
  
",4.0 ,kindle user,"Reviewed in the United States November 24, 2020","









  
  
    
  It's cute, it's very basic, and it plays LPs. So it does what it says it'll do. Four stars because the sound isn't great but honestly I didn't expect it to be. I think you could connect it to a stereo but tbh I don't listen to albums like in the old days, one after another after another. It's fun to pop an album on from the 70s or 60s and listen to it then flip it over and listen to the other side. One gets used to endless streams of music with all the digital stuff we have nowadays but there's something satisfying about playing an LP you used to play ages ago.Oh and the needle drops quite lightly on the album, not fast like one might expect on a cheaper turntable like this.

  
",Color: Brown
4,59,"







  
  
    Affordable, but you get what you pay for.
  
",2.0 ,Fooly,"Reviewed in the United States February 28, 2021","








  
  Your browser does not support HTML5 video.










  
  
    
   If you rarely play records or are not much of Vinyl collector, then sure it's probably alright. It comes with everything you need to turn on and play records. And it's as portable as a record player can be.But the record player is poorly designed and records will wobble quote a bit. If you buy a lot of records, you'll eventually come across a record that skips a lot or the sound sounds warped, even though the record is fine.So a good record player for the rare Vinyl listener, or someone who wants to see if it's something that will even gain their interest.But if you want to build a Vinyl collection, and keep your records in the best shape, you'll probably need to buy a more costly record player. Or look into and buy attachments that will help protect the records or get them to play better on this one, if that is even a possibility.So I'd only recommend it if you really want the portablility, or of you just want something cheap and affordable, and aren't worried about potential warping or damage to a Vinyl over time due to poor design of this player.

  
",Color: Black
5,148,"







  
  
    Great Gift Idea
  
",5.0 ,Susan Heavens,"Reviewed in the United States September 9, 2017","









  
  
    
  Our unit worked as expected out of the box. The turntable rotates completely flat, the needle arm picks up well with the lifter and drops very quietly onto the record.  At the end of the tracks it stops the turntable with the needle in the center of the record.  The sound is quite loud enough for a single room very similar to the original units that we played in the 60/70's.  Certainly not HiFi but considering the tiny speakers it's very good, more treble than base.  Plugging in the RCA or Headphone outputs to another speaker system gives better sound with more bass.  Note that the Bluetooth is only a receiver and so you'll need to plug in a BT Transmitter into the RCA or headphone jacks if you want to play records via BT to another BT speaker system.The black case looks nice and ""retro"" on top of our wooden stereo cabinet and we like the idea that we can shut the case and keep the dust out or just snap closed the latch and pick it up like a mini suitcase and take it with us to someplace else.  Great value for the money, a good ""novelty"" gift for someone who has a stash of old 33 records that they haven't listened to for 40 years!

  
",Color: Black
6,116,"







  
  
    Great Record Player!
  
",5.0 ,Russell,"Reviewed in the United States July 10, 2020","









  
  
    
  I was concerned because of many of the negative reviews on here, but I really like the Victrola portable suitcase record player. First of all, the sound is great. I have played vinyl records and songs from my phone using the Bluetooth feature, and the sound is actually pretty loud. The speakers don't sound tinny. The only downside is that there's not too much bass, but you could hook up more high quality speakers, but I don't feel the need to do so. This record player's sound quality is much better than a Jensen record player I had a while back.I also like that there is a knob to switch between Bluetooth, Line In, and Phonograph. The light even changes color to indicate which mode you're on. My phone easily connected to the record player via Bluetooth, and the sound quality is excellent.Lastly, the look of the record player is really great. The material doesn't feel cheap, and the turquoise color really pops. The suitcase look is very vintage. I highly recommend this record player.

  
",Color: Turquoise
7,123,"







  
  
    So Disappointed!  Heartbroken
  
",1.0 ,Donna Shands,"Reviewed in the United States December 25, 2020","









  
  
    
  I was so excited to give this Christmas gift to my spouse, who is a true music lover. I could barely wait for her to open it and her eyes lit up like a little kid.  She immediately grabbed it and set it up.  The sound was great-for a few minutes.  Then it started to skip.  And skip.  I had read the reviews and purchased an accessory to help with this problem but unfortunately it did not stop the skipping at all.  The hardest thing was watching the light go out of my wife's eyes as she turned this thing off and moved on.There are no words to express how disappointed I am in this product.  I will be returning it for a refund and I guess now that I have all of these albums, I will invest in a more expensive model; as I should have in the beginning. This was such a cute product. I was really hoping that the quality would be as stated.  So bummed.

  
",Color: Brown
8,142,"







  
  
    Vintage Vinyl Lover
  
",4.0 ,Sincity Buttafly,"Reviewed in the United States May 8, 2020","









  
  
    
  Remembering the album collection that My parents have and the record player from so many years ago that no longer works, left me craving the vintage sound from back in the day. This new school record player with Bluetooth is a perfect mash up of old school and new school.The sound is clear. The connection was easy. The only minor issue I had was the needle skipping in the beginning. I did a little research and just like my parents did back in the day (directly from customer support), a couple of quarters to weigh the needle down and no more skipping. I am very happy with my purchase!

  
",Color: Cognac
9,133,"







  
  
    Product stopped working
  
",1.0 ,MelA,"Reviewed in the United States January 25, 2021","









  
  
    
  I purchased his items as a birthday gift.  The item stopped working within a couple months.  It was too late to return through Amazon but should have been covered under the manufactures warranty and Amazon provided me with the contact information.  I do love that Amazon is helpful!However, Customer Support for Victrola advised that I should try to ""use a different power cord with the same specifications if I had one available, and see if the unit powers on"".  If it did not work, they would ""arrange to have a replacement power cord sent"".However, since receiving that email on 12/4, they have not returned any emails.I have tried calling a couple times but do not get to a person.It is very frustrating.

  
",Color: Turquoise
