,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,489,"







  
  
    best gadget
  
",5.0,Sharon,"Reviewed in the United States October 4, 2020","









  
  
    
  I love this little breakfast sandwich maker. I wish I had gotten the double maker. Fast easy breakfast!

  
",Style Name: Silver SingleDesign: Sandwich Maker
1,500,"







  
  
    Awesome sandwich maker
  
",5.0,DeeJay,"Reviewed in the United States June 21, 2018","









  
  
    
  This item is awesome! If you’re looking to making quick breakfast sandwiches, look no further. The only downside is that I haven’t quite gotten it to McDonald’s level. They have some secret that I’m unaware of.This device is small, lightweight, and very easy to clean.

  
",Style Name: Silver SingleDesign: Sandwich Maker
2,375,"







  
  
    Impressed - works great!
  
",5.0,Sandy Sue,"Reviewed in the United States January 2, 2020","









  
  
    
  I was skeptical that the breakfast sandwich maker could replicate a sandwich that I would purchase.  Actually, these taste better and it is so easy to use.  I can't believe how perfectly the sandwiches cook.  I used English muffins, Canadian bacon, egg and cheese for our first ones.  Next, I plan to try frozen pancakes, egg, and bacon or Canadian bacon from a recipe that came with the sandwich maker.Very impressed!

  
",Style Name: Silver SingleDesign: Sandwich Maker
3,6,"







  
  
    Great item,simple use, works good
  
",4.0,Starman ,"Reviewed in the United States December 11, 2018","









  
  
    
  This is a great little item. I never give 5 stars. So that is why 4. But, this is very good. I just received product, opens it up, and made a sandwich. That simple. No assembly.  Easy instructions. So simple. Just plug it in, let it heat up, put half a muffin in bottom tray, layet what you want on top, meat,cheese, veg etc. Lower middle tray, crackers egg in it, set top muffin half on it,and close top. Wait about 2 to 3 minutes, time depend on what you have, I can open it an check. Then, when done open top, slide/rotate the middle flat tray that egg is on,rotate it out,and it now is all together as sandwich. Lift it up and out. Done. The device is very small and compact which I love, not a big bulky thing, and it fits anywhere in kitchen. Great item.

  
",Style Name: Red SingleDesign: Sandwich Maker
4,456,"







  
  
    Melts cheese too much
  
",4.0,D. Stevens,"Reviewed in the United States November 16, 2015","









  
  
    
  This thing is a neat little appliance.  Makes decent tasting sandwiches however my issue is with my cheese getting completely melted and making a horrible mess.  The pictures show a perfectly melted cheese slice but in my experiences that's not that case.  Will have to try some different cheese and see if it will fix the problem.Edit: as stated in the comments fold the cheese from the corners to the middle and melting out problem fixed.  Neat little sandwich maker!

  
",Style Name: Black SingleDesign: Sandwich Maker
5,545,"







  
  
    Nice gift idea
  
",5.0,Amazon Customer,"Reviewed in the United States November 19, 2019","









  
  
    
  Bought for a Christmas present, therefore can't give star ratings. Haven't  been let down by company before, if that helps your decision

  
",Style Name: Silver SingleDesign: Sandwich Maker
6,387,"







  
  
    Great kitchen appliance
  
",5.0,Kandjmom,"Reviewed in the United States January 1, 2020","









  
  
    
  I have quite a drive to work in the morning, so usually I pull through a drive-thru and get a breakfast sandwich to eat in the way.  No more.  I bought this sandwich maker during the holidays and it is wonderful!  I put the bottom part of a muffin, then cracked an egg, then top part of the muffin.  I didn’t scramble the egg.  Closed it and 5 minutes later I had breakfast.  I plan to try adding cooked sausage and bacon some days, but this plain sandwich was so fast!  Also appliance is easy to clean.  Very pleased!

  
",Style Name: Silver SingleDesign: Sandwich Maker
7,451,"







  
  
    Don't waste your money
  
",2.0,idateacher2Top Contributor: Baking,"Reviewed in the United States July 12, 2017","









  
  
    
  Not worth it. I was really surprised how much I don't like it given all of the glowing reviews. Our hope was to kick out a hot sandwich in 3 minutes or so (not including preheat time). Nope. Takes a lot longer. So long that by the time we make 2 of them it becomes a real burden in the morning. Will gift this to our kids or donate. Not worth the cupboard space nor cost.

  
",Style Name: Silver SingleDesign: Sandwich Maker
8,171,"







  
  
    Awesome little sandwich maker!
  
",5.0,Julie,"Reviewed in the United States April 29, 2020","









  
  
    
  Oh yummy this is a miniature marvel! So many customers have already submitted pics that I won’t. But this little sandwich maker is a workhorse and worth every bit of $25. Really you are limited only by your imagination as to what you can make with this. If you’re even sitting on the fence re this purchase you should just buy it!  Love this.

  
",Style Name: Silver SingleDesign: Sandwich Maker
9,431,"







  
  
    Great little sandwich maker!
  
",5.0,Barbara Mackenzie,"Reviewed in the United States March 17, 2020","









  
  
    
  This is well made and so convenient to use Easy cleanup!I bought two of these One for my college bound grandson and one for my husband.

  
",Style Name: Black SingleDesign: Sandwich Maker
10,214,"







  
  
    Love it!
  
",5.0,Bernadette D.,"Reviewed in the United States July 12, 2016","









  
  
    
  Wow! My hubby says this is the best Fathers Day present he's ever gotten. It's easy to assemble, folks fast, the sandwich is duo crispy, steamy, and savory after less than 5 min! And clean up It's easy too. It's really small so it easily stashes away in a drawer. It's very simple which makes it great and worthwhile purchase that you will USE. I hate clutter so I tend to stay away from kitchen gadgets, but I really like this thing. It's fun to make breakfast sandwiches! The recipe book is pretty scarce, though, but you can easily make up recipes. Yesterday I made mini bagel, egg, mild green chilis, pepper Jack cheese and sirloin steak sandwiches!

  
",Style Name: Black SingleDesign: Sandwich Maker
11,275,"







  
  
    Nice Little Sandwich Maker
  
",4.0,Michaela H.,"Reviewed in the United States December 31, 2014","









  
  
    
  I bought this as a Christmas present for my husband. It arrived on schedule, and on Christmas we opened it up. The sandwich maker was initially smaller than I expected but that was no big deal. We followed the directions: Letting it heat up until the light turns green, we used non-stick cooking spray and for the sandwich we had bought english muffins and precooked sausage patties. The maker is really easy to use. We put the bottom piece of the muffin in the bottom section along with a sausage patty, then in the top sections we cracked open an egg and broke the yolk as directed and put the top part of the muffin on last. I closed the lid and the directions said to let it cook for about 5 minutes. After the timer was up we moved the plate that separates the top and bottom aside and then opened the maker up to reveal a nicely cooked sandwich. The muffin was not burnt it was perfectly toasted, the egg had been cooked nicely and was shaped the same size as the muffin and the sausage had been heated thoroughly. When we were done and it was cool it's as easy as just lifting the pieces out of the maker to be cleaned. Overall, I really like this sandwich maker. I only give it 4 stars because I had bought bagels to use as well, but they were too big for the maker. Also, if using frozen patties I would suggest warming them up a little first because they were heated in the maker, but could have been heated a little more.

  
",Style Name: Silver SingleDesign: Sandwich Maker
12,338,"







  
  
    Almost 5 Stars, but...
  
",3.0,Robert Frost,"Reviewed in the United States March 17, 2020","









  
  
    
  I would have given it 5 stars except all of the little screws in the removable “dishwasher safe” part rusted almost immediately. They should have been made with stainless steel.  Otherwise, nice little machine. Also, if you have more than a 1-person household I would recommend you consider the dual sandwich maker so you can make 2 in one go.

  
",Style Name: Silver SingleDesign: Sandwich Maker
13,513,"







  
  
    Love!
  
",5.0,Amazon Customer,"Reviewed in the United States November 18, 2020","









  
  
    
  Bought this as a Christmas gift. This is a MUST have for everyone and anyone I’m telling you! Makes things so much easier.

  
",Style Name: Black SingleDesign: Sandwich Maker
14,176,"







  
  
    Was not happy with this!!
  
",1.0,helene m. ochiltree,"Reviewed in the United States October 21, 2019","









  
  
    
  Big fan of this item and have had one for many years (in silver) and decided to buy another.  This one in red for some reason was extremely loose in the connection for the sandwich maker and the egg continually leaked out.  I tried it several times and to no avail.  Can't believe it is because of the color of the unit but bought another somewhere else in silver again and it is fine.  Maybe a bad lot! But we DO love the item.

  
",Style Name: Red SingleDesign: Sandwich Maker
15,359,"







  
  
    Better than McDonalds Egg McMuffins
  
",5.0,M. Anderson,"Reviewed in the United States November 9, 2014","









  
  
    
  These are a great for making breakfast sandwiches.  We bought the first one on Amazon based on the recommendation of a friend.  It didn't take long for this to become one of our favorite appliances.  It cooks an egg sandwich in 4 minutes, cleans easily and the insert is dishwasher safe.  Because it uses very little electricity we bought one for our RV and we love it for camping trips.  I guess you could say we went a little crazy over this little device because we have purchased them as gifts for family members also.  I can't say enough good things about this product and it is very inexpensive for what you get and what it does.

  
",Style Name: Silver SingleDesign: Sandwich Maker
16,473,"







  
  
    Really good breakfast sandwhich maker
  
",5.0,Wise123,"Reviewed in the United States November 2, 2016","









  
  
    
  Works great! I would recommend that you make sure if you place ham or something in between the plates to make sure it is tucked in there and that it is not sticking out. We had the ham sticking out the first go around and the egg spilled out a little. Next time fixed the ham and pushed it into the bottom and it worked great! if you use cheese too it helps mold everything together. I also used scrambled eggs and worked great too.

  
",Style Name: Silver SingleDesign: Sandwich Maker
