,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,467,"







  
  
    this is a no brainer
  
",5.0,Emma ,"Reviewed in the United States February 21, 2019","









  
  
    
  I cannot tell you how much I have enjoyed having a cast iron skillet in my life. I am not sure what took me so long? This is such a great and affordable way to get yourself a skillet that could out live you, if properly cared for. I used Primal Gourmets method of initial seasoning and it has served me quite well. I have made several dishes in this new skillet and I am quite pleased with the new addition to my kitchen.

  
","Size: 12"" Skillet with Handle HolderPattern Name: Skillet"
1,550,"







  
  
    USA product great
  
",5.0,RK Clark,"Reviewed in the United States November 14, 2015","









  
  
    
  I like buying usa products. You do need to season and it does have odor at first so I just ran the fan while heating it up the first time. I have switched to using cast iron whenever possible with my glass top stove and induction burner. Love it. I am replacing my pans one at a time and will be buying more from lodge. I only have one problem and it is with Amazon. I buy everything from Amazon and they always use ups. I get deliveries after 7 pmrude drivers no Saturday delivery and I don't have a choice on shipping. Why does Amazon not support the USP? I love using the post office and never have had any delivery problems ever. No I don't work for them. I ask one ups driver why they deliver so late and no Saturday delivery like the post office and he smirked and said that's why their broke.

  
","Size: 10.25""Pattern Name: Skillet"
2,43,"







  
  
    cute but usable
  
",5.0,John,"Reviewed in the United States August 19, 2019","









  
  
    
  I bought this on a whim because of its small size.  After I got it I was a bit shock at just how small it was.  However , I pushed on.  I went ahead and  seasoned it  a couple of times (pre-seasoning is just the start of the process , not the end point, then again there is no real end point in seasoning) and decided to fry an egg.  The little pan worked great.  I don't believe there is any spatula that would work with this but if you like your fried egg sunny side up you are golden.  However, I like mine 'over easy'.  That required a flip onto a plate and a slide back into the skillet.  This worked great because the seasoning process had made it very non-stick. It was a pretty good fried egg.  Perfect size for an Egg McMuffin.  I find that each time I see this Lilliputian skillet on my stove, I giggle at how cute it is.  I could be used as a spoon rest as well.

  
","Size: 3.5""Pattern Name: Skillet"
3,363,"







  
  
    Rusted after one use!
  
",1.0,Linda Rogers,"Reviewed in the United States October 29, 2019","









  
  
    
  I followed the directions for washing and oiling this pan, however, it is a mess after just 2 uses.  It looks rusty already despite my oiling it as directed.  Maybe it is because I put it directly in the oven but I thought you could do that.  Not happy with this product.

  
","Size: 12"" Skillet with Handle HolderPattern Name: Skillet"
4,380,"







  
  
    Skillet has a hair-line vertical crack on right side of handle
  
",1.0,Wayne,"Reviewed in the United States December 16, 2020","









  
  
    
  Purchased from Amazon in Aug, 2020.  Didn't notice the crack until I added oil to fry some chops in December 2020.  Skillet had oil on the bottom and on the electric stove.  It was smoking and I wound up microwaving the chops.  After inspecting the skillet, I found the hair-line crack.  I have purchased Lodge cast iron in the past and they have always been a quality product.  This skillet is an obvious exception.  Would like to resolve issue if possible.

  
","Size: 10.25""Pattern Name: Skillet"
5,321,"







  
  
    Great pan. Just add patience
  
",5.0,Kathryn B.,"Reviewed in the United States July 9, 2019","









  
  
    
  It took some time to get it completely seaoned. It says it is but it has to be reseasoned after every use for awhile. I learned not to leave it wet too. It will rust but that can be scoured out. After 3-4 months of use, food pretty much doesn't stick. On the other hand, it does not function like a nonstick pan does. You still have to do a little scouring after frying meat in it but it's not hard to clean.It does seem to cook food faster and more evenly. I'm glad that I bought it because I know that in 6 months to a year of use, the coating won't be flaking off. I won't have to throw it away and buy a new pan.

  
","Size: 10.25""Pattern Name: Skillet"
6,333,"







  
  
    Great cast iron skillet
  
",4.0,Kyle Ross,"Reviewed in the United States July 12, 2020","









  
  
    
  Lodge is amazing, I'm starting a collection of cast iron to cook with and the quality blows most other companies away.This skillet is BIG. If you live in an apartment with and older stove chances are this will hang over your large burners by a lot. I find I have to heat this baby slow and low to get it up to a good temp. Lots of room and is amazing for one pan dishes, large steaks etc.The holder it comes with is not nearly as impressive as the skillet though. The plastic just isn't thick enough to protect your hand from the heat of the handle for more than a moment or two unless you are cooking on low heat. Just grab a couple good ol cloth pot holders or you might get burned!

  
","Size: 12"" Skillet with Handle HolderPattern Name: Skillet"
7,437,"







  
  
    the pan fell aprt, saw pieces in my food
  
",1.0,LEXY,"Reviewed in the United States February 26, 2021","









  
  
    
  I Followed the website's instructions and even watched supplementary videos on how to clean this cast iron skillet and how to season it.  Never once did i use anything to scour or scrub it in order to keep it in great condition.  6 months after the initial use i started to see pieces of the pan in my food, ruining my dinner.  i have thrown this pan away. good luck to you all.

  
","Size: 10.25"" Skillet with Handle HolderPattern Name: Skillet"
8,274,"







  
  
    Back to basic. It works, it lasts and it’s healthy
  
",5.0,T. Tse,"Reviewed in the United States January 11, 2020","









  
  
    
  Excellent alternative to all these non-stick cook wares.  Back to the basic like your grandma cooked it.  It works.  It’s healthy.  It last and won’t get burnt easily like those non-stick coating.  Way to go if you have to fry foods that otherwise could stick to the frying pan and you do not want to use cookwares with non-stick coating.  We still use stainless steel cookwares for other cooking that does not have the potential of sticking.

  
","Size: 6.5""Pattern Name: Skillet"
9,212,"







  
  
    So in love with this little gem!
  
",5.0,Amazon Customer,"Reviewed in the United States November 7, 2019","









  
  
    
  Always wanted to try cast iron skillets so I got the 8 inch. You can pretty much do everything with it and it will last a lifetime as long as you treat it right. The first couple uses are better if you cook food with higher fat content like meats and such. After a couple uses I started doing eggs and pancakes in it flawlessly. To clean mine, I do the following while the pan is still hot, combine kosher salt with a little oil and scrub hard with a sponge or rag. Rinse and dry it, then put a little oil to spread all over. Place it over the stove until you see smoking. Then remove it, cool down, and you're ready to go for next time! The quality of this pan is amazing and USA made. Can't ask for more than that! The flavors of foods really come alive cooking with this and distributes heat evenly.

  
","Size: 8""Pattern Name: Skillet"
10,481,"







  
  
    Cracked in around 10 months (~20 uses). So much for durability.
  
",1.0,Justin R,"Reviewed in the United States February 26, 2017","









  
  
    
  Bought in June of last year due to what I had heard regarding durability. Used it less than 20 times and noticed a crack forming near the handle.

  
","Size: 12"" Skillet with Handle HolderPattern Name: Skillet"
