,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,96,"







  
  
    Great spoons
  
",5.0,Jennifer,"Reviewed in the United States March 18, 2019","









  
  
    
  Such a great buy. With 4 kids I lose spoons all the time. Not sure how but these are great replacements.

  
",Size: 12-Piece
1,151,"







  
  
    Great spoon
  
",5.0,Shelly ,"Reviewed in the United States January 30, 2020","









  
  
    
  Great quality ad size!!Highly recommended

  
",Size: 12-Piece
2,21,"







  
  
    Great spoons
  
",5.0,Lainey829,"Reviewed in the United States October 13, 2020","









  
  
    
  Great addition to my set of stainless. Some how we manage to lose spoons and these spoons are very sturdy and go well with my set.

  
",Size: 12-Piece
3,293,"







  
  
    good buy!
  
",5.0,CKM,"Reviewed in the United States October 9, 2019","









  
  
    
  nice spoons!!

  
",Size: 12-Piece
4,24,"







  
  
    PERFECT FIT AND POCKET FRIENDLY
  
",5.0,Lynder,"Reviewed in the United States May 25, 2020","









  
  
    
  I will NEVER agree on reviews, now that I bought this spoons and found that the reviews were just to jeopardize them.. They are just but a perfect fit for eating using them.. They are NOT big or small as indicated in some reviews, they are just a PERFECT fit. They are very sturdy, durable and pocket friendly.. Am super happy with my purchase.. THANK YOU Hiware for putting a smile on my face.. Will be buying more and more from you.

  
",Size: 12-Piece
5,436,"







  
  
    Very nice spoons, this is a repeat purchase
  
",5.0,Naomi Heil,"Reviewed in the United States May 28, 2017","









  
  
    
  Very nice spoons, this is a repeat purchase. Looks great, and has a nice weight to them.  I would recommend them.

  
",Size: 12-Piece
6,416,"







  
  
    awesome
  
",5.0,Erin M,"Reviewed in the United States December 25, 2019","









  
  
    
  I like the solid fell of the spoons and forks

  
",Size: 24-Piece
7,392,"







  
  
    Much better deal than what you would find in a store!
  
",5.0,James Mesplay,"Reviewed in the United States March 20, 2018","









  
  
    
  Really good deal. Quality silver ware, exactly what I expected based off the other reviews. I prefer  my girls and spoons to be a little stouter and wider so I can shovel more grub down my gullet, but these work just fine.

  
",Size: 12-Piece
8,41,"







  
  
    Without worry abt spoons being run out.
  
",5.0,Meli,"Reviewed in the United States November 14, 2020","









  
  
    
  I ordered 2 sets (48 spoons). It is perfect for my housemates to use it without ran out the spoons! Also good for Airbnb or roommates or large family for your affordable as well.

  
",Size: 24-Piece
9,447,"







  
  
    I like the quality and grip of these spoons but they ...
  
",4.0,marie,"Reviewed in the United States July 17, 2017","









  
  
    
  I like the quality and grip of these spoons but they are bigger than a teaspoon. I was a little disappointed in the size.

  
",Size: 12-Piece
10,67,"







  
  
    Very Nice
  
",5.0,ge,"Reviewed in the United States September 27, 2020","









  
  
    
  Very nice and sturdy. Clean up well in the dishwasher. I will order more, since we always seem to lose spoons

  
",Size: 24-Piece
11,333,"







  
  
    Great value. Very sturdy.
  
",5.0,Jonathan L. Zimmerman,"Reviewed in the United States November 8, 2020","









  
  
    
  Great value. Extremely sturdy,  yet classy.

  
",Size: 12-Piece
12,142,"







  
  
    good for the price
  
",5.0,K.P.,"Reviewed in the United States March 13, 2017","









  
  
    
  Heavy spoons, good for the price. A little larger than I anticipated, somewhat in between a dinner and soup spoon in my opinion.

  
",Size: 12-Piece
13,234,"







  
  
    Quality
  
",4.0,Elizabeth C.,"Reviewed in the United States August 2, 2019","









  
  
    
  Sturdy and easy to clean

  
",Size: 12-Piece
14,388,"







  
  
    Great quality
  
",5.0,Gaby Gro Bars,"Reviewed in the United States November 30, 2020","









  
  
    
  Great quality

  
",Size: 12-Piece
15,107,"







  
  
    Excellent Quality! Buy Now!
  
",5.0,John Boyce,"Reviewed in the United States June 7, 2020","









  
  
    
  I’m critical about my silverware. I bought these a few weeks ago because I needed a new set of spoons. When they arrived, I realized they were so much better than my old set.  The long handle can be helpful in most cases. I later went back and brought another pair! Overall, My family and I were delighted!

  
",Size: 12-Piece
16,282,"







  
  
    WORKS
  
",4.0,Mårïnå Fråzåö,"Reviewed in the United States May 28, 2019","









  
  
    
  Pleased with my silverware, so far they're great! Haven't trusted, so definitely good sign.

  
",Size: 12-Piece
17,114,"







  
  
    Was just what I needed.
  
",5.0,Gerald Thompson,"Reviewed in the United States October 17, 2020","









  
  
    
  Spoons are of the right weight and length.

  
",Size: 12-Piece
18,415,"







  
  
    Great Value!
  
",5.0,James Daniel,"Reviewed in the United States May 28, 2019","









  
  
    
  Great value for a premium looking set of spoons.

  
",Size: 12-Piece
19,409,"







  
  
    Five Stars
  
",5.0,Larry Stein,"Reviewed in the United States September 18, 2017","









  
  
    
  As advertised

  
",Size: 12-Piece
20,286,"







  
  
    Very nice
  
",5.0,Georgina esa,"Reviewed in the United States March 9, 2021","









  
  
    
  Very good

  
",Size: 12-Piece
21,120,"







  
  
    Great Spoons
  
",5.0,Todd R. Wolfson,"Reviewed in the United States December 15, 2020","









  
  
    
  Great spoons for the money. They hold up well and do not bend when being used.

  
",Size: 12-Piece
22,125,"







  
  
    Good value for the cost.
  
",5.0,JesusLovesYou,"Reviewed in the United States March 13, 2020","









  
  
    
  The is a nice set and seems durable but have not had them that long.  Good value for the cost.

  
",Size: 12-Piece
23,239,"







  
  
    I like these spoons!
  
",5.0,Doreen,"Reviewed in the United States December 15, 2017","









  
  
    
  Spoons are spoons, but I really do like these!  Wash well in the dishwasher, and look good on the table!

  
",Size: 12-Piece
24,99,"







  
  
    Great Hiwskiing!ins!
  
",5.0,Dawn,"Reviewed in the United States October 10, 2020","









  
  
    
  Very pleased with Hiware spoons set of 12. Very durable not cheaply made. Beautiful shine! Arrived on time.

  
",Size: 12-Piece
25,87,"







  
  
    Just lovely!
  
",5.0,Mary,"Reviewed in the United States July 30, 2019","









  
  
    
  I love my new dinner spoons — they are beautiful and the quality appears first class.  I’m happy with Hiware and will be searching to see what other products they make!

  
",Size: 12-Piece
26,19,"







  
  
    Nice enough when needed
  
",4.0,J,"Reviewed in the United States July 16, 2017","









  
  
    
  As advertised, but not as heavy as what we have...but for extra teaspoons they will do the trick. I was hoping the weight would match what we have.  These are not poor quality, I'm not saying that, and I would buy them again, but they are not as heavy as our every day set.  I just needed more teaspoons and the Prime Day price was fantastic.

  
",Size: 12-Piece
27,103,"







  
  
    Same size label as tea spoons : /
  
",5.0,LarRayCo,"Reviewed in the United States November 17, 2020","









  
  
    
  Dinner and tea spoon same size just longer handles

  
",Size: 12-Piece
28,426,"







  
  
    Recommended
  
",5.0,Jay rakestraw,"Reviewed in the United States May 27, 2020","









  
  
    
  Well, how much can you say about a spoon? They are good, sturdy and worth the price.

  
",Size: 12-Piece
