,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Exactly as described
  
",5.0,Denise A McCool,"Reviewed in the United States April 21, 2019","









  
  
    
  The container arrived nicely and secure. It arrived in perfect condition with all 64 small containers perfect. In addition, I also received 64 small labels so I can easily identify what is in the container. The outside container closes with a snap. I’d highly recommend this product to anyone who needs to store small items, which in my case are diamond drills for my diamond paintings.

  
",Size: 64 Grid Storage Box
1,1,"







  
  
    Ipart diamond painting storage
  
",5.0,,"Reviewed in the United States April 21, 2019","









  
  
    
  This storage container is really nice. It is compact and easy to carry with you. There are 64 containers. They look small, but actually hold a lot of drills. The tops come off easily to make filling simple. The snap lids are nice and snug. It also came with almost 200 sticker labels to put in the containers.Overall, a very nice product.

  
",Size: 64 Grid Storage Box
2,2,"







  
  
    Amazing!!!!!
  
",5.0,Draya,"Reviewed in the United States April 29, 2019","









  
  
    
  This item came very well packaged and nothing was damaged, I love how the little containers are in a cute carrying case with a handle and locking tabs , will make it very easy for me when I wanna take a diamond painting with me somewhere. The lids on each container close very snugly so I dont have to worry about them popping open and my drills spilling out. I'm very satisfied with this product!!!! Also came with a large sheet of label's

  
",Size: 64 Grid Storage Box
3,3,"







  
  
    That every thing was there.
  
",5.0,Joshua C.,"Reviewed in the United States April 26, 2019","








  
  Your browser does not support HTML5 video.










  
  
    
   I love product because it has sticker and ever thing was there. I can't wait use it!! I😁

  
",Size: 64 Grid Storage Box
4,4,"







  
  
    Cute, functional container for Diamond Painting drills
  
",5.0,Rhonda Sato,"Reviewed in the United States September 11, 2019","









  
  
    
  I did one diamond painting without using little containers to keep track of the drills. Ugh! The tiny plastic zip-lock bags often didn't close completely, resulting in drills all over the floor. Since I plan on doing more (ahem, probably MANY more) diamond paintings, I decided to invest in proper storage. I ordered this 64 Grid bead/drill storage container, and I had so much fun putting my drills inside, labeling them with the provided labels. The individual containers hold a good amount of drills, and close with a very satisfying 'click', leaving me confident that I won't be tracking loose drills all over the house.I'm very pleased with my purchase.

  
",Size: 64 Grid Storage Box
5,5,"







  
  
    Great storage for diamond painting drills!!
  
",5.0,Ashley Miholli,"Reviewed in the United States May 9, 2019","









  
  
    
  I use this product for holding diamond painting drills. It is a great storage system! The containers are a good size and overall it is a great storage system for using at home or traveling with. I also love that it came with labels. The lids of the containers snap shut and hold closed well. Overall I love it. I would definitely recommend this to someone needing a storage system for diamond painting drills!

  
",Size: 64 Grid Storage Box
6,6,"







  
  
    Perfect for mill hill beads
  
",5.0,Amazon Customer,"Reviewed in the United States December 23, 2019","









  
  
    
  In my hand, joann's box on the left and this product on the right. You can see it's much more clear.Everything about this product is amazing. I needed something to replace my cheap Joanns tic tac bead boxes for my ever growing mill hill collection. The darice organizer seems to be the go to, but kind of pricey. This was a bargain but SO worth the price. The containers are way sturdier and more well built than the Joann's brand. None of them are cracked or broken or cloudy, and the lids all actually fit. I'm not worried about any accidental spills. I was also worried about the labels after having my DMC bobbin label stickers fall off constantly, but they hold on so well! They're not going anywhere. 10/10. I almost fit my 3 Joann's boxes into one, but I'm going to need a second. I just didn't want to commit until I knew it was a good item. I would recommend this over anything at Joann's for beading. If you're using it for mill hills, it fits 3 or maybe 4 packs of petites in one container.

  
",Size: 64 Grid Storage Box
7,7,"







  
  
    I'm on my third one
  
",4.0,V. Schmidt,"Reviewed in the United States November 18, 2020","









  
  
    
  it's the best thing i have found so far for DP drills. On average, the kits i have gotten use 20-25 colors, and most colors will fit into one of the little individual containers - background colors may require 2 or more if you want to open all your packets while kitting up. Also they come with an abundance of self adhesive little labels for marking the color codes from your canvas.My only complaint is that the little containers do not fit perfectly together, being slightly bigger at the top than the bottom, so they have a tendency to disorganize themselves and fall over in the case if you remove one or two from the grid.Other than that, they do the job they are intended for.

  
",Size: 64 Grid Storage Box
8,8,"







  
  
    Awesome and Practical Way to Store Your Drills!!!
  
",5.0,THC,"Reviewed in the United States September 30, 2019","









  
  
    
  LOVE,LOVE,LOVE!!! I Had S-O-O MANY of the 28 Break Away Cases! I Found Out That The Covers of Some DID NOTClose Well. While I Was Pouring One Color Into a Tray, I'd Be Pouring a Different Color ""ON THE FLOUR""!  This is SOEasy and You Don't Have 3 Other Covers To ""Watch"" At The Same Time!  I Purchased 2 ""64 Storage Containers"" at theSame Time. I Do Both Round and Square Drill Paintings. Just Easier Than Having Both Drills in the Same Container!I Give This A ""HUGE THUMBS UP"" !!!  I Would Recommend This System to EVERYONE!!! God Bless You All!!!

  
",Size: 64 Grid Storage Box
9,9,"







  
  
    Save your money and just use the screw lid jars.
  
",1.0,K. M. Howard,"Reviewed in the United States March 21, 2021","









  
  
    
  This box was a limited time only deal, so I bought it and frankly, it's cheaper and less secure than what I've been using. The dill containers are REALLY small (see pictures). I kept thinking they were like the size of a Tic Tac container.  I feel like they will stay shut, but the larger box is doomed to not last long.  I would certainly not trust this to carry drills anywhere. And the handle is worthless.I purchased this to find a better way to store my drills while doing my diamond painting. I was using a plastic set that is like a weekly pill container/4 boxes with 7 rows kept inside a larger plastic box to keep them together.  While I like that product and found them to (almost) meet my needs, the more I used them the more the plastic closing elements both on the small internal containers and the larger, external box is starting to fail staying shut.  Since I don't store back-up drills, I can't afford to spill any in a kit. I felt like I was flirting with disaster and have resorted to a rubber band to at least keep spilled ones in the larger box.  This turned out to be worse in my opinion.

  
",Size: 64 Grid Storage Box
