,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,61,"







  
  
    Very nice stroller!
  
",5.0 ,Karla Shaw,"Reviewed in the United States February 26, 2019","









  
  
    
  My stroller just arrived yesterday. I haven’t had a chance to put it to practical use but so far I love it. It was easy to unfold, simple to put together. I have a small home and was able to maneuver it smoothly and easily.  I love the design. It looks very nice - black with gray accent trim The back of the seat that looks gray in the picture looks more like a very light blue and very pretty. I like that the cup trays are removable from both seats to allow for car seat placement. The front seat doesn’t recline all the way but I couldn’t find a double stroller in my price range that both seats did. It goes back far enough that I think it would still be comfy for sleeping. I love that the back seat reclines all the way. This way baby can be reclined/sleeping in his carrier in the front and my 2yo can still nap in the back seat if needed. One cool part about the back seat bassinet option is there is a flap that you can velcro up so that bottle/toys/blanket don’t fall out the front (would only go into basket below but still nice) It would be nice if the recline positions were adjustable as they each only have up or down but options seem comfy. With baby in front and toddler in the back they will be facing each other which could be good or bad. But there’s always the option to switch them too. The storage basket is a nice size and I like accessability from the back. Only problem is you can’t really access it when the back seat is reclined. My daughter tried to stand up in the basket underneath (not strapped in bc just trying it out) so we will have to see how the durability is there. I have a Baby Trend car seat which although it doesn’t click in it sits deep enough in the seats that I think it will work just fine. It’s a little more difficult to get into the back seat but that’s bc it hits the parent storage compartment and cup holder on the handle but I think that would happen with any seat you use. There is only one cup holder for the parent. My single stroller has two which is nice when mom and dad are both out with baby. My other also has an adjustable handle which is nice bc I’m only 5’2” so I use the lower option but this one still seemed comfortable. The window in the back to see the child is low so you have to stoop down to see through it and there isn’t one in the front seat canopy so you can’t see that child if the canopy is up. Folding is simple. It is large and bulky but it’s a double stroller! I still think it’s pretty light for how big and versatile it is.  I saw in a you tube review that when side by side with a jogging stroller that they are very comparable in length when unfolded. When folded my single jogging stroller fits nicely side to side or front to back in the back of my Honda Pilot with the third row down. I think I will be fine with this one but the back seat canopy does not come off which adds 8-10” when folded compared to my jogging stroller so I think fitting it into a car trunk will be tough (my jogging stroller fit but was difficult in my Mazda 6 and it had a large trunk) and I don’t think it will fit front to back in mine. I compared this stroller with Baby Trend sit n stand and Grace Room2Grow and after lots of research chose this one bc Baby Trend front seat didn’t really recline so if carrier in back toddler wouldn’t be able to be comfortable. When carrier in front and using the bench seat the front seat was back so far that space for the child in the bench seat is infringed making him/her sit up straight and looked uncomfortable. There seemed to be similar issues with space between the seats on the Graco option. I think this one will be comfortable for both children regardless which formation you use. My daughter is 2.5yo. She’s small but fit in the back seat comfortably with the front reclined for baby seat. Overall I really like this stroller. I think the few issues I mentioned won’t be that big of a deal, just wanted to point them out so others are aware.Edit: Now that I’ve used it for a month I still love this stroller. I have been using the bassinet/back seat for my newborn so that he is not strapped into his car seat the whole time and he sleeps well plus a bottle, blanket, teddy bear all stay inside. It only has one parent cup holder, 2 would be nice. When back seat is in bassinet style it’s almost impossible to get into the storage basket without taking baby out or make him sit up but you can get to it between the seats. Had it in heavy gravel recently which was difficult but that’s the small wheels compared to my jogging stroller.

  
",
1,307,"







  
  
    Love it!
  
",5.0 ,kandice J johnson,"Reviewed in the United States February 21, 2020","









  
  
    
  Love this stroller is what I needed is a smaller version then the bigger graco stroller fits in my suv great. Made good! Perfect for my 1 year old and two year old.

  
",
2,349,"







  
  
    Good double-stroller.
  
",4.0 ,Kara Hutchinson,"Reviewed in the United States September 28, 2018","









  
  
    
  This product is easy to assemble. It is also easy to collapse and open up. Both my kids enjoy riding in it. There are many cup holders and enough compartments for your necessities. This stroller is very long so I would make sure the dimensions fit your car/suv. I use this stroller on bigger field trips and events.

  
",
3,60,"







  
  
    Cheap quality- plastic wheels worn after ONE walk. Returning.
  
",1.0 ,The Andre’s,"Reviewed in the United States May 17, 2018","









  
  
    
  Awful quality. Was trying to not spend hundreds on a double but the plastic wheels are absolutely garbage and the stroller feels like it can tip over with any movement. I would say if you are looking for something to just push in the mall this will work... anything outside do not buy. Returning.Sucked it up and purchased a BoB double. It’s AWESOME.

  
",
4,126,"







  
  
    I’m not one to complain but I hate this stroller.
  
",2.0 ,Just me,"Reviewed in the United States October 7, 2018","









  
  
    
  I am so unhappy with this stroller. I thought I would love the large basket underneath but I t’s almost impossible to get anything in.I loved the idea of my toddler and baby being able to face each other but the seats only have 3 point harnesses so my toddler is able to lean forward and reach my baby’s face and head. He tends to spend a lot of time hitting the baby’s feet or trying to poke him in the eyes.I’ve tried sitting them back to back but that’s just as problematic. When my toddler is in the front he presses on the foot rest with his feet and jumps up and down, shaking the stroller. This is again because there’s only a 3 point harness.When the car seat is up on the top it’s almost impossible to see the baby because the seat slots so far inside the fixed seat it is half way under the parent tray on the handle of the stroller and the hood stops me from seeing in. I have to either step to the side to see him, stand on my toes or bend down to look in the peep hole below the handle. All at the same time as my toddler is jumping around.I hate this stroller and have ordered a different one, hoping next time it is more practical.

  
",
5,86,"







  
  
    User-Friendly, Checks All the Boxes, Can't Beat the Price
  
",5.0 ,SKB,"Reviewed in the United States October 29, 2019","









  
  
    
  I needed a double stroller to transport my infant and contain my three-year-old at the same time. This stroller checked all the boxes, and for a car seat-compatible double stroller, you really can't beat the price.It took maybe 10 minutes to assemble, and it actually seems more maneuverable than my single Graco stroller. I have not had the same difficulty folding it that some other reviewers reported; it took a minute to get the folding motion right, but when I collapse it all the way down, the latch catches with no problem.My 3-year-old fits in the front or back, but I only have him sit in the back because his legs kind of dangle and his feet would hit the front wheels otherwise. I also have to remove the child cup holder from the bar in order to get him in and out easily, but that snaps right on and off.I drive a Nissan Altima, and fully assembled, this stroller is too long to fit in my trunk -- but pop off the front canopy and car seat bar, and it fits fine with space to spare.

  
",
6,49,"







  
  
    This is a great product for the price
  
",4.0 ,Amazon Customer,"Reviewed in the United States August 3, 2018","









  
  
    
  This is a great product for the price. There’s a lot I do like about it. I think the seating for my toddler is great, very roomy. The basket at the bottom holds a lot of stuff. It is a very big stroller of course so it does take up a lot of room, even in the trunk of my Honda CRV so keep that in mind if you have a compact car. It gets four stars because the instructions that come with it do not specifically explain how to click in the infant car seat. I had to find a video on YouTube. Also, it does not have the best capabilities to turn. I need my mother or husband to pick it up from the front while the kids are in it, if I need to turn when there’s not a lot of room for a wide turn. Other than that it does get the job done in hauling my one month old and almost two year old around. I am glad I bought it and did not have to spend a ton of money!

  
",
7,220,"







  
  
    What I needed
  
",4.0 ,Charlie,"Reviewed in the United States May 6, 2020","









  
  
    
  I really like this stroller; I have a 2-year old and a 3-month infant. Instructions for opening the stroller isn't clear in the manual; however, check out great videos on YouTube for help.

  
",
8,53,"







  
  
    Five Stars
  
",4.0 ,Natalie,"Reviewed in the United States October 21, 2017","









  
  
    
  I love this stroller. It fits everyone comfortably (21 months & newborn) and is easy for me to maneuver (I am 4'11, 105Lbs). Only downside is it won't fit in my '07 Jeep Grand Charokee so I have to use my husbands truck when I need to take it with me.

  
",
9,34,"







  
  
    It's ok, but I wouldn't recommend it
  
",2.0 ,Amazon Customer,"Reviewed in the United States October 4, 2018","









  
  
    
  We purchased this stroller as we were expecting our 2nd child when our first was just turning 2.It is compatible with our graco click connect travel system and the price was perfect. (We also weren't able to find anything comparable at our local babies r us).Now we have a 2yr old and a 2wk old and have used the stroller about 10 times.  It was easy enough to put together.  Took my husband about 20mins.  Took about another 20 to figure out how to remove the rear tray so the bucket would snap in.I have 3 major dislikes about this stroller.  1. With my toddler is in the front, if her feet aren't on the foot rest they rob against the wheels and make it hard to drive.  If she sat forward enough her feet could reach the ground.  Shes average height for her age.2. With the bucket in the back, you have to recline the seat to get the bucket in, therefore you lose all access to the large storage compartment.3. Shes a toddler and like to wiggle around and look around at everything, her moving makes the stroller hard to drive also.In closing I probably wouldnt recommend or buy this stroller again, but since we did we will use it until our toddler refuses to go in a stroller, then we will go back to the single stroller.

  
",
