,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,1070,"







  
  
    Best bang for your buck
  
",5.0,Derek Wilson,"Reviewed in the United States July 22, 2020","









  
  
    
  Great sunglasses for the price. I've paid more for ones that broke the next day. These are great and vision during the day is great. I don't wear my sunglasses at night like a creeper or a tool so I can't comment on the visibility during those times. Great buy and quality product.

  
",Color: B (2 Pack) Matte Black Frame Black Lens / Matte Black Frame Black Lens
1,1322,"







  
  
    good for the price
  
",5.0,wayne klick,"Reviewed in the United States August 18, 2020","









  
  
    
  these are very good for the money, polarized and look good

  
",Color: C (2 Pack) Matte Black Frame Red Lens / Glossy Black Frame Black Lens
2,230,"







  
  
    Great for driving.
  
",5.0,Normajean Atkinson,"Reviewed in the United States November 1, 2020","









  
  
    
  Great sunglasses and they are polarized which help with driving. Lightweight and comfortable.

  
",Color: D (2 Pack) Matte Black Frame Black Lens / Matte Brown Frame Brown Lens
3,675,"







  
  
    There good for the price
  
",4.0,danahiggins,"Reviewed in the United States October 8, 2020","









  
  
    
  Ordered 2 sets one set had a broken bow not bad, 75% were fine, I guess 3 out 4 is not bad.

  
",Color: B (2 Pack) Matte Black Frame Black Lens / Matte Black Frame Black Lens
4,486,"







  
  
    Good value for the price
  
",5.0,olimac,"Reviewed in the United States March 1, 2021","









  
  
    
  I like is pretty comfortable

  
",Color: C (2 Pack) Matte Black Frame Red Lens / Glossy Black Frame Black Lens
5,612,"







  
  
    Uffff
  
",5.0,Mario,"Reviewed in the United States December 9, 2020","









  
  
    
  Excellent

  
",Color: C (2 Pack) Matte Black Frame Black Lens / Matte Black Frame Black Lens
6,706,"







  
  
    Not worth the money returning
  
",1.0,Amazon Customer,"Reviewed in the United States June 19, 2020","









  
  
    
  Brought the three pack! Never again they are really small and flimsy. Dollar store glasses are better than theses . Would maybe buy for a child that’s it

  
",Color: D (3 Pack) Glossy Black Frame Black Lens / Tortoise Frame G15 Lens / Matte Black Frame Black Lens
7,1057,"







  
  
    The price is right😁
  
",5.0,GenoDaChamp,"Reviewed in the United States November 9, 2020","









  
  
    
  For the price, I can't complain.Thank you.

  
",Color: B (2 Pack) Matte Black Frame Black Lens / Matte Black Frame Black Lens
8,1120,"







  
  
    Great
  
",5.0,Kyle,"Reviewed in the United States February 24, 2021","









  
  
    
  High quality for great price. My new favorite pair.

  
",Color: B (2 Pack) Matte Black Frame Black Lens / Glossy Black Frame Black Lens
9,732,"







  
  
    Nice product with protective sleeves included.
  
",5.0,Rebecca Graham,"Reviewed in the United States July 16, 2020","









  
  
    
  These are great glasses. The shipping time was horrible over a month but I’m not sure if it’s amazon or something else at fault. All of the shipping was supposed to be handled by amazon. The glasses are great though.

  
",Color: B (2 Pack) Matte Black Frame Black Lens / Glossy Black Frame Black Lens
