,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,218,"







  
  
    Love it
  
",5.0,Ken,"Reviewed in the United States January 12, 2020","









  
  
    
  Absolutely love

  
"," 8 GB Ram, 256 GBConfiguration: Intel Core i5"
1,47,"







  
  
    They Keep Getting Better
  
",5.0,John Parrish,"Reviewed in the United States March 13, 2021","









  
  
    
  The Amazon ordering was flawless, as always. The Surface Pro 7 is an upgrade from a Surface 4 I purchased four years ago. This is used daily by a school teacher for virtual learning and handles all tasks well. The Surface 4 was getting a little slow with the number of resource-intensive applications used and it was time for newer hardware. Another fine product from Microsoft!

  
"," 8 GB Ram, 256 GBConfiguration: Intel Core i5"
2,51,"







  
  
    Super cool machine
  
",5.0,Sen,"Reviewed in the United States February 16, 2020","









  
  
    
  This is the first time I bought Microsoft a kind of a small tablet but this is really good I was a HP. Customer but now I like this it’s because it’s easy to handle and it worth for money very handy stylish and very fast I do not have any hesitation to recommend this to anyone

  
"," 16 GB Ram, 256 GBConfiguration: Intel Core i7"
3,72,"







  
  
    Great Gift
  
",5.0,KOBAM,"Reviewed in the United States June 8, 2020","









  
  
    
  This is my wife's second Surface Pro. Her workplace issues them to teachers and she liked it from the start. Her personal Surface Pro is definitely her favorite computer.  She is also an extensive use of Iphones and Ipads.

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
4,133,"







  
  
    Great Machine!!!
  
",5.0,Rod,"Reviewed in the United States September 28, 2020","









  
  
    
  Great machine!!!

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
5,98,"







  
  
    Crashes all the time...unreliable!!!!
  
",1.0,Stephen W Vann,"Reviewed in the United States April 13, 2020","









  
  
    
  Fresh out of the box this surface Pro 7 crashes frequently enough to consider it too unreliable to be my sole computer.  I wanted to love this, but now regret buying it!!!

  
"," 8 GB Ram, 256 GBConfiguration: Intel Core i5"
6,62,"







  
  
    Very happy in general ;-)
  
",5.0,Lupe Rojas,"Reviewed in the United States November 12, 2020","









  
  
    
  Not as light as I expected... even contacted Microsoft to be sure (they were not accurate)... but in general is the best option for a small light touchpad laptop computer.Something everyone wants to know...  ;-)1kg 79grs/2.379 lb with original keyboard

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
7,261,"







  
  
    Great Product for the money...
  
",5.0,Bob,"Reviewed in the United States January 20, 2020","









  
  
    
  Great Product...much better than IPAD...

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
8,86,"







  
  
    My go to computers
  
",5.0,Dan M.,"Reviewed in the United States September 2, 2020","









  
  
    
  I use the Surface pro mor my more mobile users, powerful and portable these things rock! My only complaint is that they have 1 USB port. Other than that, love them!

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
9,110,"







  
  
    Surface Touch Screen
  
",4.0,Iggy,"Reviewed in the United States March 10, 2021","









  
  
    
  While battery life is a little short, it's still an above average notebook!

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
10,148,"







  
  
    Helpful during lockdown
  
",5.0,Kell,"Reviewed in the United States February 5, 2021","









  
  
    
  The surface pro 7 has made taking notes easier and has generally improved learning during the pandemic for me. It can handle gaming although use of an external fan is a must for modern titles Excellent choice for students 10/10 would recommend.

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
11,69,"







  
  
    Good Product with Well handled packaging
  
",4.0,Abhi,"Reviewed in the United States May 11, 2020","









  
  
    
  Always liked Microsoft products. Surface Pro 7 is awesome to use and comes with great features. Bought it for my 6 years old kid and he is enjoying using it. He is pro using Mac Book and other Windows laptop, and without any issue he started using Surface Pro. Great product. The packaging was great....My son enjoyed unboxing this new Surface Pro. Happy using ao far

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
12,251,"







  
  
    Beware of repair costs!
  
",3.0,TEB,"Reviewed in the United States September 21, 2020","









  
  
    
  Good computer, but realize that if you have problems with it your local computer shop won't be able to help.  The only option is to send it back to Microsoft and that option starts at $501 (they couldn't tell me why the extra $1).

  
"," 8 GB Ram, 128 GBConfiguration: Intel Core i5"
