,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,230,"







  
  
    Scammed
  
",1.0,J. Mathis,"Reviewed in the United States July 3, 2020","









  
  
    
  We revived an empty box. So disappointing....

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
1,17,"







  
  
    Price Gouging???  Seriously???
  
",1.0,Mike D,"Reviewed in the United States April 6, 2020","









  
  
    
  Enough said

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
2,21,"







  
  
    I was mistaken
  
",1.0,Luiz Fernando,"Reviewed in the United States November 19, 2019","









  
  
    
  Don't buy it!I was mistaken, the promised model was the new nintendo switch with the code: HAC-001 (-01) but the model that was delivered was the old nintendo switch with the code: HAC-001liars and thieves and that's what you are, shame

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
3,215,"







  
  
    Came with broken game card reader
  
",3.0,jean miller,"Reviewed in the United States June 30, 2020","









  
  
    
  When I first received the switch I was so excited. Everything was in the box and it looked brand new.  At first I didn’t have enough to buy any physical games so I bought some games for sale on the E shop. And it worked great! But only till after the return date passed did I realize, the game card reader was broken! When I first played one of the games it seemed to work fine. But later when I removed the game and I inserted it again, it told me it couldn’t read the game card. Easy enough, just restarting the switch made it read. But now months have past and the only game card it seems to read is animal crossing. All my other games just wont read. Even a brand new copy of Minecraft. Since I believe I still have warranty, I wanted to contact Nintendo for repairs but it’s been shut down due to COVID. I hope I can get this fix. I’m very disappointed.

  
",Style: ConsoleColor: Gray HAC-001(-01)
4,150,"







  
  
    Extortion
  
",1.0,Jason Samoilich,"Reviewed in the United States April 26, 2020","









  
  
    
  Trying to profit from covid-19

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
5,195,"







  
  
    switch online is worth it in and of itself
  
",5.0,Bernie,"Reviewed in the United States July 1, 2020","









  
  
    
  Playing switch games is great, i bought 5 games with my system for variety. Turns out the most amazing feature i was not aware of before i started playing. The online subscription they offer for a measly 20 bucks a year offers a library of nes and snes games you can play at will. You can save state in them as well up to 4 save files for each game. You can ALSO reverse time when playing (it is a cheap feature but VERY cool still) Died in mario, just hold in two buttons, reverse the game like a dvr on tv show and bam, try that part again right where you just were!! i do not know if it is true but i read they have two more slots for future classic systems in their coding in the system. We have Nintendo 8bit, Super Nintendo but we could see Nintendo 64 or game cube in the future as well.All 5 games i picked up for it run great as well, no complaints except it was 150 dollars more than list price. Alas these are the times we live in.

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
6,118,"







  
  
    Great
  
",5.0,The Gamer,"Reviewed in the United States October 31, 2019","









  
  
    
  I was suppose to receive my package October 27th. I didn't receive my package until the 29th. It wasn't Amazon fought at all. I blame USPS for screwing up. They sent my package to the wrong address. So I had to go online and have them redeliver my package.When I finally receive my package I notice it wasn't damaged or tampered with. The switch box was still intact thank God. One thing I notice is the switch itself looks more premium if that makes any type of sense. Lol You can tell they fixed a lot issues with the joycons and other things. My OG switch had so many flaws. My TV screen would go black then turn back on for some reason while playing. The vents on my switch ended up melting off. The back had so many scratches from the dock.Anywho, the battery life is amazing!! If you're like me and you play your switch an hour a day. It will last for a couple days. If you're the type that play your switch for hrs. You can get up to 9hrs of play depending on the game you're playing.Im glad I got the upgraded version. 5/5

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
7,245,"







  
  
    Family gift was loved by all.
  
",5.0,Family Researcher,"Reviewed in the United States January 5, 2021","









  
  
    
  We gifted this for Christmas to  family of five.  What a surprise to them, and all were very happy.  I like that it is portable and not take up  lots of space and also can play on the TV monitor. It seems well thought out to be versatile.

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
8,30,"







  
  
    OVER PRICED!!
  
",1.0,bernal,"Reviewed in the United States April 17, 2020","









  
  
    
  PLEASE DONT BUY PRODUCT AS ITS OVER PRICED DONT WASTE YOUR MONEY NINTENDO STILL HAS THE SWITCH AT 299.99 JUST CHECK THEIR WEBSITE NOT WORTH THE PRICE YOUR BETTER OFF MAKING YOUR OWN SWITCH FROM SCRATCH

  
",Style: ConsoleColor: Neon Blue and Red HAC-001(-01)
9,124,"







  
  
    Missing Products
  
",1.0,Amy Nguyen,"Reviewed in the United States April 26, 2020","









  
  
    
  The price was already heavily inflated. I was more than willing to pay. But how are you going to make me pay 700$ and not include everything? I was excited only to see the straps were missing. If i paid 700, i would want everything included.

  
",Style: ConsoleColor: Green and Blue
10,211,"







  
  
    Love it
  
",5.0,N. Wilson,"Reviewed in the United States October 7, 2019","









  
  
    
  Love the switch. Ultimate for the gaming dad. Game anywhere anytime.

  
",Style: ConsoleColor: Gray HAC-001(-01)
