,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,112,"







  
  
    Buy it
  
",5.0 ,debo,"Reviewed in the United States December 12, 2020","









  
  
    
  I replaced one of the earliest samsung lcd screens which cost $2400 years back. First i must say that i live in a rural area and have antenna television. This tv exceeded the air channels i previously could get. Then came the surprise. When i connected it to wifi, here comes ""samsung tv plus"". I now have hundreds of channels free. Next, the apps are much faster than my blue ray player. You can switch from tv to amazon to netflix in seconds. The picture quality is unreal. I watch alot of old tv shows from the 60s and 70s. I never thought id be right on the set of gunsmoke lol. The one and only downfall is the speakers. Volume ranges from the show to the commericals greatly. I highly recommend a soundbar. All in all a great tv.

  
",Style: TV OnlySize: 50-Inch
1,274,"







  
  
    A Home Theater Experience
  
",5.0 ,April T.,"Reviewed in the United States February 20, 2021","









  
  
    
  I saw this on one of the Amazon Prime Truck deals.  I was going to pass but the price was right.  It arrived within 2 days and the delivery was exceptional (even by Amazon standards).It’s a large TV, but the physical set up was simple even for one person.  I don’t have cable so I connected my antenna and set up my smart functions.  Most of the apps I use were already loaded so all I had to do was log in.  It even updated my Xbox.  The universal remote works on everything connected (one remote to control them all).The picture and sound quality is great.  It gives the space a true home theater feel (which is what I was after).  I watched a John Wick marathon and haven’t left the sofa all day.  I’m beyond happy with this purchase.

  
",Style: TV OnlySize: 55-Inch
2,215,"







  
  
    Worst TV ever
  
",1.0 ,Afro Samurai,"Reviewed in the United States November 11, 2020","









  
  
    
  Worst tv I've ever bought! Do yourself a favor. Buy a Sony instead. Had this tv repaired and it's still giving me problems. And I've only had it for 6 months.

  
",Style: TV OnlySize: 50-Inch
3,330,"







  
  
    My Third Samsung Smart TV
  
",5.0 ,Blossomthyme,"Reviewed in the United States March 15, 2021","









  
  
    
  I already had two high end Samsung TVs on upper floors.  I bought this smaller, lower end TV for the basement in my home gym.  Lower end in that all the specs are higher on my other TVs (size, motion rate, etc).  But it looks perfectly fine.  Had no trouble with setting it up.  I  like having all my TVs by the same brand.  They all have the same remotes. Finally got rid of the old projection TV that was down there.  So happy all my TVs are now smart.  Samsung seems to the top of line in TVs now.

  
",Style: TV OnlySize: 55-Inch
4,344,"







  
  
    Wonderful TV. Beats all others in price range and above!
  
",5.0 ,JG,"Reviewed in the United States September 29, 2020","









  
  
    
  Alright. First off I never write reviews EVER!This tv is amazing especially for the price. I buy multiple TVs every year for my business, hi end, 8k, 1080p, roku, Amazon, all of it.This far and above the best bang for buck 4k TV I have ever seen.It rivals so many higher models from other manufacturers.My first arrival was a cracked screen, however amazon replaced it for me in less than a week!!The second one came with zero issues. So many things being shipped these days its always a dice roll moving tvs.All that said, if your on the fence, and spending hours looking at other tvs within 50 to 100 dollars, stop searching and buy this one.

  
",Style: TV OnlySize: 50-Inch
5,360,"







  
  
    fine for the price.  buy a chromecast with purchase
  
",3.0 ,Richard Trent,"Reviewed in the United States November 23, 2020","









  
  
    
  TV is fine, especially for the price.  But Samsung's OS is absolutely terrible.  It is super slow and glitchy.  They don't let you download certain apps.  It barely ever works with Screen Share from an android.  And its loaded with a bunch of ""channels"" that you will never use, which further gums up the OS.  Just overall poor performance.  Just buy a Chromecast and forget about it.

  
",Style: TV OnlySize: 55-Inch
6,384,"







  
  
    Samsung support is awful.
  
",1.0 ,S Lewis,"Reviewed in the United States January 1, 2021","









  
  
    
  TV has an unwatchable dark picture when using built in apps (HDMI input displays fine). Samsung support setup a repair ticket and cancelled it after a week without telling me why. The second support ticket was cancelled too. Finally, they informed me that no repair techs were in my area and they would have to replace it. After another week, they informed me that they can't replace it because there are none in stock so they would have to issue me a refund and pick up the TV. Then they told me they can't pick up the TV because of my location but would still issue me a refund. I'm still waiting on the refund. I live in Northern Colorado and not in a rural location by any means and yet Samsung is unable to service my area apparently. The entire support experience has been ongoing for nearly a month to try to get this resolved.

  
",Style: TV OnlySize: 50-Inch
7,247,"







  
  
    The television arrived with a broken screen!
  
",1.0 ,Amazon buyer,"Reviewed in the United States May 30, 2020","









  
  
    
  I have never experienced anything like this before. When I turned on the television, the picture showed that the screen was clearly damaged.  Completely unacceptable!  Never again!

  
",Style: TV OnlySize: 50-Inch
8,194,"







  
  
    Not so smart.,  it doesn’t support Apps you want
  
",1.0 ,Amazon Customer,"Reviewed in the United States September 23, 2020","









  
  
    
  Smart tv, I thought I could down load all the normal apps that I use on my iPad.  NO, it only has very few apps you can down load - no CNN, no NHK world, etc.  I thought something wrong with the tv. I called the Samsung, The Person was very good with explanations, Samsung doesn’t support those Apps.  So you can’t get them.  It has all the junk tv apps already built in.  You end up subscribing Cable service to get channels you want to get.  Also, sound system is not very good.  Being 65”, I expect better sound system.  If I knew, I could have kept my old Samsung tv with cable service.  Check your favorite apps first before purchase it.  It would be expensive waste if you don’t get what you need or want.

  
",Style: TV OnlySize: 65-Inch
9,123,"







  
  
    Arrived Broken
  
",1.0 ,Amazon Customer,"Reviewed in the United States April 16, 2020","









  
  
    
  Product arrived with what seems to be a crack within the TV screen. It does not turn on, very disappointing.

  
",Style: TV OnlySize: 65-Inch
