,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Water comes right through this tent
  
",1.0,Kieran Scanlon,"Reviewed in the United States May 1, 2017","









  
  
    
  I set this tent up in conditions that ranged from misty to steady rain that lasted 12 hours. As soon as I set it up, I noticed that the rain was coming directly through the walls. I put the fly (sold separately) on and that helped stop rain from coming through the top, but the wall leaks persisted.We had four of the EXACT same Coleman 6-person instant tents set up and mine was the only one that leaked. I assume the factory missed the waterproofing step.MAKE SURE YOU TEST THE TENT BEFORE YOU DRIVE FIVE HOURS FROM HOME TO USE IT.

  
",Style: 6-person
1,1,"







  
  
    I’m am really disappointed as this tent is supposedly rated high for being ...
  
",1.0,Jordan Bryant,"Reviewed in the United States May 20, 2018","









  
  
    
  Tent seems durable and was set up in seconds. I set the tent up in the back yard to make sure everything worked, it started to rain and almost instantly I noticed the seams of the tent were leaking water. I’m am really disappointed as this tent is supposedly rated high for being water proof. The more frustrating part was I had to speak to 4 different Amazon representatives to coordinate an exchange, they were finally able to accommodate me and get a new tent sent. We will see in a few days if the new tent is also defective. Coleman is usually a quality brand and this product had really high rating but I am very disappointed thus far.

  
",Style: 4-person
2,2,"







  
  
    What an upgrade
  
",5.0,Ali,"Reviewed in the United States October 23, 2016","









  
  
    
  Huge and ridiculous -- obviously not for backpacking -- but my husband and I love it. We throw a queen air mattress in here when car camping and we feel like Kings. It's so easy to set up and take down; set-up is doable with just one person (possibly of a certain height, we are 5'8""+), take down is easiest with two to help stuff it back in the carrying case.We had it set up in the midwest when a tornado-y thunderstorm rolled through; we sought higher ground till it passed, when we returned, she was safe and sound and still in the ground. Not completely waterproof, but we only got a bit of dew/sweat on the interior walls, and nothing on the floor.The only ""con"" I have to note: I wish there were windows on all sides, so when you are inside you can enjoy the view from all angles.

  
",Style: 4-person
3,3,"







  
  
    Comfy car camping cabin
  
",5.0,Daniel Miller,"Reviewed in the United States June 25, 2017","









  
  
    
  It's comfortable for a full size plus a twin sized air mattress.  It sets up and takes down very easily - sets up in less than two minutes with one person, and less than five minutes to get it stuffed into the carrying bag.  It fits in my subcompact car.  It stayed dry through 5 straight hours of heavy rain.  Too heavy to hike any real distance with, but excellent for car camping with kids.

  
",Style: 4-person
4,4,"







  
  
    Being a cabin style tent it does have good stand room in the center
  
",2.0,Deadstick,"Reviewed in the United States June 18, 2017","









  
  
    
  I have a standard 4 person Coleman dome tent. I purchased this tent because I take many camping trips alone and my other tent can be a bit of a pain to put up by myself. Had it out this last weekend to give it a try. As advertised it was very quick to set up. Took a little more then 60 seconds just because I had never set it up before. Being a cabin style tent it does have good stand room in the center. I stand 6' 1"". There are some thing s about this tent I will have to get use to. The door, unlike my other tent, is not centered. It is off to the right. My wife went with me and this caused a little stumbling over each other trying to get out. The door has two zippers which were a little difficult to get open in the dark, early in the morning. IT has two windows up front, two large windows on the sides but, no window in the back. With only one little vent in the top ventilation was questionable. The window flaps could be rolled but they could not be tie and secured out of the way. Over all a nice tent.Took it for the first time on my own. Again was easy to set up. This trip it did rain. Rain fly is useless. Unless you have the windows zipped all the way up, you are going to get wet. Then windows up, no ventilation. Got hot inside real fast. Door is a real pain at night in the dark to get in and out of. Don't be in a hurry.

  
",Style: 4-person
5,5,"







  
  
    Disappointed
  
",1.0,Jim M,"Reviewed in the United States October 2, 2016","









  
  
    
  Disappointing. I've been an avid supporter of Coleman products for many years due to the affordability and quality of their products. I've owned a 4-person dome tent for nearly 15 years that has never leaked, never blown over, never given me trouble. Me and my wife just got a little older and decided we needed something we could stand up in and use a cot in. So we bought this. The design engineer missed the boat on this and so did quality control. I've tried different methods to try to get the tent to be taut and tight on all four slopes, but I just can't do it. It needs at least one more connection to the corner support poles on each corner because it bags and sags three quarters of the way up the corner. This causes a sag on the interior that reduces space and helps worsen the leaking. It has a loop for a stake midway between the corners in the front and back but not on the sides. It needs one because you can't keep the floor taut without them.Leaking, Leaking and more leaking. Amazing that this didn't come with a rain fly. No, not amazing, ridiculous. Where didn't it leak? This was not a hurricane - just some simple showers. It leaked at every corner floor joint. Every window leaked even when zippered completely shut. The door leaked. Who designed the door zipper? Fire that person. The zipper on my dome tent is perfect - why did someone think that needed to be changed? The windows all leaked along the bottom seam. Why? Because the side slopes can't be made taut, it rains down, water runs down the sides and collects at the bottom of the window. It has no place to go but in the tent - it's as if someone designed it that way!! The only way to prevent that leakage is to install a second shelter - or tarp - over the tent with sides, back and front that extend beyond the bottom of the window. I looked at the rain fly you can buy for this tent, and I don't think it does that. The leaking seam at the corners and where the floor connects just seems to be poor quality workmanship. I gave it a second and third coat of seam sealer and it did reduce the amount of leaking, but didn't eliminate it. I brought the tent home, set it up and let it dry out real good, then gave it a fourth really heavy dose of seam sealer at all seams. We'll see if that helps. I also designed my own rain tarp out of an old shelter frame I had that I will put over the tent next time. That's ridiculous to have to put up a shelter to put my tent under. Ridiculous. Why am I even giving this a three???? I guess because I can stand up in it, it goes up quickly, and it fits my queen-size cot with room to spare.Update:I've decided to get a new tent. Not a Coleman. The engineering and quality of this tent was just horrible. I've coated the tent inside and out with at least 4 applications of silicone spray and several coats of seam sealer on all seams. I even caulked the floor to wall seam with clear silicone caulk. I noticed in the pictures that there are 5 pole to tent clips on each corner. Mine only had 4, so I added tarp clips on the corners where it was sagging. The walls sagged so I added tarp clips on the sides to tighten the walls and floor. See pictures. I bought the rain fly. It rained tonight and the interior is soaked. Water leaked right through the walls and especially at the base of the windows. I'm leaving next Sunday for a week camping in the UP of Michigan. I hope my new tent gets here in time. Really, I recommend you do not by this tent!

  
",Style: 6-person
6,6,"







  
  
    The only review you'll need
  
",5.0,ChuckCounty,"Reviewed in the United States March 22, 2013","









  
  
    
  So we were a little hesitant on making this purchase after reading the 3 star and below reviews.  However, some close friends and camping partner family own this tent.  Here is what we did:Step 1-  Order the tentStep 2- Order TENT SEAM SEALERStep 3- Order Rain Fly (no brainer people)Step 4-  When tent arrives excitedly open box, and set up in the living room (optional, and be sure to check with your spouse first as this did not go over well with mine)Step 5- Take down tent from living room and set up again outside....Use the seam sealer around ALL seams inside and outside the tent liberally (or follow directions on sealant product)Step 6- Put rainfly on tentStep 7- Connect garden hose and prepare leaf blower for weather simulation testing.Step 8- After waiting desired time for sealant to set, simulate various types of rain storms from gentle drizzle to driving hurricane force rain (do this at your own risk and be sure to roll up windows  on your spouses car when aiming simulated rain in that direction)Step 9- Now using your leaf blower blast your tent with simulated wind levels from gentle meadow breezes to Hurricane Level 4 winds if you have a 4 speed leaf combo snow blower (again, do this at your own risk)Step 10-  Stake down your tent THEN redo step 9, then apologize to your spouse for crushing her flowers.During all the simulated test I found that the tent is NOT made for 50+ psi garden house spray down at full forces.... However, there was minimal leaking, and I think that was from spraying right at the zipper.  When using in a true rain fashion there was no leaking after a 10 minute soaking.  The blower was a little over the top, but even after rolling my unstaked tent into my wifes flowers the tent took all I threw at it.  I was going to repeat all the test and make a video to attach with this review but was advised (told) by my wife that I wasn't going to do that....Argh!Thanks Coleman for a great tent!  Set it up in less than 30 seconds and take down was just as simple, and I had a blast with my homemade weather simulation testing.

  
",Style: 6-person
7,7,"







  
  
    Great tent, easy to setup and take down.
  
",4.0,strice01,"Reviewed in the United States August 2, 2016","









  
  
    
  This tent is fantastic for camping solo or with one other person.  Super easy to put up and take down.  Remember all those times you got home and decided you didn't want to set your tent back up and dry it out, only to regret that decision next time you went to use the tent?  That is not an issue with this tent as its so easy to pop up, you won't mind letting it dry out.I'm giving 4/5 stars because this tent leaks water when there is a heavy rain.  Nothing I can't deal with, but the seams at the top and sides allow water to come in.  Being totally honest I did not waterproof the tent so had I done that, it may have solved the issue.

  
",Style: 4-person
8,8,"







  
  
    Great tent, very dark, quality made.
  
",5.0,Katie,"Reviewed in the United States June 26, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   When I bought this dark room tent, there were no reviews on it, only reviews on other Coleman tents. So, while we haven’t camped in it yet, we did throw it up in the front yard to make sure everything was in good shape. I wanted to put this review out there for anyone who is as curious as I was.Straight off, I’ll address the main concern I had, and that was the amount of light the tent lets in. It’s hard to describe, but it definitely blocks A LOT of light. It’s difficult to see inside the tent with everything zipped up, even in the middle of the day (although we did not do it in direct sunlight). It’s as dark as my baby’s room during the day, and he has two layers of blackout curtains over his window. I’ll share pictures, but they really don’t do it justice. It’s very dark. I approve!The downside of that is the tent is probably going to be warm during the day. It is sprayed with a coating to give it the dark room effect (no bad smell, BTW), and that also acts as insulation. That will be great during cold nights, but maybe not great for baby’s nap time in 90 degree heat. We bought a battery operated fan to push some air through one of the screens without having to have everything opened up during our son’s naps (if he naps at all—we’ll see).One thing I don’t love about the tent is that the zipper on the curved hinged door is a pain to open and close (although the door itself is super cool). The flaps that I suppose are there to keep rain out are sewn in in different directions and it snags on those. Plus the zipper was a tad sticky. I hope beeswax will fix the problem. It wasn’t bad enough to make me not love the tent, though. It is still worth every penny!Looks cool too!The tent is huge and we can comfortably stand up inside. It was very easy to set up. We didn’t even have to look at instructions. One downside to this type of pop up tent is that it’s heavier than a traditional pole tent. Worth it for sure, though.Another thing some people will love, but I don’t, is that there are entrances on both ends of the tent. Because we have three young kids, we want to be between them and the door. We’re planning to put a small padlock on the zipper of the back entrance, that way nobody will easily get in or out on that side.We thought found this exact same tent at Costco for $20 more than Amazon. We actually bought it because we weren’t sure if the Amazon one would come in time. When it did come, we compared the two. There was an obvious size difference (Amazon one was in a much larger box), but the tent dimensions were the same. It was a puzzle to us until we opened it up and figured out that the larger one (this Amazon one) is an instant pop up tent and the smaller one from Costco is a quick set up tent, but is not an instant pop up tent. Mystery solved.That’s really all I can report on so far because we haven’t camped in it yet. But since there were no reviews on it, I wanted to get this up here with some pictures. I’ll update this review after our camping trip coming up!If this review was helpful, please hit the “helpful” button so other people can find it too!

  
",Style: 10-person
9,9,"







  
  
    HIGHLY recommend. Read below
  
",5.0,Jared,"Reviewed in the United States June 19, 2016","









  
  
    
  I cannot recommend this 4 person cabin more. Its not to be used backpacking only out of vehicle camping. My gf and I set this up in no time. Make sure to purchase the rain fly and tent kit for the mallet and upgraded steaks. Held up to a thunderstorm all weekend in grand canyon the very first time we used it. Fit a queen bed with about 2.5 feet of free space left on the entrance door side. I even put big coals in my solo stove and and the tent was 70+ while it was around 30 outside at night. Ventilation was great even in the rain with the fly.  highly recommended for expedition vehicles i will surely have this for years.

  
",Style: 4-person
