,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,709,"







  
  
    Easy!
  
",5.0,Erica mirabent,"Reviewed in the United States August 19, 2019","









  
  
    
  What a great little gadget this is. It does everything a regular oven does and more. I am thrilled that I can get the perfect grilled cheese sandwich in only minutes. My kids are into melted cheese in their sandwiches as of late. I am happy I can throw some in the over while I get them ready for school. It gives me the peace of mind that they have a good breakfast on their way to school every morning.

  
",
1,577,"







  
  
    Compact and stainless steel finish
  
",3.0,r2spaceguy,"Reviewed in the United States September 3, 2019","









  
  
    
  I like that is doesn't take up much space on the counter and it is sleek and well built. What I don't like is that the controls have very small print and some are grayed out which makes them very hard to read. I had to bend over and get up close to see them at all when i first got it. Knobs are still and hard to turn and it takes longer than i would expect (from a previous toaster/oven) to toast a piece of bread or muffin. Only used for toasting, no baking yet.

  
",
2,557,"







  
  
    Takes way too long to make toast
  
",2.0,Beth Martorano,"Reviewed in the United States September 27, 2020","









  
  
    
  I never write product reviews but am compelled to do so so that others are aware of what to expect. It takes 2 cycles on the “dark” toast setting to make toast which ends up taking way too long (well over 7 minutes) and by then the edges of the bread get burned. You also have to be careful when opening The oven doors because you can easily get burned where the handle and the oven door meet.  I would not recommend this toaster oven.

  
",
3,983,"







  
  
    takes for ever!
  
",1.0,Amazon Customer,"Reviewed in the United States January 14, 2019","









  
  
    
  after 15 minutes of making toast I had warm bread.  took 22 minutes to make 2 light brown pcs.  NOT REAL HAPPY, I'm sending it back and will stick to a brand name I know!!!

  
",
4,750,"







  
  
    The little toaster that could
  
",5.0,Kerrri L. Jaeger,"Reviewed in the United States July 7, 2020","









  
  
    
  This is a great product. It's small and doesn't take up much space yet it does so much. Great to make toast or beagles they dont get stuck . Heats up left over pizza and its not soggy. And i don't need to turn the big oven on.

  
",
5,599,"







  
  
    I love this toaster oven
  
",5.0,David peek,"Reviewed in the United States March 3, 2019","









  
  
    
  I love that this toasts items, I always want my pizza or subs extra well done and this allows me to do so without cooking everything extra long. The tray is easy to clean even with melted cheese and bbq sauce on it. I threw my regular toaster in a cupboard and use this bad boy instead. Kids love that they can cook pizza rolls and bagels in it quickly too. No complaints and I dont see this moving off of my counter anytime soon.

  
",
6,574,"







  
  
    Really nice Toaster Oven
  
",5.0,Ftelang,"Reviewed in the United States July 7, 2020","









  
  
    
  I went to target and walmart  Because of COVID supply of toaster ovens are down, all the good ones are not available  I am Austrian by descent and have a Mueller French Press so I knew the quality and materials used would be top of the line  I was not diappointed  Tremendous heat capacity and design allows for even toasting  Setting the temp of the toaster to a range of intensities adjusts the quality of the toasting  Great product, better than any of the common chinese made ovens

  
",
7,182,"







  
  
    Disappointed by this ""great"" product
  
",3.0,Goldie Klein,"Reviewed in the United States August 28, 2019","









  
  
    
  I read so many positive reviews, I thought I was getting a toaster oven to end all toaster ovens.4 pizza slices? Baby slices, maybe? It barely shuts on 2 regular ones.Neither the rack nor tray fit into the frame. The tray can only be used on the rack, which barely fills the frame - each time I pull it out it drops. I'm surprised it stays put while baking!And while the timer is a great feature, why does it take more than 10 minutes to reheat frozen pizza? I find it's very slow.

  
",
8,785,"







  
  
    Toaster Oven is working Great to heat up leftovers for the kids.
  
",5.0,Amazon Customer,"Reviewed in the United States February 2, 2021","









  
  
    
  I am using this to heat up leftovers for the kids. We do not use a microwave and this meets are needs to reheat snacks.  I am going to buy another one for our camper.

  
",
9,221,"







  
  
    Lousy build quality.
  
",2.0,David Robinson,"Reviewed in the United States October 3, 2020","









  
  
    
  VERY disappointed in quality of build. Purchased after reading positive reviews about ""Austrian"" quality. Haven't used 6 times and oven door no longer closes tightly. When closing makes grinding noise like it's 100 years old. Are you kidding me? So much for ""Austrian"" quality wouldn't say? Shame on Quality Control.

  
",
