,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Incredible value - coming from a tool snob
  
",5.0,Nicholas Bryan,"Reviewed in the United States May 13, 2018","









  
  
    
  So the “1 click” button finally bit me. This came to my doorstep and I had NO idea where it came from. My roommate had been asking about a super basic tool kit to be had cheaply. I guess I ordered it while scrolling. I have 6 full size tool chests (yes, standing ones) full and literally top of the top of the line tools. Yet I didn’t send this one back. Here’s why -I use a lot of tools. More even than most professionals. I’m a general contractor at work, and a woodworker and gunsmith and all around tinkerer at home.Why do I recommend this set to anyone who won’t desperately miss $20? Because these tools are just under the par of the basic/ok big box store regular tools. I’ve probably received 10-20 tool kits with cheap-from-China true junk. Like the kind that a lot of times won’t even get you by in a pinch. This is not that. I would describe these as a perfect homeowners kit. The steel in these tools is impressively hard, particularly in the bit set. I broke, damaged, or generally rendered unusable 6 screwdrivers in the month of April. The bit set included with this is higher quality and harder than any no-name brand you’ll find. The Allen wrenches are slightly less hard than most of my others, but by design, Allen keys aren’t going to take on too much damage.For a homeowner that sticks to putting together furniture, hanging things, maybe a little appliance work, etc, you can’t go wrong here. If you know what you’re doing you could even do a bit of light duty mechanic work. Add a drill and a saw and you’ve got some incredible versatility here.This kit is set up to cover as many bases as possible in as little pieces as possible. For instance, instead of including a metric and SAE set of sockets, they include the odd SAE size that would be the metric. I wish a lot of my more expensive tools would do this (in some cases). Same with the Allen keys. They don’t include a 6mm Allen key. A common size. 1/4” is typically too big, but they do include a 6mm hex bit which would take its place.If you can only have one tool or tool set for twenty bucks, make this one it - you won’t be sorry.

  
",Size: 148pk
1,1,"







  
  
    Perfect for a weekend warrior, coming from a tool dude.
  
",5.0,Edward S,"Reviewed in the United States November 24, 2017","









  
  
    
  Not high end but why would you expect it for the price? I've spent years around high end tools and when I moved, I couldn't bring my stocked tool chest with me. I needed something to have handy for when small projects popped up and this set does the job. Yeah, eventually I'll upgrade or send my tools across the country but for now, this set suffices. Perfect for the weekend warrior. I've used it to hang my flat screen and to tear apart my PS3 to clean it out. A set that doesn't advertise for more than it really is and for that I can respect it.

  
",Size: 148pk
2,2,"







  
  
    There is a tool for just about everything
  
",5.0,ET,"Reviewed in the United States May 17, 2018","









  
  
    
  I was looking for a mini tool set to use around the house for a few renovation projects. I looked in the store and online. I came across Cartman 148- piece tool set. I usually use craftsman and I didn't want to waste any money. After researching this, I decided to purchase this tool set. I am glad I bought it. The case is small and can be stored anywhere securely. No worries about anything falling out. It has a basic tool just for about anything you need depending on the work that you are completing. I have used it to tighten up screws, hang boards on the wall, and take apart/assemble a faucet. So far so good. I like it. I did not have to spend much on this. It was at a great price. I would recommend this if you are looking for tool kit to get you started or just to have around.

  
",Size: 148pk
3,3,"







  
  
    Missing tools...so beyond !
  
",1.0,alisa,"Reviewed in the United States July 16, 2020","









  
  
    
  My friend picked this out for me Bc I’m a real girly girly and I have no idea how to build anything! Recently single I needed a toolbox but had no idea which one would be good. There are literally so many options. It just made me more confused lol I just needed something simple to build some things around my apt. I was content with my friends choice ( this one) even tho I’m not a fan of orange I felt like it was a good price for things I would def use. Unfortunately when I received my package I opened it to discover a lot of tools were missing ! I even had to come back on here to double check it wasn’t an error on my part and those items weren’t included. But no they shipped me a tool box with missing tools lol I couldn’t believe it my first tool box was a fool box lol long story Short I Sent it back Im still waiting for my refund & I still have no tools. Disappointed is a understatement.

  
",Size: 148pk
4,4,"







  
  
    Great starter set!
  
",5.0,K NicholsTop Contributor: Pets,"Reviewed in the United States October 13, 2019","









  
  
    
  Gave this to my daughter and her boyfriend as a house closing gift. It’s their first place and, as I told them, it’s handy to have a good set of tools for all those little things that come up as a homeowner. It would take time and money to piecemeal together the tools in this set. I know how many times I had to run out to buy a tool to fix a single problem!This is a nice sturdy set in a great compact storage case. They should be able to grab the case and find the tool they need to fix most any minor household problem. Having so many tools in one case will reduce the number of times you grab a single tool out of box thinking it’s what you need to fix something only to find out you need another tool or an additional tool! (Can you tell that I’ve suffered my frustrations doing this more than a few times? 😉)The tools seems durable and comfortable to use (we just pulled things out and played around with a bit). Over time, they may need to supplement this with heavier duty tools for a project but this should serve them well for years to come.I looked at a few sets online and in local stores but for the sheer number and variety of tools in this set, and the price, this was by far, the best value!Highly recommend this set for your basic household needs. The kids were really pleased to get this. It seems silly but most people get new/first-time homeowners pretty things (and I will when they finish renovations and move in) but this is a great gift that anyone would be grateful to have when some random thing needs fixing!

  
",Size: 148pk
5,5,"







  
  
    with good quality material
  
",4.0,SHABU,"Reviewed in the United States July 11, 2018","









  
  
    
  The choice of tools in this set is really helpful and it is made.with good quality material.

  
",Size: 148pk
6,6,"







  
  
    Shockingly excellent quality tool kit for around the house
  
",5.0,,"Reviewed in the United States November 22, 2019","









  
  
    
  These aren't super high quality, but they aren't intended to be. They are inexpensive and will get the standard household jobs done. A good assortment, especially for those of us that tend to misplace screwdrivers and pliers all the time. They are surprisingly strong, but obviously not premium quality. A great set for most people.

  
",Size: 148pk
7,7,"







  
  
    A kitchen lifesaver
  
",4.0,Ida Jean Anderson,"Reviewed in the United States January 8, 2018","









  
  
    
  This ""kitchen"" tool box works for me, however, I wish it included a small level. I was comparing tools with a level and this Cartman with a box cutter. I went for the box cutter and hoped I could ""eye-ball"" the picture hanging. The box the tools are in could use some upgrades and a little better design but it stands between my refrig and wall quite nicely. The tools themselves are quality as Cartman always is.

  
",Size: 148pk
8,8,"







  
  
    Nice starter tool set (see details).  Recommended
  
",4.0,,"Reviewed in the United States October 19, 2020","









  
  
    
  I got the Cartman 148-Piece Tool Set as a housewarming/starter set for someone moving away from home for the first time.  The tools are ok, for the most part.  I think a single, adjustable wrench, and a ratcheting screwdriver handle (instead of the solid one).  The tape measure is a bit of a toy, but works in a pinch.  The tools that will probably be used the most (screwdrivers, hammer, and pliers) have comfortable grips.  The case is decent, with no worry that the closures will fall off anytime soon.  A really nice touch is that there's box of screws, nails, and wall anchors.  Recommended

  
",Size: 148pk
9,9,"







  
  
    Great for a college dorm
  
",4.0,Alex R.,"Reviewed in the United States July 19, 2019","









  
  
    
  I needed a set of tools for minor projects here and there in my college dorm.  This toolset works perfectly for that.  If you wanted a collection of tools for more serious projects, or for bigger handyman jobs, then you definitely will want something a little more expensive.Not that this is a big deal, but a little bit of the finish (and I think the metal too) has worn off from both the screwdrivers after using them several times.  They still work fine, but I wonder if the ends will become stripped eventually.Anyway, fantastic value.  Highly recommended if you need some tools for some minor projects here and there.

  
",Size: 148pk
