,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Buyer Beware! You CAN use your treadmill without registering with iFit. Don't get scammed!
  
",1.0,Amazon Customer,"Reviewed in the United States March 9, 2019","









  
  
    
  Buyer Beware!After setting up your treadmill and turning it on, the screen will say ""Go to iFit.Com and register to activate."" It will appear that you need to sign-up for iFit to turn on your treadmill. iFit will ask for your credit card and will start a free trial, after which you will be AUTOMATICALLY charged $15.00 a month.You can get around registering for iFit, but NordicTrack does not state this anywhere in the manual and the packaging says you cannot start your treadmill before registering with iFit. This is predatory, and I actually think criminal behavior on the part of NordicTrak.TO GET AROUND THIS SCAM, hold down the iFit logo on the treadmill for 30 seconds and your treadmill will work. I hope this helps people from being forced to give out their credit card and personal information.

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
1,1,"







  
  
    SCAM
  
",1.0,Gary Tucker,"Reviewed in the United States January 2, 2019","









  
  
    
  I just got my NordicTrack T 6.5 treadmill today. I had it professionally installed. The installer told me that it is impossible to activate the machine unless you go online to ifit to register the product. Once there the wanted me to give all my personal info, give my credit card information, download their app, and signup for ifit that cost $180 per year. The installer convinced me to sign up and said I can cancel anytime during the first month for free. Feeling like I didn't have a choice I went ahead and signed up. After the installer left I decided to go back in and cancel iFit. First I tried to go to their website to cancel and could not find a link anywhere to cancel. Next I tried calling them and got put on hold for 30 minutes. I finally hung up and decide to try their chat. For the next 1/2 hour I kept getting messages saying ""Thank you for your patience while we connect you with the next available agent."" After a half hour of waiting I decided to try the phone again. After being on hold for another half hour I finally got through they told me they prefer I go online to cancel. When I asked them where the link was to do that he said he wasn't sure. I finally got them to cancel over the phone. It only took about 2 hours all total. I am beginning to think this is a scam and am considering just sending the treadmill back to Amazon.

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
2,2,"







  
  
    This thing is almost perfect!
  
",4.0,Angel,"Reviewed in the United States August 11, 2017","









  
  
    
  I would of given it 4.5 if I could. Let me start by saying that I am more than satisfied with this treadmill. Some people were saying that this treadmill was only good for fast walking or light jogging. This is absolutely inaccurate. The speeds are 1-10 and most of the time I can't even go past 6 for my fast jogging. I also read people saying that you couldn't increase speeds in increments, another inaccuracy, you absolutely can! Incline is very good, solid, and responsive. I feel as if people are trying to knock this perfectly solid treadmill to make way for newer models.OK, so it doesn't have fans, or TV screen, or a doughnut maker. Really people? Are you here to get a good workout or watch TV? Most of the time I use my phone for music anyway, that way I can have the music blasting in my ear. My basement is perfectly cool for my treadmill and if necessary I could always just put a standing fan in front of it. I agree that the panel speakers suck. Use earphones or your stereo, problem solved.The cup holders are nice and large to put your keys, watch, socks, if you like running barefooted like an animal, cellphone, or your Big Gulp drink that you got form 7-Eleven.The panel has plenty of options to keep track of all kinds of stuff. Honestly I only use time, or distance, but I understand it's cool to have little preset workouts and other options. I might want to keep track of how much lard falls of my body one day with the calorie option.I guess my light humor comes from the fact that I got such a great deal for such great quality and competent treadmill :) .

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
3,3,"







  
  
    No shaking. Sturdy. Quality product.
  
",5.0,Mayra Hernandez,"Reviewed in the United States April 23, 2018","









  
  
    
  I had a tough time deciding on treadmill. I was looking into the 200 price range but every time I read a review they said things like ""don't try to run on it"" So I kept raising the price range until I found one that I was able to find the qualities I was looking for. I wanted something that you could run at least 10 mph on and had an incline but not a manual one, and also a fold up one because it would have to be placed in the living room. I read a review on this treadmill that convinced me this one was the one. I am 5'2 and 196 lbs. I used to be a runner but then I had kids. Between work, kids and making dinner I found little time to exercise. Now I am so happy I made the choice of buying this treadmill. This treadmill is well made and sturdy. It does not shake when I run and is easily portable. When it was delivered I had to schedule to be there because it needed to be signed off by the delivery company. They brought it into my house in a very large box. It does take 2 people to assemble because someone has to hold the console piece while you connect the one wire. It took about 30 minutes to assemble. My husband did most of it with no difficulties. After plugging into the wall there is a switch at the bottom in the front that turns on the treadmill. The first week I received it I ran 20 miles with a 4.5 mph. No problems so far. I am extremely happy with this purchase.

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
4,4,"







  
  
    Died 20 minutes after professional installation. (UPDATED)
  
",1.0,Sammyk,"Reviewed in the United States July 24, 2017","









  
  
    
  I bought this for my mother, it arrived on time. No issues. I paid for the expert installation, which we had no problems. 15 minutes after the technician left, the thing stopped working. Of course I was at work, so when this occurred my mom did not know what to do. She called the tech back and he confirmed he could not figure out why it stopped. Later that evening I stopped by my moms house to see what the story was. Everything seemed to work except the belt. Now I have to call NordicTrack and see when they can send someone out. Amazon, is pretty good about offering solutions as far as returns.I was given 3 options.1. Call Norditrack2. Have a local repair person fix it, and they would refund me $120.003. Complete refund on both the unit and shipping (I would assume the 3 year maintenance plan).I am giving this 1 star because despite some of the good and bad stories, there should be no reason why this thing should have died.I am hoping I get a quick response tomorrow and we can work from there.I will update as we go along.***************UPDATESo it was initially decided that the motor was broken on the machine by the technician who was dispatched about a week later. It took about 2 weeks to receive another motor. Add a few days to dispatch another tech at this point we are talking almost a month since the machine has arrived. (I was actually contemplating of just doing a return because it was nearing the time to pay the charge on my credit card.) Back to the story, so the tech shows up, we have the new motor, and an excited mom, I then find out that its not the motor, but the control panel. Again back to square one, another 2 weeks for delivery. Again a couple days to dispatch a technician once the part arrived. Tech arrived installed the new control panel and the machine runs, and hasn't had a problem since. Its been working with no issues for about 2 months now. Mom is happy, but I'm not really sure it was worth it. At this point I can't recommend purchasing this unit through this sales channel. Amazon was perfect but I don't know if it is Norditrack, the warehouse who holds this equipment, XPO who ships this equipment, the tech who installed this equipment... bottom line... a product was purchased for over $700 and it didn't work for almost two months from the day the transaction was completed. We weren't given anything for our troubles. Yes we weren't told ""oh well sorry no refunds, all sales are final"", we were offered a refund of $120 if we decided to let Norditrack off the hook and go with a local repair person, but there was nothing saying ""we are sorry for what happened, the month and a half that was lost will be on us"" (the company that failed to delight you as a customer). The only power as a customer is a review, to forewarn others of such an awful experience.I work in the customer service industry, so I know how hard it can be to please customers. In this case, the product offer and the services to support it were abysmal.Sincerely,Sam K.

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
5,5,"







  
  
    Nice but squeaks very loudly!!!
  
",3.0,MsBitters,"Reviewed in the United States August 2, 2017","








  
  Your browser does not support HTML5 video.










  
  
    
   Great treadmill! Gets the job done. I had it assembled via Amazon because I didn't want to take any chances on messing it up.I will say it super squeaky. I'm not sure why. My previous (much cheaper) treadmill didn't squeak. Not really sure what to do to remedy this.

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
6,6,"







  
  
    The free iFit membership ISN’T FREE!!!
  
",3.0,Stacey Brewer,"Reviewed in the United States January 31, 2019","









  
  
    
  The machine is great and delivery and set up went very smoothly. HOWEVER, the claim of a free 1-year iFit membership is FALSE! After getting the run around from NordicTrack and iFit, I called Amazon Support. Here’s the deal: the CUSTOMER PAYS UPFRONT FOR THE ONE YEAR IFIT MEMBERSHIP AND THEN SUPPOSEDLY CAN CANCEL A YEAR LATER AND GET THEIR MONEY BACK! To me, that’s a $396 gamble. NO THANKS!!

  
",Display Size: 7 InchesStyle Name: T 7.5 S Treadmill + 1 Year Membership
7,7,"







  
  
    Shocked that this is considered Amazon's Choice! Read before you buy this!
  
",1.0,Amazon Customer,"Reviewed in the United States January 16, 2019","









  
  
    
  I will start with the main reason why you should not buy this treadmill before going into details.NordicTrack deceptively makes you believe that the treadmill will not work unless you sign up for their iFit program requiring your credit card and other info. The info on how to bypass is not found anywhere in there manuals, their website, youtube or google. Shameful strong arm tactic. After you give them your credit card number then they will tell you to HOLD DOWN THE IFIT BUTTON FOR 30 SECONDS. I found this out after hours of trying to figure out of how to avoid giving them my credit card number.After I signed up, I called the next day to cancel the subscription and was on hold for 64 minutes before the call was disconnected on their end. The second call , I held for about 50 minutes before I hung up. The 3rd time I called when they first open and held for 15 minutes before someone picked up.Extremely disappointed that this is Amazon's Choice. Purchased this treadmill based on the fact that is showed Amazon's Choice. Assembly date had to be rescheduled a couple of times, finally came on a Sunday about 4pm. Assembly guy was a good guy, not his fault. He let me know that the cover to the motor was broken. I am now on hold 35 minutes and 52 seconds trying to get a replacement.

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
8,8,"







  
  
    Totally defective NORDIK TRACK DOESNT WANT TO FIX IT
  
",1.0,dealseeker,"Reviewed in the United States February 25, 2017","









  
  
    
  If I could give it a zero I would. I received this machine defective. It will not work. My husband and I assembled the machine exactly how the instructions stated. Its no damn cake walk either. A lot of the parts were built improperly so they did not fit together very well. It took a lot of pressure to get the parts to come together appropriate enough that we could insert the screws. One of the bolts I got was completely welded over the on the head and I could not use it at all. After we got the machine together and went thru the set up process, the machines belt was not moving at all. We called Nordic track customer support he said the control board was bad. SO we waited a week for parts, replaced the board and went thru the setup and calibration process, Still did nothing....Called customer service again, now they are saying its the wire leading from the board to the console.... which means we have to take the entire machine apart and replace the wire and set it up all over again and to be honest they don't even know if that's it... If it isnt that part they send a different part in the mail. If I want a tech to come out I have to wait till he calls me to schedule a day. The whole process takes a week or two. Do this three times and it's just not worth the time and energy. I just paid a lot of money for this machine and here I am rebuilding the whole thing. Nordic tracks customer service and warranty is a joke!!!!! DONT BUY FROM NORDIK TRACK! Here we are with a broken machine due to no fault of our own and no one is willing to get their butts out here to fix it or replace it.UPDATE: THANKS TO AMAZON IM ABLE TO RETURM THE MACHINE FOR A FULL REFUND. THEY ARE SENDING OUT THEIR DELIVERY GUYS TO COME GET THE MACHINE, I DONT EVEN HAVE TO BOX IT BACK UP! THANK YOU AMAZON!!!!!!!

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
9,9,"







  
  
    Excellent Value!
  
",5.0,Megan Ruth Lancaster,"Reviewed in the United States October 6, 2018","









  
  
    
  This was my first large treadmill purchase and I was a bit reluctant to purchase such a beast of equipment online without first trying it in a store. To add to the excitement, I decided to opt for basic front door delivery with Prime and put this machine together without professional assistance. I ordered the treadmill on a Friday afternoon and received the package the following Tuesday. It was packaged extraordinarily well and arrived on a wood pallet. This thing is HEAVY - but my husband and I were able to move it with minimal issues (moving coasters helped!). As for putting it together, my husband was able to accomplish this in about an hour and a half by himself. He was surprised at how straightforward the assembly was, although quickly admitted that it was definitely a two person job. Once we remembered to put the red magnetic key in the front of the machine, we were in business! This is a very well made piece of equipment that operates beautifully at the highest of inclines and at all available speeds - and it is STURDY. We are very happy with this purchase. Thank you Amazon and NordicTrack!

  
",Display Size: 5 InchesStyle Name: T 6.5 S Treadmill + 1-Month iFit Membership
