,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,408,"







  
  
    Nice t shirt
  
",5.0,shah,"Reviewed in the United States October 14, 2020","









  
  
    
  Soft and fits perfectly

  
",
1,352,"







  
  
    Fit as expected, no problems.
  
",5.0,Thurman K Patterson,"Reviewed in the United States February 1, 2021","









  
  
    
  Needed a few free quickly, fit was pretty good! No problems.

  
",Size: XX-LargeColor: Light Steel
2,340,"







  
  
    100% cotton, get one size larger. Beefy, soft. No pockets.
  
",5.0,Stefan Karakashian,"Reviewed in the United States May 25, 2018","









  
  
    
  I ordered two t-shirts, different colors. They’re beefy, not the thin fabric. The grey one was slightly large, I wear XL/ Tall, which is perfect. The chocolate colored one was identical but just fit. It’s actually a little tight. But, they’re 100% cotton. An undersight on my part, I should have gone with 2XL to allow for shrinkage.

  
",Size: SmallColor: Smoke Grey
3,365,"







  
  
    Shrinkage
  
",1.0,rob brown,"Reviewed in the United States October 17, 2020","









  
  
    
  These shirts shrink very easily, probably two sizes smaller after washing.

  
",
4,201,"







  
  
    Great basic tee
  
",5.0,B. Rivera,"Reviewed in the United States May 3, 2020","









  
  
    
  Nice fabric weight, not too thick or thin.  Great standard tee for my husband.  Only complaint is that there was a tiny yellow dot on inside of collar.  Its not noticeable when wearing it so we kept it.

  
",
5,193,"







  
  
    Not What I ordered.
  
",1.0,Gravy_N_Cheese,"Reviewed in the United States December 13, 2020","









  
  
    
  This shirt came with a pocket and does not work for the screen printing as intended. The photographed item did NOT have a pocket. Will have to rush order from another company.

  
",Size: MediumColor: Smoke Gray
6,374,"







  
  
    Is good thick material, htv went on perfect
  
",5.0,Steffanie,"Reviewed in the United States September 8, 2020","









  
  
    
  Made a shirt for my friends uncle. He loved it. Great quality. Would buy again for the price.

  
",
7,130,"







  
  
    great product, good quality perfect fit.
  
",5.0,TVByDemand,"Reviewed in the United States October 24, 2020","









  
  
    
  I bought these for my step son who needed them for a new job and he loves them. fits great, not too tight not to baggy and perfect density. After washing them twice they have not faded or shrunk or stretched out, holds thier shape well too.

  
",
8,386,"







  
  
    Great quality. Nice price.
  
",5.0,Paul C. Williams,"Reviewed in the United States August 1, 2020","









  
  
    
  Perfect softness. Comfortable. Nice fit.

  
",Size: LargeColor: Fatigue Green
9,25,"







  
  
    Seem smaller than expected
  
",3.0,Botchulism,"Reviewed in the United States June 1, 2020","









  
  
    
  I normally wear a women's small or medium t-shirt. I wanted something to wear around the house that fits over my Lands End sport knit pants and capris. These Men's Beefy medium t-shirts (I bought five different colors) had fit nicely and were a bit loose before I washed them. I used cold water and low dryer temp. After washing and drying, the shirts all shrank at least an inch all over and now the chest/shoulder area is tight and the butt area is tighter. Also the bottom seam flips up and won't stay flat. I guess they are ok for the price. The cotton is not soft and is slightly scratchy. Two shirts arrived with tags, the others were tagless. I'll probably have to wear them with regular shorts and tucked in rather than worn as overshirts. I'd size up next time.

  
",
10,265,"







  
  
    Comfy and doesn’t fade
  
",5.0,Marina,"Reviewed in the United States May 10, 2020","









  
  
    
  I use these shirts to design on and continue to repurchase bc they are so soft and amazing! They don’t shrink, color doesn’t fade, and they’re comfortable

  
",
11,191,"







  
  
    Good quality T at a reasonable price
  
",5.0,J. E. Hoffman,"Reviewed in the United States September 11, 2020","









  
  
    
  I bought these Ts to use as undershirts in place of Hanes shirts marketed as underwear because they are about the same price and are much heavier and better made. I am pleased with them and will buy again.

  
",
12,132,"







  
  
    Best as an undershirt, buy one size up!
  
",2.0,Steve,"Reviewed in the United States October 25, 2020","









  
  
    
  Initially I liked this shirt right out of the packaging. One wash later, it shrank a lot and looked really worn. I wanted as a simple outter t-shirt. If you decide to take a chance on it as an undershirt, make sure you get one size up.

  
",Size: SmallColor: Deep Royal
13,20,"







  
  
    Comfortable and thick, just what a guy wants in a shirt.
  
",5.0,Tely,"Reviewed in the United States November 16, 2019","









  
  
    
  I bought this shirt as a test shirt to see how it fit and how thick it was.This shirt has become my go-to work shirt. I work in the medical field and in a cold environment often. My PPE keeps the bad stuff off me and these insulate me from the PPE. They're nice and thick compared to most shirts and the cost is low enough that if I tear it's cheap enough to throw away and buy another.I've found them thicker but at about 3x the cost these are far superior. The best part about finding these work shirts is they're so comfy and soft I can wear them on my off days and still get told how soft they are.Buy one and watch how fast you reorder a bunch more. I dare you.

  
",
14,92,"







  
  
    Ordered a 2XL this time and it’s perfect after washing it
  
",5.0,Gary Reynolds,"Reviewed in the United States April 11, 2018","









  
  
    
  I had an XL before because I wear that in other shirts, but it was way too small.  Ordered a 2XL this time and it’s perfect after washing it.  Was a bit too long, but the length reduced a bit after washing.I usually buy Soffe t-shirts because they are a good, heavyweight t-shirt, but their black ones tend to fade to dark gray over several months.  The Hanes beefy t’s seem to stay darker longer without fading.  I’ve also noticed the knot collar on the Soffes becomes frayed after a few months, but my Hanes beefy t’s collars don’t do that, even after many years.

  
",
