,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,97,"







  
  
    It leaks!
  
",1.0,R. Thibodeau,"Reviewed in the United States May 23, 2019","









  
  
    
  Well, this is a first for me - my umbrella actually leaks!I don't know if the photos are clear. The first one shows water on the insider of the umbrella. The second shows a patch near the rib where the fabric is worn thin (there are several of these in other locations too).I've lost umbrellas, had them turn inside out, found them uncomfortable to hold, and had them just plain break. But this is the first one that's ever leaked. Even in fairly light rain I ended up arriving at work with my hair, face, and glasses all wet.I bought it in Feb. 2018 and it sprung a leak a little over a year later. Very disappointing for a top-rated product.

  
",
1,51,"







  
  
    Impressed!
  
",5.0,Rick C.,"Reviewed in the United States May 9, 2019","









  
  
    
  For the price this umbrella is a bargain. Sturdy and strong. it's a keeper!

  
",
2,148,"







  
  
    Mini umbrella that is hard to close
  
",1.0,Mariel,"Reviewed in the United States November 8, 2019","









  
  
    
  This is a miniature umbrella that is very hard to close. The handle is very short and the diameter too small to keep rain away. The auto-open works fine but it is a real struggle to close. The only pro is that it is small enough to fit in a purse or the cubby of your car. However, I have had equally small umbrellas that opened up to full size, so I can't even recommend it based on its small form factor. Two thumbs down.

  
",
3,72,"







  
  
    good umbrella; not a super long life
  
",4.0,Athanasios,"Reviewed in the United States November 16, 2018","









  
  
    
  The umbrella is amazing. Super easy to use (the spring loaded mechanism is wonderful and super convenient), but I'm not sure it lasts quite as long as they claim. I've had it for over a year now, and it's definitely showing signs that it's beginning to give out. The metal spines are looser, it doesn't pop open as energetically, and the velcro strap that holds it together when not in use is starting to wear out and loose it's grip. Having said that, $20 for a product that lasts a full year of Boston weather and still has juice for another half a year to a year before giving out isn't a bad deal when you think about it. Overall, I recommend it.

  
",
4,101,"







  
  
    Very good for the price. Does show its age faster with regular use.
  
",3.0,Talia,"Reviewed in the United States December 1, 2019","









  
  
    
  I had this umbrella for a while (I think 2 years??) I've used it quite a lot (I live in Boston). It never developed holes and even when one of the spines of the umbrella became wonky, it still extended properly. I'm only looking for a new one because I left it at a train station.It definitely inverted in a gust of wind, but held up well to minor wind.Pros:- definitely holds up to a beating better than other umbrellas.- it's wind ""resistant"" not proof.Cons:- inverts at a 30+ mph gusts just like every other umbrella. Doesn't seem to break it at least.- the Velcro strap was getting pretty worn out, there was rust, the spines had gotten a little wonky from snagging the umbrella on something. Still it lasted a long time and even with that was functional.- honestly the biggest problem is I just found it too damn small. I'm a bit doubtful of their dimensions but I guess if they're measuring over the top rather than the space underneath that might be plausible. Some part of me was always getting soaked.

  
",
5,210,"







  
  
    Mediocre not worth the $
  
",3.0,KWyatt,"Reviewed in the United States February 18, 2020","









  
  
    
  I’ve only had this umbrella for a month now and regret buying it. I unfortunately can no longer return it and honestly disappointed in that. I spent $16.55 for a less than decent umbrella I use to have one I paid $12 for and lasted for years and was huge so this was a complete disappointment. It’s small to start with and barely covers much and is difficult to close I’ve never had an issue with any other umbrella when it comes to closing the thing. It is compact so it fit well in my large purse and light weight but seriously hard to close and I feel like a dummy when trying to fight it shut. 🤦🏽‍♀️ I would recommend buying another umbrella. It’s not worth the hassle and price point. It’s a mediocre umbrella for a price that I believe is too much.

  
",
6,288,"







  
  
    So far so good.
  
",5.0,dtobisk,"Reviewed in the United States June 4, 2019","









  
  
    
  I’ve only needed to use this new umbrella a couple of times, and not in particularly windy conditions, but so far I’m completely happy with it. It opens and closes easily and seems to dry quickly. I’ve had to ditch a couple of other umbrellas recently because the mechanism that is supposed to keep them closed stopped working or worked only with great difficulty, which is why I bought this one. Time will tell about its sturdiness and longevity, but I’m optimistic about it.

  
",
7,180,"







  
  
    Extremely disappointed with the durability of this product
  
",1.0,Amazon Customer,"Reviewed in the United States January 28, 2019","









  
  
    
  Given the price, great reviews, and advertising associated with this umbrella, I truly expected a superior product capable of withstanding wind. After over a year of use in New England, I can confidently say that this umbrella will not hold up against strong winds. Your hand and wrist will ache from holding on to the flimsy frame and you will inevitably get turned inside-out repeatedly. I am fed up with this unreliable product.

  
",
8,118,"







  
  
    A great umbrella for the price!
  
",5.0,N.L.T,"Reviewed in the United States February 1, 2021","








  
  Your browser does not support HTML5 video.










  
  
    
   The Repel Double Vented Windproof Automatic Travel Umbrellas with Teflon, Black is great.I am not sure if a different company has manufactured it differently, but it may look a bit different from other photos. Nonetheless it is a very sturdy umbrella, fits well in my hand, and I too also enjoy the automatic open with the button on the handle.For the price it will be a great travel umbrella small enough to fit in any carry on.I’d recommend this to anyone in need of strong, sturdy umbrella that won’t break the bank or your pocket.Follow me on IG: @nltpro(I leave wonderful reviews!)

  
",
9,329,"







  
  
    This is the only umbrella you'll need
  
",5.0,Cecilia S.,"Reviewed in the United States April 18, 2019","









  
  
    
  I purchased the Repel Windproof Travel Umbrella in September 2016. I have several umbrellas but the Repel umbrella is my go to and favorite umbrella. It's been durable in wind and rain so I was truly upset when a spine broke last month (March 2019). This umbrella is so great I was ready to purchase a replacement but fortunately the Repel comes with lifetime replacement guarantee so I contacted customer service. They responded quickly and sent me a replacement. The Repel umbrella is a solid buy and their customer service is excellent.

  
",
