,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,398,"







  
  
    Exactly what I wanted. Worth a buy.
  
",5.0,Misanthrope7,"Reviewed in the United States December 5, 2019","









  
  
    
  This is exactly what I wanted for a long time. That would tell me to getup and walk when I have been sitting for too long. That would stop me from overdoing the exercises when my heart rate goes up too high. That can even monitor my sleep and breathing. Has a fair battery life. For me one charge every other day. Comfortable to wear. Has some pre-designed exercises that it walks you through and teaches you the proper form and duration/sets. Overall very well worth a buy.

  
",Size: 44mmStyle: BluetoothColor: Black
1,439,"







  
  
    piece of garbage
  
",1.0,CHERIE ODONNELL,"Reviewed in the United States August 24, 2020","









  
  
    
  I bought this watch in May. It worked for one month and wouldn't charge or turn on anymore. Sent it back to Samsung and they wanted to charge me $216 to fix it. They said the waterproof watch had water damage and not covered under warranty. I'll never buy a Samsung product again. Waste if $350.

  
",Size: 40mmStyle: BluetoothColor: Silver
2,428,"







  
  
    Fitness watch
  
",5.0,Sharon,"Reviewed in the United States July 3, 2020","









  
  
    
  This watch works well. I would like to see it have a second timer ability so I could use it when teaching my yoga classes and time each side to the same length of holds. But for my own personal fitness tracking it works really well. I notices when I am exercising if I forget to input or begin a workout. It reminds me to get up if I have been sitting too long. I can't seem to get used to wearing it while I sleep so I don't use it for sleep tracking.

  
",Size: 40mmStyle: BluetoothColor: Silver
3,77,"







  
  
    Classic Beauty & Functional
  
",5.0,Karen,"Reviewed in the United States November 20, 2019","









  
  
    
  02 December 2020: Review for the Galaxy Watch Active2 with a Galaxy S8 PhoneThis watch is holding up nicely.  No issues; the battery life has not been an issue at all.  I've left the watch in my purse for up to two days and the watch's battery was still providing power.  This is a lovely watch and a smart purchase.20 November 2019: Review for the Galaxy Watch Active2 utilized with a Galaxy S8 PhoneFirst, I want to mention, the Aqua Black color is exactly that.  I was hoping for a black watch but this watch is a dark blue, had I realized that, I'd have gotten a different color but I can't mark the watch down for my mistake.  Just know the aqua black is really a dark blue color.  Aside from this, the watch is beautiful, easy to set up, and works great.  In 7 hours my watch has drained from 100% to 61% battery life.  I don't feel that this is very good battery life.  I have not been heavily utilizing the watch or using it to control anything.  The watch is connect to my phone via Bluetooth and receiving a few notifications but nothing over the top.  The watch does have some nice watch faces that are classic and look great, the band was easy to take off to install a different band.  There are some nice features this watch has.  Overall, I am happy with my purchase.  I plan to review again in the future with battery life and how the watch holds up.

  
",Size: 40mmStyle: BluetoothColor: Black
4,290,"







  
    Excelente, aunque hay algo que puede mejorarse...
  
  
",5.0,Michael,"Reviewed in the United States January 6, 2021","









  
    
  Es un maravilloso accesorio para tu teléfono y un gran compañero si te interesa hacer deporte y der mas productivo, mide con presición gran variedad de actividades físicas y llevá un seguimiento de tu ritmo cardíaco, su diseño es muy bonito con cuerpo en aluminio y una pantalla espectacular, te permite contestar llamadas por medio de los parlantes y microfono integrado del reloj los cuales para ser sincero me sorprendieron por su calidad, tambien te permite responder mensajes por medio de dictado por voz o una intuitiva y amigable interfaz selectora de letras, sus correas de serie son muy buenas a primera vista se ven y sienten de excelente calidad, tiene varios sensores y entre ellos estan sensor de frecuencia cardíaca, giroscopio y tiene capasidad para hacer un ECG en ciertas regiones del mundo, tiene varias caratulas y fondos de reloj que permiten ver diferentes cosas dependiendo de tus intereses, en caso de tener un Samsung galaxy este es tu reloj ideal aunque tiene conectividad con practicamente todo android y iphone, aqunque tienes que descargar la app propia de Samsung, el unico inconveniente es la batería que aunque esta bastante bien, llegando hasta los 2 dias y medio de uso y es algo similar a lo que encontramos en su competencia el apple watch series 5, no es la mejor y aveces con ciertas aplicaciones no bien optimizadas la bateria se drena aun mas rápido, sientro que esto lo podrian Mejorar en verciones de actualización futura o en proximos modelos del reloj.

  
  
",Size: 44mmStyle: BluetoothColor: Black
5,229,"







  
  
    Who Says You Can't Be Active and Productive?
  
",4.0,leroy mcquay,"Reviewed in the United States January 19, 2021","









  
  
    
  I work in a nursing home, so washing hands is a must, and having a watch that is water-resistance is a must. The Galaxy Watch Active 2 is great when it comes to water resistance features. A water lock for locking the screen to not worrying about wrist calling someone or sending some message to a random contact. The ability to control music while walking or jogging is a good feature. Oh, getting notifications on the wrist makes it easier not to pull the phone out.The watch has made it easier to maintain a productive and active work day. The watch also provides daily briefings to provide updates on your day.I have not tried the sleep tracking feature much. However, I have given the heartbeat a try, and I have to say it seems to be decent with the tracking. I wouldn't go so far to say it is 100%, but close to 75%.I would recommend this watch to anyone who is active, productive, or both.

  
",Size: 44mmStyle: BluetoothColor: Black
6,376,"







  
  
    Amazing Android Smart Watch
  
",5.0,Ehmily Mikel,"Reviewed in the United States January 14, 2021","









  
  
    
  Love this watch! I recently swapped over from iPhone to Android and was missing having a smart watch. Overwhelmed by the large assortment of brands out there for androids I was hesitant on which ones were actually good quality. Struck gold here! I love the watch. Its comfortable to wear and I love the design of the straps. The tutorial makes learning how to use your new watch super easy. I've only had it for a few weeks but I'm in love! And the battery life is amazing!!

  
",Size: 44mmStyle: BluetoothColor: Pink Gold
7,284,"







  
  
    Fantastic Smart Watch - I Returned... Samsung phone users get the best experience
  
",3.0,Patrick,"Reviewed in the United States October 20, 2020","









  
  
    
  Fit, Finish, Form - Fantastic!Software - not great if you have an android phone that isn't made by Samsung. Tizen works best with a Samsung phone and some of the great apps aren't available to a non-samsung user.ECG - Not without a Samsung PhoneV02 Max - Not without a Samsung PhoneThreaded Texting - Not without a Samsung PhoneI therefore returned it despite the great price I got on Prime day and intend to try out WearOS.So if you have a Samsung phone I HIGHLY recommend this or the Galaxy Watch 3.

  
",Size: 44mmStyle: BluetoothColor: Black
8,253,"







  
  
    Useful and efficient!
  
",5.0,Archmagus,"Reviewed in the United States January 24, 2020","









  
  
    
  I am REALLY enjoying this, and it's my first smart watch. I got it for the sleep tracking as well as stress checker, reminders and calendar. It is so cool all this watch can do! Syncs up with my phone. Lets me read and send texts and show off pictures of my cats. Easy to set reminders and calendar events.I didn't think the alarm would wake me up since it's quiet and I usually set my alarms max loud and obnoxious, but it does! Very useful when you and your partner keep different hours and you don't want to wake each other up.The customizable faces are a lot of fun. Can be as creative as I want.

  
",Size: 40mmStyle: BluetoothColor: Black
9,288,"







  
  
    I wanted to love this watch....
  
",3.0,D Shipe,"Reviewed in the United States May 21, 2020","









  
  
    
  I really wanted to love this watch... I put in a lot of thought into the watch I was going to purchase. One of the main things that I wanted was the sleep tracker. I have had nothing but trouble with the sleep tracker on this watch. I kept thinking that maybe it was me. I have to clean the back of the watch and shut the watch off and turn it back on every night in order for the sleep tracker to work and then it doesn't work every time. Everything else seems to work fine on it. Regretfully, I don't think I would purchase this again. Just shy of $300 is a lot to pay for something that doesn't work the way it should.

  
",Size: 44mmStyle: BluetoothColor: Silver
