,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,0,"







  
  
    Been drinking sparkling water every day, straight, for over 5 years now.
  
",1.0,PhunGuy,"Reviewed in the United States September 14, 2018","









  
  
    
  Been drinking sparkling water every day for the last 5 years. We traditionally purchase it at the local wholesale store (the one that starts with a “C” & kind of rhymes with ‘yo-yo’) but gave this one a try back when it went on sale a few weeks back for like $14/case & bought 3X of them. Aside from upsetting our UPS delivery man due to him having to carry those heavy things & also having ordered 6X cases of that “Bubly” flavored sparkling water in cans which were also on sale, we’ve decided to not go this route again largely because they were flat!  ALL OF THEM!  Just now opened & trashed one of the last 3 bottles in the last case & I just can’t figure it out. Even the ones that had some carbonation right after opening seemed to go flat within the first 5 minutes. MASSIVELY disappointing & also bizarre as we switch between Pellegrino & Perrier every week or so.

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
1,1,"







  
  
    Flat
  
",1.0,Colby the Aussie,"Reviewed in the United States July 17, 2018","









  
  
    
  Ordered 10 cases of this water— it’s all vaguely flat. For comparison, we bought another bottle at the store— it was not flat. Must have been poorly stored or something. Pretty tough to return water...

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
2,2,"







  
  
    UPDATED REVIEW
  
",5.0,kb in Washington,"Reviewed in the United States February 1, 2018","









  
  
    
  We were buying the glass bottle version at the big-box store, but it is so heavy to tote home!  I convinced my husband to try these, and see how great it is to have the case delivered to our door by Amazon!  Yeah, we're both happy, and we don't have to lug the case of glass bottles home!  Win-win!UPDATE:  According to the Customer Q&A section the manufacturer says this water is 5.3 to 5.6 or so.  It says they  add carbon dioxide for the carbonation, which becomes carbonic acid when dissolved in water.  If  5.6 is correct, that makes this very acidic, which is not healthy at all--especially if you are eating acidic foods like we all do, like meats for instance.  Major bummer.  My husband loves this water and drinks it all day long.  I'm going to try to encourage him to add an alkalizer to the water, something like ""Ph10Max"", or ""AlkazOne"", both of which are available on Amazon, and are unflavored drops you can use to alkalize the water.  I'm not sure how well that addition will go with him or the water (don't even know yet if it will make the water go flat), but I'm going to see if he will try it.

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
3,3,"







  
  
    My favorite mineral water.  Tastes great and is good for you
  
",5.0,Rani Lueder,"Reviewed in the United States February 5, 2018","









  
  
    
  Oh my gawd, this is my very favorite of all the mineral waters.  So much better than Perrier.  I read somewhere in a newspaper health article that Pellegrino undergoes huge pressure for centuries, moving very slowly from one cavern to another.  I may describe it poorly, but it is really good for you (I take it to help my bones among other things) and it tastes great.I haven't spent a great deal of time trying to understand the issues, but there's pretty strong research that it's better for your health to eat alkaline foods  - or rather foods that are alkalizing.  The calcium and magnesium make this an alkaline food.

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
4,4,"







  
  
    Great water, good price.
  
",5.0,,"Reviewed in the United States August 8, 2016","









  
  
    
  What can I say. Compared to supermarket prices, if you have Prime, this is an excellent price for this water, better than and cheaper than Perrier. Only drawback is that San Pellegrino is now owned by Nestle... but the water comes from Italy, not California.

  
",
5,5,"







  
  
    2 were flat
  
",3.0,Jennifer E,"Reviewed in the United States October 18, 2016","









  
  
    
  I love san pellegrino, but 2 of the bottles in the pack had almost no carbonation. I understand one bottle being messed up, but 2 bottles in a package makes me wonder about storage and handling conditions in the warehouse.

  
",
6,6,"







  
  
    THE GOLDILOCKS OF SPARKLING WATER!
  
",5.0,FairyKat,"Reviewed in the United States May 12, 2017","









  
  
    
  I LOVE This Stuff... Has The Purrfect Amount & Strength of Bubbles!  And the large bottle stays bubbly through the 3 servings I drink over a day or 2!  NO MORE Zypherhills (or Arrowhead or whoever, depending on where you live)!  And if you Catch The Price at $13.98 (which I Always Do!), The Cost Cannot Be Beat!  OH, And, Delivery To My Front Door For Prime FREE... It's The Ultimate!  I Wish Prime included vacuuming At MY House!

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
7,7,"







  
  
    I prefer Pelligrino the most, I just realized after this purchase of a whole box
  
",5.0,JonTop Contributor: Pets,"Reviewed in the United States January 23, 2017","









  
  
    
  I drink all kinds of carbonated beverages.  Didn't realize I actually LOVE Pellegreno.  The carbonation is different than traditonal factory soda pop type.It's a tad less strong  carbonation, but it is just right and does not disapte the moment you unseal the large bottle.

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
8,8,"







  
  
    Pleased and will reorder when needed.
  
",5.0,Naynay,"Reviewed in the United States March 28, 2019","









  
  
    
  Quick 2 day prime delivery. Could use some cushioning inside the large shipping box for less movement of actual product box inside the large box it came in to prevent what I’ve read a few reviewers say regarding damaged box or broken bottles. I have added 5 photos. The product date is good 02-2020 and nothing is damage or missing in my delivery, so I’m happy! The price with taxes that I paid is $1.40 a bottle. Thank you amazon!

  
",Size: 33.81 Fl Oz (Pack of 12)Style: Water
9,9,"







  
  
    Updated review Now recommended -Terrible taste, not recommended.
  
",3.0,Acemicros,"Reviewed in the United States September 24, 2019","









  
  
    
  Update 08/25/2020I decided to give it another try and this time around the taste was excellent as expected and I am glad I gave this product a second shot this time around the taste is much rich and it feels like it's completely different product that the one I previewed before . When I received the box (24x16.9) and saw the expiration date of late 2020, I was happy but as soon as I tried the 1st then the 2nd that turned to disappointment., the whole case is bad.it tastes almost like you had the bottles opened in the sun for a long period then resealed, no gas no carbonation no taste only a weird tasting drink.Avoid at all costs,even for free do not drink this liquid.

  
",Size: 16.9 Fl Oz (Pack of 24)Style: Water
