,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,159,"







  
  
    Cheep and fell of wall in a few days and could not be rehung
  
",1.0,Cindy O,"Reviewed in the United States December 6, 2019","









  
  
    
  I put this on the very smooth wall, it fell off the wall a few days later and stick on Velcro was ruined so no way to rehang this. It's also slightly warped as I did add some strong magnets to back of it , the week in it won't let it lay flat enough to stick to the fridge. Very disappointed in this product.

  
",Size: 11 x 14Style: Board
1,214,"







  
  
    Nice size for what i needed
  
",4.0,Doubledog Recording,"Reviewed in the United States April 29, 2019","









  
  
    
  It's the perfect size for what i needed - just keeping some notes about some studio projects.  The back is cardboard, so not the highest quality, but was appropriate for the price.  The first board arrived damaged (dent from having something dropped on it) but Amazon replaced it quickly and all is well.

  
",Size: 11 x 14Style: Board
2,157,"







  
  
    Great for practice problems!
  
",5.0,Jade,"Reviewed in the United States March 30, 2016","









  
  
    
  I use this for doing math, chemistry, and biology problems without going through a bunch of paper. It is the perfect size for working out most problems without having to erase for space. I bought Expo dry-erase markers, cleaner, and an eraser to use with this.Pros:- Easy to clean; does not stain if you use better markers (I suggest not using the one it comes with)- Easy to hang (although I chose not to)- Does not show any signs of falling apart or breakingCons:- If you use the attached marker and eraser, it does tend to get a bit cloudy looking and stained, so you would have to clean it with water more often.

  
",Size: 11 x 14Style: Board
3,43,"







  
  
    Okay product
  
",2.0,McBride,"Reviewed in the United States January 4, 2021","









  
  
    
  Overall it’s a okay little marker board. When I got it, it was all dented up and there was two what looked to be like deep scratches to the point, you could see the sliver. This was definitely not for shipping. If I had time to wait around for another one I would have requested another one, but seeing how this one was late to beginning with, I would rather just not deal with the hassle. Pictures are included of the damage.

  
",Size: 11 x 14Style: Board
4,246,"







  
  
    Not what I expected
  
",4.0,R. Franz,"Reviewed in the United States October 25, 2020","









  
  
    
  The manufacturer claims that there is no ghosting. It may be the dry markers that I am using but, a stain remains when I erase what I had written.

  
",Size: 8.5 x 11Style: Board
5,80,"







  
  
    Inexpensive
  
",3.0,KCP,"Reviewed in the United States December 12, 2019","









  
  
    
  For the price I can't gripe too much, but it does not have hanger options, only velcro, so you are limited as the where you can put it.It is okay for sticking (via velcro)on the refrigerator, but...It should have a loop at the top and side to hang it on a nail, and a fold out leg stand like some table top picture frames have.  After all, what do they think we're going to do with it?  Fridge only?

  
",Size: 11 x 14Style: Board
6,52,"







  
  
    Can't get it clean
  
",3.0,mmbeach,"Reviewed in the United States November 11, 2020","









  
  
    
  I'm really disappointed in the consistency with this white board. I bought 2 of these for our in home classroom. One is great. It comes clean nicely, no matter how long the marker writing stays on the board.The other one, however, will not come clean no matter how much elbow grease I put into it. With soap and water, and lots of pressure, I can eventually get it somewhat clean. But you can still see the remains of the previous writing.I'm so frustrated with this.

  
",Size: 11 x 14Style: Board
7,248,"







  
  
    Poor choice
  
",3.0,RuthAnn Mandella,"Reviewed in the United States January 10, 2020","









  
  
    
  I bought these to post information about our day for my 72 y/o husban and my 86 y/o dad. Thee boards won't stay on the wall and are very flimsy. I am very disappointed. The boards are now just propped on their dressers. Not what I wanted.

  
",Size: 11 x 14Style: Board
8,137,"







  
  
    Perfect Size and Easy to Erase On
  
",5.0,Aussieson,"Reviewed in the United States July 13, 2020","








  
  Your browser does not support HTML5 video.










  
  
    
   Love the board. Dislike the marker that comes with it. See my video review to see it in use!

  
",Size: 11 x 14Style: Board
9,39,"







  
  
    Sturdy
  
",5.0,M,"Reviewed in the United States October 11, 2020","









  
  
    
  I never mounted mine I used it for practice problems in my college classes. Let me say for this use it was perfect just the right size and so sturdy. I used many different colors of dry erase markers on this board also and when erasing none of the color lingered behind like how it does sometimes (even with red, dark blue, and green). I was super sturdy and durable and I still love using it to use as a reminder board or practice problems in my other classes! Would 100% recommend.

  
",Size: 11 x 14Style: Board
10,98,"







  
  
    Clean erase. Great size for shopping and to do list.
  
",5.0,john P,"Reviewed in the United States June 1, 2020","









  
  
    
  I didn't like the idea of sticking something on my cabinet, so I chose to use command picture hanging method. It worked well. I already had them so it wasn't an additional purchase. So far I haven't had a problem erasing. I got the 8x11. It fits inside the cabinet next to the calendar. Not so many darn post-it notes now!John's wife

  
",Size: 8.5 x 11Style: Board
11,181,"







  
  
    Read the whole description
  
",2.0,Joey V,"Reviewed in the United States February 25, 2019","









  
  
    
  Title of the product misleading. I was looking for a dry erase board that could magnetically attach to my metal door and 'magnetic dry erase board' I though would fit my needs. If you read the last paragraph in the description you see what it means is that it comes with just a small magnet for you to attach notes to the dry erase... It's a dry erase board, write the note on the board... The board itself actually uses small velcro patches to attach to whatever..

  
",Size: 11 x 14Style: Board
12,186,"







  
  
    Don't buy for your MBA online test
  
",3.0,Amazon Customer,"Reviewed in the United States November 8, 2020","









  
  
    
  Unfortunately Competitor prefail under failure from all x4 pens on both white boards. Therefore, I llike the pen magnet and eraser which is useless without the pen writing capability itself. Tks anyway

  
",Size: 11 x 14Style: Board
13,232,"







  
  
    Works great
  
",5.0,Jrenaec,"Reviewed in the United States February 17, 2020","









  
  
    
  I use this every single day when I teach ESL classes online to Chinese kids.  I write on it with whiteboard markers and also stick magnetized 2D props on it to help explain the meaning of a word or concept.  Works great for me, I plan on ordering a few more.

  
",Size: 8.5 x 11Style: Board
14,301,"







  
  
    Did it’s job!
  
",5.0,Sherri S,"Reviewed in the United States July 11, 2020","









  
  
    
  I bought this because my daughter kept having math equations that she needed to solve on video for online learning. This was perfect size for her to handle and worked great!

  
",Size: 8.5 x 11Style: Board
15,49,"







  
  
    U Brands Contempo Magnetic Dry Erase Board is GREAT
  
",5.0,JackieH.,"Reviewed in the United States May 3, 2019","









  
  
    
  I love the U Brands Contempo Magnetic Dry Erase Board!  It's adhesive properties appear to be just that- it sticks without help of external magnets.  The mounting magnet strips were easy to apply and so far haven't come loose from the fridge.  Perfect price, perfect adhesion and perfect sturdiness.  This one is a keeper if you know what I mean.

  
",Size: 11 x 14Style: Board
