,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,781,"







  
  
    Wifi slowed way down
  
",1.0 ,DR,"Reviewed in the United States February 11, 2021","









  
  
    
  I tried. Moved it to three different locations in my house and tested it longer than the allowable window for returns, unfortunately. It was definitely easy to set up, but as soon as I set it up each time my kids were yelling at me about lagging Zoom classes and video games, and I found my phone burning through data because it couldn't find wifi in my own house. Maybe it was just a dud, but I'm giving up and looking elsewhere.

  
",Model: WiFi Extender- N300
1,523,"







  
  
    Highly recommend repeater !
  
",5.0 ,Jonathan,"Reviewed in the United States March 14, 2021","









  
  
    
  Extending my Wifi from my room on the corner of my house to my living room on the entirely other side of my house. I have a great connection even in my driveway or when downstairs in the garage to search how tos or listen to music. Great repeater and would recommend it to all

  
",Model: AC750 WiFi Extender
2,665,"







  
  
    Connection issues
  
",3.0 ,Kendra Armour,"Reviewed in the United States February 25, 2021","









  
  
    
  The connection drops a lot, I would recommend looking for a different brand

  
",Model: WiFi Extender- N300
3,182,"







  
  
    Great WiFi extender
  
",5.0 ,,"Reviewed in the United States June 1, 2020","









  
  
    
  Because of the shelter in place order, both  my husband and I had to stay and work from home. I had to improvise a second office upstairs and the WiFi signal was weak up there. After doing a lot of research and reading reviews, I decided to get this WiFi extender. I knew this situation was going to be temporarily so I didn't want to spend $200 on something I will not use as often long term. I am so glad I got this one. Price is great and it works great as well.PROSGreat price.Very easy to install.Very easy to follow instructions.Great signal.CONS.Really haven't found any yet.

  
",Model: WiFi Extender- N300
4,432,"







  
  
    Not thrilled with this route extender
  
",2.0 ,Ahli's Mom,"Reviewed in the United States June 25, 2019","









  
  
    
  The set up of the route extender was not that bad. Was aggravates me about this item is that it knocks my iMac totally off the router signal. My laptop is getting a signal but it is not any better than before. My Roku keeps requesting a WIFI log in when I use it. As soon as I unplug this router extender, everything is working just fine with the exception of the slow internet speed (the reason that I purchased the extender). I thought it was my imagination. I plugged it in and got it to sync with my router just fine, but the same issues occurred again. Returning it.  I work from home and am an online student. I don't have time to play around with this struggle.

  
",Model: WiFi Extender- N300
5,292,"







  
  
    Worked okay for a few months.
  
",1.0 ,Gary Fox,"Reviewed in the United States October 22, 2020","









  
  
    
  This extender was okay for what we were using it for which was extending our Wi Fi from one room to another. We were having trouble with the built-in router on the cable modem reaching our living room which is only about 20 feet from the router to the computer. We purchased this extender so that we could get a better signal. It worked satisfactory for about 8 months. Now our computers are telling us that the extender is using an older security standard that might not be secure and won't allow the computer to connect. The original router still works and we can connect to it but not the extender. We expected the extender to last more than a few months.

  
",Model: WiFi Extender- N300
6,575,"







  
  
    Once you set it up just forget it.
  
",4.0 ,Cynthia Geisel,"Reviewed in the United States March 7, 2021","









  
  
    
  Works fine once you get it in the right place.

  
",Model: WiFi Extender- N300
7,185,"







  
  
    NO Drops or Poor Signal
  
",5.0 ,M. Scott,"Reviewed in the United States June 4, 2020","









  
  
    
  I'm retired and one hobby I have is online poker.  The problem I have is that often I was shown to have a poor signal and then dropped during the game.  I have only had this for 6 days but I have yet to be dropped or even once had a poor signal.  That is amazing to me.  This was not an expensive unit but it did have good reviews.  I didn't have much faith that it would work but I was wrong.  I'm not tech savvy either but all I had to do was press the button on top of the modem and then the one on the unit.  I'm old and a skeptic but either this is the best thing that I have bought in awhile or it is one heck of a coincidence.

  
",Model: WiFi Extender- N300
8,434,"







  
  
    It sucks...
  
",1.0 ,Alexandersanchez,"Reviewed in the United States February 6, 2020","









  
  
    
  This made the Wi-Fi I had worst.  I followed all the directions, then i connected to the ""Wi-Fi clone"" the internet speed this Wi-Fi clone had was super slow. It loaded a few videos but not without a agonising wait. The hole process of buying it, getting it, then testing it, then finally returning it just felt like a huge waste of time.Keep in mind I had a Ethernet cable connected to it, and both lights were blue. It had direct Wi-Fi yet it still failed. Big thumbs down from me!

  
",Model: WiFi Extender- N300
9,767,"







  
  
    Never again
  
",1.0 ,Valerie Hudson,"Reviewed in the United States February 15, 2021","









  
  
    
  Didn't work,  was missing a part or something

  
",Model: WiFi Extender- N300
10,480,"







  
  
    It sucks
  
",1.0 ,Elizabeth Russ,"Reviewed in the United States March 19, 2021","









  
  
    
  It kept shutting my router off

  
",Model: WiFi Extender- N300
11,77,"







  
  
    Very Quick Impressive
  
",5.0 ,J. Batts,"Reviewed in the United States October 15, 2020","









  
  
    
  I am thoroughly impressed with this WiFi extender. I’ve used extenders in the past with success but this one takes the cake. I wanted to stick with TP link since I have an Acher C5400X router already. We moved into a new house with a large detached garage roughly 50 yards away from the house. The router is in the center of the house and I have plenty of coverage. But I have spotty 2.4ghz coverage out in the garage.I bought this extender because it was TP link and to help extend my 2.4 signal. It worked better than imagined.1 - it was super easy to setup. I used the tether app and it basically sync my C5400X and the extender. 3 clicks and it was done.2 - I actually placed the extender on the back wall of the garage as a test. The extender picked up an excellent 2.4ghz signal! How??? IDK, but it does. So I left it there. I normally place an extender between the location and the router, but in this case I put the extender at least 50 yards away from the router in a totally different building and the extender got an excellent signal.3 - the tether app is extremely useful. You can use it to test the location of the extender. So basically it will run a signal quality test between the extender and the router. You can also manage the devices connected got the extender and a host of other tools and resources.I’m very please with this extender. I get 100mbps which way too much for my needs. All I really needed it for was to run my Roku in the garage lol. Well my Roku hasn’t buffered since I installed that extender.Pro tip - clone the name of your 2.4ghz SSID. That way you devices will seamlessly float between your main router and extender without you having to reconnect your devices to the extender when in range.

  
",Model: WiFi Extender- N300
12,101,"







  
  
    Whole house wifi
  
",1.0 ,Rose N,"Reviewed in the United States March 15, 2019","









  
  
    
  I purchased this extender so my whole house would have wifi. It worked perfectly fine while we had frontier communications, but frontier was a horrible communication company, my TV only worked 24 days out of 46 and waited 14 days between techs trying to figure out why it kept dropping my signal. So I changed cable company and my husband has been trying for two days to get the extender to connect to the new company. He has been on the phone with a tech that wanted to sell him a product; he's been the company website chatting with a tech, and it's still not working. I would really like a refund and be able to purchase some other product.

  
",Model: AC750 WiFi Extender
13,150,"







  
  
    Can't rate tech support BECAUSE I DIDN'T NEED IT!!
  
",5.0 ,Stringman,"Reviewed in the United States August 13, 2019","









  
  
    
  I have a multi-level dwelling and like probably everybody else in a multi-level dwelling, I have reception problems with my wi-fi net at the far ends of the router's range. No more! These babies really juice up the signal! I had another range extender a couple of years back and I never got it working and the tech support web page had been hacked and gave a bogus overseas phone number whose operators tried to engage me in a scam that could have had serious consequences for me and the manufacturer didn't even care when I informed them of the problem. Anyway, the off shoot of that drama meant that I just tried to live with the problem of barely adequate range. Then I saw these TP-Link devices and they were cheap enough to give them a try. Most of the users were reporting good success with them. Well, those ""Five Star"" guys were right. These things work and even a moderately tech savy (classification used loosely) guy like me can have them running in less than ten minutes. Consider me an ADVOCATE!

  
",Model: WiFi Extender- N300
14,120,"







  
  
    It’s great so far!
  
",5.0 ,Bill,"Reviewed in the United States December 9, 2017","









  
  
    
  I bought this and the net gear extender.  People, buy this one! Oh my gosh... the I buy power computers I have kept disconnecting from the NetGear one.  This one has been solid so far no disconnects yet!  And check the out the speed!

  
",Model: AC750 WiFi Extender
15,210,"







  
  
    Really works as great as everyone says
  
",5.0 ,Manny23,"Reviewed in the United States July 15, 2019","









  
  
    
  So i intentionally waited before posting a review to see how this will work. It has now been a month and this is as great and works as perfectly as almost everyone states. I do feel bad for those that cannot connect right out of the box as it took me literally about 15sec to connect. Press button on router, pressed button on range extender, waited for them to connect and done. My wifi router is located in family room but i now have full bars in all the upstairs area in a single family home. Now for the first week or so it seemed like it would randomly lose signal. I kept seeing my wifi signal on tablets go from 5 bars to 1 randomly. I did have to unplug the extender and reconnect at various times to find the signal.  But after about two weeks it has been working perfectly all the time. Maybe i'm an air head for thinking machines need to get used to each other but has been two weeks now where i have full wifi signal at all times. Anything i am connecting from laptop to tv has full signal. And at this price i can't imagine anything else being better. My wife and i laughed that by some mysterious mystery about a week after this purchase we got an ad from our internet provider for their own range extender for the low low LOW price of $8 a month or purchase for $120. Thank god for amazon and for this product.

  
",Model: WiFi Extender- N300
16,635,"







  
  
    perfect
  
",5.0 ,Munte,"Reviewed in the United States February 28, 2021","









  
  
    
  help me A lots

  
",Model: WiFi Extender- N300
17,490,"







  
  
    Doesn't like to stay connected
  
",2.0 ,Michael,"Reviewed in the United States March 18, 2021","









  
  
    
  I constantly had to reset it by unplugging it and plugging it back in. Bought another model and works fine in same spot.

  
",Model: WiFi Extender- N300
18,584,"







  
  
    trash
  
",1.0 ,Adriana Jaime,"Reviewed in the United States March 7, 2021","









  
  
    
  doesn’t work. You have to connect to the thing and once you, do, your signal is slower than the actual modem which is further away. Piece of trash and I bought 3

  
",Model: WiFi Extender- N300
19,662,"







  
  
    Slow. Disappointed
  
",1.0 ,Steve,"Reviewed in the United States February 25, 2021","









  
  
    
  Extremely disappointing product. The connection is slow and unreliable. The one I received was also dirty/dusty looking when I removed it from the box. And it sounds like there is a loose piece inside it.

  
",Model: WiFi Extender- N300
20,526,"







  
  
    No problems getting it set up
  
",5.0 ,Amazon Customer,"Reviewed in the United States March 13, 2021","









  
  
    
  I read the reviews and didn't have any of the problems others did- textbook for me and it works as advertised. I was pleasantly surprised how easy it was!

  
",Model: WiFi Extender- N300
21,698,"







  
    Muy buena señal
  
  
",5.0 ,Ali,"Reviewed in the United States February 22, 2021","









  
    
  Excelente! justo lo que necesitaba

  
  
",Model: WiFi Extender- N300
22,223,"







  
  
    this one works
  
",5.0 ,L. Thomson,"Reviewed in the United States January 21, 2020","









  
  
    
  our DSL comes into the finished basement -- so the modem is there -- coverage to back of the house upstairs iffy --  the VZ cell signal has deteriorated in the last few years so we use the wi-fi calling feature of the phones a lot -- first extender i bought caused access point issues and the phones would disconnect between up and downstairs -- if i can't have the same SSID on the extender then the advantage of having it goes down a lot -- this device solved the problem -- setup is easy -- and the copy made of the parent signal appears to be perfect -- renamed the extender to the parent SSID and have no issues all over the house -- what i see is a seamless transition between the 2 signals -- and as an added, unexpected, never before seen result -- i have a usable wifi signal in my woodworking shop located 40 feet from the house -- it has been installed a little over a week so we'll see how long my euphoria lasts -- but so far, so great --

  
",Model: WiFi Extender- N300
23,649,"







  
  
    I am not happy with the product
  
",2.0 ,MARCO AVILA,"Reviewed in the United States February 27, 2021","









  
  
    
  there is no difference

  
",Model: WiFi Extender- N300
24,41,"







  
  
    Extensor de red Wifi
  
",4.0 ,Jose A. Garcia,"Reviewed in the United States December 6, 2018","









  
  
    
  Muy buen producto, la calidad vs el precio esta muy bien. Fácil de configurar y el rango de alcance es muy bueno. La presentación me gusto bastante. Ya puedo andar libre por la casa sin estar pensando en que punto tendría señal incluso hasta fuera de la casa tengo cobertura. La App (Tether) no cuenta con tantas herramientas.En resumen: es simple, fácil de instalar y configurar, las instrucciones son muy claras.

  
",Model: WiFi Extender- N300
25,608,"







  
  
    Great buy!
  
",5.0 ,Gary Montes,"Reviewed in the United States March 4, 2021","









  
  
    
  Just want I needed for my dead spot in the basement.  Was gonna buy a mesh router but  I saved my self 150 to 200 bucks. Not bad for the price.

  
",Model: WiFi Extender- N300
26,744,"







  
  
    Have it, needs improvement, will keep it. Make a few changes
  
",3.0 ,Mine,"Reviewed in the United States February 17, 2021","









  
  
    
  This most awesome boost still relies on your internet connection.

  
",Model: WiFi Extender- N300
27,136,"







  
  
    Improved my Wi-Fi stability by miles!
  
",5.0 ,KSMG,"Reviewed in the United States November 22, 2020","









  
  
    
  I had trouble with my wifi stability for the longest time before purchasing this extender. I used USB WiFi adapters and a PCIE WiFi card to no avail. I couldn't use ethernet due to my distance from the router either.I took a shot at this, not expecting it to do much. Not only did it cut out my in-game connection issues, but my internet speed improved significantly. I personally use the Ethernet option to connect to my PC, which is extremely simple to set up through the app. I am super satisfied with this purchase, and I'm just glad that this was able to provide me a solution for a reasonable price. Dorm wifi is notoriously bad, but this gets the job done and then goes the extra mile.

  
",Model: WiFi Extender- N300
28,117,"







  
  
    I now have internet in the basement
  
",5.0 ,Goodwin,"Reviewed in the United States February 14, 2020","









  
  
    
  yes, i bought this given how very reasonable the price is compared to the other ""name brand"" wi-fi extenders out there. At the time of this review it was $15.99. I saw 40k reviews on it and thought, ""well, 40k and 4 star rating cant be all bad"", so i made the plunge even though i have more expensive ones in my cart ready for purchase. Bought it, received it and plugged it in and it pretty much set itself up.The Wi-fi is in my office next to the garage and i placed this booster dead center from where the TV and Xbox in the basement and where the signal originates from on the second floor. all of the sudden i can stream HD movies and kids can jump on multiplayer games with no hiccups. The speeds are not as fast in the basement, but that was expected. Doing some basic speed tests on the booster, it drops roughly 15% if you are connected to it....but hey, im totally cool with that now that my deep dark no-wi-fi basement now has internet service.

  
",Model: WiFi Extender- N300
29,356,"







  
  
    Do not bother.
  
",1.0 ,Lauren Lee,"Reviewed in the United States August 2, 2017","









  
  
    
  Absolutely worthless garbage.  I have a 2 bedroom apartment, only 833 square feet but somehow the TP-Link router cannot extend to my bedroom and this sucker wont boost my wifi even after I moved my router so that it is less than 20 feet away with an unobstructed line of sight.  The light is green, it says its working, but neither my smart TV nor my phone, nore my tablet can get wifi.

  
",Model: WiFi Extender- N300
30,757,"







  
  
    Great and easy to use
  
",5.0 ,Amazon Customer,"Reviewed in the United States February 15, 2021","









  
  
    
  It was an easy installation nothing complicated to follow on setting it up. Loved it and works wonderful!

  
",Model: WiFi Extender- N300
31,472,"







  
  
    Not satisfy with the product
  
",1.0 ,HECSPC ,"Reviewed in the United States March 20, 2021","









  
  
    
  It didn't do what it said it will do. The internet speed did not change not even a bit.

  
",Model: WiFi Extender- N300
32,310,"







  
  
    Worked flawlessly, good extender.
  
",5.0 ,Corrado,"Reviewed in the United States August 9, 2016","









  
  
    
  It worked right out of the box, using the WPS button on my router. I then re-positioned the extender in the family room near the sliding doors that lead to my backyard patio, and now I have very good coverage in all my backyard/patio area. Previously, I had poor coverage just walking outside the sliding doors and NO coverage AT ALL in most of the patio area (the router is on the opposite side of the house, behind 4 walls).The speed is decent: about 15Mbps when sitting by the extender and 10Mbps in the farthest section of the patio (about 30ft away from the door).The standard (un-extended) home network delivers 100/120Mbps when you're sitting by the main router and about 40Mbps when sitting where I placed the extender. Some may argue that an output of 10-15Mbps out of an input of 40Mbps is a bad value, but you need to consider that this is an extender so your ""child"" network will always be slower than the ""parent"" Wi-Fi, due to the double hop that your data transfers need to do to reach your router/ISP.You buy this device if you need to extend your coverage, not to boost the speed on an area with low (but stable) coverage.I'm pretty happy so far, I'm looking forward for video and TV streaming when I'm relaxing in the hot tub!

  
",Model: WiFi Extender- N300
33,410,"







  
  
    Made the wifi in my house usable again!
  
",5.0 ,B. Morrow,"Reviewed in the United States March 1, 2018","









  
  
    
  This has worked perfectly and is super easy to set up and manage with my iPhone!I had a couple dead zones in my rental house that caused the wifi to be awful.  Now with this, I can use wifi everywhere again!  There are a couple of downsides to any Range Extender, if you're gaming on a console or PC, you might have a higher ping or slightly more lag, but I have been able to play most of my games now without problem.  Sometimes webpages are a bit tough to load sometimes, but once they do, the speed is fast.The best part about this is that if it's set up according to the directions, your devices will seamlessly switch between your main router and your extender.Pros:-Kills dead zones-Seamless transition-Easy set up and maintenance (doesn't need very much at all)-FastCons:-Can sometimes add lag to webpages and gaming (as any extender would)

  
",Model: AC750 WiFi Extender
