,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,429,"







  
  
    Great brush for helping to style curls
  
",4.0,J.T.,"Reviewed in the United States June 13, 2020","









  
  
    
  Great brush for helping to style curls. I make sure to use a wet brush first to detangle; I would not recommend this brush for detangling- only for styling.

  
",Size: 7 RowColor: Black
1,1029,"







  
  
    Fake
  
",1.0,Amazon Customer,"Reviewed in the United States November 23, 2019","









  
  
    
  These are fakes. Bristles broke within 2 months.

  
",Size: 7 RowColor: Black
2,873,"







  
  
    Great Brush
  
",5.0,Rhonda,"Reviewed in the United States September 18, 2018","









  
  
    
  I first bought the small 5 row brush which is all black but it seemed to be for a child's hand so I had to return it.  I recently bought this brush and it is perfect and perfect size for my hand.  5 rows are all I need!  Great definition.  Get yours!

  
",Size: 5 RowColor: Long Handle
3,523,"







  
  
    A good detangler but that was all
  
",5.0,bargainmac,"Reviewed in the United States August 31, 2020","









  
  
    
  I wanted to love it but alas the brush made no difference for my 2B/C hair and that despite studying many YouTube videos

  
",Size: 7 RowColor: Cherry Blossom
4,1110,"







  
  
    Glides smoothly
  
",5.0,Amazon Customer,"Reviewed in the United States September 22, 2020","









  
  
    
  My biracial Granddaughter requested it and after she used it she said it was amazing!Before it was hard to get a brush through her hair but this one glides so easily.

  
",Size: 7 RowColor: Black
5,62,"







  
  
    Amazing
  
",5.0,Nicola M.,"Reviewed in the United States September 9, 2018","









  
  
    
  I’ve had this brush for over 5 years and it has transformed my hair care process. I am African American with very thick and long natural hair. Detangling my hair was a nightmare before this brush. This really gets the job done and it has held up beautifully over the years. I am purchasing another one after someone else used mine and caused one row of bristles to retract. I could probably fix it but I figure it’s time for a new brush after 5 years. It still looks and works great after all that time. It fully set angles my hair with no pain or snags. - I always use it on wet/slippery Hair and I don’t recommend detangling dry hair.

  
",Size: 9 RowColor: Heavy Styling
6,1059,"







  
  
    Must have brush for curly hair
  
",5.0,Michelle J.,"Reviewed in the United States August 13, 2020","









  
  
    
  Great help defining my curls. I do not really detangle much with it. I do love this brush. $20 is pricey but I love it and it's working for my curls.

  
",Size: 7 RowColor: Black
7,607,"







  
  
    Easy to use
  
",5.0,Peachlyn,"Reviewed in the United States July 26, 2020","









  
  
    
  great brush use bi weekly as a detangle brush and i have little to no hair loss

  
",Size: 7 RowColor: Black
8,424,"







  
  
    Enhance the curls!
  
",5.0,Travel Ninja,"Reviewed in the United States June 3, 2020","









  
  
    
  Love this brush for even distribution of styling products in my curly hair. I use a different brush to derange after showering and this one after applying my curly hair products into very small sections of hair at a time. This was a great purchase that I wish I had made years ago!

  
",Size: 7 RowColor: Black
9,243,"







  
  
    Not good for my hair 3a/3b/3c
  
",1.0,Stefanie Gunter,"Reviewed in the United States December 31, 2019","









  
  
    
  Used for my hair after the shower/ before blowdrying. Untangled my hair pulling away from my scalp to create volume.Created too much frizz, even with anti-frizz products. Curls would lose their shape.My hair has different sections of curls, 3a in the front, 3c on the sides near my ears, and 3b everywhere else.Finger detangling works better for me because I know where my curl patterns are.Would not buy again.

  
",Size: 7 RowColor: Black
10,24,"







  
  
    REAL DEAL
  
",5.0,winsumbuc,"Reviewed in the United States August 11, 2020","









  
  
    
  Ignore the other comments. This IS THE REAL DEAL!! I just ordered this in 2020.. amazon must have updated their source of where they buy it from. This product was directly from Denman and it is durable and perfect and exactly the product that is shown with excellent quality and packaging. Manes by Mell sent me here! Love it!

  
",Size: 7 RowColor: Black
11,378,"







  
  
    If your hair is thick, this brush has too many teeth placed too closely together
  
",4.0,Dreaqueen,"Reviewed in the United States May 15, 2019","









  
  
    
  This is a good brush for creating a nice curl pattern AFTER strangling. This did not work well to detangle my hair. I had to use a wide tooth comb before using this. I heard others say they removed some rows of teeth for better detangling. I have not figured out how to do this.

  
",Size: 9 RowColor: 9-row medium (all-black)
12,507,"







  
  
    Amazing!
  
",5.0,Amazon Customer,"Reviewed in the United States November 5, 2018","









  
  
    
  I modified my brush and my hair loss is minimum.  I have 4c hair and until now had huge problems detangling.  I tried with 7 rows which I loved for product spreading.  With 4 rows it still spreads my products great, now I have perfect tension.

  
",Size: 7 RowColor: Black
13,412,"







  
  
    Demi brushes
  
",5.0,poca,"Reviewed in the United States June 7, 2020","









  
  
    
  I use this to do the loc method leaving conditioner, oil and cream from my hair.  I love the brush because it didn't fall apart in my hand like other demi  brushes.

  
",Size: 9 RowColor: 9-row medium (all-black)
14,1359,"







  
  
    Great for natural hair
  
",5.0,Lynn,"Reviewed in the United States February 18, 2020","









  
  
    
  Brings curls to a great definition

  
",Size: 7 RowColor: Black
15,1158,"







  
  
    Does the job but....
  
",3.0,Frequent Amazon Buyer,"Reviewed in the United States September 27, 2018","









  
  
    
  The brush does what is supposed to do but you should expect to buy another one in about 3-6 months, if you use it daily.

  
",Size: 7 RowColor: Black
16,1272,"







  
  
    Definitely recommend
  
",5.0,Kay Marley,"Reviewed in the United States January 17, 2021","









  
  
    
  Packaging was good, brush is great.

  
",Size: 7 RowColor: Black
17,670,"







  
  
    Perfect for curly hair
  
",5.0,Reni Mac,"Reviewed in the United States July 10, 2020","









  
  
    
  Easy to modify bristles; I removed 2 and it was perfect for my fine curly hair

  
",Size: 5 RowColor: Black
18,1280,"







  
  
    A must have for all curly haired people!
  
",5.0,Stephanie Lytle,"Reviewed in the United States March 4, 2020","









  
  
    
  Love using this to help define my curls.

  
",Size: 7 RowColor: Black
19,292,"







  
  
    The worst clean up for a brush so BEWARE!
  
",2.0,Amazon Customer,"Reviewed in the United States November 27, 2019","









  
  
    
  Great brush for thick hair and curls but once your ready to give it a good clean and pull it apart it won’t go back after the second/ third time taking it apart! It happened to my old old and now is happening to my new one! The only way to get a really good clean is to take it apart since it holds A LOT product AND hair! YUCK! See the dilemma? Like who wants product build up on their shiny locks! Not I!! Honestly it’s not the best option and you’ll do better to get yourself something that can cleaned easily because after while it gets harder and harder until it’s nearly impossible to put it back together.

  
",Size: 9 RowColor: 9-row medium (all-black)
20,121,"







  
  
    Great brush for curly hair
  
",5.0,Amazon Customer,"Reviewed in the United States February 27, 2020","









  
  
    
  I had researched the deman for months before purchasing. Deman brush has cut my styling time in half, would definitely recommend. Great brush to use once product is applied for even distribution and to enhance curly pattern.I would not recommend to use as a detangler brush.Detangle hair prior, apply products, split hair in sections, then use deman brush. Scrunch hair when done and dry your hair using method of choice.

  
",Size: 7 RowColor: Black
21,608,"







  
  
    Denman—The Greatest Value in Grooming!
  
",5.0,Charlie Ryan,"Reviewed in the United States May 8, 2020","









  
  
    
  I have used a Denman for 30 years!  Just got a new one because the old veteran buddy’s rubber base finally started crumbling.  A finer brush cannot be found.  Hail Denman!  A finer value cannot be found.

  
",Size: 7 RowColor: Black
22,1178,"







  
    Excelente cepilloExcellent brush
  
  
",5.0,Krisnat Ferreira,"Reviewed in the United States February 4, 2021","









  
    
  Pienso que es original, trajo buena presentación y el cepillo se ve de calidad. Tengo que verlo desarmado y ver como se limpia y demás. Pero por el Momento creo que es una excelente compra, estaba ansiosa por problarlo en mis rizos
I think it's original, brought good presentation and the brush looks quality. I have to see him unarmed and watch it clean and so on. But at the moment I think it's an excellent purchase, I was eager to test it on my curls
  
  
",Size: 7 RowColor: Black
23,1077,"







  
  
    Worth the money
  
",5.0,Amazon Customer,"Reviewed in the United States December 31, 2020","









  
  
    
  It gives you an option to choose rows and detangles my hair very well.

  
",Size: 7 RowColor: Black
24,818,"







  
  
    Love these Denman Brushes for Long Hair
  
",5.0,KM,"Reviewed in the United States October 30, 2017","









  
  
    
  I have been buying Denman Brushes and Swissco Combs (see my other reviews) for years! At first I could only find them in beauty stores: so nice to be able to order them online! The brushes themselves are solid and the bristles are soft.

  
",Size: 9 RowColor: Heavy Styling
25,588,"







  
  
    Great brush!
  
",5.0,Don Quijote,"Reviewed in the United States May 5, 2020","









  
  
    
  Love it but wish the handle had more of a non slip quality! If that makes sense! Great construction and works for my super curly locks!

  
",Size: 7 RowColor: Black
26,1308,"







  
  
    Absolutely love
  
",5.0,Druin,"Reviewed in the United States August 25, 2019","









  
  
    
  First time using this type of brush. Love it

  
",Size: 9 RowColor: 9-row medium (all-black)
27,665,"







  
  
    Wack
  
",2.0,Sabrina Wolfe,"Reviewed in the United States December 18, 2020","









  
  
    
  I bought this brush thinking it would in hance my daughter's waves. It's just an expensive detangling brush.

  
",Size: 9 RowColor: 9-row medium (all-black)
28,1234,"







  
  
    Not the one that I wanted!
  
",2.0,KJ,"Reviewed in the United States December 18, 2017","









  
  
    
  I thought that this was a different Denman brush.  The brush that I wanted to purchase is the one that the bristles were fix to the handle of the brush.  This brush is not good for my very thick and very curly hair. The bristles slide up and potentially out of the brush. Not a fan!!!

  
",Size: 9 RowColor: 9-row medium (all-black)
29,35,"







  
  
    My 3b hair loves it!
  
",5.0,MariaTop Contributor: Pets,"Reviewed in the United States December 8, 2019","









  
  
    
  I can’t believe I went my entire life without using this! I have 3b hair that responds well to having the product brushed into it (smoother, less wet/dry frizz), but which then needs a little help clumping back up afterwards (scrunching). I tried using this brush a few different ways, and have had fantastic results!1) I’ve “modified” my Denman by removing every other row. You can do this by pushing the portion holding the bristles up from the top, and then pulling the teeth out. (You’ll see two bumps marked by D on the top, this is the section that pulls out and unrolls to release the teeth).2) I detangle my hair with a wet brush first, which I think is common for hair in the 2/3 range. If I try to detangle my hair with this, it doesn’t work very well, although I’ve heard it does work in this capacity for 4 type hair!3) If I have more time, I go section by section, brushing away from my head, twisting  and scrunching as I go (Lots of great videos on this “standard” usage online). This always gives me the best results4) If I’m short on time, I tilt my head so that the section I’m brushing isn't flat against my head, and brush through my hair, twisting at the end, and giving a slight shake before scrunching. This is super fast (think a minute or two) but gives me hair that’s about 90% as good (I need to fluff a bit more for volume).I put product into my hair before using this (raking and praying hands), and add a tiny bit of watered down gel to scrunch up after brushing (making sure I hear squishing).

  
",Size: 9 RowColor: 9-row medium (all-black)
30,691,"







  
  
    Quality is lacking
  
",2.0,Dan J,"Reviewed in the United States March 10, 2021","









  
  
    
  The brush is just very not well built for the price

  
",Size: 7 RowColor: Black
31,1271,"







  
  
    Best Hairbrush EVAH!
  
",5.0,msbcgwg,"Reviewed in the United States December 14, 2020","









  
  
    
  I'll never use any other type of hairbrush again.It gets through my coarse & kinky hair without tearing it up.

  
",Size: 9 RowColor: 9-row medium (all-black)
32,360,"







  
  
    I'm a fan Now
  
",5.0,December733,"Reviewed in the United States January 30, 2021","









  
  
    
  I have no issues with the brush but maybe should've gotten 9 row to make it easier to hold on to, idk but It's an awesome detangling brush though, I'm impressed! Will highly recommend! 👍🏽👍🏽

  
",Size: 7 RowColor: Black
33,1288,"







  
  
    great product
  
",5.0,michaela thomas,"Reviewed in the United States February 16, 2021","









  
  
    
  i love this brush

  
",Size: 7 RowColor: Black
34,219,"







  
  
    Love this brush
  
",5.0,Dawn Hathaway,"Reviewed in the United States October 6, 2020","









  
  
    
  Feels great while holding - bristles are harder than regular brushes but seems to stimulate scalp while detangling and leaves hair silky soft..  If you quickly flip brush at ends ( it helps to form a wave ) Sort of like when you run a ribbon over a scissors while making a bow )  I Love it..

  
",Size: 7 RowColor: Black
35,942,"







  
  
    Excellent for defining curls!
  
",5.0,Amazon Customer,"Reviewed in the United States December 30, 2020","









  
  
    
  Excellent for defining curls! Highly recommend.

  
",Size: 7 RowColor: Black
36,1199,"







  
  
    love it
  
",5.0,Maria nava,"Reviewed in the United States July 15, 2020","









  
  
    
  love it

  
",Size: 7 RowColor: Black
37,643,"







  
  
    It is sturdy and heavy and I'm in love with it
  
",5.0,Kindle Customer,"Reviewed in the United States March 12, 2018","









  
  
    
  This brush is the real deal. It is sturdy and heavy and I'm in love with it!

  
",Size: 9 RowColor: Heavy Styling
38,669,"







  
  
    Same defined curl by hand scrunching
  
",3.0,Laurie,"Reviewed in the United States March 9, 2021","









  
  
    
  Another curly hair gimmick. I get the same curl by scrunching. Waste.

  
",Size: 7 RowColor: Black
39,49,"







  
  
    Good but...
  
",5.0,Ayana Moore,"Reviewed in the United States June 4, 2020","









  
  
    
  I bought this because it’s been raved about everywhere. I have transitioning hair from relaxed to natural about a year in and i don’t use it to detangle first. It’s a little to rough for my hair right now but I’m hopeful that it’ll get more use once I’m fully natural. I do use it but I usually detangle first with my wet brush and then after most of the tangles are out use this one as like a second detangle and smoother before I do my twists. Trying to detangle with only this rips my hair out. Just for reference I’m a year into a hopefully 2.5 year transition from relaxed hair. I have about 4-5 inches of natural hair grown in that looks like it may be 4b but I won’t know for sure until I’m fully natural. I’ve been relaxed since I was a little girl so I don’t know what my true natural texture is. For a full natural it will probably be great but right now it’s too harsh especially where my two textures meet to use for detangling. I do have a natural friend though who it works great for.

  
",Size: 7 RowColor: Black
40,611,"







  
  
    Great Brush
  
",5.0,Karen,"Reviewed in the United States February 3, 2021","









  
  
    
  I bought this for my very curly hair. Great brush for shaping your curls.

  
",Size: 5 RowColor: Black
41,907,"







  
  
    Great for giving cuts definition
  
",5.0,Amazon Customer,"Reviewed in the United States March 8, 2021","









  
  
    
  My hair dresser suggested this for when wearing my hair curly and it was as described.  I would not recommend it for detangling curly or thick hair and cannot imagine it would be good for blow drying, but it works great for giving curls better definition.

  
",Size: 7 RowColor: Black
42,349,"







  
  
    Sturdy brush
  
",5.0,xo,"Reviewed in the United States April 20, 2020","









  
  
    
  Very sturdy brush, great for detangling.  I bought it to try and clump waves/curls like I have seen on YouTube and it doesn’t work for that on my fine 2/c 3/a hair.  But still a nice brush.

  
",Size: 7 RowColor: Multicolour
43,480,"







  
  
    Great buy! My curls thank me!
  
",5.0,Cici Chapman,"Reviewed in the United States November 21, 2020","









  
  
    
  I use this to wet style/clump my curls. Best decision ever for someone who is transitioning and also has different curl types throughout my hair! Not for detangling, do not use it for that it doesn't work lol.

  
",Size: 7 RowColor: Black
44,971,"







  
  
    FAKE
  
",1.0,Brittany Washington,"Reviewed in the United States May 14, 2019","









  
  
    
  If I could give this brush 0 stars I would. This is not an authentic Denman brush. I’ve never owned one but I can tell by the craftsmanship this brush is a fake.  The brush looked like a 5 year old glued it together. DO NOT BUY !!!!

  
",Size: 7 RowColor: Black
45,70,"







  
  
    Best used when hair is still freshly wet
  
",5.0,A.V.,"Reviewed in the United States February 22, 2018","









  
  
    
  Best used when hair is still freshly wet, after detangling hair with a wide comb. Using hair products before or after is to your preference, I find that brushing before my usual products helped me out more with definition. **TIP: when brushing, do it in individual sections and most importantly do it in a curling motion, as if you're curling your hair with a heat wand.**Gave my curls more definition. There are ways to modify to your liking by removing the bristles (I recommend youtube for help with that, there are lots of videos on it).The best advice I can give is to try different things with it to see what works out better for you.

  
",Size: 9 RowColor: Heavy Styling
46,361,"







  
  
    Love this brush and highly recommend it!!
  
",5.0,Coco4vida,"Reviewed in the United States November 23, 2020","









  
  
    
  I have tried many brushes, that claim to be durable, but break while trying to brush out my hair.  This Brush is the best I have ever used in my long, curly and thick hair!

  
",Size: 7 RowColor: Cherry Blossom
47,124,"







  
  
    I Really like it.
  
",5.0,Desi L,"Reviewed in the United States January 19, 2016","









  
  
    
  9-row, heavy brush, for wet conditioned, 3c/b hair. :) it's somewhat delicate.  But I usual brush in the shower, start from tips for your a a too roots. :}} ♡

  
",Size: 9 RowColor: Heavy Styling
48,282,"







  
  
    Cannot Be a Real Denman Brush!
  
",1.0,Maia Bonet,"Reviewed in the United States September 11, 2020","









  
  
    
  From the very first time I amd my daughter used this brush, the rubber part would slide out. Literally, as soon as you try to oull this brush through your hair, the rubber part os sliding out and so are the rows. Highly disappointed. I'll be throwing this out and ordering directly from the Denman website.

  
",Size: 7 RowColor: All Black
49,266,"







  
  
    Someone stole my daughter's brush
  
",5.0,keris_mom,"Reviewed in the United States March 6, 2019","









  
  
    
  I purchased three of these brushes five years ago for myself, my daughter and my granddaughter. Someone stole my daughter's so this was a replacement brush because we cannot live without them. I have very curly hair. My daughter has fine hair. My grandaughter has thick, curly hair. This brush works on all three types and we hardly ever have split ends.

  
",Size: 7 RowColor: Black
50,483,"







  
  
    It brushes my hair ;)
  
",5.0,Chris J.,"Reviewed in the United States June 2, 2020","









  
  
    
  It’s a brush, so, there’s not much to review. This is the preferred brush of barbers, etc. So I guess that’s something to consider

  
",Size: 7 RowColor: Black
51,195,"







  
  
    Awesome brush
  
",5.0,yoga girl,"Reviewed in the United States June 8, 2013","









  
  
    
  I'm a young mixed race woman and its hard to find good brushes for thick hair like mine. My mom has used this style of brush for years and has used it on my hair. I moved away recently and needed a new brush for myself. You don't really find this brand of brush at regular stores except for at places like Sally beauty. I ordered it on here at amazon and loved the quick delivery and the brush works great for my thick hair. Love it. I recommend it to all black and mixed race people or just anyone with really thick hair and don't wanna snatch out your hair with an ordinary brush.

  
",Size: 5 RowColor: Long Handle
52,750,"







  
  
    Curly hair needs this brush
  
",5.0,Ken King,"Reviewed in the United States September 21, 2020","









  
  
    
  Curls are popping this brush is amazing

  
",Size: 7 RowColor: Black
53,1292,"







  
  
    Amazing! Just what I needed.
  
",5.0,Amazon Customer,"Reviewed in the United States March 3, 2021","









  
  
    
  After years of dealing with long, prone to frizz 3C hair, this brush provided me with the curl definition i’ve been looking for. Definitely worth the money 10/10. Only con is the handle can get a bit slippery.

  
",Size: 7 RowColor: Black
54,43,"







  
  
    A lot of effort for little result
  
",3.0,Megan T.,"Reviewed in the United States June 22, 2020","









  
  
    
  I just don’t get this thing, y’all. I’ve tried it several times with different techniques and I just haven’t achieved the kind of curls other women have described. It is A LOT of work. My curls naturally clump so maybe this is unnecessary and I’m just creating more work for myself? I don’t know. There are definitely areas that I’ve noticed curling better when I use this exactly right, like the bottom layer of my hair. But for the most part, it makes the bottom 1/2-3/4 of my hair curl more uniformly but it flattens the top. I’m just really not sure it’s worth the extra steps. I’ll keep trying and I’ll update my review if I have better success!Tips: Make sure your hair is fully detangled before you use this thing or you will pull your hair out! The brush also gets very slippery with all the water and product on it, so I’d keep a towel or T-shirt nearby to wipe it and your hands on periodically.

  
",Size: 7 RowColor: Black
55,1236,"







  
  
    Good brush nice quality.
  
",5.0,wendy,"Reviewed in the United States July 27, 2019","









  
  
    
  Perfect brush my my natural hair. Good for thick course hair.

  
",Size: 7 RowColor: Black
56,1255,"







  
  
    Don’t do it!
  
",1.0,Marta Crespo,"Reviewed in the United States May 21, 2020","









  
  
    
  This product came to me damaged. It’s not at all what I expected. I would not buy it.

  
",Size: 7 RowColor: Black
57,1300,"







  
  
    I can have really defined curls and detangling is easy. I don’t know why I waited so long ...
  
",4.0,Yannie1231,"Reviewed in the United States August 6, 2018","









  
  
    
  I can have really defined curls and detangling is easy. I don’t know why I waited so long to purchase this brush

  
",Size: 7 RowColor: Black
58,1249,"







  
  
    Great product and last for years!
  
",5.0,Cheryl C. Stallings,"Reviewed in the United States November 11, 2020","









  
  
    
  Great brush. Replacing one that I have owned for years.

  
",Size: 9 RowColor: 9-row medium (all-black)
59,1108,"







  
  
    Recomendable
  
",5.0,Enrique R,"Reviewed in the United States January 18, 2020","









  
  
    
  Recomendable and durable

  
",Size: 7 RowColor: Black
60,786,"







  
  
    I LOVE this brush!!!
  
",5.0,Jubilant,"Reviewed in the United States August 22, 2013","









  
  
    
  I absolutely love this brush!!! I have natural 4b/4c hair and use it on my wet hair. When starting from end and working to the root, it does wonders at detangling. The best part is how it brings out my curls. I have soft, fluffy hair, but when I brush it with this, I can actually see defined curls. I pair it with a curl cream or moisturizer spray and it's just the best thing ever. I don't travel without it and have recommended it to all of my natural friends.

  
",Size: 7 RowColor: Black
61,274,"







  
  
    Great for clumping curls
  
",5.0,Karla,"Reviewed in the United States January 21, 2021","









  
  
    
  I was having issues with my curls being stringy, I couldn’t get them to clump. I saw in Instagram this brush helps with that so I purchased one. I have used it twice and my hair finally clumped. I noticed more clumps the second time so I think with practice it’ll do what I need. Added bonus it helped with frizziness as well. I read if your hair is frizzy while wet it’ll style that way and I noticed this controls frizz while clumping the curl.

  
",Size: 7 RowColor: Black
