,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,244,"







  
  
    Battery life is stupidly short after two months of use
  
",1.0,Catherine Mattijetz,"Reviewed in the United States January 1, 2021","









  
  
    
  I have been very dissatisfied with this watch. The first one I was sent didn’t work straight out of the box. Amazon sent me a replacement without any hassle. But I have worn it since November (2 months ago) and it is already losing battery power in one day. Far cry from the 5-7 day battery life promised by the advertisement.

  
",Color: Rosewood/RosewoodEdition: Regular
1,334,"







  
  
    DISAPPOINTING! Does NOT work as advertised
  
",2.0,Juan,"Reviewed in the United States December 3, 2020","









  
  
    
  This is pretty disappointing! Doesn’t detect my heart beat, doesn’t track my sleep, doesn’t recognize when I’m asleep, and I’ve tried everything they suggest in their website. I’ve placed it loosely, tight, above the wrist bone, below it, I’ve even placed the sensor on the back of my wrist hoping it’d detect my pulse but no! Only here and there it catches it. On top of that, their app doesn’t sync with Apple health, and if you want it to, you have to buy third party apps that cost crazy amounts.I will be returning unless they offer me a better solution.

  
",Color: Black/BlackEdition: Regular
2,295,"







  
  
    Happy!
  
",5.0,Debra A.,"Reviewed in the United States May 6, 2020","









  
  
    
  Just got my new Fitbit Charge 4 about a week ago.  So far, so good.  A little bit of a learning curve-I had a Charge 2 for the last 3 years & the Charge 4 is a little different.  One of the reasons I got this was because of the GPS built into to the watch w/o having to use your phone.  I also love that it is water resistant so you can swim, shower etc w/o having to remove it.  So I am very happy with these updated features.  Everything else is pretty good too.  But, I will update my review after I have had it a bit longer.

  
",Color: Black/Granite ReflectiveEdition: Special Edition
3,130,"







  
  
    Frustrating.  Not very accurate.
  
",3.0,KSS,"Reviewed in the United States March 14, 2021","









  
  
    
  This device works well some days and then is highly inaccurate other days.  Today, says I did seven flights of stairs when I have actually done none.  The reminder doesn't work consistently, especially when I'm working on the computer.  Seems to think I'm sleeping even though it's the middle of the day.  Steps seem to be quite accurate.  Heart rate is not very accurate, although, I'm in atrial fibrillation a great deal of the time so it seems to have trouble counting my heart beat.  I have a pulse oximeter, so I know it's recording my heart rate sometimes 30 beats per minute lower than it really is.  Good luck with daylight savings time changes!  It's now telling me my heart rate and steps an hour in the future even though the time on the watch is correct.  If you're looking to this device to monitor your health you might want to rethink getting this device.

  
",Color: Black/BlackEdition: Regular
4,254,"







  
  
    Bad GPS accuracy
  
",1.0,Dude,"Reviewed in the United States November 15, 2020","









  
  
    
  Don't buy the Fitbit Charge 4. The GPS accuracy is terrible. The attached screenshots show my tracks in Strava based on the Fitbit Charge 4 and the Google Pixel 2 phone. As you can see, when I used the Pixel 2 phone the GPS accuracy is much higher resulting in a more consistent and more true track. The Fitbit Charge 4 produces incorrect results. Just spend another couple hundred and get a Garmin instead. The GPS will actually be accurate.

  
",Color: Black/BlackEdition: Regular
5,372,"







  
  
    Falls apart
  
",2.0,Chelsea Bryant,"Reviewed in the United States December 9, 2020","









  
  
    
  Worked pretty good. Every now and then it would stop sending me my notifications from my phone. I'd have to unpair it and add it again. Then last week it just fell off my wrist. One side of the band disconnected from the screen part. Now today it has done the same thing, but a piece of it broke off with it and cant be fixed. I'm out $130 now. Thanks fitbit.

  
",Color: Rosewood/RosewoodEdition: Regular
6,55,"







  
  
    Basically a toy
  
",2.0,IDunno,"Reviewed in the United States June 11, 2020","









  
  
    
  Wildly inaccurate.  I bought the Charge 4 because it made it in a lot of the ""best of"" lists (on sites that - surprise - get paid if you click the links) but was immediately disappointed.  If you just want something cheap to wear on your wrist to possibly motivate you to exercise, it's fine.  If you want something to give you an accurate picture of the things you're tracking, go with a Polar or Garmin or Apple Watch.I compared the Charge 4 against a good chest strap HRM and caught the Charge off by as much as 20 BPM.  Often times I would check it and it wouldn't even be reading my heart rate.  And yes, I tried adjusting position and tightness.The touchscreen and the ""back"" button on the Charge 4 are both clumsy and unresponsive, especially if your fingers are wet from, you know, sweat?  The interface is, IMO, ugly and not intuitive.The app is polished and shiny, which is why people like it, but there's not a whole lot of substance to it.  Data sync to apps like MyFitnessPal is dismal.The one thing the Charge 4 has going for it is that it's relatively cheap, but for another 50-60 bucks you can get a tracker from better brands that is way more accurate and packed with way more useful features.

  
",Color: Rosewood/RosewoodEdition: Regular
7,82,"







  
  
    Disappointed
  
",3.0,Bradley W. Berg,"Reviewed in the United States May 16, 2020","









  
  
    
  I formerly had a Charge 2 which was simple to use. After it wore out, my decision to replace it with a Charge 4 was motivated by the ""Activity Minutes"" feature. I do not use the GPS function on the watch as I always have my cel phone with me.  The Charge 4 is very awkward to use. It requires swiping left/right, up/down and tapping the face and tapping the side. Some activities, such as weight lifting no longer show up. The application does not seem to allow the user to find out how many activity minutes they have logged during each day, only the amount for the current day. Their may be ways to access this information but who wants to spend hours trying to figure out counter intuitive controls and application. This is frustrating to the point I am considering to replace this new monitor with a different brand.

  
",Color: Black/BlackEdition: Regular
8,87,"







  
  
    An upgrade from my Fitbit Zip but can't recommend
  
",2.0,Maisy ,"Reviewed in the United States July 26, 2020","









  
  
    
  I am updating my review to downgrade from 4 to 2 stars.  The reminder to move seems buggy.  For example, it worked just fine until I changed the notification setting for only weekdays.  Now I get no notifications.  The O2 levels while sleeping worked just fine until I was outside my return window.  Now it doesn't work.  Not a huge deal but now I don't know if my Charge 4 has a defective sensor or if there's another reason?  I find the Fitbit troubleshooting to be lacking for this specific issue but appears that maybe only now available with Premium?  I am going to try the free Premium to see if this corrects the issue but honestly, I am not thrilled that something worked and now doesn't.  Overall, I can't recommend until these buggy issues are resolved.My original review:I wanted an upgrade from my Fitbit zip and bought the Charge 4 after some research.  First, I got it on sale for about$20 less than the current list price.  I like the reminders to move every hour. This can be shut off but I think it helps to not remain desk bound for too long.  I really like the sleep tracking if for no other reason than to remind myself to go to bed on time.  I have some work to do in this area. Step tracking is ok and seems consistent for my normal dog walk routes but random steps get added just by moving my arm.I like that it comes with two band sizes - although I think for me the large has too much extra and the small feels like it could have another notch or two to be perfect.While I like that it has GPS tracking, I don't find it to be all that accurate.  For example, when using the bicycling mode, distances that I know through other tracking such as MapMyRide or my car odometer are just way off through this app (it even randomly stops tracking in portions of my ride).  My mph are off too. It is not easy to pause the activity which is why it seems I've gone much slower than I actually have.  GPS also drains the battery like crazy.  I don't think this feature is a significant advantage over my current MapMyRide app so I probably won't use it much.Speaking of the battery,  I like that it can charge in my usb port on computer ( it doesn't charge when plugged in a wall charger apparently, which I find strange).  And because this Fitbit Charge 4 has made me OCD, it really bugs me that the battery never seems to reach 100% charged.  It stays at 99% forever.  I am overall happy with it and might even go for the free trial of the Fitbit premium app just to see what I'm missing.  I hope the battery lasts a good long time.

  
",Color: Black/BlackEdition: Regular
9,262,"







  
  
    Terrible battery!
  
",3.0,I&D,"Reviewed in the United States September 21, 2020","









  
  
    
  There are reviews you read about tech and you're like, that's 100% user error. But battery life, across this many reviews, is 100% NOT user error. A 1-hour run or walk regularly drains my battery 30%+. I cannot count the number of times I've gone out with a battery about half full and the Fitbit is dead before I'm even 45 minutes in. This is probably the 6th Fitbit I've purchased for the family (my 3rd) and this is also the worst. I'm tempted to go back to my Charge 2. So disappointing.

  
",Color: Black/BlackEdition: Regular
10,39,"







  
  
    FitBit Charge 4 Broke TWICE
  
",1.0,J. T. ,"Reviewed in the United States September 16, 2020","









  
  
    
  I was so excited to get my Charge 4. I bought it in May 2020 and loved it. The free trial of premium was helpful and I ended up purchasing a year's membership. Then just one month after owning my fitbit, the male end of the device broke off so it could not longer connect to the female end of the band, thus making it impossible to wear and use. The FitBit customer service was TERRIBLE. I had to call 4 times before they processed my request to get the fitbit fixed and then it took one month for me to get the new one in the mail. Then just 2 months later the same issue happened AGAIN. Now, I am without the device for a second time - not only am I unable to use the device but I'm unable to use it with my premium membership. Again customer service was so UNHELPFUL. I contacted them again and they wanted the same process of returning it. I asked for a full refund of both the device and the membership however they refused on both. I will never buy from this company again which is so sad because I loved the actual data it provided me. I strongly recommend against this company unfortunately.

  
",Color: Black/BlackEdition: Regular
11,10,"







  
  
    Setup may be a trial
  
",3.0,Kindle Customer,"Reviewed in the United States April 18, 2020","









  
  
    
  I had problems with setup. At first, it didn't work at all, but after several hours of trial and research, I finally managed to get it working.

  
",Color: Black/BlackEdition: Regular
12,363,"







  
  
    Terrible out-of-the-box experience
  
",1.0,BassX,"Reviewed in the United States January 5, 2021","









  
  
    
  This is the third FitBit I've bought. But the initial experience of getting it set up was so bad that I wouldn't recommend buying one. The problem is that it ships with out of date firmware. So the first couple days on the device you just get a message saying you need to update the firmware or the app on your phone. The problem is that on previous versions they had a problem with downloading large updates on day one, so they chose to trickle in the update over a couple of days, without telling what is happening. So for the first two days you just have the frustration of nothing you try working, and having to spend time searching the forums (where I finally found the answer). I almost sent it back, but it finally started working after a few days. Basically, no respect for the customer's time or experience. What a joke.

  
",Color: Rosewood/RosewoodEdition: Regular
13,390,"







  
  
    Display too dim
  
",2.0,Drav,"Reviewed in the United States July 25, 2020","









  
  
    
  Overall, the watch functions as one would expect. The big issue I have is that the display is too dim to see outdoors. There are 3 settings for Brightness - dim, normal and auto. The dim setting is actually too dim for indoor use. Normal is just too dim to see outdoors. Auto doesn't make any difference. This is my second Fitbit watch I've owned. My first was an Ionic.  Absolutely loved it and the screen function was great. So, I expected the same from the Charge 4. Big disappointment.

  
",Color: Rosewood/RosewoodEdition: Regular
14,88,"







  
  
    Very good product, too bad it stopped working after 2.5 months
  
",3.0,R. Groppo,"Reviewed in the United States October 25, 2020","









  
  
    
  I used this product daily to track by cycling and swimming as well as sleep patterns.  One thing that bothered me is the swimming ""auto-detect"" frequently didn't work and I had to manually start and stop my swimming.  I swim for about 1.5 hours every day (fresh water pool) and expected, after a while, it would automatically detect but it still frequently misses the exercise.  But the biggest issue I have is it died after 2.5 months.  Luckily it was still under warranty and the fitbit technical staff was very helpful and mailed me a replacement which I received in 3 days.  While I like the service (and the product), disturbed it stopped working after only a few weeks.

  
",Color: Rosewood/RosewoodEdition: Regular
15,382,"







  
  
    This GPS tracking does not work with Apple iOS
  
",1.0,Jillian Atun,"Reviewed in the United States July 21, 2020","









  
  
    
  Check out the community board on their website to see 50+ pages of complaints about this Charge 4, and most importantly how the GPS tracking does not work, main issue being that it just stops working half way through a run or bike ride. I've had calls with their customer support over last month or so and they acknowledge its a problem that they are aware of with Apple iOS, but say they have no solution for now, and wont offer refund. Very disappointed.

  
",Color: Black/BlackEdition: Regular
16,394,"







  
  
    Crap
  
",2.0,Caribe Traveller,"Reviewed in the United States December 6, 2020","









  
  
    
  Arrived November 25, 2020.  The “special edition” band broke today, December 6, 2020, 11 days later, as my husband was walking. Thank goodness he felt it slip. It loses the Bluetooth connectivity regularly. His $25 Fitpro was way, way better.I would not recommend this product to a friend. Or even an enemy.

  
",Color: Black/Granite ReflectiveEdition: Special Edition
17,425,"







  
  
    Worked fine until the day before the return window expired - do not buy
  
",1.0,Lloyd Spencer,"Reviewed in the United States February 8, 2021","








  
  Your browser does not support HTML5 video.










  
  
    
   This replaced my prior charge 2 and worked well for a month.  Helps track your exercise and sleeping etc. as others have probably noted.Unfortunately, it started to freak out.  It keeps turning on and off rapidly by itself.  Here is a video of it doing the same while I'm not even wearing it.Other research suggests this is a known defect that requires replacement.Amazon says that the return window expired yesterday.  So for the record, this worked until 1 day before the return window expired - talk about planned obsolescence.

  
",Color: Black/BlackEdition: Regular
18,229,"







  
  
    Happy with my Charge 4 Special Edition
  
",4.0,JudithD,"Reviewed in the United States February 17, 2021","









  
  
    
  I really like my new Fitbit Charge 4 Special Edition for the most part! It synced very easily, maybe because I already had a Charge 2 connected to my iPhone. It looks really nice and came with 2 sets of bands. I have had it for a couple of months now and am still trying to figure out some of the functions as there are more to this one than my old Charge 2. I really like the GPS feature and have it set to only when using the exercise function so the Charge battery lasts 4-5 days before I have to recharge it. The sleep tracking seems to work great and the GPS is good too as long as I have set it up correctly before I go for a walk since I don’t have that totally right yet.  I gave it 4 stars only because I still have functions to figure out. I would recommend it if you don’t mind being patient about figuring it all out.

  
",Color: Black/Granite ReflectiveEdition: Special Edition
19,292,"







  
  
    Major issues syncing to phone
  
",1.0,Amazon Customer,"Reviewed in the United States January 31, 2021","









  
  
    
  Really loved the Fitbit Charge 4 at first.  Used to have a Fitbit Alt HR for years and was excited about the new features of the Charge 4, including GPS.  Early on I had to turn blue tooth on and off daily to get the Charge 4 to sync to my phone.  This was annoying, but not a deal breaker.  However, about one month after first using, the device stopped syncing with my phone completely.  I tried every suggestion the Fitbit website gives to fix this problem but none of them worked.  Apparently, there are many people experiencing this problem from reading the help forums online which made me ultimately decide to return the product rather than exchange it for a new one.

  
",Color: Rosewood/RosewoodEdition: Regular
20,435,"







  
  
    Nice! (though pricey)
  
",5.0,Trudyann Buckley,"Reviewed in the United States October 26, 2020","









  
  
    
  So far so good. Got it as a gift for my bf (I've got a charge 2) It works well with his iphone SE 2020 and he likes the sleep tracking, though it isnt always too accurate. If he gets up for more than an hour in the night it counts as two different naps rather than a night of sleep. not sure how they could fix that, but...

  
",Color: Black/BlackEdition: Regular
21,149,"







  
  
    Ok for cardio only, I guess.
  
",2.0,ELEM,"Reviewed in the United States December 15, 2020","









  
  
    
  Well, if you absolutely need a device to track your sleep, then this is it. Other than that, the accuracy is WAY off from the step counting to calories burned. If you do more than basic cardio and it's important for you to know how many calories you've burned, don't count on this device for accuracy. Calories burned involving HIIT, gym workouts, weightlifting, etc. will not be accurately evaluated, BUT if you need a general idea for calories in and calories out, then this can be helpful for a little while.

  
",Color: Black/BlackEdition: Regular
22,188,"







  
  
    Do NOT Buy This Fitbit!
  
",1.0,freddog2020,"Reviewed in the United States March 2, 2021","









  
  
    
  I purchased this Fitbit because it is cheaper than an Apple watch, and all I wanted was a fitness tracking band with an extended battery life. When it first came, I was pleased with the product. It fit well, the bands were easily adjustable, and they provided you with many different bands with the pack. The battery life was not what I expected however, and the screen is extremely unresponsive.This fitness tracker DOES NOT hold up to anything over moderate use. For my profession, I am a firefighter. I am consistently doing physical fitness activity, as well and performing job-related fitness on emergency calls. The watch face initially broke and cracked within 3 WEEKS of purchase! I purchased a screen protector pack, which simply patched the face that had broke. Then, after about 2 months of use, the cheap plastic they used on the ""pebble"" (the actual tracking device) completely broke off and the tracker fell off my wrist, which caused me to almost lose my device. It took about 2 weeks to have the warranty claim through Fitbit processed to replace it.Then, the new ""pebble"" came. I re-attached the band that I had been using, and hoped it was just a fluke device that I initially bought. I put a screen protector on it immediately; but within TWO WEEKS again, the device screen cracked. I called Fitbit and sent in the picture that I have attached to this review (the screen protector was removed to reduce glare and show the magnitude of the crack). Fitbit DENIED my claim and the device is now cracked, the screen is hard to use, and the battery life is extremely reduced. DO NOT BUY THIS! Spend the money on a better tracker, not Fitbit branded. You won't regret it.TLDR;The device is fragile and does NOT hold up well to fitness activities.The screen is unresponsive, and the battery life is substandardThe customer service is awful. They will most likely not cover any warranty claim in regards to how fragile the device is.

  
",Color: Black/Granite ReflectiveEdition: Special Edition
23,358,"







  
  
    I had a fitbit, when to an apple watch then eventually back to fitbit (this one).
  
",5.0,Ratchet of Knoxville,"Reviewed in the United States August 10, 2020","









  
  
    
  I had an older fitbit that I wore for a year before it stopped working. I switched to an Apple Watch for a bit and when that stopped working correctly, I purchased this. The main things I use it for is the sleep tracker and the activity tracker. The sleep tracker itself blows away anything the Apple watch currently offers.I find that it really does encourage me to exercise.

  
",Color: Black/BlackEdition: Regular
24,483,"







  
  
    Incredibly inaccurate hr monitor.
  
",1.0,JKirby08,"Reviewed in the United States November 12, 2020","









  
  
    
  It started off occasionally not reading my heart accurately.  I read every forum and recommendation on how to wear the tracker and have tried multiple options, a little higher on my wrist, a little lower, a little tighter, a little looser nothing worked.  Not the piece of crap NEVER reads my heart rate accurately.  I can be running on a treadmill completely out of breath, the monitor on the treadmill says my HR is 160 and the Fitbit reads 110-115.  I’d send it back if I could and get my money back.

  
",Color: Black/Granite ReflectiveEdition: Special Edition
25,61,"







  
  
    Great for a lifestyle change, but the band is flawed
  
",4.0,VidGamrJ,"Reviewed in the United States July 18, 2020","









  
  
    
  This is great if you want to make a change in your lifestyle. With the companion app you can track calorie intake, water intake, see how well you sleep, all kinds of stuff. It tracks your steps, calories burned, floors climbed, a variety of different exercises. I highly recommend it if you’re looking to become more active and healthy. There’s challenges you can compete in if you want with friends and family. It encourages you to get up and move and reach milestones. It’s a great little device. My one big, huge, complaint is that the bands to not connect properly to the Fitbit. The band it comes with has a huge gap and it looks trashy for something you’re paying a lot of money for. It also looks like it can get caught on something and snap off. I’ve bought some third party bands that connect better. But come on, I expect the third party stuff to be janky, not the stuff you get from Fitbit themselves! Hopefully they fix this issue and issue a recall. But otherwise, the Charge 4 is a wonderful device.

  
",Color: Black/BlackEdition: Regular
