,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,1271,"







  
  
    Amazing 👌😍
  
",5.0,Aram,"Reviewed in the United States April 7, 2020","









  
  
    
  The phone came in perfect condition and first I was really hesitating on buying this phone and as soon as the package came I ripped it open in the phone looked amazing the battery life is at 78% but I don't mind there wasn't a single scratch on the front and back of the phone if you're looking to buy a refurbished iPhone 7 32GB model this is the perfect phone for you 😁😁

  
",Style: Verizon 32GB
1,967,"







  
  
    NOT unlocked
  
",1.0,SN,"Reviewed in the United States May 20, 2020","









  
  
    
  The IMEI number for the phone is blocked. Meaning the phone is NOT unlocked and was either lost, stolen or unpaid bill.  What a waste of time and energy waiting on this phone for nothing.

  
",Style: T-Mobile 32GB
2,971,"







  
  
    Sold With Bad Hardware
  
",1.0,Makaila,"Reviewed in the United States July 13, 2020","









  
  
    
  I had this phone for about a month before it just turned off and wouldn’t turn on past the Apple logo. I took it to the Apple store and they told me that it had hardware issues. I hadn’t dropped it or bumped it on anything. I had a heavy duty case and screen protector. This phone was sold to me in this condition and I ended up trading in the 7 for store credit and forking over more money for a new phone. I do not recommend buying a refurbished phone from this vendor.

  
",Style: Fully Unlocked 32GB
3,500,"







  
  
    Won’t buy again
  
",1.0,Marty Zdunich,"Reviewed in the United States January 9, 2020","









  
  
    
  Didn’t work properly

  
",
4,822,"







  
  
    Do not buy!!!!!!!!!!
  
",1.0,Christine begley,"Reviewed in the United States July 3, 2019","









  
  
    
  Do not waist your money. Phone came with a scratch on the screen. Phone will not load any pictures on Facebook, I have to use a laptop if I want to go on Facebook. My old iPhone 6 with a smashed screen works better then this POS. Thanks for a waste of time and money, going to send it back.  Even tried going on the internet Facebook instead of the app and still NOTHING will load. iPhone 4 works better then this. Really aggravating.

  
",Style: Sprint / Verizon 32GB
5,937,"







  
  
    Good phone, no issues that I have found.
  
",5.0,Carly C.,"Reviewed in the United States September 23, 2020","









  
  
    
  The phone arrived in really good shape. No scratches or damage. Battery life is a bit low but to be expected. Bought it for my kids first phone and so far works well!

  
",Style: Fully Unlocked 32GB
6,184,"







  
  
    Good fit for me.....
  
",5.0,AmazonianWomen,"Reviewed in the United States December 7, 2019","









  
  
    
  Bought this iPhone renewed because I only use it as phone, and a little browsing, directions when traveling.  Use my mini iPad more because my eye sight is not what it use to be, iPhone is hard to read sometimes.  Anyway, this was a good fit and buy for the amount of use that I do.  Did not see spending hundreds, even thousands of dollars for a phone I only use occasionally.  So far i have not had any issues with it due to being a used iPhone.

  
",Style: Verizon 32GB
7,464,"







  
  
    Works great!
  
",5.0,douglas miller,"Reviewed in the United States July 8, 2018","









  
  
    
  My iPhone 6 took a swim and I didn't want to $700 -$1000 for a new phone.  This phone works great, I just transferred my AT&T sim card and updated via iCloud.  The iPhone 7 and above are ""waterproof"".  It's the same size as the iPhone 6.

  
",Style: GSM Carriers 32 GB
8,1158,"







  
  
    Good buy
  
",5.0,ray,"Reviewed in the United States February 16, 2020","









  
  
    
  So I was verrrryyyyy nervous to buy this as I saw all the bad reviews. I’m happy to say the phones in pretty great shape and work well. We’ve had for about a week and have had no issues.

  
",Style: Fully Unlocked 32GB
9,440,"







  
  
    Did NOT work on Verizon. Waste of money and time
  
",1.0,Dr. Dharma Jairam,"Reviewed in the United States December 21, 2019","









  
  
    
  Did NOT work for Verizon. Wasted hours with Verizon trying to activate this phone on their network. Went through 3 layers of support. Nothing worked.  Phone was defective. Seller tried to get me to pay for return shipping after sending me a defective phone. I had to get Amazon customer support involved.

  
",
10,161,"







  
  
    This is my 3rd phone from this refurb company and they are outstanding
  
",5.0,Ed D,"Reviewed in the United States March 3, 2020","









  
  
    
  I buy all refurb I phones they all have held up for 2 years or more. They usually fail for getting wet or outdated. This company always places a glass screen saver on their refurbs which is a nice touch. i am replacing last Iphone I got from them now because I need a larger memory with all I keep adding. My daughter just bought a phone from https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=0&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=112-7127080-8113045&seller=A37VHTD60S0G3C&tab=&vasStoreID=  Very pleased with Amazon and vendor sell renewed Iphones well worth it

  
",Style: Verizon 128GB
11,774,"







  
    calidad precio
  
  
",5.0,Stalin Vivanco,"Reviewed in the United States September 11, 2019","









  
    
  el sistema operativo bien el porcentaje de la bateria 80% porq esta bien para el costo del equipo poco desgaste

  
  
",Style: GSM Carriers 128GB
12,526,"







  
  
    Five Stars
  
",5.0,Amazon Customer,"Reviewed in the United States September 14, 2017","









  
  
    
  Phone came very quickly and so far, we have had no issues.  My son loves it!!

  
",
13,1263,"







  
  
    NOT HAPPY
  
",1.0,KimChapman87,"Reviewed in the United States July 2, 2020","









  
  
    
  Not happy 😞brought this for my daughter 13 birthday and been having problems since then smh now I have to send it back ! NOT HAPPY AT ALL!! Please be careful ordering

  
",Style: GSM Carriers 128GB
14,567,"







  
  
    Very Impressed
  
",5.0,Brad F.,"Reviewed in the United States March 3, 2020","









  
  
    
  I got the phone on time and was happy to find that the phone was almost brand new. I was skeptical because I had previously purchased a refurbished iPhone 7 from BuySpry which turned out to be the model of the phone meant to be used in Japan, making it unable to mute the camera shutter noise. By the time I realized that was the issue, the return window had closed. Anyway, it seems like one of the best deals for an iPhone 7.

  
",Style: Fully Unlocked 128GB
15,834,"







  
  
    Home button did not work
  
",1.0,CS,"Reviewed in the United States October 3, 2020","









  
  
    
  As soon as I took this phone out of the box the home button did not work - I tried everything to get it to but eventually gave up and returned it.  I was very disappointed.

  
",Style: Fully Unlocked 128GB
16,1233,"







  
  
    Awesome!
  
",5.0,Amazon Customer,"Reviewed in the United States September 7, 2020","









  
  
    
  Great service! Fast response from seller! Phone is great quality looks new no issues at all!

  
",Style: Fully Unlocked 128GB
17,492,"







  
  
    A Refurbished phone can cost you more ....
  
",1.0,Amazon Customer,"Reviewed in the United States October 9, 2019","









  
  
    
  The phone was working fine . One day was just showing no service for no reason . Contacted my carrier , changed the sim card , rest network settings basically nothing worked. I scheduled an appointment with apple . They said it was a hardware problem . There is this program for iphone 7 with no service problem. They would fix the phone for free . But after they ran a diagnostic in my phone . They said my phone does not qualify for a free repair because it’s a refurbished phone . Very disappointed i paid 350$ for this phone now it’s useless.

  
",Style: GSM Carriers 32 GB
18,606,"







  
  
    Good working phone! Please read!!
  
",4.0,David,"Reviewed in the United States July 11, 2019","









  
  
    
  This phone works great! As a matter of fact I’m writing this review on that phone. Buttons work great as well as Siri and screen recording and camera much more I’m so glad I made this purchase! The only thing I was disappointed about is this phone dose not come original box nor with a SIM card. Not as disappointed as I was now because I have straight talk and the SIM cards for this phone I’m straight talk is only 0.99¢ at Walmart! This phone is definitely worth my hard earned money ;)

  
",Style: GSM Carriers 32GB
19,935,"







  
  
    Great phone at a great price.
  
",5.0,M,"Reviewed in the United States May 7, 2019","









  
  
    
  So, it is not new out of the box and not the current model;however, it provides all the features, looks, and manic a IPhone holds.Mine phone looked brand new without any blemishes. It arrived on time. The price was at the range i was looking to pay. Battery life is holding the charge like a new phone. X

  
",Style: Fully Unlocked 128GB
20,997,"







  
  
    Microphone with issues and phone with scratches
  
",3.0,Andruska R.Sinenberg ,"Reviewed in the United States February 27, 2019","









  
  
    
  Hi all!I never buy a kind of mobile reused. I’m feeling some upset because I received my new phone with a Microphone earring with issues (noise) and phone with scratches,unfortunately I’m not in US anymore, I’m Brazil now.There is any way to send me back any value to find out a apple technical vendor here?Thanks a lotAndressa

  
",
21,83,"







  
  
    The I Phone 7 model I received was not Verizon compatible.
  
",1.0,Nancy T.,"Reviewed in the United States February 16, 2019","









  
  
    
  I was looking for a phone that we could use with our Verizon account.  The information provided by the seller said the phone was totally unlocked and would work with Verizon. I took it in to the Verizon store to get a sim card and it wouldn't work. They looked up the model and it was on the list of those that Do Not work for Verizon.  I had to return the phone and I did NOT get a full refund! Would not buy from this seller again.

  
",
22,1252,"







  
  
    Great buy
  
",5.0,Amazon Customer,"Reviewed in the United States October 28, 2020","









  
  
    
  I have used my phone for over 6 months now and really like it.  Especially compared to the newer ones and their high price!

  
",Style: AT&T 32GB
23,941,"







  
  
    It was a nice phone but it wasn’t for Verizon
  
",2.0,Katelynn Vaida,"Reviewed in the United States July 3, 2020","









  
  
    
  I ordered a Verizon phone and got an AT&T phone. The phone was in perfect condition except for one tiny scratch in the screen, it came with a charger and cord as well as the metal pic to get the SIM card out. So all in all, it was a nice phone but I needed one for Verizon so I had to send it back. They did approve my return so that’s good news for anyone who may need to return theirs like I had to do.

  
",Style: Verizon 32GB
