,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,879,"







  
  
    5 stars
  
",5.0 ,Heather Johns,"Reviewed in the United States February 4, 2021","









  
  
    
  This phone came in perfect condition! I got my husband a red one and I got myself a yellow one!! We are definitely satisfied 100%!!We upgraded from iPhone 7s and were in LOVE with the cameras! They’re great for taking our product pictures since we work through our phones! There wasn’t a single scratch on either of them!! They arrived within 3 days from purchasing!

  
",Size: 64GBColor: RedService Provider: Fully UnlockedProduct grade: Renewed
1,421,"







  
  
    I’d say it’s worth it to be honest
  
",5.0 ,Christian Mayorga,"Reviewed in the United States October 24, 2020","









  
  
    
  For its price it’s absolutely worth it, due note that the battery’s do not come at 100% mine came at 90 which is totally fine, apart from that there are SUPER minor damage making the devices like new and I will happily be using this for the upcoming years upgrading from a 7. Would recommend!

  
",Size: 64GBColor: BlackService Provider: Fully UnlockedProduct grade: Renewed
2,873,"







  
  
    Not completely satisfied
  
",4.0 ,Queen Lil,"Reviewed in the United States March 21, 2020","









  
  
    
  The phone works perfectly, my complaint is that it didn’t come with the headphones and the charger is not the an original for iPhones

  
",Size: 128GBColor: BlackService Provider: Fully UnlockedProduct grade: Renewed
3,1223,"







  
  
    Not fully unlocked as it says
  
",1.0 ,Jessie Mullin,"Reviewed in the United States July 15, 2019","









  
  
    
  It said fully unlocked but then further down the page after comparisons when it says product description, you find it is NOT FULLY UNLOCKED! Not compatible with verizon which is what I have

  
",Size: 64GBColor: CoralService Provider: Fully UnlockedProduct grade: Renewed
4,2311,"







  
  
    10/10 Recommend
  
",5.0 ,Frank cascioli,"Reviewed in the United States August 7, 2020","









  
  
    
  This is a great phone.  Looks brand new. Runs very well. The camera quality is amazing. I would for sure but from this seller

  
",Size: 64GBColor: WhiteService Provider: Fully UnlockedProduct grade: Renewed
5,27,"







  
  
    Just A perfect unlocked Iohone for less than 500$ that’s all I needed and wanted!
  
",5.0 ,MVega,"Reviewed in the United States March 5, 2020","









  
  
    
  Just what I needed for my teenager, she wanted a Newer IPhone 📱 almost 1,000$ which no way in H*! I was going to spend that money...So I looked on Amazon and came across this iPhone XR, read the reviews, thought about it for a little and decided to give it a try, the one part that convinced me was the price and most importantly that the purchase was backed up with Amazon Purchase and Returns so received it yesterday, fully unlocked, no scratches or dents, screen was in perfect shape. Came with the charger and it was just like any brand new purchased phone.I had a previous SIM card, called Metro by TMobile and Transferred alTransferredl the info to the new IPhone and Vuala, i Gad a fully working iPhone for less than 500$ (My goal) and didn’t even needed to go to the store to activate.So, overall on my personal opinion with no benefits or paying me for review, this was a GREAT purchase!

  
",Size: 64GBColor: BlueService Provider: Fully UnlockedProduct grade: Renewed
6,303,"







  
  
    10/10
  
",5.0 ,gaby,"Reviewed in the United States July 10, 2020","









  
  
    
  Was really unsure about ordering but I took one for the team and I wasn’t disappointed. Honestly I had a hard time connecting it but that was a me problem not with the phone. It looks new tbh. Only thing that was a little scratched up is where the charger goes but it wasn’t like omg this looks horrible. Battery life is at 94%, came with a screen protector, a charger and cube(not apple but worked fine)

  
",Size: 64GBColor: RedService Provider: Fully UnlockedProduct grade: Renewed
7,2193,"







  
  
    Shipping takes FOREVER
  
",1.0 ,Cheyenne Cardone,"Reviewed in the United States December 13, 2020","









  
  
    
  I ordered this phone on December first and it is now the 13. It was supposed to get here on the 7th now the 15 is supposed to be the latest. I am kissed and I hope it comes in

  
",Size: 128GBColor: BlackService Provider: VerizonProduct grade: Renewed
8,307,"







  
  
    Get the phone! Don’t listen to the negative comments!
  
",5.0 ,Erick Gonzalez,"Reviewed in the United States January 14, 2021","








  
  Your browser does not support HTML5 video.










  
  
    
   My phone came in brand new I say it doesn’t even look refurbished. Battery life came in at 96% very surprising. So far the phone has been working great am very happy with my purchase. Although it did arrive 5 days late but I’m not complaining.

  
",Size: 64GBColor: WhiteService Provider: T-MobileProduct grade: Renewed
9,1681,"







  
  
    Black iPhone XR
  
",5.0 ,nicki,"Reviewed in the United States February 25, 2020","









  
  
    
  Great buy! My son is very happy! Everything is working great now. Not one scratch or crack on it, looks like new! Even came with a screen protector on it. Came very fast , 2 days without prime!

  
",Size: 64GBColor: BlackService Provider: Fully UnlockedProduct grade: Renewed
